,https://roic.ai/company/MEC,2017,2018,2019,2020,2021
61,Total Liabilities,121429000,288736000,162687000,137676000,181202000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,125042000,133806000,- -,- -,- -
64,Retained Earnings,17671000,26842000,22090000,14998000,7547000
65,Other Comprehensive Income/Loss,-126530000,-142516000,-164000000,- -,- -
66,Other Total Stockholders Equity,76704000,84857000,342805000,- -,- -
67,Total Stockholders Equity,92887000,102989000,200895000,200857000,198271000
68,Total Liabilities And Stockholders Equity,214316000,391725000,363582000,338533000,379473000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,214316000,391725000,363582000,338533000,379473000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1766368/000156459020008206/0001564590-20-008206-index.htm,https://www.sec.gov/Archives/edgar/data/1766368/000156459021011139/0001564590-21-011139-index.htm,https://www.sec.gov/Archives/edgar/data/1766368/000156459022008290/0001564590-22-008290-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,5246000,17935000,-4753000,-7092000,-7451000
74,Depreciation and Amortization,20731000,20468000,33002000,32089000,31783000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,3486000,4732000,4962000
77,Change in Working Capital,3847000,7301000,12688000,-5778000,-28586000
78,Accounts Receivable,2570000,1042000,11853000,-2664000,-12670000
79,Inventory,-2480000,-6873000,8886000,4246000,-27896000
80,Accounts Payable,2083000,834000,-11010000,515000,11836000
81,Other Working Capital,22297000,29598000,42286000,36508000,-3323000
82,Other Non-Cash Items,977000,-8989000,-11021000,12572000,13749000
83,Cash Provided by Operating Activities,30801000,36715000,33402000,36523000,14457000
84,CAPEX,-11259000,-17879000,-25797000,-7794000,-39309000
85,Acquisitions Net,- -,-114700000,-2369000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,24000,10000,76000,2020000,5348000
89,Cash Used for Investing Activites,-11235000,-132569000,-28090000,-5774000,-33961000
90,Debt Repayment,-142981000,-315649000,-549726000,-295082000,-363685000
91,Common Stock Issued,- -,- -,101763000,- -,- -
92,Common Stock Repurchased,-8713000,-7833000,-2591000,-2509000,-2153000
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,132061000,422349000,442154000,266962000,385339000
95,Cash Used/Provided by Financing Activities,-19633000,98867000,-8400000,-30629000,19501000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-67000,3013000,-3088000,120000,-3000
98,Cash at the End of Period,76000,3089000,1000,121000,118000
99,Cash at the Beginning of Period,143000,76000,3089000,1000,121000
100,Free Cash Flow,19542000,18836000,7605000,28729000,-24852000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1766368/000156459020008206/0001564590-20-008206-index.htm,https://www.sec.gov/Archives/edgar/data/1766368/000156459021011139/0001564590-21-011139-index.htm,https://www.sec.gov/Archives/edgar/data/1766368/000156459022008290/0001564590-22-008290-index.htm
102,false,,,,,
