,https://roic.ai/company/RENN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
31,Cash and Cash Equivalents,90376000,136063000,284600000,207400000,154300000,183025000,56226000,79370000,128595000,15333000,4473000,19630000
32,Short-Term Investments,36369000,62318000,756100000,697000000,794700000,523449000,2619000,410000,- -,- -,1436000,- -
33,Cash and Short-Term Investments,126745000,198381000,1040700000,904400000,949000000,706474000,58845000,79780000,128595000,15333000,5909000,19630000
34,Net Receivables,14422000,231271000,28900000,30000000,87200000,36772000,203065000,327008000,153891000,31290000,2381000,3493000
35,Inventory,- -,- -,- -,- -,60500000,- -,- -,- -,95012000,59197000,21981000,704000
36,Other Current Assets,6242000,7867000,47400000,18300000,25900000,19957000,142028000,44025000,90507000,50942000,42501000,65120000
37,Total Current Assets,147409000,437519000,1117000000,952700000,1122600000,763203000,403938000,450813000,468005000,156762000,72772000,88947000
38,PP&E,11283000,11307000,22300000,32400000,58600000,43690000,33289000,28666000,29532000,1555000,6357000,2574000
39,Goodwill,7780000,4420000,59000000,59700000,61400000,- -,- -,- -,101937000,84434000,124000,124000
40,Intangible Assets,5066000,2747000,28100000,26800000,27400000,2000,- -,- -,2260000,1092000,708000,325000
41,Intangible Assets,12846000,7167000,87100000,86500000,88800000,2000,- -,- -,104197000,85526000,832000,449000
42,Investments,7584000,- -,50300000,107597000,107842000,320414000,810990000,695348000,565366000,22341000,13454000,53641000
43,Tax Assets,- -,481000,7000000,6600000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-5700000,16003000,7858000,21844000,19616000,2017000,27064000,171009000,132796000,68062000
45,Total Non-Current Assets,31713000,18955000,161000000,249100000,263100000,385950000,863895000,726031000,726159000,280431000,153439000,124726000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,179122000,456474000,1278000000,1201800000,1385700000,1149153000,1267833000,1176844000,1194164000,437193000,226211000,213673000
48,Accounts Payable,3044000,6443000,20400000,36700000,10200000,5501000,5031000,5561000,20046000,8255000,5393000,951000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,106919000,37202000,114083000,49887000,31077000,- -
50,Tax Payable,- -,- -,1506000,1023000,2077000,3165000,5652000,7163000,10380000,10920000,- -,- -
51,Deferred Revenue,2248000,4476000,7441000,10668000,8639000,6212000,3670000,5804000,10164000,3099000,- -,602000
52,Other Current Liabilities,35477000,14472000,32659000,42732000,96461000,34331000,93131000,221656000,226254000,66273000,61700000,79550000
53,Total Current Liabilities,40769000,25391000,60500000,90100000,115300000,46044000,208751000,270223000,370547000,127514000,98170000,81103000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,122072000,155306000,47665000,35000000,- -,1585000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,937000,516000,6976000,6564000,1109000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,221918000,- -,324000,236000,-909000,471000,6466000,12849000,101148000,127214000,23928000,2241000
58,Total Non-Current Liabilities,222855000,516000,7300000,6800000,200000,471000,128538000,168155000,148813000,162214000,23928000,3826000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4816000,1998000
61,Total Liabilities,263624000,25907000,67800000,96900000,115500000,46515000,337289000,438378000,519360000,289728000,122098000,84929000
62,Preferred Stock,188000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,251000,937000,1200000,1100000,1100000,1025000,1019000,1025000,1032000,1042000,1056000,1075000
64,Retained Earnings,-106330000,-223572000,-179700000,-254700000,-191000000,-130554000,-350682000,-536034000,-646461000,-557025000,-608118000,-634054000
65,Other Comprehensive Income/Loss,-8631000,-12535000,14600000,79400000,175000000,8000000,37000000,7000000,17000000,-6000000,-9000000,- -
66,Other Total Stockholders Equity,30020000,665737000,1374145000,1279115000,1285045000,1224167000,1243207000,1266475000,1303233000,709448000,720175000,738136000
67,Total Stockholders Equity,-84502000,430567000,1210245000,1104915000,1270145000,1102638000,930544000,738466000,674804000,147465000,104113000,105157000
68,Total Liabilities And Stockholders Equity,179122000,456474000,1278045000,1201815000,1385645000,1149153000,1267833000,1176844000,1194164000,437193000,226211000,190086000
69,Minority Interest,- -,- -,-45000,-15000,55000,- -,- -,- -,- -,- -,- -,23587000
70,Total Liabilities & Equity,179122000,456474000,1278000000,1201800000,1385700000,1149153000,1267833000,1176844000,1194164000,437193000,226211000,213673000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1509223/000110465912029921/a12-7066_120f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000110465913031652/a13-5335_120f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000110465914031901/a14-8497_120f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420415023129/v403466_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420416102618/v437342_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420417027564/v464327_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420418028238/tv488618_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420419026613/tv519980_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-70115000,-64155000,41300000,-75000000,63700000,60460000,-220128000,-185352000,-110427000,72540000,-51093000,-19220000
74,Depreciation and Amortization,4836000,6262000,8640000,16140000,19190000,18488000,8935000,2678000,2029000,1443000,975000,967000
75,Deferred Income Tax,- -,- -,-770000,970000,-8470000,4576000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2256000,2798000,5523000,10897000,- -,22827000,24575000,23544000,28016000,22557000,- -,15320000
77,Change in Working Capital,-2630000,2001000,-1620000,25960000,-7455000,69275000,7146000,28923000,-56310000,2857000,-5806000,-13347000
78,Accounts Receivable,-8295000,-339000,213000,1357000,-1993703000,- -,- -,- -,- -,- -,1935000,-44000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37216000,287000
80,Accounts Payable,612000,4030000,12344000,15933000,- -,- -,- -,- -,- -,- -,2862000,-320000
81,Other Working Capital,1943000,916000,1056483000,862615000,1007325000,48961000,33143000,97838000,64102000,53901000,- -,-8057000
82,Other Non-Cash Items,65710000,70382000,-56273000,9943000,-140005000,-119187000,129430000,119202000,21728000,-159636000,21721000,678000
83,Cash Provided by Operating Activities,57000,17288000,-3200000,-11090000,-73040000,56439000,-50042000,-11005000,-114964000,-60239000,-34203000,-15602000
84,CAPEX,-10110000,-5866000,-19320000,-39639000,-30430000,-9602000,-1192000,-357000,-135000,-884000,-480000,-221000
85,Acquisitions Net,- -,- -,-74268000,- -,- -,3000000,- -,- -,-23000000,-9000000,6000000,- -
86,Purchases of Investments,-988681000,-1712243000,-311262000,-140677000,- -,-129407000,-172331000,-1000000,-500000,- -,- -,- -
87,Sales/Maturities of Investments,981361000,1713833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,32965000
88,Other Investing Activites,538000,-154000,-396371000,167574000,49142000,243650000,-75847000,-191926000,247871000,180728000,12072000,58000
89,Cash Used for Investing Activites,-16698000,-4265000,-800899000,-12742000,20065000,109215000,-248984000,-193283000,224236000,170844000,17592000,32802000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4751000
91,Common Stock Issued,11000,2104000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-2974000,-55055000,945340000,-51730000,-63520000,-73948000,-9061000,1430000,262000,526000,8000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-168983000,- -,- -
94,Other Financing Activites,58562000,85672000,5452000,-2162000,62487000,-60884000,189491000,224645000,-67375000,-85722000,-23454000,3291000
95,Cash Used/Provided by Financing Activities,55599000,32721000,950792000,-53892000,-1033000,-134832000,180430000,226075000,-67113000,-254179000,-23446000,-1460000
96,Effect of Forex Changes on Cash,-6000,-57000,1887000,516000,873000,-2105000,-3592000,-3254000,7066000,-836000,466000,-330000
97,Net Change In Cash,38952000,45687000,148580000,-77210000,-53130000,28717000,-122188000,18533000,49225000,-144410000,-39591000,- -
98,Cash at the End of Period,90376000,136063000,284680000,207390000,154270000,183017000,60837000,74759000,128595000,-15815000,-24258000,- -
99,Cash at the Beginning of Period,51424000,90376000,136100000,284600000,207400000,154300000,183025000,56226000,79370000,128595000,15333000,17922000
100,Free Cash Flow,-10053000,11422000,-22520000,-51760000,-103470000,46837000,-51234000,-11362000,-115099000,-61123000,-34683000,-15823000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1509223/000110465912029921/a12-7066_120f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000110465913031652/a13-5335_120f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000110465914031901/a14-8497_120f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420415023129/v403466_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420416102618/v437342_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420417027564/v464327_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420418028238/tv488618_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420419026613/tv519980_20f.htm,- -,- -
102,false,,,,,,,,,,,,
