,https://roic.ai/company/ACM,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/868857/000110465920126988/0001104659-20-126988-index.htm,https://www.sec.gov/Archives/edgar/data/868857/000110465921140569/0001104659-21-140569-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,120000000,- -,54352000,127870000,414515000,170871000,290777000,612857000,456940000,593776000,600677000,574188000,683893000,692145000,802362000,886733000,1080354000,1708332000,1229196000
32,Short-Term Investments,- -,- -,- -,- -,- -,3179000,81449000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,120000000,- -,54352000,127870000,417694000,252320000,290777000,612857000,456940000,593776000,600677000,574188000,683893000,692145000,802362000,886733000,1080354000,1708332000,1229196000
34,Net Receivables,- -,- -,- -,703837000,913178000,1091682000,1638814000,1732959000,2170188000,2425420000,2395881000,2342300000,2656541000,4922661000,4578565000,5183099000,5595616000,5826769000,4437926000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,64072000,52827000,67087000,214116000,190799000,163454000,107706000,157636000,188625000,203384000,639531000,730061000,696761000,644973000,627522000,1384108000,- -
37,Total Current Assets,- -,- -,- -,822261000,1093875000,1576463000,2105250000,2214535000,2946499000,2990066000,3147293000,3131602000,3434113000,6246085000,6000771000,6682222000,7127322000,7534645000,7530366000,- -
38,PP&E,- -,- -,- -,79528000,90323000,118202000,223017000,228835000,258784000,323826000,325917000,270700000,282000000,699300000,645000000,621400000,614100000,559400000,1033815000,- -
39,Goodwill,- -,- -,- -,404063000,466508000,592233000,949089000,1062919000,1690386000,2086330000,1775352000,1811754000,1937338000,5820692000,5823843000,5992881000,5921116000,5275281000,3484221000,- -
40,Intangible Assets,- -,- -,- -,32216000,18168000,30928000,80297000,61979000,108645000,119140000,96973000,83100000,90200000,659400000,479400000,415100000,319900000,233000000,76900000,- -
41,Intangible Assets,- -,- -,- -,436279000,484676000,623161000,1029386000,1124898000,1799031000,2205470000,1872325000,1894854000,2027538000,6480092000,6303243000,6407981000,6241016000,5508281000,3561121000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,34505000,53235000,71124000,91049000,80045000,142901000,321625000,330485000,364223000,310661000,405225000,229312000,- -
43,Tax Assets,- -,- -,- -,36459000,98449000,61594000,45886000,91139000,105030000,82966000,126948000,143478000,118038000,- -,171508000,171331000,159396000,245331000,357318000,- -
44,Other Non-Current Assets,- -,- -,- -,50397000,58451000,112401000,192651000,95969000,80330000,115876000,101036000,144923000,118770000,267136000,275707000,149846000,228682000,208692000,287030000,- -
45,Total Non-Current Assets,- -,- -,- -,602663000,731899000,915358000,1490940000,1575346000,2296410000,2799262000,2517275000,2534000000,2689247000,7768153000,7725943000,7714781000,7553855000,6926929000,5468596000,- -
46,Other Assets,- -,1056000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11733954000
47,Total Assets,- -,1056000000,- -,1424924000,1825774000,2491821000,3596190000,3789881000,5242909000,5789328000,5664568000,5665602000,6123360000,14014238000,13726714000,14397003000,14681177000,14461574000,12998962000,11733954000
48,Accounts Payable,- -,- -,- -,302635000,408475000,420750000,713573000,401239000,589076000,679111000,761211000,725389000,1047155000,1853993000,1910915000,2249872000,2726047000,2954719000,2352144000,- -
49,Short-Term Debt,- -,- -,- -,20539000,14665000,8764000,32035000,29107000,16441000,17746000,162591000,84265000,64413000,160411000,366324000,142000000,143051000,117185000,20874000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,19585000,1960000,- -,12641000,6127000,- -,- -,10774000,38176000,39802000,59541000,47103000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,726686000,825974000,1646977000,1641728000,1814712000,1792431000,1853791000,2093581000,- -
52,Other Current Liabilities,- -,- -,- -,328444000,469412000,549294000,728471000,1126393000,1246743000,1117589000,1154600000,517209000,518227000,1174671000,1385789000,1371795000,1468148000,1536059000,1623855000,- -
53,Total Current Liabilities,- -,- -,- -,651618000,892552000,978808000,1474079000,1556739000,1852260000,1814446000,2078402000,2053549000,2455769000,4836052000,5304756000,5578379000,6129677000,6461754000,6090454000,- -
54,Long-Term Debt,- -,122000000,- -,216183000,122790000,39186000,365974000,142102000,914686000,1144723000,907141000,1089060000,939565000,4446527000,3758966000,3702109000,3483746000,3285755000,2041136000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230037000,13097000,20515000,47273000,4292000,3491000,- -
57,Other Non-Current Liabilities,- -,- -,- -,787280000,1082625000,174253000,282394000,336635000,337494000,435022000,454537000,448920000,455563000,870739000,1097437000,881267000,742061000,810440000,1450326000,- -
58,Total Non-Current Liabilities,- -,122000000,- -,1003463000,1205415000,213439000,648368000,478737000,1252180000,1579745000,1361678000,1537980000,1395128000,5547303000,4869500000,4603891000,4273080000,4100487000,3494953000,- -
59,Other Liabilities,- -,1359000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9021484000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160950000,- -,- -,- -,- -,- -,- -,- -,745287000,- -
61,Total Liabilities,- -,1237000000,- -,1655081000,2097967000,1192247000,2122447000,2035476000,3104440000,3394191000,3440080000,3591529000,3850897000,10383355000,10174256000,10182270000,10402757000,10562241000,9585407000,9021484000
62,Preferred Stock,- -,- -,- -,- -,- -,4978000,2642000,2513000,231000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,991000,1030000,1109000,1153000,1132000,1070000,960000,967000,1513000,1539000,1575000,1570000,1575000,1570000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,74563000,221377000,414345000,651105000,826946000,606089000,472155000,677181000,522336000,618445000,961640000,948148000,599548000,174248000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-63792000,-36669000,-26211000,-111549000,-146575000,-147521000,-187574000,-179173000,-261299000,-356602000,-635100000,-857582000,-700661000,-703330000,-864197000,-918674000,-900377000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,1224164000,1309493000,1458326000,1585044000,1699207000,1741478000,1809627000,1864971000,3518999000,3604519000,3733572000,3846392000,3953650000,4035414000,- -
67,Total Stockholders Equity,- -,-181000000,- -,-239881000,-290894000,1278485000,1422993000,1729718000,2090012000,2339711000,2169464000,2021443000,2186517000,3407748000,3366921000,3996126000,4092780000,3690576000,3292558000,2712470000
68,Total Liabilities And Stockholders Equity,- -,1056000000,- -,1415200000,1807073000,2470732000,3545440000,3765194000,5194452000,5733902000,5609544000,5612972000,6037414000,13791103000,13541177000,14178396000,14495537000,14252817000,12877965000,11733954000
69,Minority Interest,- -,- -,- -,9724000,18701000,21089000,50750000,24687000,48457000,55426000,55024000,52630000,85946000,223135000,185537000,218607000,185640000,208757000,120997000,- -
70,Total Liabilities & Equity,- -,1056000000,- -,1424924000,1825774000,2491821000,3596190000,3789881000,5242909000,5789328000,5664568000,5665602000,6123360000,14014238000,13726714000,14397003000,14681177000,14461574000,12998962000,11733954000
71,SEC Link,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/868857/000110465920126988/0001104659-20-126988-index.htm,https://www.sec.gov/Archives/edgar/data/868857/000110465921140569/0001104659-21-140569-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,23000000,- -,- -,53814000,53686000,100297000,147226000,189696000,236887000,275800000,-58567000,239243000,229854000,-154845000,96109000,339390000,136468000,-261050000,-186370000,173185000
74,Depreciation and Amortization,- -,- -,- -,19928000,39830000,45126000,62752000,84117000,78899000,110306000,- -,94406000,95394000,599265000,398730000,278631000,267570000,261185000,237376000,176400000
75,Deferred Income Tax,- -,- -,- -,13093000,-12136000,15667000,-34470000,-3210000,21840000,29200000,-20303000,-7210000,27155000,-53034000,-110122000,-49856000,36746000,-98015000,11130000,-48265000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,25971000,34606000,24937000,26551000,32611000,34438000,85852000,73406000,83774000,73095000,63812000,54229000,44742000
77,Change in Working Capital,- -,- -,- -,170643000,30680000,396332000,33516000,26625000,436443000,81381000,-106729000,9162000,-99709000,431689000,-714018000,407828000,-106198000,75246000,367021000,-1439912000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-67853000,-234247000,- -,-21544000,92152000,-14405000,369600000,337291000,-432769000,-381787000,-316487000,-136955000,533006000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-8064000,57037000,76144000,80999000,-47019000,91955000,142126000,16616000,292496000,474950000,251410000,-192980000,-250142000
81,Other Working Capital,- -,- -,- -,170643000,201323000,597655000,631171000,657796000,1094239000,1175620000,1068891000,1078053000,978344000,1410033000,696015000,1103843000,997645000,1072891000,1439912000,- -
82,Other Non-Cash Items,-23000000,- -,- -,-210891000,9206000,-419959000,-53797000,-104868000,-650040000,-389612000,592400000,40386000,73493000,-144494000,1070050000,-363113000,366872000,736438000,-153764000,1798520000
83,Cash Provided by Operating Activities,- -,- -,- -,46587000,121266000,137463000,155227000,218331000,158635000,132012000,433352000,408598000,360625000,764433000,814155000,696654000,774553000,777616000,329622000,704670000
84,CAPEX,-20000000,- -,- -,-31175000,-32300000,-43203000,-69387000,-62924000,-68490000,-77991000,-62874000,-52117000,-62852000,-69426000,-191386000,-86354000,-113279000,-100664000,-114591000,-136262000
85,Acquisitions Net,- -,- -,- -,-158894000,-53296000,-158742000,-566900000,-35719000,-521212000,-386504000,-9924000,-36500000,-82671000,-3310862000,-37382000,-125152000,44109000,-72529000,-83030000,- -
86,Purchases of Investments,- -,- -,- -,-8249000,-1026000,-4883000,-9900000,- -,-24825000,-22683000,-2933000,-50873000,- -,- -,-214000,- -,-23492000,-3223000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,60538000,- -,14683000,129234000,84353000,- -,65261000,1958000,- -,2727000,34560000,11745000,900000,7174000,12365000,12392000,15507000
88,Other Investing Activites,- -,- -,- -,785000,14807000,225000,-4352000,-62924000,-68490000,- -,- -,-52117000,-62852000,-69426000,-136764000,-78459000,-86878000,-83373000,2108075000,-451416000
89,Cash Used for Investing Activites,- -,- -,- -,-136995000,-71815000,-191920000,-521305000,-14290000,-614527000,-421917000,-73773000,-139490000,-142796000,-3345728000,-162615000,-202711000,-59087000,-146760000,2037437000,-421087000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-239368000,-1234880000,-2640649000,-1550996000,-2156399000,-1998882000,-5213893000,-5199961000,-7250810000,-8874766000,-7984624000,-5833828000,-2726347000
91,Common Stock Issued,- -,- -,- -,41971000,302932000,526684000,28387000,101019000,3502000,15020000,13760000,14029000,13886000,25561000,28192000,30093000,35233000,30448000,26388000,25686000
92,Common Stock Repurchased,- -,- -,- -,-70913000,-175046000,-50076000,-13937000,-13493000,-17171000,-167044000,-159751000,-388101000,-34924000,-23113000,-25892000,-25078000,-179466000,-98208000,-186953000,-867091000
93,Dividends Paid,- -,- -,- -,-5250000,-1900000,-249000,-168000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,118269000,-102188000,-138196000,332427000,41115000,2019128000,2930133000,1459373000,2276098000,1786163000,7931209000,4559682000,6859305000,8394131000,7619105000,4366423000,2695219000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,84077000,23798000,338163000,346709000,-110727000,770579000,137460000,-237614000,-254373000,-233757000,2719764000,-637979000,-386490000,-624868000,-433279000,-1627970000,-872533000
96,Effect of Forex Changes on Cash,- -,- -,- -,196000,269000,2939000,-3020000,341000,7393000,-3472000,14871000,-7834000,-10561000,-28764000,-5309000,2764000,-6227000,-3956000,-1194000,5493000
97,Net Change In Cash,- -,- -,- -,-6135000,73518000,286645000,-22389000,93655000,322080000,-155917000,136836000,6901000,-26489000,109705000,8252000,110217000,84371000,193621000,737895000,-583457000
98,Cash at the End of Period,- -,- -,- -,54352000,127870000,414515000,194522000,290777000,612857000,456940000,593776000,600677000,574188000,683893000,692145000,802362000,886733000,1080354000,1818249000,1234792000
99,Cash at the Beginning of Period,- -,- -,- -,60487000,54352000,127870000,216911000,197122000,290777000,612857000,456940000,593776000,600677000,574188000,683893000,692145000,802362000,886733000,1080354000,1818249000
100,Free Cash Flow,- -,- -,- -,15412000,88966000,94260000,85840000,155407000,90145000,54021000,370478000,356481000,297773000,695007000,622769000,610300000,661274000,676952000,215031000,568408000
101,SEC Link,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/868857/000110465920126988/0001104659-20-126988-index.htm,https://www.sec.gov/Archives/edgar/data/868857/000110465921140569/0001104659-21-140569-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
