,https://roic.ai/company/NURO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,35000,193000,- -,- -,- -,-120490,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-8717494,-4793463,-3666708,-4283989,938258,4267806,-8378474,-27730049,-11917500,-16891148,-9981105,-10007553,-8019137,-7766222,-9187348,-14913151,-12859253,23605,-3773014,-2092195,-2281457
24,Net Income ratio,-2.5163,-1.1345,-0.4000,-0.2391,0.0274,0.0772,-0.1878,-0.8910,-0.4560,-1.2152,-0.9600,-1.3211,-1.5191,-1.4088,-1.2586,-1.2399,-0.7523,0.0015,-0.4069,-0.2836,-0.2764
25,EPS,-10432.43,-13505.11,-4686.78,-12939.60,921.60,3916.78,-7603.17,-23270.31,-8179.17,-8409.57,-4972.79,-10022.38,-982.40,-492.80,-181.60,-582.40,-47.52,0.03,-2.69,-0.55,-0.00
26,EPS Diluted,-10432.43,-13505.11,-4686.78,-12939.60,806.40,3801.58,-7603.17,-23270.31,-8179.17,-8409.57,-4972.79,-10022.38,-982.40,-492.80,-181.60,-582.40,-47.52,0.03,-2.69,-0.55,-0.00
27,Weighted Average Shares Outstanding,1004,1004,1004,1044,1054,1085,1096,1192,1456,1998,2007,6690,18579,25477,50591,83686,270606,738046,1400674,3793739,5818449
28,Weighted Average Shares Outstanding Diluted,1004,1004,1004,1044,1127,1136,1096,1192,1456,1998,2007,6690,18579,25477,50591,83686,270606,738046,1400674,3793739,5818449
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289850/000104746905007425/0001047469-05-007425-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000110465906017294/0001104659-06-017294-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000110465907023711/0001104659-07-023711-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746908002829/0001047469-08-002829-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746909002969/0001047469-09-002969-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746910002129/0001047469-10-002129-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746911001798/0001047469-11-001798-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420412010903/0001144204-12-010903-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420413010881/0001144204-13-010881-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420414011172/0001144204-14-011172-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420415011802/0001144204-15-011802-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420416081638/0001144204-16-081638-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420417007088/0001144204-17-007088-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828018001282/0001628280-18-001282-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828019000527/0001628280-19-000527-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828020000575/0001628280-20-000575-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828021001059/0001628280-21-001059-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828022001406/0001628280-22-001406-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2700659,1622516,1936241,8170037,7909778,7097239,12302284,22937410,16986809,10290446,8699478,9195753,9221985,12462872,3949135,4043681,6780429,3126206,5226213,22572104
32,Short-Term Investments,- -,- -,- -,18574593,24081946,32410685,22621741,7495000,7495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2700659,1622516,20510834,32251983,40320463,29718980,19797284,30432410,16986809,10290446,8699478,9195753,9221985,12462872,3949135,4043681,6780429,3126206,5226213,22572104
34,Net Receivables,- -,830399,1851983,3126565,4543339,7698550,5731697,3660848,3326331,1592564,909718,566451,390922,580240,742714,738729,1049329,1082957,487975,334297,310818
35,Inventory,- -,862312,1078390,1284261,2683409,3633389,5354338,5606807,4559607,2412805,1763700,834526,563036,679740,1089084,1252238,1369647,2861864,1163714,1051282,706553
36,Other Current Assets,- -,323153,333143,813689,837178,1131413,1219220,577550,537490,685015,531442,472611,416816,608160,852600,1646821,2640717,905767,652919,478074,598384
37,Total Current Assets,- -,4716523,4886032,25735349,40315909,52783815,42024235,29642489,38855838,21677193,13495306,10573066,10566527,11090125,15147270,7586923,9103374,11631017,5430814,7089866,24187859
38,PP&E,- -,350202,339224,679359,875551,1115436,2973718,1073176,906625,731975,483530,293897,229313,311520,683534,532706,440842,407339,1433222,876186,673933
39,Goodwill,- -,- -,- -,- -,- -,- -,5833464,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,2800000,- -,280000,210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,8633464,- -,280000,210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1986281,1992525,11537820,1705611,1807028,2743157,662677,524057,447261,241947,10484,923,585,203686,164262,55008,74892,29650,28523,26400
45,Total Non-Current Assets,- -,2336483,2331749,12217179,2581162,2922464,14350339,1735853,1710682,1389236,725477,304381,230236,312105,887220,696968,495850,482231,1462872,904709,700333
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,7053006,7217781,37952528,42897071,55706279,56374574,31378342,40566520,23066429,14220783,10877447,10796763,11402230,16034490,8283891,9599224,12113248,6893686,7994575,24888192
48,Accounts Payable,- -,104984,434385,899291,1698583,2766650,2627889,201275,1086946,259155,629215,257361,322896,522871,1060135,734048,733305,1298084,725658,142316,284036
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,12900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,599632,228506
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108788
51,Deferred Revenue,- -,277569,245447,399468,760613,1386867,1643026,1057215,699775,468324,212108,134185,68812,25048,227172,628236,820031,1956522,- -,- -,- -
52,Other Current Liabilities,- -,609939,1452311,1936626,3173549,6736311,4436109,6751877,2695191,1929932,2171593,1614060,1256200,2150229,1904172,1956202,3028499,2760831,2721120,1543442,853155
53,Total Current Liabilities,- -,992492,2132143,3235385,5632745,10889828,8719924,8010367,4481912,2657411,3012916,2005606,1647908,2698148,3191479,3318486,4581835,6015437,3446778,2285390,1365697
54,Long-Term Debt,- -,- -,2046986,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,461410,306709
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,483365,341513,171797,101417,71419,15277,9635,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,45989005,48540972,660825,1016263,1407865,924779,52059,33224,38249,17929,- -,1938603,5307332,280303,4641,- -,- -,916674,- -,- -
58,Total Non-Current Liabilities,- -,45989005,50587958,660825,1016263,1407865,924779,535424,374737,210046,119346,71419,1953880,5316967,280303,4641,- -,- -,916674,461410,306709
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,18275,81807,63581,57342,38250,17929,- -,- -,- -,- -,- -,- -,1505220,1061042,535215
61,Total Liabilities,- -,46981497,52720101,3896210,6649008,12297693,9644703,8545791,4856649,2867457,3132262,2077025,3601788,8015115,3471782,3323127,4581835,6015437,4363452,2746800,1672406
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4,21,18,30,18,1,1,1
63,Common Stock,- -,104,104,1203,1238,1260,1369,1386,2297,2320,390,214,595,815,405,669,271,738,140,379,668
64,Retained Earnings,- -,-39859918,-44901348,-57478178,-56539920,-53687116,-62065588,-89795637,-101713137,-118604285,-128585390,-138592943,-146612080,-154378302,-163565650,-178478801,-191338054,-191016591,-194789605,-196881800,-199163257
65,Other Comprehensive Income/Loss,- -,-933204,-1147793,-1352816,-1631748,-2012403,-1000000,-2870199,-3378865,-3770722,-4130154,-4216950,-2951182,-2516046,-2316183,-2567510,-1133435,-1160448,-1231416,- -,- -
66,Other Total Stockholders Equity,- -,864527,546717,92886109,94418493,99106845,109794090,115497001,140799576,142571659,143803675,151610101,156757642,160280644,178444115,186006388,197488577,198274094,198551114,202129195,222378374
67,Total Stockholders Equity,- -,-39928491,-45502320,34056318,36248063,43408586,46729871,22832551,35709871,20198972,11088521,8800422,7194975,3387115,12562708,4960764,5017389,6097811,2530234,5247775,23215786
68,Total Liabilities And Stockholders Equity,- -,7053006,7217781,37952528,42897071,55706279,56374574,31378342,40566520,23066429,14220783,10877447,10796763,11402230,16034490,8283891,9599224,12113248,6893686,7994575,24888192
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,7053006,7217781,37952528,42897071,55706279,56374574,31378342,40566520,23066429,14220783,10877447,10796763,11402230,16034490,8283891,9599224,12113248,6893686,7994575,24888192
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1289850/000104746905007425/0001047469-05-007425-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000110465906017294/0001104659-06-017294-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000110465907023711/0001104659-07-023711-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746908002829/0001047469-08-002829-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746909002969/0001047469-09-002969-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746910002129/0001047469-10-002129-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746911001798/0001047469-11-001798-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420412010903/0001144204-12-010903-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420413010881/0001144204-13-010881-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420414011172/0001144204-14-011172-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420415011802/0001144204-15-011802-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420416081638/0001144204-16-081638-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420417007088/0001144204-17-007088-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828018001282/0001628280-18-001282-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828019000527/0001628280-19-000527-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828020000575/0001628280-20-000575-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828021001059/0001628280-21-001059-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828022001406/0001628280-22-001406-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-4793463,-3666708,-4283989,938258,4267806,-8378474,-27730049,-11917500,-16891148,-9981105,-10007553,-8019137,-7766222,-9187348,-14913151,-12859253,23605,-3773014,-2092195,-2281457
74,Depreciation and Amortization,- -,261222,214589,205023,718666,564818,381127,1593467,578666,523756,376932,297097,150663,145100,222592,251327,262334,169712,124012,89954,76378
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2228839,2132835,1184570,837040,319368,245843,289873,302415,225408,209691,446077,190331,599117,698173
77,Change in Working Capital,- -,19242,-970142,19746075,12183200,7210823,-8589676,-11672189,12741804,-15354144,-8537392,-1914930,351159,-526642,3563814,-7687354,253102,1094041,-3631544,2820440,-1232800
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,1715075,103123,1733767,682846,343267,175529,-189318,-162474,69096,-310600,1319871,734629,-35330,23479
79,Inventory,- -,186470,-216078,-205871,-1399148,-949980,-1720949,-252469,1047200,71308,550549,694327,119932,-116704,-409344,-163154,-117409,-719303,-897734,112432,-154412
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-2426614,885671,-827791,370060,-371854,65535,199975,478760,-267583,-8117,572153,-572426,-583342,141720
81,Other Working Capital,- -,3724031,2753889,22499964,34683164,41893987,33304311,21632122,34373926,19019782,10482390,8567460,8918619,8391977,11955791,4268437,4521539,5615580,1984036,4804476,- -
82,Other Non-Cash Items,- -,-46981,548889,-18318740,-11932034,-4745544,8597908,24891469,-9672892,17229852,10526127,2130451,716564,179398,-8001326,7043494,-518258,1128278,3468962,-3484177,666012
83,Cash Provided by Operating Activities,- -,-4559980,-3873372,-2651631,1908090,7297903,-7989115,-10688463,-6137087,-13307114,-6778398,-9175567,-6554908,-7678493,-13099853,-15080276,-12652384,2861713,-3621253,-2066861,-2073694
84,CAPEX,- -,-29922,-203611,-545158,-475124,-620540,-257520,-529872,-692115,-306451,-110987,-107465,-86079,-227308,-594606,-100499,-163096,-143583,-48076,- -,-131710
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-2675000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-30954418,-15290120,-42141626,-27959957,-8545598,-7495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,2793492,18840191,33628724,37790712,23710497,7495000,7495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,438602,- -,- -,1115598,-350000,- -,178500,229500,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-29922,-203611,-28706084,3513549,-9133442,6898235,15750625,-692115,7188549,67513,122035,-86079,-227308,-594606,-100499,-163096,-143583,-48076,- -,-131710
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-19262,-22521,-27715,-19092,-20320,-17929,- -,- -,- -,- -,- -,- -,-773200,- -
91,Common Stock Issued,- -,1935464,5879,34671440,812157,1575280,285866,156741,17486849,195679,33614,7482884,7155191,7932033,20141703,6667038,- -,18618,15106,4166868,19551295
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3206357,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-40420,2992961,-3000000,- -,- -,-7525,5404,- -,- -,- -,- -,- -,- -,- -,- -,12910026,- -,- -,773200,- -
95,Cash Used/Provided by Financing Activities,- -,1895044,2998840,31671440,812157,1575280,278341,142883,17464328,167964,14522,7462564,7137262,7932033,16935346,6667038,12910026,18618,15106,4166868,19551295
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-2694858,-1078143,313725,6233796,-260259,-812539,5205045,10635126,-5950601,-6696363,-1590968,496275,26232,3240887,-8513737,94546,2736748,-3654223,2100007,17345891
98,Cash at the End of Period,- -,2700659,1622516,1936241,8170037,7909778,7097239,12302284,22937410,16986809,10290446,8699478,9195753,9221985,12462872,3949135,4043681,6780429,3126206,5226213,22572104
99,Cash at the Beginning of Period,- -,5395517,2700659,1622516,1936241,8170037,7909778,7097239,12302284,22937410,16986809,10290446,8699478,9195753,9221985,12462872,3949135,4043681,6780429,3126206,5226213
100,Free Cash Flow,- -,-4589902,-4076983,-3196789,1432966,6677363,-8246635,-11218335,-6829202,-13613565,-6889385,-9283032,-6640987,-7905801,-13694459,-15180775,-12815480,2718130,-3669329,-2066861,-2205404
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1289850/000104746905007425/0001047469-05-007425-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000110465906017294/0001104659-06-017294-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000110465907023711/0001104659-07-023711-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746908002829/0001047469-08-002829-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746909002969/0001047469-09-002969-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746910002129/0001047469-10-002129-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000104746911001798/0001047469-11-001798-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420412010903/0001144204-12-010903-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420413010881/0001144204-13-010881-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420414011172/0001144204-14-011172-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420415011802/0001144204-15-011802-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420416081638/0001144204-16-081638-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000114420417007088/0001144204-17-007088-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828018001282/0001628280-18-001282-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828019000527/0001628280-19-000527-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828020000575/0001628280-20-000575-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828021001059/0001628280-21-001059-index.htm,https://www.sec.gov/Archives/edgar/data/1289850/000162828022001406/0001628280-22-001406-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
