,https://roic.ai/company/SPT,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517375/000151737520000012/0001517375-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1517375/000151737521000009/0001517375-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1517375/000151737522000009/0001517375-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-21910000,-20934000,-46807000,-31655000,-28702000
74,Depreciation and Amortization,1354000,3986000,5324000,5285000,4707000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,473000,53000,25333000,11079000,21731000
77,Change in Working Capital,4283000,19468000,102166000,21776000,3368000
78,Accounts Receivable,-2514000,-4147000,-2756000,-8083000,-8920000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,6635000,- -
81,Other Working Capital,-7657000,11811000,113977000,135753000,2476000
82,Other Non-Cash Items,1455000,-19811000,-100430000,-17837000,13713000
83,Cash Provided by Operating Activities,-14345000,-17238000,-14414000,-11352000,14817000
84,CAPEX,-673000,-2097000,-760000,-4015000,-926000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-53143000,-109552000
87,Sales/Maturities of Investments,- -,- -,- -,3356000,88360000
88,Other Investing Activites,-11843000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-12516000,-2097000,-760000,-53802000,-22118000
90,Debt Repayment,- -,-14000000,- -,-8636000,- -
91,Common Stock Issued,- -,- -,139500000,53218000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,3027000,51248000,-15206000,-223000,-100000
95,Cash Used/Provided by Financing Activities,3027000,37248000,124294000,44359000,-100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-23834000,17913000,109120000,-20795000,-7401000
98,Cash at the End of Period,8277000,26190000,135310000,114515000,107114000
99,Cash at the Beginning of Period,32111000,8277000,26190000,135310000,114515000
100,Free Cash Flow,-15018000,-19335000,-15174000,-15367000,13891000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517375/000151737520000012/0001517375-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1517375/000151737521000009/0001517375-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1517375/000151737522000009/0001517375-22-000009-index.htm
102,false,,,,,
