,https://roic.ai/company/OFLX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,8814286,8690244,8776087,9034000,10154000,10154000,10152000,10100000,10092000,10092000,10092000,10092000,10092000,10092000,10092000,10092000,10092000,10092000,10093000,10094000,10094000
28,Weighted Average Shares Outstanding Diluted,10283333,10180000,10092500,10154000,10154000,10154000,10152000,10100000,10092000,10092000,10092000,10092000,10092000,10092000,10092000,10092000,10092000,10092000,10093000,10094000,10094000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1317945/000131794506000011/form10-k33106.htm,https://www.sec.gov/Archives/edgar/data/1317945/000131794507000004/0001317945-07-000004-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000131794508000004/form10-k123107.htm,https://www.sec.gov/Archives/edgar/data/1317945/000131794509000005/0001317945-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000131794510000004/0001317945-10-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1317945/000137647414000050/oflx_10k.htm,https://www.sec.gov/Archives/edgar/data/1317945/000137647415000040/omfx_10k.htm,https://www.sec.gov/Archives/edgar/data/1317945/000137647416000584/0001376474-16-000584-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315217002370/0001493152-17-002370-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315218002916/0001493152-18-002916-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315219003087/0001493152-19-003087-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315220003592/0001493152-20-003592-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315221005544/0001493152-21-005544-index.htm,https://www.sec.gov/Archives/edgar/data/1317945/000149315222006726/0001493152-22-006726-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,280000,9882000,17424000,13143000,9773000,1881000,2209000,3476000,939000,8257000,22585000,30152000,35318000,37938000,32392000,16098000,23633000,32913000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14944000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,280000,9882000,17424000,13143000,9773000,1881000,2209000,3476000,939000,8257000,22585000,30152000,35318000,37938000,47336000,16098000,23633000,32913000
34,Net Receivables,- -,- -,- -,25352000,11938000,9745000,13382000,6986000,9765000,7314000,9052000,12134000,12968000,13723000,16605000,15005000,15636000,16451000,17047000,20077000,20726000
35,Inventory,- -,- -,- -,5432000,6228000,8149000,10567000,10242000,6188000,6016000,6465000,7128000,6728000,7364000,8287000,7372000,8007000,7976000,11078000,11510000,15565000
36,Other Current Assets,- -,- -,- -,235000,709000,3376000,1884000,1525000,1254000,1503000,1954000,2253000,2230000,2093000,1647000,1981000,1895000,1859000,2097000,2137000,2533000
37,Total Current Assets,- -,- -,- -,31299000,28757000,38694000,38976000,28526000,19088000,17042000,20947000,22454000,30183000,45765000,56691000,59676000,63476000,73622000,46320000,57357000,71737000
38,PP&E,- -,- -,- -,5697000,5749000,6705000,6749000,6407000,6296000,5784000,5270000,4824000,4762000,4483000,4638000,4402000,6998000,8378000,9680000,9092000,11943000
39,Goodwill,- -,- -,- -,3526000,- -,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000
40,Intangible Assets,- -,- -,- -,- -,3526000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000,3526000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000,19000,12000,3000,4000,5000,7000
44,Other Non-Current Assets,- -,- -,- -,- -,3682000,3698000,521000,534000,622000,706000,1748000,1865000,1603000,1364000,1305000,2939000,3079000,1307000,1454000,1591000,1702000
45,Total Non-Current Assets,- -,- -,- -,9223000,12957000,13929000,10796000,10467000,10444000,10016000,10544000,10215000,9891000,9373000,9583000,10886000,13615000,13214000,14664000,14214000,17178000
46,Other Assets,22877000,28664000,34432000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,22877000,28664000,34432000,40522000,41714000,52623000,49772000,38993000,29532000,27058000,31491000,32669000,40074000,55138000,66274000,70562000,77091000,86836000,60984000,71571000,88915000
48,Accounts Payable,- -,- -,- -,1847000,1554000,1236000,1486000,1562000,863000,856000,1019000,2737000,1793000,2352000,2489000,2311000,2598000,2775000,2383000,2471000,3355000
49,Short-Term Debt,- -,- -,- -,- -,186000,- -,- -,- -,7500000,- -,- -,324000,- -,- -,- -,- -,- -,- -,- -,252000,383000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,215000,- -,235000,- -,- -,- -,- -,- -,- -,- -,979000,1000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,10993000,9892000,21222000,16511000,5854000,5004000,5827000,5711000,8469000,10757000,16666000,21063000,20424000,15506000,15630000,18101000,19148000,19056000
53,Total Current Liabilities,- -,- -,- -,12840000,11632000,22458000,17997000,7416000,13367000,6683000,6730000,11530000,12550000,19018000,23552000,22735000,18104000,18405000,20484000,21871000,22794000
54,Long-Term Debt,- -,- -,- -,3411000,3225000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2990000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,235000,639000,146000,1216000,1168000,1372000,1217000,1037000,614000,1032000,926000,368000,145000,209000,566000,331000,121000,- -
57,Other Non-Current Liabilities,- -,- -,- -,32000,209000,2318000,1891000,1025000,987000,892000,807000,783000,861000,1225000,1200000,1621000,2709000,1544000,2593000,3202000,2590000
58,Total Non-Current Liabilities,- -,- -,- -,3678000,4073000,2464000,3107000,2193000,2359000,2109000,1844000,1397000,1893000,2151000,1568000,1766000,2918000,2110000,2924000,3323000,5580000
59,Other Liabilities,5211000,7437000,8813000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,787000,499000,- -
61,Total Liabilities,5211000,7437000,8813000,16518000,15705000,24922000,21104000,9609000,15726000,8792000,8574000,12927000,14443000,21169000,25120000,24501000,21022000,20515000,23408000,25194000,28374000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,52000,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000,102000
64,Retained Earnings,- -,- -,- -,14437000,13873000,14976000,16651000,18986000,3184000,7750000,12397000,9181000,14929000,23446000,30656000,36455000,45457000,56110000,27165000,35769000,50053000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-5073000,1000000,-5987000,-1000000,-6974000,-519000,-502000,-410000,-9448000,-9871000,-1000000,-2000000,-1000000,-1000000,-1000000,-778000,-827000
66,Other Total Stockholders Equity,17666000,21227000,25619000,9507000,17084000,11568000,17773000,11160000,17347000,- -,- -,- -,19926000,20181000,11124000,11122000,10899000,10857000,11115000,11024000,11213000
67,Total Stockholders Equity,17666000,21227000,25619000,23996000,25986000,27646000,28539000,29248000,13659000,18140000,22804000,19680000,25509000,33858000,40882000,45679000,55458000,66069000,37382000,46117000,60541000
68,Total Liabilities And Stockholders Equity,22877000,28664000,34432000,40514000,41691000,52568000,49643000,38857000,29385000,26932000,31378000,32607000,39952000,55027000,66002000,70180000,76480000,86584000,60790000,71311000,88915000
69,Minority Interest,- -,- -,- -,8000,23000,55000,129000,136000,147000,126000,113000,62000,122000,111000,272000,382000,611000,252000,194000,260000,- -
70,Total Liabilities & Equity,22877000,28664000,34432000,40522000,41714000,52623000,49772000,38993000,29532000,27058000,31491000,32669000,40074000,55138000,66274000,70562000,77091000,86836000,60984000,71571000,88915000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1317945/000131794506000011/form10-k33106.htm,https://www.sec.gov/Archives/edgar/data/1317945/000131794507000004/0001317945-07-000004-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000131794508000004/form10-k123107.htm,https://www.sec.gov/Archives/edgar/data/1317945/000131794509000005/0001317945-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000131794510000004/0001317945-10-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1317945/000137647414000050/oflx_10k.htm,https://www.sec.gov/Archives/edgar/data/1317945/000137647415000040/omfx_10k.htm,https://www.sec.gov/Archives/edgar/data/1317945/000137647416000584/0001376474-16-000584-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315217002370/0001493152-17-002370-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315218002916/0001493152-18-002916-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315219003087/0001493152-19-003087-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315220003592/0001493152-20-003592-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315221005544/0001493152-21-005544-index.htm,https://www.sec.gov/Archives/edgar/data/1317945/000149315222006726/0001493152-22-006726-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,6001000,7477000,5164000,8682000,7382000,4381000,4566000,4647000,6876000,10037000,13462000,15788000,14377000,15662000,20139000,17286000,19910000,26195000
74,Depreciation and Amortization,- -,- -,- -,665000,665000,417000,498000,599000,623000,637000,651000,588000,547000,486000,460000,459000,502000,543000,719000,870000,1020000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-459000,297000,140000,-638000,-139000,72000,366000,-236000,-212000,305000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,102000,99000,- -,72000,312000,634000,177000,996000,1042000,118000,2472000,1453000,506000
77,Change in Working Capital,- -,- -,- -,-3196000,-889000,4743000,131000,-15389000,4638000,3858000,-3293000,6709000,9114000,6392000,3802000,8431000,9845000,-29381000,9650000,13457000,-3325000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,477000,-774000,-1736000,-3045000,-876000,-861000,-3167000,1217000,-463000,-979000,-1282000,-2683000,-943000
79,Inventory,- -,- -,- -,-531000,-796000,-1921000,-2408000,-244000,4199000,140000,-439000,-706000,331000,-525000,-1036000,585000,-699000,61000,-3025000,-440000,-4185000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-801000,-217000,163000,1703000,-945000,585000,158000,-108000,251000,205000,-401000,79000,894000
81,Other Working Capital,- -,- -,- -,17125000,16236000,20979000,21110000,5721000,10359000,14217000,10924000,17633000,26747000,33139000,36941000,45372000,55217000,25836000,35486000,48943000,1582000
82,Other Non-Cash Items,- -,- -,- -,840000,3441000,1445000,-8194000,14727000,-1401000,-4400000,-583000,-6488000,-7918000,-6274000,-6339000,-9366000,-9075000,29273000,-13850000,-16168000,448000
83,Cash Provided by Operating Activities,- -,- -,- -,4310000,10694000,11769000,1117000,7319000,8343000,4760000,1422000,7298000,12389000,14840000,13250000,14758000,18048000,21058000,16041000,19310000,25149000
84,CAPEX,- -,- -,- -,- -,-717000,-1373000,-542000,-533000,-438000,-144000,-131000,-130000,-487000,-215000,-620000,-233000,-3093000,-1924000,-1225000,-564000,-971000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35099000,-55938000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20155000,70882000,- -,- -
88,Other Investing Activites,- -,- -,- -,-267000,- -,- -,- -,3250000,-3688000,3106000,-131000,-130000,-487000,-215000,-620000,-233000,-3093000,-1924000,-1225000,-564000,-971000
89,Cash Used for Investing Activites,- -,- -,- -,-267000,-717000,-1373000,-542000,2717000,-3688000,3106000,-131000,-130000,-487000,-215000,-620000,-233000,-3093000,-16868000,13719000,-564000,-971000
90,Debt Repayment,- -,- -,- -,-123000,- -,- -,- -,- -,- -,-7500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-367000,-541000,-25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-1260000,- -,- -,-4061000,-12139000,-20183000,- -,- -,-10092000,-4289000,-145000,-4945000,-8578000,-13018000,-9775000,-46028000,-11306000,-14867000
94,Other Financing Activites,- -,- -,- -,-2760000,-186000,-3411000,- -,333000,7500000,- -,- -,324000,-324000,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-4143000,-186000,-3411000,-4428000,-12347000,-12708000,-7500000,- -,-9768000,-4613000,-145000,-4945000,-8578000,-13018000,-9775000,-46028000,-11306000,-14867000
96,Effect of Forex Changes on Cash,- -,- -,- -,116000,-189000,557000,-428000,-1059000,161000,-38000,-24000,63000,29000,-152000,-118000,-781000,683000,39000,-26000,95000,-31000
97,Net Change In Cash,- -,- -,- -,16000,9602000,7542000,-4281000,-3370000,-7892000,328000,1267000,-2537000,7318000,14328000,7567000,5166000,2620000,-5546000,-16294000,7535000,9280000
98,Cash at the End of Period,- -,- -,- -,280000,9882000,17424000,13143000,9773000,1881000,2209000,3476000,939000,8257000,22585000,30152000,35318000,37938000,32392000,16098000,23633000,32913000
99,Cash at the Beginning of Period,- -,- -,- -,264000,280000,9882000,17424000,13143000,9773000,1881000,2209000,3476000,939000,8257000,22585000,30152000,35318000,37938000,32392000,16098000,23633000
100,Free Cash Flow,- -,- -,- -,4310000,9977000,10396000,575000,6786000,7905000,4616000,1291000,7168000,11902000,14625000,12630000,14525000,14955000,19134000,14816000,18746000,24178000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1317945/000131794506000011/form10-k33106.htm,https://www.sec.gov/Archives/edgar/data/1317945/000131794507000004/0001317945-07-000004-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000131794508000004/form10-k123107.htm,https://www.sec.gov/Archives/edgar/data/1317945/000131794509000005/0001317945-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000131794510000004/0001317945-10-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1317945/000137647414000050/oflx_10k.htm,https://www.sec.gov/Archives/edgar/data/1317945/000137647415000040/omfx_10k.htm,https://www.sec.gov/Archives/edgar/data/1317945/000137647416000584/0001376474-16-000584-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315217002370/0001493152-17-002370-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315218002916/0001493152-18-002916-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315219003087/0001493152-19-003087-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315220003592/0001493152-20-003592-index.html,https://www.sec.gov/Archives/edgar/data/1317945/000149315221005544/0001493152-21-005544-index.htm,https://www.sec.gov/Archives/edgar/data/1317945/000149315222006726/0001493152-22-006726-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
