,https://roic.ai/company/AY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,0.0388,-0.0646,-0.0685,-0.2205,0.0034,0.0148,0.0938,0.1044,0.0412,0.0209
22,Income Tax expense (Gain),- -,4021000,-11762000,4413000,23790000,1666000,119837000,42659000,30950000,24877000,36220000
23,Net Income,- -,1336000,-3417000,-31612000,-209005000,-4855000,-111804000,41596000,62135000,11968000,-30080000
24,Net Income ratio,- -,0.0125,-0.0162,-0.0872,-0.2643,-0.0050,-0.1109,0.0398,0.0614,0.0118,-0.0248
25,EPS,- -,0.02,0.67,-0.04,-2.25,-0.05,-1.12,0.42,0.61,0.12,-0.27
26,EPS Diluted,- -,0.02,0.67,-0.04,-2.25,-0.05,-1.12,0.42,0.61,0.12,-0.27
27,Weighted Average Shares Outstanding,- -,79000000,79000000,80000000,92795000,100217000,100217000,100217000,101063000,101879000,111008000
28,Weighted Average Shares Outstanding Diluted,- -,80000000,79000000,80000000,92795000,100217000,100217000,100217000,101063000,103392000,114523000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1601072/000119312515057246/d875453d20f.htm,https://www.sec.gov/Archives/edgar/data/1601072/000114036116055669/0001140361-16-055669-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036117009531/0001140361-17-009531-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036118012393/0001140361-18-012393-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036119004109/0001140361-19-004109-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036120004311/0001140361-20-004311-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036121006512/0001140361-21-006512-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,40171000,97499000,357664000,354154000,514712000,594811000,669387000,631542000,223867000,588690000,368381000
32,Short-Term Investments,- -,127647000,266363000,229417000,221358000,228038000,210138000,240834000,218577000,200084000,207379000
33,Cash and Short-Term Investments,40171000,225146000,624027000,583571000,736070000,822849000,879525000,872376000,442444000,788774000,575760000
34,Net Receivables,226528000,233724000,363960000,129696000,197308000,197360000,238074000,230874000,312417000,319661000,297801000
35,Inventory,- -,- -,5244000,22068000,14913000,15384000,17933000,18924000,20268000,23958000,29694000
36,Other Current Assets,- -,-127647000,-266363000,- -,- -,10261000,6375000,5521000,344078000,291885000,263650000
37,Total Current Assets,266699000,331223000,726868000,735335000,948291000,1045854000,1141907000,1127695000,1119207000,1424278000,1166905000
38,PP&E,- -,2058941000,4418120000,6725178000,9300897000,8924272000,9084270000,8549181000,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1546795000,2058941000,4418120000,6725178000,9300897000,8924272000,9084270000,8549181000,8161129000,8155418000,8021568000
41,Intangible Assets,1546795000,2058941000,4418120000,6725178000,9300897000,8924272000,9084270000,8549181000,8161129000,8155418000,8021568000
42,Investments,180210000,734083000,387324000,5711000,56181000,55009000,55784000,53419000,139925000,116614000,294581000
43,Tax Assets,44115000,60242000,52784000,124210000,191314000,202891000,165136000,136066000,147966000,152290000,172268000
44,Other Non-Current Assets,9410000,-2045336000,-4389268000,-6351617000,-9207106000,-8854499000,-9039028000,-8496511000,91587000,89754000,96608000
45,Total Non-Current Assets,1780530000,2866871000,4887080000,7228660000,9642183000,9251945000,9350432000,8791336000,8540607000,8514076000,8585025000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2047229000,3198094000,5613948000,7963995000,10590474000,10297799000,10492339000,9919031000,9659814000,9938354000,9751930000
48,Accounts Payable,166246000,111781000,101409000,54074000,110495000,121527000,107662000,109430000,52062000,54219000,79052000
49,Short-Term Debt,78674000,48867000,52312000,333444000,1899358000,993144000,315198000,533360000,811145000,335994000,676400000
50,Tax Payable,572000,1134000,18590000,16440000,15236000,21417000,30046000,13746000,34151000,54703000,34098000
51,Deferred Revenue,- -,- -,- -,18400000,- -,- -,- -,- -,- -,- -,542000
52,Other Current Liabilities,572000,75401000,121194000,175098000,82958000,60395000,77528000,96349000,110151000,93041000,68411000
53,Total Current Liabilities,245492000,236049000,274915000,581016000,2092811000,1175066000,500388000,739139000,973358000,483254000,824405000
54,Long-Term Debt,1003239000,1320042000,2842338000,3868037000,4235805000,5005524000,5803093000,5241827000,4764994000,5895345000,5382864000
55,Deferred Revenue,- -,- -,- -,64400000,- -,- -,- -,- -,- -,- -,970557000
56,Deferred Tax Liabilities,4652000,15358000,21839000,60818000,79654000,95037000,186583000,211000000,248996000,260923000,308859000
57,Other Non-Current Liabilities,209926000,486836000,1187658000,1550093000,2158703000,2063061000,2106822000,1970953000,1957611000,1557951000,516640000
58,Total Non-Current Liabilities,1217817000,1822236000,4051835000,5543348000,6474162000,7163622000,8096498000,7423780000,6971601000,7714219000,7178920000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1463309000,2058285000,4326750000,6124364000,8566973000,8338688000,8596886000,8162919000,7944959000,8197473000,8003325000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,8000000,10022000,10022000,10022000,10022000,10160000,10667000,11240000
64,Retained Earnings,- -,- -,- -,-2031000,-356524000,-365410000,-477214000,-449274000,-385457000,-373489000,-398701000
65,Other Comprehensive Income/Loss,-81758000,-100816000,-27591000,1745633000,2229104000,2188104000,2226050000,2056636000,1883773000,878461000,1057849000
66,Other Total Stockholders Equity,583920000,1165900000,1361364000,- -,- -,- -,- -,- -,- -,1011743000,872011000
67,Total Stockholders Equity,535994000,1081192000,1217919000,1751602000,1882602000,1832716000,1758858000,1617384000,1508476000,1527382000,1542399000
68,Total Liabilities And Stockholders Equity,1999303000,3139477000,5544669000,7875966000,10449575000,10171404000,10355744000,9780303000,9453435000,9724855000,9545724000
69,Minority Interest,47926000,58617000,69279000,88029000,140899000,126395000,136595000,138728000,206379000,213499000,206206000
70,Total Liabilities & Equity,2047229000,3198094000,5613948000,7963995000,10590474000,10297799000,10492339000,9919031000,9659814000,9938354000,9751930000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1601072/000119312515057246/d875453d20f.htm,https://www.sec.gov/Archives/edgar/data/1601072/000114036116055669/0001140361-16-055669-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036117009531/0001140361-17-009531-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036118012393/0001140361-18-012393-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036119004109/0001140361-19-004109-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036120004311/0001140361-20-004311-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036121006512/0001140361-21-006512-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,1336000,-3417000,-31612000,-209005000,-4855000,-111804000,41596000,62135000,11968000,-30080000
74,Depreciation and Amortization,- -,20234000,46943000,125480000,261301000,332925000,310960000,362697000,310755000,408604000,439441000
75,Deferred Income Tax,- -,4021000,-11762000,4413000,23790000,1666000,119837000,42659000,30950000,24877000,36220000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,66624000,9213000,-67991000,73061000,2033000,-8797000,-18344000,-113351000,-33212000,-3127000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-5244000,379000,-1198000,-729000,-2548000,-1991000,-1343000,-4590000,5215000
80,Accounts Payable,- -,16322000,-45110000,-117199000,9994000,11422000,22474000,-4898000,-36533000,-9771000,-25782000
81,Other Working Capital,- -,26527000,48945000,54810000,49420000,6341000,-4924000,-17019000,-3970000,-18061000,-31081000
82,Other Non-Cash Items,- -,-44233000,-3589000,13318000,150338000,2649000,75427000,-27565000,73092000,25984000,63169000
83,Cash Provided by Operating Activities,- -,47982000,37388000,43608000,299485000,334418000,385623000,401043000,363581000,438221000,505623000
84,CAPEX,- -,-518495000,-401678000,-56960000,-106007000,-5952000,- -,- -,- -,-1361000,-24682000
85,Acquisitions Net,- -,-554276000,-240639000,-266869000,-829557000,-16770000,33127000,-66240000,-142923000,2453000,-362449000
86,Purchases of Investments,- -,-518495000,-401678000,-56960000,-106007000,-5952000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,30058000,68048000,- -,- -,- -
88,Other Investing Activites,- -,492566000,349428000,35621000,111721000,2315000,8183000,-16668000,24712000,-6952000,35976000
89,Cash Used for Investing Activites,- -,-1098700000,-694567000,-345168000,-929850000,-26359000,71368000,-14860000,-118211000,-5860000,-351155000
90,Debt Repayment,- -,-61620000,-667784000,-1665433000,-175389000,-182636000,-613242000,-385964000,-603070000,-1123733000,-794419000
91,Common Stock Issued,- -,- -,- -,681916000,664120000,- -,- -,- -,- -,- -,189454000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-23696000,-137166000,-35509000,-99483000,-143034000,-159002000,-168659000,-190638000
94,Other Financing Activites,- -,1168872000,1582657000,1311654000,459366000,-7958000,296398000,123767000,451890000,1155052000,415440000
95,Cash Used/Provided by Financing Activities,- -,1107252000,914873000,304441000,810931000,-226103000,-416327000,-405231000,-310182000,-137340000,-380163000
96,Effect of Forex Changes on Cash,- -,794000,2471000,-6391000,-20008000,-1857000,33912000,-18797000,-3935000,10685000,-20117000
97,Net Change In Cash,- -,57328000,260165000,-3510000,160558000,80099000,74576000,-37845000,-68747000,305706000,-245812000
98,Cash at the End of Period,- -,97499000,357664000,354154000,514712000,594811000,669387000,631542000,562795000,868501000,622689000
99,Cash at the Beginning of Period,- -,40171000,97499000,357664000,354154000,514712000,594811000,669387000,631542000,562795000,868501000
100,Free Cash Flow,- -,-470513000,-364290000,-13352000,193478000,328466000,385623000,401043000,363581000,436860000,480941000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1601072/000119312515057246/d875453d20f.htm,https://www.sec.gov/Archives/edgar/data/1601072/000114036116055669/0001140361-16-055669-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036117009531/0001140361-17-009531-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036118012393/0001140361-18-012393-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036119004109/0001140361-19-004109-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036120004311/0001140361-20-004311-index.html,https://www.sec.gov/Archives/edgar/data/1601072/000114036121006512/0001140361-21-006512-index.htm,- -
102,false,,,,,,,,,,,
