,https://roic.ai/company/EDU,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,1000000000,1000000000,1048401830,1111111110,1420937940,1564491010,1535783360,1548316330,1564705790,1568724410,1578237920,1579034640,1573021740,1573916860,1579863940,1585565000,1590393450,1595368900,1651982384
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372920/000119312508214919/d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312509209301/d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312510229131/d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312511271810/d219487d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312512422193/d378986d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312513382302/d566858d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312514353973/d747504d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312515329099/d43716d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312516721548/d198239d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312517295945/d427302d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312518285651/d580715d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312519256047/d791681d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,28046484,- -,- -,33425000,204378000,208440000,254772000,281104000,317260000,428261000,417166000,371593000,531298000,709209000,641018000,983319000,1414171000,915057000,1612211000
32,Short-Term Investments,- -,- -,- -,- -,3006000,52951000,59845000,137905000,296384000,371794000,554987000,741899000,669026000,1024751000,1524770000,1731504000,1777361000,2603073000,4648751000
33,Cash and Short-Term Investments,28046484,- -,- -,33425000,207384000,261391000,314617000,419009000,613644000,800055000,972153000,1113492000,1200324000,1733960000,2165788000,2714823000,3191532000,3518130000,6260962000
34,Net Receivables,- -,- -,- -,387000,1118000,1792000,1539000,1922000,9330000,14599000,16765000,23771000,36838000,35907000,37122000,55457000,114773000,71695000,118495000
35,Inventory,- -,- -,- -,4649000,6408000,10693000,15188000,17163000,18011000,20074000,22540000,22366000,23983000,27303000,31742000,40175000,29046000,31324000,31175000
36,Other Current Assets,- -,- -,- -,4934000,5981000,12964000,16383000,25720000,34284000,60648000,59374000,74046000,87735000,72166000,91610000,131459000,130891000,135271000,163523000
37,Total Current Assets,- -,- -,- -,43395000,220891000,286840000,347727000,463814000,675269000,895376000,1070832000,1233675000,1348880000,1869336000,2326262000,2941914000,3466242000,3756420000,6574155000
38,PP&E,- -,- -,- -,90192000,90575000,103098000,109785000,118118000,160421000,204342000,247262000,225335000,231463000,237698000,282800000,449592000,532015000,2097921000,2722563000
39,Goodwill,- -,- -,- -,209000,- -,- -,2712000,2818000,7588000,1798000,3760000,3692000,11194000,10545000,14083000,31729000,79614000,80366000,73254000
40,Intangible Assets,- -,- -,- -,3249000,3469000,3745000,4351000,4190000,8478000,4309000,5404000,5080000,8181000,6524000,7673000,12329000,20340000,16283000,18825000
41,Intangible Assets,- -,- -,- -,3458000,3469000,3745000,7063000,7008000,16066000,6107000,9164000,8772000,19375000,17069000,21756000,44058000,99954000,96649000,92079000
42,Investments,- -,- -,- -,- -,- -,- -,2000,2000,2000,2002000,8267000,117113000,325991000,178863000,217259000,433333000,404704000,431101000,537749000
43,Tax Assets,- -,- -,- -,659000,1091000,1041000,1077000,1567000,997000,1238000,3153000,2224000,5040000,24341000,28858000,43323000,61467000,63324000,103587000
44,Other Non-Current Assets,- -,- -,- -,1375000,34000,2019000,3748000,5911000,10615000,19752000,14763000,16426000,20788000,27527000,48044000,65492000,82177000,111470000,120920000
45,Total Non-Current Assets,- -,- -,- -,95684000,95169000,109903000,121675000,132606000,188101000,233441000,282609000,369870000,602657000,485498000,598717000,1035798000,1180317000,2800465000,3576898000
46,Other Assets,61903203,80093000,134517000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,61903203,80093000,134517000,139079000,316060000,396743000,469402000,596420000,863370000,1128817000,1353441000,1603545000,1951537000,2354834000,2924979000,3977712000,4646559000,6556885000,10151053000
48,Accounts Payable,- -,- -,- -,4619000,5657000,7033000,9295000,11038000,9518000,8943000,8569000,8586000,17888000,21395000,24258000,39889000,34057000,33147000,38441000
49,Short-Term Debt,- -,- -,- -,10544000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,384239000,514033000
50,Tax Payable,- -,- -,- -,1168000,- -,- -,3728000,5750000,15659000,22404000,35420000,38087000,46259000,53997000,68619000,82303000,110107000,106051000,110458000
51,Deferred Revenue,- -,- -,- -,31213000,43228000,59213000,74782000,107065000,194317000,269411000,341929000,394133000,511193000,652658000,875317000,1281736000,1316886000,1340339000,1939385000
52,Other Current Liabilities,34438854,- -,- -,13009000,19983000,31640000,33684000,50602000,84165000,159949000,139337000,173346000,196151000,244137000,303106000,429259000,655281000,721639000,979586000
53,Total Current Liabilities,34438854,- -,- -,59385000,68868000,97886000,117761000,168705000,288000000,438303000,489835000,576065000,725232000,918190000,1202681000,1750884000,2006224000,2479364000,3471445000
54,Long-Term Debt,3623998,- -,- -,13102000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96457000,117881000,1648260000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,157000,137000,1147000,112000,1836000,1722000,2461000,1982000,2220000,12133000,18781000,11906000,13172000
57,Other Non-Current Liabilities,2056257,- -,- -,- -,- -,- -,- -,- -,- -,- -,4518000,- -,- -,- -,- -,206624000,- -,1077923000,- -
58,Total Non-Current Liabilities,5680255,- -,- -,13102000,- -,- -,157000,137000,1147000,112000,6354000,1722000,2461000,1982000,2220000,218757000,115238000,1207710000,1661432000
59,Other Liabilities,- -,53044000,76020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1462162000,1864662000
61,Total Liabilities,40119109,53044000,76020000,72487000,68868000,97886000,117918000,168842000,289147000,438415000,496189000,577787000,727693000,920172000,1204901000,1969641000,2121462000,3687074000,5132877000
62,Preferred Stock,- -,- -,- -,117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1057000,1595000,1503000,1500000,1518000,1540000,1555000,1573000,1584000,1584000,1584000,1584000,1584000,1588000,1588000,1690000
64,Retained Earnings,- -,- -,- -,25892000,45375000,88509000,147102000,224755000,323432000,386971000,500770000,654744000,824015000,931930000,1171109000,1352543000,1647627000,1986411000,2253399000
65,Other Comprehensive Income/Loss,- -,- -,- -,-10000,2323000,30874000,23403000,23312000,46562000,55138000,190590000,195427000,253115000,247645000,259136000,508404000,282522000,289211000,709302000
66,Other Total Stockholders Equity,21784094,27049000,58497000,39510000,197661000,177794000,179241000,177982000,202689000,246738000,164319000,174003000,141634000,223413000,249119000,129058000,428949000,456085000,1948884000
67,Total Stockholders Equity,21784094,27049000,58497000,66566000,246954000,298680000,351246000,427567000,574223000,690402000,857252000,1025758000,1220348000,1404572000,1680948000,1991589000,2360686000,2733295000,4913275000
68,Total Liabilities And Stockholders Equity,61903203,80093000,134517000,139053000,315822000,396566000,469164000,596409000,863370000,1128817000,1353441000,1603545000,1948041000,2324744000,2885849000,3961230000,4482148000,6420369000,10046152000
69,Minority Interest,- -,- -,- -,26000,238000,177000,238000,11000,- -,- -,- -,- -,3496000,30090000,39130000,16482000,164411000,136516000,104901000
70,Total Liabilities & Equity,61903203,80093000,134517000,139079000,316060000,396743000,469402000,596420000,863370000,1128817000,1353441000,1603545000,1951537000,2354834000,2924979000,3977712000,4646559000,6556885000,10151053000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372920/000119312508214919/d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312509209301/d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312510229131/d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312511271810/d219487d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312512422193/d378986d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312513382302/d566858d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312514353973/d747504d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312515329099/d43716d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312516721548/d198239d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312517295945/d427302d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312518285651/d580715d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312519256047/d791681d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,6303000,29631000,49013000,61016000,77789000,101774000,132688000,136269000,215704000,193013000,224884000,274457000,296130000,238065000,413333000,334414000
74,Depreciation and Amortization,- -,- -,- -,5339000,7052000,7803000,10602000,12350000,17019000,26358000,39193000,43808000,47386000,48515000,55389000,79030000,114004000,151002000,230443000
75,Deferred Income Tax,- -,- -,- -,-287000,-416000,-195000,-1143000,-1871000,-1154000,-3255000,-3630000,-2193000,-5548000,-1936000,-518000,-14821000,-17273000,-8566000,-44644000
76,Stock Based Compensation,- -,- -,- -,8228000,- -,- -,16750000,16183000,15045000,24125000,27242000,20079000,15689000,16810000,20287000,57443000,71336000,62057000,68880000
77,Change in Working Capital,- -,- -,- -,6199000,18174000,11176000,10063000,37349000,80941000,69201000,81573000,83838000,118779000,225547000,263727000,366098000,310821000,191499000,528924000
78,Accounts Receivable,- -,- -,- -,817000,- -,- -,-661000,-410000,314000,-2164000,213000,443000,-2096000,-187000,-75000,767000,-509000,-1422000,-4627000
79,Inventory,- -,- -,- -,-1342000,-1648000,-3432000,-4309000,-1982000,91000,-1753000,-1664000,-481000,-1750000,-5649000,-5376000,-5855000,6032000,-3278000,3752000
80,Accounts Payable,- -,- -,- -,1467000,- -,- -,2141000,1746000,-2068000,-740000,-701000,272000,9248000,4830000,3592000,13728000,-2747000,82000,12809000
81,Other Working Capital,- -,- -,- -,7007000,141000,- -,12551000,30677000,72768000,66933000,53395000,60672000,115156000,179220000,227359000,321268000,325132000,-122549000,420340000
82,Other Non-Cash Items,- -,- -,- -,25000,5099000,8911000,-106000,90000,2194000,187000,2981000,109000,4826000,4074000,4795000,-2753000,88695000,-4870000,12068000
83,Cash Provided by Operating Activities,- -,- -,- -,25807000,59540000,76708000,97182000,141890000,215819000,249304000,283628000,361345000,374145000,517894000,618137000,781127000,805648000,804455000,1130085000
84,CAPEX,- -,- -,- -,-12242000,-8131000,-11360000,-15998000,-19558000,-49553000,-71690000,-61468000,-31703000,-55318000,-64401000,-105736000,-219612000,-276878000,-309548000,-436348000
85,Acquisitions Net,- -,- -,- -,-261000,- -,-2017000,-470000,-549000,-631000,-3472000,-16399000,-16076000,47750000,3016000,-908000,-999000,-46156000,13948000,-12701000
86,Purchases of Investments,- -,- -,- -,- -,- -,-46943000,- -,- -,-139903000,-658622000,-167994000,-2017629000,-980507000,-1076226000,-1275969000,-1434755000,-3828782000,-3305537000,-5564552000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2459000,1720830000,813999000,829853000,709216000,1238411000,3575339000,2326706000,3773342000
88,Other Investing Activites,- -,- -,- -,-2710000,-2840000,545000,-5794000,-77818000,-8480000,590083000,5514000,201000,659000,-1979000,1133000,4882000,-5973000,18061000,55469000
89,Cash Used for Investing Activites,- -,- -,- -,-15004000,-10971000,-59775000,-22262000,-97925000,-198152000,-143701000,-237888000,-344377000,-173417000,-309737000,-672264000,-406716000,-574712000,-1256370000,-2177639000
90,Debt Repayment,- -,- -,- -,-18621000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120000000
91,Common Stock Issued,- -,- -,- -,1289000,150682000,8274000,5322000,12446000,6432000,945000,- -,- -,- -,- -,- -,- -,233347000,- -,1512640000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-27263000,-35455000,-29996000,- -,- -,-28511000,-21487000,-59420000,- -,- -,- -,-55962000,- -,- -
93,Dividends Paid,- -,- -,- -,-8262000,- -,- -,- -,- -,- -,- -,-46990000,-54476000,- -,-62668000,- -,-71153000,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,5114000,-23991000,-272000,8000,- -,- -,- -,4652000,21849000,15123000,68171000,9349000,-3728000,89264000,-17862000,261444000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-20480000,126691000,-19261000,-30125000,-17550000,6432000,945000,-70849000,-54114000,-44297000,5503000,9349000,-74881000,266649000,-17862000,1654084000
96,Effect of Forex Changes on Cash,- -,- -,- -,-10000,-5104000,6372000,1537000,-83000,12057000,4453000,14014000,-8427000,3274000,-35749000,-23413000,42771000,-66123000,-29026000,106173000
97,Net Change In Cash,- -,- -,- -,-9687000,170156000,4044000,46332000,26332000,36156000,111001000,-11095000,-45573000,159705000,177911000,-68191000,342301000,431462000,-498803000,712703000
98,Cash at the End of Period,- -,- -,- -,33425000,204378000,208440000,254772000,281104000,317260000,428261000,417166000,371593000,531298000,709209000,641018000,983319000,1418227000,919424000,1632127000
99,Cash at the Beginning of Period,- -,- -,- -,43112000,34222000,204396000,208440000,254772000,281104000,317260000,428261000,417166000,371593000,531298000,709209000,641018000,986765000,1418227000,919424000
100,Free Cash Flow,- -,- -,- -,13565000,51409000,65348000,81184000,122332000,166266000,177614000,222160000,329642000,318827000,453493000,512401000,561515000,528770000,494907000,693737000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1372920/000119312508214919/d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312509209301/d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312510229131/d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312511271810/d219487d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312512422193/d378986d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312513382302/d566858d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312514353973/d747504d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312515329099/d43716d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312516721548/d198239d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312517295945/d427302d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312518285651/d580715d20f.htm,https://www.sec.gov/Archives/edgar/data/1372920/000119312519256047/d791681d20f.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,
