,https://roic.ai/company/IMUC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822411/000119312509067632/0001193125-09-067632-index.html,https://www.sec.gov/Archives/edgar/data/822411/000119312510073647/0001193125-10-073647-index.html,- -,https://www.sec.gov/Archives/edgar/data/822411/000119312512125451/0001193125-12-125451-index.html,https://www.sec.gov/Archives/edgar/data/822411/000119312513101316/0001193125-13-101316-index.html,- -,https://www.sec.gov/Archives/edgar/data/822411/000156459015001446/0001564590-15-001446-index.htm,https://www.sec.gov/Archives/edgar/data/822411/000162828016013931/0001628280-16-013931-index.html,https://www.sec.gov/Archives/edgar/data/822411/000162828017002439/0001628280-17-002439-index.html,https://www.sec.gov/Archives/edgar/data/822411/000082241118000004/0000822411-18-000004-index.html
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30538,1060000,5040000,90000,330000,5320000,6650000,26220000,27646350,23222300,22604480,11437120,6629870
32,Short-Term Investments,- -,- -,- -,3000000,1080000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,30538,1060000,5040000,3090000,1410000,5320000,6650000,26220000,27646350,23222300,22604480,11437120,6629870
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1326200,10000,30000,20000,20000,20000,90000,710000,763300,1219870,1956060,1977670,378790
37,Total Current Assets,1356738,1070000,5070000,3110000,1430000,5340000,6740000,26930000,28409650,24442170,24560540,13414790,7008660
38,PP&E,40000,- -,- -,10000,10000,10000,80000,80000,66440,47370,180920,109820,570
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2501,- -,- -,10000,30000,20000,330000,10000,464590,689020,5340910,3365380,- -
45,Total Non-Current Assets,42501,- -,- -,20000,40000,30000,410000,90000,531030,736390,5521830,3475200,570
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1399239,1070000,5070000,3130000,1470000,5370000,7150000,27020000,28940680,25178560,30082370,16889990,7009230
48,Accounts Payable,15143,80000,30000,130000,230000,170000,1320000,730000,861030,322000,1161260,1342130,1774630
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1363834,20000,40000,60000,150000,280000,440000,370000,541240,967200,1108140,1896810,586120
53,Total Current Liabilities,1378977,100000,70000,190000,380000,450000,1760000,1100000,1402270,1289200,2269400,3238940,2360750
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,780000,- -,- -,- -,2580000,2160000,2850000,1064810,597720,6092680,7519300,- -
58,Total Non-Current Liabilities,- -,780000,- -,- -,- -,2580000,2160000,2850000,1064810,597720,6092680,7519300,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1378977,880000,70000,190000,380000,3030000,3920000,3950000,2467080,1886920,8362080,10758240,2360750
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,7147,10000,10000,10000,10000,- -,- -,10000,5750,6360,9030,340,4190
64,Retained Earnings,- -,-5410000,-9030000,-12090000,-14710000,-22950000,-28670000,-43170000,-51969390,-61346930,-74137740,-96223440,-116443660
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-10000,-30000,-80000,-118930,-154900,-191090,-266200,-16340
66,Other Total Stockholders Equity,13115,5589662,14017709,15020336,15796995,25295830,31932060,66308014,78556164,84787113,96040096,102621046,121104281
67,Total Stockholders Equity,20262,189662,4997709,2940336,1096995,2335830,3232060,23068014,26473594,23291643,21720296,6131746,4648471
68,Total Liabilities And Stockholders Equity,1399239,1069662,5067709,3130336,1476995,5365830,7152060,27018014,28940674,25178563,30082376,16889986,7009221
69,Minority Interest,- -,338,2291,-336,-6995,4170,-2060,1986,6,-3,-6,4,9
70,Total Liabilities & Equity,1399239,1070000,5070000,3130000,1470000,5370000,7150000,27020000,28940680,25178560,30082370,16889990,7009230
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822411/000119312509067632/0001193125-09-067632-index.html,https://www.sec.gov/Archives/edgar/data/822411/000119312510073647/0001193125-10-073647-index.html,- -,https://www.sec.gov/Archives/edgar/data/822411/000119312512125451/0001193125-12-125451-index.html,https://www.sec.gov/Archives/edgar/data/822411/000119312513101316/0001193125-13-101316-index.html,- -,https://www.sec.gov/Archives/edgar/data/822411/000156459015001446/0001564590-15-001446-index.htm,https://www.sec.gov/Archives/edgar/data/822411/000162828016013931/0001628280-16-013931-index.html,https://www.sec.gov/Archives/edgar/data/822411/000162828017002439/0001628280-17-002439-index.html,https://www.sec.gov/Archives/edgar/data/822411/000082241118000004/0000822411-18-000004-index.html
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-250000,-5150000,-3620000,-3060000,-2630000,-6150000,-5720000,-14500000,-8800560,-9377530,-12790810,-22085700,-14312010
74,Depreciation and Amortization,- -,- -,- -,2075,3397,3633,20357,45823,50402,47656,36193,75114,47768
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,513357,308303,745697,1190133,496007,724212,654260,916028,1228987,492185
77,Change in Working Capital,38535,43003,-50164,109851,162724,68472,1025660,-1103921,-122674,-794090,-4498394,2919201,1585924
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-221545,146430
80,Accounts Payable,- -,- -,- -,102753,92652,-54536,962876,-401090,128175,-644587,805320,125363,490955
81,Other Working Capital,-3700,-5799,-20141,- -,- -,-3256,-105581,- -,- -,- -,-5444657,2226706,2514642
82,Other Non-Cash Items,156756,4579278,2758161,489270,3795,1078638,-2899892,2682078,-638597,-467098,-2702418,-2002044,-4485644
83,Cash Provided by Operating Activities,-54709,-527719,-912003,-1945447,-2151781,-4253560,-6383742,-12380013,-8787217,-9936802,-19039401,-19864442,-16671777
84,CAPEX,-40000,- -,- -,-10087,-813,-10572,-84392,-9828,-44372,-28975,-169750,-4015,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1924097,1075903,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,400,- -,- -,1326
89,Cash Used for Investing Activites,-40000,- -,- -,-3010087,1923284,1065331,-84392,-9828,-44372,-28575,-169750,-4015,1326
90,Debt Repayment,- -,- -,- -,- -,- -,- -,53018,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,125247,1557522,4892486,- -,- -,- -,7460129,28730923,4906078,4496322,14599627,7037055,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-101,- -,- -,- -,474560,8176652,288379,3222418,5355194,1045000,3991709,1664039,11863203
95,Cash Used/Provided by Financing Activities,125146,1557522,4892486,- -,474560,8176652,7801526,31953341,10261272,5541322,18591336,8701094,11863203
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,30437,1029803,3980483,-4955534,246063,4988423,1333392,19563500,1429683,-4424055,-617815,-11167363,-4807248
98,Cash at the End of Period,30538,1060341,5040824,85290,331353,5319776,6653168,26216668,27646351,23222296,22604481,11437118,6629870
99,Cash at the Beginning of Period,101,30538,1060341,5040824,85290,331353,5319776,6653168,26216668,27646351,23222296,22604481,11437118
100,Free Cash Flow,-94709,-527719,-912003,-1955534,-2152594,-4264132,-6468134,-12389841,-8831589,-9965777,-19209151,-19868457,-16671777
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822411/000119312509067632/0001193125-09-067632-index.html,https://www.sec.gov/Archives/edgar/data/822411/000119312510073647/0001193125-10-073647-index.html,- -,https://www.sec.gov/Archives/edgar/data/822411/000119312512125451/0001193125-12-125451-index.html,https://www.sec.gov/Archives/edgar/data/822411/000119312513101316/0001193125-13-101316-index.html,- -,https://www.sec.gov/Archives/edgar/data/822411/000156459015001446/0001564590-15-001446-index.htm,https://www.sec.gov/Archives/edgar/data/822411/000162828016013931/0001628280-16-013931-index.html,https://www.sec.gov/Archives/edgar/data/822411/000162828017002439/0001628280-17-002439-index.html,https://www.sec.gov/Archives/edgar/data/822411/000082241118000004/0000822411-18-000004-index.html
102,false,,,,,,,,,,,,,
