,https://roic.ai/company/VICI,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1199363000,10142531000,12002542000,13198528000,13343824000
45,Total Non-Current Assets,- -,90992000,88831000,9542306000,10214044000,12099374000,13562721000,13703120000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,92034000,90475000,9739712000,11333368000,13265619000,17063613000,17597373000
48,Accounts Payable,- -,342000,305000,5207000,1057000,640000,734000,- -
49,Short-Term Debt,- -,51000,14000,300000000,- -,- -,- -,- -
50,Tax Payable,- -,212000,130000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,290000,237000,68117000,- -,- -,- -,- -
52,Other Current Liabilities,- -,541000,468000,-341167000,161422000,178232000,229932000,339839000
53,Total Current Liabilities,- -,1224000,1024000,32157000,162479000,178872000,230666000,339839000
54,Long-Term Debt,- -,14000,- -,4785756000,4122264000,4791563000,7067415000,4991844000
55,Deferred Revenue,- -,- -,- -,68117000,43605000,70340000,93659000,- -
56,Deferred Tax Liabilities,- -,5154000,5043000,3718000,3340000,3382000,3533000,3879000
57,Other Non-Current Liabilities,- -,267000,265000,73600000,100658000,172473000,174595000,74637000
58,Total Non-Current Liabilities,- -,5435000,5308000,4931191000,4269867000,5037758000,7339202000,5070360000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,26426000,301883000,297321000
61,Total Liabilities,- -,6659000,6332000,4963348000,4432346000,5216630000,7569868000,5410199000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,3003000,4047000,4610000,5367000,6289000
64,Retained Earnings,- -,52000,52000,42662000,187096000,208069000,139454000,346026000
65,Other Comprehensive Income/Loss,- -,-24767000,-27446000,-751000,-22124000,-65078000,-92521000,884000
66,Other Total Stockholders Equity,- -,110090000,111537000,4646575000,6648430000,7817582000,9363539000,11755069000
67,Total Stockholders Equity,- -,85375000,84143000,4691489000,6817449000,7965183000,9415839000,12108268000
68,Total Liabilities And Stockholders Equity,- -,92034000,90475000,9654837000,11249795000,13181813000,16985707000,17518467000
69,Minority Interest,- -,- -,- -,84875000,83573000,83806000,77906000,78906000
70,Total Liabilities & Equity,- -,92034000,90475000,9739712000,11333368000,13265619000,17063613000,17597373000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1705696/000170569618000015/0001705696-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1705696/000170569619000064/0001705696-19-000064-index.html,https://www.sec.gov/Archives/edgar/data/1705696/000170569620000048/0001705696-20-000048-index.html,https://www.sec.gov/Archives/edgar/data/1705696/000170569621000030/0001705696-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569622000046/0001705696-22-000046-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,4000,3000,- -,42662000,523619000,545964000,896208000,1013851000
74,Depreciation and Amortization,2904000,2882000,3030000,3153000,3686000,3831000,3731000,3091000
75,Deferred Income Tax,-91000,-101000,-111000,- -,-348000,- -,3389000,- -
76,Stock Based Compensation,- -,- -,- -,- -,2342000,5223000,7388000,9371000
77,Change in Working Capital,253000,-182000,802000,164629000,791596000,30528000,2282853000,-86821000
78,Accounts Receivable,-30000,-137000,116000,- -,- -,- -,- -,- -
79,Inventory,-54000,-5000,71000,- -,- -,- -,- -,- -
80,Accounts Payable,419000,52000,-39000,10322000,- -,- -,-3255000,- -
81,Other Working Capital,- -,-182000,620000,165249000,956845000,987373000,3270226000,- -
82,Other Non-Cash Items,3000,286000,-1000000,-78760000,-816813000,96613000,-2309929000,-43142000
83,Cash Provided by Operating Activities,3073000,2888000,2721000,131684000,504082000,682159000,883640000,896350000
84,CAPEX,-17000,-798000,-869000,-1969000,-7679000,-11422000,-3032000,-23202000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-1713818000,-2252757000,-1427233000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,421434000,901756000,59474000,19973000
88,Other Investing Activites,6000,66000,- -,-1136200000,152406000,-7654000,-3178232000,23981000
89,Cash Used for Investing Activites,-11000,-732000,-869000,-1138169000,-1140877000,-1361379000,-4548759000,41449000
90,Debt Repayment,-226000,-45000,-51000,-2350122000,-690058000,-1663544000,-537538000,-2100000000
91,Common Stock Issued,- -,- -,- -,- -,2001493000,1164307000,1539748000,2385779000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-207000,-1734000
93,Dividends Paid,- -,- -,- -,- -,-262682000,-503958000,-612205000,-758790000
94,Other Financing Activites,-2742000,-1981000,-1232000,3497406000,-10917000,2185861000,2489421000,-39433000
95,Cash Used/Provided by Financing Activities,-2968000,-2026000,-1283000,1147284000,1037836000,1182666000,2879219000,-514178000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,94000,130000,569000,196486000,401041000,503446000,-785900000,423621000
98,Cash at the End of Period,221000,351000,920000,197406000,598447000,1101893000,315993000,739614000
99,Cash at the Beginning of Period,127000,221000,351000,920000,197406000,598447000,1101893000,315993000
100,Free Cash Flow,3056000,2090000,1852000,129715000,496403000,670737000,880608000,873148000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705696/000170569618000015/0001705696-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1705696/000170569619000064/0001705696-19-000064-index.html,https://www.sec.gov/Archives/edgar/data/1705696/000170569620000048/0001705696-20-000048-index.html,https://www.sec.gov/Archives/edgar/data/1705696/000170569621000030/0001705696-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569622000046/0001705696-22-000046-index.htm
102,false,,,,,,,,
