,https://roic.ai/company/HBI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156297000,136855000,101884000,- -,96387000,152692000,174435000,194675000,178579000,- -,166491000
14,Depreciation and Amortization,- -,- -,108655000,114229000,117891000,114204000,138151000,- -,121177000,96755000,90725000,93036000,90890000,- -,98202000,103175000,122487000,131796000,130967000,- -,132446000
15,EBITDA,137963000,200473000,658655000,515101000,463407000,530524000,322277000,- -,252043000,155048000,562629000,425093000,588581000,- -,659538000,829521000,844082000,959934000,989273000,- -,115815000
16,EBITDA ratio,0.0275,0.0407,0.1410,0.1112,0.0989,0.1186,0.0720,- -,0.0593,0.0398,0.1213,0.0939,0.1272,- -,0.1239,0.1376,0.1304,0.1411,0.1420,- -,0.0174
17,Operating Income,172732000,468205000,547614000,425285000,359480000,433600000,388569000,- -,317480000,270856000,478281000,440115000,515186000,- -,563954000,775649000,723068000,867951000,889730000,- -,6501000
18,Operating Income ratio,0.0345,0.0951,0.1173,0.0918,0.0768,0.0969,0.0868,- -,0.0747,0.0696,0.1031,0.0972,0.1113,- -,0.1059,0.1287,0.1117,0.1276,0.1277,- -,0.0010
19,Total Other Income Expenses (Gains),-8999000,11244000,2386000,-24413000,-13964000,-17280000,-204443000,- -,-154480000,-212556000,-162674000,-177215000,-119386000,- -,-98954000,-204450000,-193973000,-224370000,-210003000,- -,-189623000
20,Income Before Tax,163733000,479449000,550000000,400872000,345516000,416320000,184126000,- -,163000000,58300000,315607000,262900000,395800000,- -,465000000,571199000,529095000,643581000,679727000,- -,-183122000
21,Income Before Tax Ratio,0.0327,0.0974,0.1178,0.0865,0.0738,0.0931,0.0411,- -,0.0384,0.0150,0.0681,0.0581,0.0855,- -,0.0873,0.0948,0.0818,0.0946,0.0976,- -,-0.0275
22,Income Tax expense (Gain),-12885000,-139488000,121560000,-48680000,127007000,93827000,57999000,- -,3666000,6993000,48919000,30502000,65307000,- -,60449000,34272000,473279000,93797000,79007000,- -,-107543000
23,Net Income,150848000,339961000,428440000,449552000,218509000,322493000,126127000,- -,127200000,51300000,266688000,164700000,330500000,- -,404500000,539382000,73881000,539666000,600720000,- -,-75579000
24,Net Income ratio,0.0301,0.0691,0.0917,0.0970,0.0467,0.0721,0.0282,- -,0.0299,0.0132,0.0575,0.0364,0.0714,- -,0.0760,0.0895,0.0114,0.0793,0.0862,- -,-0.0113
25,EPS,0.39,0.88,1.11,1.17,0.57,0.84,0.33,- -,0.34,0.14,0.68,0.42,0.83,- -,1.00,1.41,0.17,1.52,1.65,- -,-0.21
26,EPS Diluted,0.39,0.88,1.11,1.17,0.57,0.84,0.33,- -,0.34,0.14,0.67,0.41,0.81,- -,0.99,1.40,0.17,1.52,1.64,- -,-0.21
27,Weighted Average Shares Outstanding,385224000,385224000,385224000,385224000,385224000,385224928,383744000,- -,376684000,380632000,390840000,394836000,399436000,- -,402300000,381782000,367680000,363513000,364709000,- -,352766000
28,Weighted Average Shares Outstanding Diluted,385224000,385224000,385224000,385224000,385224000,385224928,386964000,- -,380656000,382672000,397004000,401076000,407292000,- -,408044000,384566000,369426000,364505000,365519000,- -,352766000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1359841/000095014409001148/0000950144-09-001148-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000095012310010369/0000950123-10-010369-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000119312512066795/0001193125-12-066795-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000119312513041391/0001193125-13-041391-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984114000005/hbi-20131228x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1359841/000135984115000039/hbi-20150103x10k.htm,https://www.sec.gov/Archives/edgar/data/1359841/000135984117000040/0001359841-17-000040-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984118000018/0001359841-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984119000025/0001359841-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984120000027/0001359841-20-000027-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1359841/000135984121000085/0001359841-21-000085-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,289816000,674154000,1080799000,155973000,174236000,- -,67300000,38900000,35345000,42800000,115900000,- -,239900000,460245000,421566000,433022000,328876000,- -,909437000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,136000,12410000,926000,- -,- -
33,Cash and Short-Term Investments,- -,- -,289816000,674154000,1080799000,155973000,174236000,- -,67300000,38900000,35345000,42800000,115900000,- -,242900000,460245000,421702000,445432000,329802000,- -,909437000
34,Net Receivables,- -,- -,984944000,1087278000,691839000,488629000,575069000,- -,404900000,450500000,470713000,506300000,578600000,- -,672000000,814178000,903318000,870878000,815210000,- -,831860000
35,Inventory,- -,- -,1237238000,1312860000,1262557000,1216501000,1117052000,- -,1290500000,1049200000,1607555000,1253100000,1283300000,- -,1537200000,1840565000,1874990000,2056838000,1905845000,- -,1491095000
36,Other Current Assets,- -,- -,90865000,140382000,90545000,210077000,227977000,- -,347600000,284000000,217178000,225300000,265900000,- -,313100000,183432000,186360000,168967000,173708000,- -,175995000
37,Total Current Assets,- -,- -,2602863000,3214674000,3125740000,2071180000,2094334000,- -,2110300000,1822600000,2330791000,2027500000,2243700000,- -,2765200000,3298420000,3386370000,3542115000,3224565000,- -,3408387000
38,PP&E,- -,- -,653803000,601224000,558657000,556866000,534286000,- -,588200000,602800000,635406000,596200000,579900000,- -,674400000,692464000,623991000,607688000,1075683000,- -,1013039000
39,Goodwill,- -,- -,278849000,278610000,278781000,281525000,310425000,- -,322000000,322000000,433396000,433300000,626400000,- -,723100000,1098540000,1167007000,1241727000,1235711000,- -,1255630000
40,Intangible Assets,- -,- -,168522000,152814000,145786000,137181000,151266000,- -,147400000,136200000,169675000,120100000,377800000,- -,691200000,1285458000,1402857000,1555381000,1520800000,- -,1578017000
41,Intangible Assets,- -,- -,447371000,431424000,424567000,418706000,461691000,- -,469400000,458200000,603071000,553400000,1004200000,- -,1414300000,2383998000,2569864000,2797108000,2756511000,- -,2833647000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12410000,5314000,- -,- -
43,Tax Assets,- -,- -,161364000,144416000,118762000,318927000,263157000,- -,- -,- -,- -,- -,- -,- -,- -,464872000,- -,- -,- -,- -,373414000
44,Other Non-Current Assets,- -,- -,50172000,11020000,9428000,69941000,86015000,- -,366100000,443000000,465401000,454600000,262200000,- -,367900000,67980000,314550000,278919000,291913000,- -,70387000
45,Total Non-Current Assets,- -,- -,1312710000,1188084000,1111414000,1364440000,1345149000,- -,1423700000,1504000000,1703878000,1604200000,1846300000,- -,2456600000,3609314000,3508405000,3696125000,4129421000,- -,4290487000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,3915573000,4402758000,4237154000,3435620000,3439483000,- -,3534000000,3326600000,4034669000,3631700000,4090000000,- -,5221800000,6907734000,6894775000,7238240000,7353986000,- -,7698874000
48,Accounts Payable,- -,- -,203983000,192488000,196455000,221707000,289166000,- -,325500000,352000000,451525000,403600000,466300000,- -,621200000,761647000,867649000,1029933000,959006000,- -,948511000
49,Short-Term Debt,- -,- -,- -,- -,- -,24473000,19577000,- -,61700000,66700000,63075000,26200000,36200000,- -,144400000,133843000,- -,- -,- -,- -,264720000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1424891000,1376966000,1384778000,365001000,380239000,- -,361100000,460300000,419119000,445900000,496800000,- -,721000000,707432000,911096000,1016005000,812433000,- -,890137000
53,Total Current Liabilities,- -,- -,1628874000,1569454000,1581233000,611181000,688982000,- -,748300000,879000000,933719000,875700000,999300000,- -,1486600000,1602922000,1778745000,2045938000,1771439000,- -,2103368000
54,Long-Term Debt,- -,- -,- -,- -,- -,2484000000,2315250000,- -,2130900000,1727500000,1807777000,1317500000,1467000000,- -,1614000000,3507685000,3702054000,3534183000,3256870000,- -,3739434000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,6599000,- -,7171000,- -,- -,- -,- -,- -,- -,166189000,197260000,- -,215065000,- -,- -,100626000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,42652000,35934000,46388000,271168000,146347000,- -,469700000,385300000,612112000,385411000,195840000,- -,519335000,573213000,727774000,685367000,1089082000,- -,1042114000
58,Total Non-Current Liabilities,- -,- -,49251000,35934000,53559000,2755168000,2461597000,- -,2600600000,2112800000,2419889000,1869100000,1860100000,- -,2348400000,4080898000,4429828000,4320176000,4345952000,- -,4781548000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,14697000,12522000,10941000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,524372000,- -,507194000
61,Total Liabilities,- -,- -,1678125000,1605388000,1634792000,3366349000,3150579000,- -,3348900000,2991800000,3353608000,2744800000,2859400000,- -,3835000000,5683820000,6208573000,6366114000,6117391000,- -,6884916000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,963000,954000,- -,900000,1000000,975000,1000000,1000000,- -,1000000,3787000,3601000,3613000,3624000,- -,3488000
64,Retained Earnings,- -,- -,- -,- -,- -,33024000,117849000,- -,217500000,268800000,746786000,911500000,1181400000,- -,1464400000,1396116000,850345000,1079503000,1546224000,- -,1069546000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-59568000,-28918000,- -,-223000000,-213000000,-333000000,-318000000,-237000000,- -,-395000000,-436000000,-439000000,-496000000,-618000000,- -,-566959000
66,Other Total Stockholders Equity,- -,- -,2237448000,2797370000,2602362000,- -,- -,- -,189755000,277919000,266300000,292366000,285223000,- -,316372000,260011000,271256000,383167000,304747000,- -,307883000
67,Total Stockholders Equity,- -,- -,2237448000,2797370000,2602362000,69271000,288904000,- -,185155000,334719000,681061000,886866000,1230623000,- -,1386772000,1223914000,686202000,970283000,1236595000,- -,813958000
68,Total Liabilities And Stockholders Equity,- -,- -,3915573000,4402758000,4237154000,3435620000,3439483000,- -,3534055000,3326519000,4034669000,3631666000,4090023000,- -,5221772000,6907734000,6894775000,7336397000,7353986000,- -,7698874000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-55000,81000,- -,34000,-23000,- -,28000,- -,- -,-98157000,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,3915573000,4402758000,4237154000,3435620000,3439483000,- -,3534000000,3326600000,4034669000,3631700000,4090000000,- -,5221800000,6907734000,6894775000,7238240000,7353986000,- -,7698874000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1359841/000095014409001148/0000950144-09-001148-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000095012310010369/0000950123-10-010369-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000119312512066795/0001193125-12-066795-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000119312513041391/0001193125-13-041391-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984114000005/hbi-20131228x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1359841/000135984115000039/hbi-20150103x10k.htm,https://www.sec.gov/Archives/edgar/data/1359841/000135984117000040/0001359841-17-000040-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984118000018/0001359841-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984119000025/0001359841-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984120000027/0001359841-20-000027-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1359841/000135984121000085/0001359841-21-000085-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,428440000,449552000,218509000,322493000,126127000,- -,127200000,51300000,266688000,164700000,330500000,- -,404500000,539382000,73881000,539666000,600720000,- -,-75579000
74,Depreciation and Amortization,- -,- -,108655000,114229000,117891000,114204000,138151000,- -,121177000,96755000,90725000,93036000,90890000,- -,98202000,103175000,122487000,131796000,130967000,- -,132446000
75,Deferred Income Tax,- -,- -,27455000,31259000,66710000,-46804000,28069000,- -,-1445000,-9152000,1948000,-32583000,14616000,- -,-12401000,-8836000,239068000,22146000,41817000,- -,-161215000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,37697000,16173000,20496000,24178000,- -,30587000,31780000,23582000,21416000,9277000,- -,18969000
77,Change in Working Capital,- -,- -,-53102000,-100713000,599351000,-683859000,-54647000,- -,-43352000,-418400000,78772000,-245272000,92600000,- -,34200000,281540000,-87873000,-111448000,-43051000,- -,-148107000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39805000,26585000,-46812000,4803000,- -,1228000,-79211000,-31656000,10269000,45157000,- -,-6945000
79,Inventory,- -,- -,-49027000,-78154000,58924000,69215000,96338000,- -,-182971000,248820000,-287908000,313818000,83748000,- -,-40248000,135807000,22648000,-205319000,147330000,- -,-136057000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3522000,39706000,-40583000,30897000,- -,71901000,-60994000,71806000,165788000,-67390000,- -,-32641000
81,Other Working Capital,- -,- -,1645220000,1544507000,2143858000,1459999000,1405352000,- -,1362000000,943600000,1397072000,1151800000,1244400000,- -,1278600000,1695498000,1607625000,1496177000,1453126000,- -,1305019000
82,Other Non-Cash Items,- -,- -,-17462000,-22891000,-495590000,804587000,121340000,- -,-26183000,656304000,-286349000,548525000,38497000,- -,-46998000,-341434000,284573000,39826000,63702000,- -,681955000
83,Cash Provided by Operating Activities,- -,- -,493986000,471436000,506871000,510621000,359040000,- -,177397000,414504000,167957000,548902000,591281000,- -,508090000,605607000,655718000,643402000,803432000,- -,448469000
84,CAPEX,- -,- -,-85421000,-63633000,-67135000,-110079000,-96626000,- -,-186957000,-126825000,-90099000,-40994000,-43627000,- -,-64311000,-83399000,-87008000,-86293000,-101084000,- -,-53735000
85,Acquisitions Net,- -,- -,- -,- -,-1700000,-2436000,-20243000,- -,-14655000,- -,-9154000,12704000,-559855000,- -,-360439000,-964075000,-21964000,-334915000,-25232000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64380000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,8125000,2374000,8755000,1854000,15784000,- -,24364000,37981000,13620000,424000,6089000,- -,2055000,80833000,4459000,2557000,-84428000,- -,-41082000
89,Cash Used for Investing Activites,- -,- -,-77296000,-61259000,-60080000,-110661000,-101085000,- -,-177248000,-88844000,-85633000,-27866000,-597393000,- -,-358315000,-966641000,-104513000,-418651000,-109660000,- -,-41082000
90,Debt Repayment,- -,- -,-317512000,-84717000,-124347000,- -,- -,- -,- -,-5450747000,-3437042000,-3716644000,-4138418000,- -,-4222356000,-6538034000,-5972976000,-4003685000,-4413221000,- -,-2258641000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,6189000,- -,2191000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-44473000,- -,-30275000,- -,- -,- -,- -,- -,- -,-379901000,-400017000,- -,- -,- -,-200269000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59442000,- -,-119607000,-167375000,-219903000,-216316000,-216958000,- -,-210385000
94,Other Financing Activites,- -,- -,84430000,58904000,82970000,-1182336000,-205095000,- -,-76654000,5096573000,3347523000,3203572000,4291617000,- -,4318198000,7596364000,6007128000,4019504000,3806169000,- -,2811464000
95,Cash Used/Provided by Financing Activities,- -,- -,-233082000,-25813000,-41377000,-1182336000,-243379000,- -,-104738000,-354174000,-89519000,-513072000,93757000,- -,-23765000,511054000,-585768000,-200497000,-824010000,- -,142169000
96,Effect of Forex Changes on Cash,- -,- -,-42000,-26000,1231000,-171000,3687000,- -,-2305000,115000,-1131000,-513000,-14578000,- -,-2018000,-8944000,-4116000,9912000,4429000,- -,31124000
97,Net Change In Cash,- -,- -,183566000,384338000,406645000,-782547000,18263000,- -,-106894000,-28399000,-8326000,7451000,73067000,- -,123992000,141076000,-38679000,11456000,-126856000,- -,579514000
98,Cash at the End of Period,- -,- -,289816000,674154000,1080799000,298252000,174236000,- -,67342000,38943000,35345000,42796000,115863000,- -,239855000,460245000,421566000,433022000,328876000,- -,909437000
99,Cash at the Beginning of Period,- -,- -,106250000,289816000,674154000,1080799000,155973000,- -,174236000,67342000,43671000,35345000,42796000,- -,115863000,319169000,460245000,421566000,455732000,- -,329923000
100,Free Cash Flow,- -,- -,408565000,407803000,439736000,400542000,262414000,- -,-9560000,287679000,77858000,507908000,547654000,- -,443779000,522208000,568710000,557109000,702348000,- -,394734000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1359841/000095014409001148/0000950144-09-001148-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000095012310010369/0000950123-10-010369-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000119312512066795/0001193125-12-066795-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000119312513041391/0001193125-13-041391-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984114000005/hbi-20131228x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1359841/000135984115000039/hbi-20150103x10k.htm,https://www.sec.gov/Archives/edgar/data/1359841/000135984117000040/0001359841-17-000040-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984118000018/0001359841-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984119000025/0001359841-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1359841/000135984120000027/0001359841-20-000027-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1359841/000135984121000085/0001359841-21-000085-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
