,https://roic.ai/company/WB,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
22,Income Tax expense (Gain),- -,-1551000,271000,1128000,2591000,4316000,66746000,96222000,109564000,61316000
23,Net Income,-117650000,-102486000,-38115000,-65325000,34745000,108027000,352590000,571823000,494675000,313364000
24,Net Income ratio,-Infinity,-1.5545,-0.2024,-0.1955,0.0727,0.1647,0.3066,0.3327,0.2800,0.1854
25,EPS,-0.52,-0.45,-0.17,-0.34,0.17,0.50,1.60,2.56,2.19,1.38
26,EPS Diluted,-0.52,-0.45,-0.17,-0.34,0.16,0.48,1.56,2.52,2.18,1.38
27,Weighted Average Shares Outstanding,228185000,228185000,228185000,186878000,208163000,214745000,220555000,223751000,225452000,226921000
28,Weighted Average Shares Outstanding Diluted,229765000,229765000,229765000,186878000,217918000,222859000,225363000,232683000,226412000,227637000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1595761/000110465915030982/a15-2240_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465916115335/a15-25021_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465917026615/a16-23329_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465918026820/a17-27940_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465919024226/a18-41107_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465920052748/wb-20191231x20f.htm,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2906000,246436000,54915000,186347000,364766000,1000953000,1234596000,1452985000,1814844000
32,Short-Term Investments,- -,119848000,252342000,396364000,149532000,31188000,791730000,591269000,951235000,1682048000
33,Cash and Short-Term Investments,- -,122754000,498778000,451279000,335879000,395954000,1792683000,1825865000,2404220000,3496892000
34,Net Receivables,- -,25929000,47304000,120210000,120230000,134619000,186456000,474412000,807053000,1040910000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,3082000,5693000,18357000,42295000,66664000,69233000,168821000,424905000,296757000
37,Total Current Assets,- -,151765000,551775000,589846000,498404000,597237000,2048372000,2469098000,3636178000,4834559000
38,PP&E,- -,49452000,35702000,30874000,22850000,22816000,33793000,45623000,56459000,60632000
39,Goodwill,- -,- -,7517000,11652000,11117000,10266000,13420000,29346000,28989000,- -
40,Intangible Assets,- -,- -,3071000,3539000,1966000,1100000,517000,21103000,17524000,2603737000
41,Intangible Assets,- -,- -,10588000,15191000,13083000,11366000,13937000,50449000,46513000,- -
42,Investments,- -,3565000,5500000,45199000,294679000,399933000,452337000,694586000,1027459000,1179466000
43,Tax Assets,- -,- -,- -,873000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,776000,3369000,21531000,10173000,5592000,13380000,14926000,37577000,260460000
45,Total Non-Current Assets,- -,53793000,55159000,113668000,340785000,439707000,513447000,805584000,1168008000,1500558000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,205558000,606934000,703514000,839189000,1036944000,2561819000,3274682000,4804186000,6335117000
48,Accounts Payable,- -,5413000,824000,26699000,14720000,48997000,134950000,123730000,126247000,149509000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4708000,5580000
50,Tax Payable,- -,- -,702000,6629000,29955000,35728000,51563000,137334000,157031000,152815000
51,Deferred Revenue,- -,2393000,15031000,20957000,39091000,48964000,81311000,99994000,108783000,246528000
52,Other Current Liabilities,- -,411660000,353640000,87595000,154964000,180142000,268615000,406120000,561117000,556753000
53,Total Current Liabilities,- -,419466000,369495000,135251000,208775000,278103000,484876000,629844000,800855000,958370000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,879983000,884123000,1682251000,2428511000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,768000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,9059000,9742000,5616000,4373000,15256000,37813000,- -
58,Total Non-Current Liabilities,- -,- -,768000,9059000,9742000,5616000,884356000,899379000,1720064000,2428511000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4918928000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,9997000,7085000
61,Total Liabilities,- -,419466000,370263000,144310000,218517000,283719000,1369232000,1529223000,2520919000,3448787000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,36000,45000,51000,53000,55000,56000,57000,57000,2812425000
64,Retained Earnings,- -,-236736000,-274851000,-342413000,-307668000,-199641000,152949000,723181000,1217856000,- -
65,Other Comprehensive Income/Loss,- -,1011000,521000,-2943000,-10635000,-26994000,9534000,-49615000,-68559000,79526000
66,Other Total Stockholders Equity,- -,21781000,510956000,908586000,938922000,979805000,1030048000,1071836000,1133913000,-79526000
67,Total Stockholders Equity,- -,-213908000,236671000,563281000,620672000,753225000,1192587000,1745459000,2283267000,2812425000
68,Total Liabilities And Stockholders Equity,- -,205558000,606934000,707591000,839189000,1036944000,2561819000,3274682000,4804186000,6261212000
69,Minority Interest,- -,- -,- -,-4077000,- -,- -,- -,- -,- -,73905000
70,Total Liabilities & Equity,- -,205558000,606934000,703514000,839189000,1036944000,2561819000,3274682000,4804186000,6335117000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1595761/000110465915030982/a15-2240_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465916115335/a15-25021_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465917026615/a16-23329_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465918026820/a17-27940_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465919024226/a18-41107_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465920052748/wb-20191231x20f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-117650000,-102486000,-38115000,-65325000,34745000,108027000,352590000,571823000,494675000,313364000
74,Depreciation and Amortization,7323000,16386000,21529000,23060000,20950000,13982000,15328000,19847000,25772000,- -
75,Deferred Income Tax,- -,-1551000,271000,866000,-977000,-4630000,-1503000,4438000,16839000,- -
76,Stock Based Compensation,1002000,1837000,4105000,13779000,26399000,36902000,48037000,41011000,61289000,- -
77,Change in Working Capital,9361000,-20065000,23440000,-45920000,94191000,36385000,116871000,-155596000,-68132000,115993000
78,Accounts Receivable,- -,-26825000,-23722000,-11998000,4988000,-33109000,-41395000,-109654000,-115086000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,8915000,84444000,64277000,5161000,15167000
81,Other Working Capital,173000,2217000,12638000,473618000,289629000,319134000,1563496000,1839254000,2835323000,- -
82,Other Non-Cash Items,423000,2237000,-20599000,54128000,6663000,45578000,7828000,6484000,101210000,-429357000
83,Cash Provided by Operating Activities,-99541000,-103642000,-9369000,-19412000,181971000,236244000,539151000,488007000,631653000,- -
84,CAPEX,-42565000,-18962000,-12044000,-14743000,-10858000,-13253000,107000,136000,-120000,- -
85,Acquisitions Net,- -,- -,- -,-9648000,-22025000,- -,-2298000,-40000000,- -,-214302000
86,Purchases of Investments,- -,-117564000,-258885000,-230161000,-149374000,-314363000,-1439558000,-1792481000,-1230596000,- -
87,Sales/Maturities of Investments,- -,- -,117564000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,275597000,-46053000,230871000,646888000,1606799000,50984000,- -
89,Cash Used for Investing Activites,-42565000,-136526000,-153365000,21045000,-228310000,-96745000,-815422000,-254032000,-1201358000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-80666000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-4335000,-45876000,-5365000,7822000,4183000,2285000,781000,275000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,136291000,233703000,452629000,48060000,-2863000,-1148000,881293000,-2196000,872260000,- -
95,Cash Used/Provided by Financing Activities,136291000,229368000,406753000,42695000,4959000,3035000,883578000,-1415000,791869000,- -
96,Effect of Forex Changes on Cash,908000,18000,-489000,-2035000,-6045000,-15208000,28880000,1083000,-3775000,- -
97,Net Change In Cash,-4907000,-10782000,243530000,35766000,-47425000,127326000,636187000,233643000,218389000,- -
98,Cash at the End of Period,13688000,2906000,246436000,282166000,7490000,313673000,1000953000,1234596000,1452985000,- -
99,Cash at the Beginning of Period,18595000,13688000,2906000,246400000,54915000,186347000,364766000,1000953000,1234596000,- -
100,Free Cash Flow,-142106000,-122604000,-21413000,-34155000,171113000,222991000,518697000,459657000,609907000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1595761/000110465915030982/a15-2240_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465916115335/a15-25021_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465917026615/a16-23329_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465918026820/a17-27940_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465919024226/a18-41107_120f.htm,https://www.sec.gov/Archives/edgar/data/1595761/000110465920052748/wb-20191231x20f.htm,- -
102,false,,,,,,,,,,
