,https://roic.ai/company/CC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,62000000,58000000,67000000,60000000,65000000,94000000,113000000,87000000,88000000,64000000
51,Deferred Revenue,- -,13000000,32000000,38000000,20000000,76000000,8000000,6000000,7000000,7000000,3000000
52,Other Current Liabilities,- -,333000000,413000000,365000000,462000000,822000000,617000000,579000000,433000000,537000000,630000000
53,Total Current Liabilities,- -,1233000000,1471000000,1407000000,1466000000,1771000000,1648000000,1709000000,1541000000,1442000000,1858000000
54,Long-Term Debt,- -,- -,- -,- -,3915000000,3529000000,4097000000,3959000000,4026000000,4005000000,3903000000
55,Deferred Revenue,- -,13000000,11000000,13000000,11000000,5000000,6000000,7000000,8000000,5000000,2000000
56,Deferred Tax Liabilities,- -,391000000,415000000,434000000,234000000,132000000,208000000,217000000,118000000,36000000,49000000
57,Other Non-Current Liabilities,- -,451000000,445000000,451000000,542000000,519000000,469000000,450000000,870000000,779000000,656000000
58,Total Non-Current Liabilities,- -,855000000,871000000,898000000,4702000000,4185000000,4780000000,4633000000,5022000000,4825000000,4610000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,311000000,251000000,238000000
61,Total Liabilities,- -,2088000000,2342000000,2305000000,6168000000,5956000000,6428000000,6342000000,6563000000,6267000000,6468000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,- -,-115000000,-114000000,579000000,1466000000,1249000000,1303000000,1746000000
65,Other Comprehensive Income/Loss,- -,19000000,19000000,19000000,-536000000,-577000000,-442000000,-564000000,-349000000,-310000000,-364000000
66,Other Total Stockholders Equity,- -,8925000000,3260000000,3654000000,775000000,789000000,721000000,110000000,-213000000,-182000000,- -
67,Total Stockholders Equity,- -,3227000000,3276000000,3669000000,126000000,100000000,860000000,1014000000,689000000,813000000,1081000000
68,Total Liabilities And Stockholders Equity,- -,5315000000,5618000000,5974000000,6294000000,6056000000,7288000000,7356000000,7252000000,7080000000,7549000000
69,Minority Interest,- -,2000000,3000000,4000000,4000000,4000000,5000000,6000000,6000000,2000000,1000000
70,Total Liabilities & Equity,- -,5317000000,5621000000,5978000000,6298000000,6060000000,7293000000,7362000000,7258000000,7082000000,7550000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627223/000162722316000066/0001627223-16-000066-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459017001763/0001564590-17-001763-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459018002325/0001564590-18-002325-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459019003090/0001564590-19-003090-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459020004829/0001564590-20-004829-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459021005805/0001564590-21-005805-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000156459022004791/0001564590-22-004791-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,1431000000,1057000000,423000000,400000000,-90000000,7000000,746000000,995000000,-52000000,219000000,608000000
74,Depreciation and Amortization,272000000,266000000,261000000,257000000,267000000,284000000,273000000,284000000,311000000,320000000,317000000
75,Deferred Income Tax,49000000,15000000,-14000000,-22000000,-198000000,-111000000,83000000,23000000,-165000000,-120000000,-77000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,19000000,16000000,34000000
77,Change in Working Capital,-242000000,600000000,-91000000,46000000,280000000,-53000000,1063000000,-261000000,-348000000,-45000000,27000000
78,Accounts Receivable,6000000,137000000,-37000000,4000000,-64000000,5000000,-88000000,47000000,- -,175000,- -
79,Inventory,-245000000,-94000000,-75000000,-29000000,19000000,147000000,-208000000,-297000000,116000000,126000000,-202000000
80,Accounts Payable,-3000000,-45000000,234000000,-85000000,18000000,332000000,-170000000,44000000,-169000000,55000000,454000000
81,Other Working Capital,- -,600000000,509000000,555000000,835000000,782000000,1845000000,1584000000,1236000000,1191000000,- -
82,Other Non-Cash Items,-14000000,-548000000,219000000,-176000000,-77000000,467000000,-1526000000,99000000,885000000,417000000,-89000000
83,Cash Provided by Operating Activities,1496000000,1390000000,798000000,505000000,182000000,594000000,639000000,1140000000,650000000,807000000,820000000
84,CAPEX,-355000000,-432000000,-438000000,-604000000,-519000000,-338000000,-411000000,-498000000,-481000000,-267000000,-277000000
85,Acquisitions Net,- -,- -,- -,-8000000,-32000000,-1000000,- -,-37000000,-10000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-12000000,- -,- -,- -,- -,-12000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,42000000,- -,2000000,2000000,- -,27000000,- -
88,Other Investing Activites,10000000,3000000,14000000,52000000,12000000,708000000,39000000,46000000,8000000,6000000,509000000
89,Cash Used for Investing Activites,-345000000,-429000000,-424000000,-560000000,-497000000,357000000,-370000000,-487000000,-483000000,-234000000,220000000
90,Debt Repayment,- -,-1000000,- -,- -,-10000000,-381000000,-27000000,-708000000,-190000000,-1371000000,-864000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-106000000,-644000000,-322000000,- -,-173000000
93,Dividends Paid,- -,- -,- -,- -,-105000000,-22000000,-22000000,-148000000,-164000000,-164000000,-164000000
94,Other Financing Activites,-1151000000,-960000000,-374000000,55000000,802000000,7000000,508000000,507000000,257000000,1086000000,641000000
95,Cash Used/Provided by Financing Activities,-1151000000,-961000000,-374000000,55000000,687000000,-396000000,353000000,-993000000,-419000000,-449000000,-560000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-6000000,-19000000,32000000,-15000000,-6000000,38000000,-34000000
97,Net Change In Cash,- -,- -,- -,- -,- -,536000000,654000000,-355000000,-258000000,162000000,446000000
98,Cash at the End of Period,- -,- -,- -,- -,366000000,902000000,1556000000,1201000000,943000000,1105000000,1551000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,366000000,902000000,1556000000,1201000000,943000000,1105000000
100,Free Cash Flow,1141000000,958000000,360000000,-99000000,-337000000,256000000,228000000,642000000,169000000,540000000,543000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627223/000162722316000066/0001627223-16-000066-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459017001763/0001564590-17-001763-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459018002325/0001564590-18-002325-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459019003090/0001564590-19-003090-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459020004829/0001564590-20-004829-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459021005805/0001564590-21-005805-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000156459022004791/0001564590-22-004791-index.htm
102,false,,,,,,,,,,,
