,https://roic.ai/company/IBRX,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,863000,835000,7292000,5086000,2826000,565000,- -,318000,1420
41,Intangible Assets,863000,835000,7292000,5086000,2826000,565000,- -,318000,1420
42,Investments,- -,- -,- -,- -,- -,- -,9253000,7849000,822
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,249000,409000,55870000,87997000,38430000,15728000,5883000,803000,13154
45,Total Non-Current Assets,1125000,1455000,69309000,112351000,117982000,93178000,87366000,76360000,134563
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2103000,60828000,366849000,317496000,250440000,181950000,143123000,151858000,468910
48,Accounts Payable,1501000,1131000,2085000,4045000,5865000,2793000,1749000,4101000,11418
49,Short-Term Debt,1760000,265000,- -,- -,- -,- -,- -,265000,305258
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,573000,521000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1164000,488000,4063000,8508000,15003000,24467000,9810000,20285000,52319
53,Total Current Liabilities,4998000,2405000,6148000,12553000,20868000,27260000,11559000,24651000,368995
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,44958000,37068
55,Deferred Revenue,- -,- -,228000,187000,166000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1165000,996000,498000,- -,- -,- -,162
57,Other Non-Current Liabilities,- -,- -,3313000,10342000,10064000,8684000,10885000,-35144000,306598
58,Total Non-Current Liabilities,- -,- -,4706000,11525000,10728000,8684000,10885000,9814000,343828
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4998000,2405000,10854000,24078000,31596000,35944000,22444000,34465000,712823
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,3000,8000,8000,8000,8000,10000,11000,40
64,Retained Earnings,-6528000,-12741000,-250376000,-387063000,-498713000,-594981000,-662191000,-754574000,-1961921
65,Other Comprehensive Income/Loss,-9000,-46000,-167000,-1178000,-4303000,-11561000,-18607000,-122000,4
66,Other Total Stockholders Equity,3640000,71207000,606530000,681651000,721852000,752540000,801467000,872078000,1719704
67,Total Stockholders Equity,-2895000,58423000,355995000,293418000,218844000,146006000,120679000,117393000,-242173
68,Total Liabilities And Stockholders Equity,2103000,60828000,366849000,317496000,250440000,181950000,143123000,151858000,470650
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-1740
70,Total Liabilities & Equity,2103000,60828000,366849000,317496000,250440000,181950000,143123000,151858000,468910
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1326110/000156459016015596/0001564590-16-015596-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459017004430/0001564590-17-004430-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459018005290/0001564590-18-005290-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459019007562/0001564590-19-007562-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459020012816/0001564590-20-012816-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459021010945/0001564590-21-010945-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000132611022000011/0001326110-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-2047000,-6213000,-236876000,-120809000,-96423000,-96226000,-65789000,-92383000,-349848000
74,Depreciation and Amortization,4000,128000,1472000,3607000,5566000,9555000,9012000,9147000,14238000
75,Deferred Income Tax,- -,- -,-302000,-575000,-497000,-498000,- -,- -,-8000
76,Stock Based Compensation,884000,789000,211221000,73852000,36997000,23382000,2627000,2139000,57181000
77,Change in Working Capital,856000,60988000,234424000,-98800000,-81002000,-50078000,-17314000,6649000,-50881648
78,Accounts Receivable,-173000,95000,75000,-1458000,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,700000,-347000,627000,888000,150000,-1100000,41000,2142000,-3717000
81,Other Working Capital,-4020000,56968000,291392000,192592000,111590000,61512000,44198000,50847000,-34648
82,Other Non-Cash Items,-365000,-61046000,-235244000,104132000,86579000,50484000,10102000,3995000,54899648
83,Cash Provided by Operating Activities,-668000,-5354000,-25305000,-38593000,-48780000,-63381000,-61362000,-70453000,-274419000
84,CAPEX,-3000,-299000,-2241000,-6560000,-34815000,-13102000,-4182000,-2639000,-33563000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-198068000,-272999000,-119855000,-95493000,-86621000,-91572000,-141750000
87,Sales/Maturities of Investments,- -,- -,26903000,165887000,254222000,165284000,112259000,73622000,-85584000
88,Other Investing Activites,- -,-64000,-1818000,- -,- -,412000,- -,- -,176011000
89,Cash Used for Investing Activites,-3000,-299000,-175224000,-113672000,99552000,57101000,21456000,-20589000,-84886000
90,Debt Repayment,-1000,-53000,-132000,-32000,-19932000,-477000,- -,- -,- -
91,Common Stock Issued,676000,- -,316452000,- -,- -,- -,- -,86302000,- -
92,Common Stock Repurchased,- -,- -,-4798000,-15847000,-15227000,-228000,-501000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,230000,64460000,5811000,319000,176000,-66000,39094000,673000,- -
95,Cash Used/Provided by Financing Activities,905000,64407000,317333000,-15560000,-34983000,-771000,38593000,86975000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,234000,58754000,116804000,-167825000,15789000,-7051000,-1313000,-4067000,- -
98,Cash at the End of Period,350000,59104000,175908000,8083000,23872000,17000000,15687000,11620000,- -
99,Cash at the Beginning of Period,116000,350000,59104000,175908000,8083000,24051000,17000000,15687000,- -
100,Free Cash Flow,-671000,-5653000,-27546000,-45153000,-83595000,-76483000,-65544000,-73092000,-307982000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1326110/000156459016015596/0001564590-16-015596-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459017004430/0001564590-17-004430-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459018005290/0001564590-18-005290-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459019007562/0001564590-19-007562-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459020012816/0001564590-20-012816-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459021010945/0001564590-21-010945-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000132611022000011/0001326110-22-000011-index.htm
102,false,,,,,,,,,
