,https://roic.ai/company/JBT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10300000,9500000,43600000,14400000,13700000,9000000,99000000,29400000,33300000,37200000,33200000,34000000,43000000,39500000,47500000,78800000
34,Net Receivables,151000000,179200000,159000000,149300000,192700000,189400000,188400000,186400000,176200000,212500000,260500000,316400000,323700000,363300000,304400000,333500000
35,Inventory,110200000,147200000,123000000,107000000,106700000,122300000,109200000,117600000,111800000,104900000,139600000,190200000,206100000,245000000,197300000,229100000
36,Other Current Assets,41900000,33900000,31400000,32700000,43300000,38400000,54500000,63200000,66600000,41600000,51700000,48000000,45700000,60400000,66900000,77300000
37,Total Current Assets,313400000,369800000,357000000,303400000,356400000,359100000,451100000,396600000,387900000,396200000,485000000,588600000,618500000,708200000,616100000,718700000
38,PP&E,119800000,126800000,119700000,126500000,128700000,124700000,126200000,132700000,147600000,181100000,210200000,233000000,239700000,265600000,268000000,267600000
39,Goodwill,23400000,23800000,26700000,28200000,28400000,28200000,30600000,30800000,69200000,152500000,239500000,301800000,321400000,528900000,543900000,684800000
40,Intangible Assets,23300000,21200000,18600000,20800000,19900000,18200000,23800000,21400000,60000000,86800000,186000000,216800000,213900000,325900000,299100000,342600000
41,Intangible Assets,46700000,45000000,45300000,49000000,48300000,46400000,54400000,52200000,129200000,239300000,425500000,518600000,535300000,854800000,843000000,1027400000
42,Investments,6200000,7200000,7900000,10900000,9900000,10500000,11500000,12200000,11000000,9200000,- -,- -,- -,- -,- -,- -
43,Tax Assets,21700000,15900000,51000000,30400000,- -,41900000,21600000,9900000,12500000,32000000,35000000,13100000,15000000,- -,- -,- -
44,Other Non-Current Assets,8800000,9200000,10400000,12900000,38900000,9600000,13200000,17600000,9600000,18300000,31700000,38100000,34000000,86300000,78800000,127700000
45,Total Non-Current Assets,203200000,204100000,234300000,229700000,225800000,233100000,226900000,224600000,309900000,479900000,702400000,802800000,824000000,1206700000,1189800000,1422700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,516600000,573900000,591300000,533100000,582200000,592200000,678000000,621200000,697800000,876100000,1187400000,1391400000,1442500000,1914900000,1805900000,2141400000
48,Accounts Payable,83500000,101300000,67200000,65900000,86300000,82500000,88700000,88100000,89500000,110700000,135700000,157100000,191200000,198600000,140700000,186000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,2000000,6300000,4200000,2200000,7100000,10500000,500000,900000,2400000,- -
50,Tax Payable,- -,- -,6100000,4300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,74300000,88300000,86200000,115800000,110500000,127600000,145800000,107000000,137500000,190200000
52,Other Current Liabilities,195700000,204900000,197200000,167700000,155700000,157200000,85800000,94900000,106500000,124400000,139700000,146200000,147800000,168000000,176900000,173700000
53,Total Current Liabilities,279200000,306200000,264400000,233600000,242000000,239700000,250800000,277600000,286400000,353100000,393000000,441400000,485300000,474500000,457500000,549900000
54,Long-Term Debt,- -,- -,185000000,131800000,145400000,135700000,189100000,94100000,173800000,280600000,491600000,372700000,387100000,698300000,522500000,674400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,6000000,2300000,- -,2900000,2400000,10900000,1300000,1800000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,47400000,53500000,144700000,103600000,101800000,134100000,130100000,84200000,117100000,110900000,122900000,135400000,113200000,172600000,188800000,166600000
58,Total Non-Current Liabilities,47400000,53500000,335700000,237700000,247200000,272700000,321600000,189200000,292200000,393300000,614500000,508100000,500300000,870900000,711300000,841000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,326600000,359700000,600100000,471300000,489200000,512400000,572400000,466800000,578600000,746400000,1007500000,949500000,985600000,1345400000,1168800000,1390900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,197600000,218300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
64,Retained Earnings,- -,- -,20200000,44700000,73600000,95800000,123500000,146500000,166400000,211100000,266600000,333700000,416500000,532800000,627800000,733400000
65,Other Comprehensive Income/Loss,-7600000,-4100000,-70400000,-36000000,-39300000,-76700000,-81000000,-60100000,-117100000,-147200000,-157000000,-140300000,-186500000,-192800000,-219900000,-197400000
66,Other Total Stockholders Equity,- -,- -,41100000,52800000,58400000,60400000,62800000,67700000,69600000,65500000,70000000,248200000,226600000,229200000,228900000,214200000
67,Total Stockholders Equity,190000000,214200000,-8800000,61800000,93000000,79800000,105600000,154400000,119200000,129700000,179900000,441900000,456900000,569500000,637100000,750500000
68,Total Liabilities And Stockholders Equity,516600000,573900000,591300000,533100000,582200000,592200000,678000000,621200000,697800000,876100000,1187400000,1391400000,1442500000,1914900000,1805900000,2141400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,516600000,573900000,591300000,533100000,582200000,592200000,678000000,621200000,697800000,876100000,1187400000,1391400000,1442500000,1914900000,1805900000,2141400000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1433660/000119312509050967/0001193125-09-050967-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000119312510047030/0001193125-10-047030-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143774911001273/jbt_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1433660/000143774912002106/0001437749-12-002106-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143774913002494/0001437749-13-002494-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143774914003618/jbtc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1433660/000143774915003838/jbtc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1433660/000162828016012004/0001628280-16-012004-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366017000007/0001433660-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366018000004/0001433660-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366019000006/0001433660-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366020000008/0001433660-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366021000010/0001433660-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1433660/000143366022000006/0001433660-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,34600000,36400000,44200000,32800000,37300000,30500000,36200000,33100000,30800000,55900000,67600000,80500000,104100000,129000000,108800000,118400000
74,Depreciation and Amortization,23200000,25100000,25500000,22600000,22900000,24100000,23600000,25000000,25300000,29600000,38500000,51700000,57700000,65600000,71800000,76800000
75,Deferred Income Tax,- -,- -,- -,- -,8800000,3400000,6700000,5700000,4900000,5800000,-100000,18300000,4800000,19800000,9800000,-2700000
76,Stock Based Compensation,7800000,8600000,8400000,7900000,7300000,5200000,7500000,6900000,7300000,7200000,9900000,9000000,9700000,9400000,1900000,6500000
77,Change in Working Capital,28600000,29400000,29000000,-22800000,44600000,5000000,80900000,-81300000,-17500000,-58400000,48900000,55200000,-14000000,100500000,-75100000,22100000
78,Accounts Receivable,20500000,-3700000,4200000,13700000,-54600000,200000,2300000,800000,9800000,-11300000,-29000000,-35800000,-7200000,-18800000,62500000,-29200000
79,Inventory,-11500000,-32000000,17000000,22800000,3300000,-19800000,14600000,-9600000,7700000,15600000,-2900000,-23700000,-7500000,-5700000,44000000,-37900000
80,Accounts Payable,- -,- -,-32000000,-3400000,19100000,-2000000,5200000,-1900000,2100000,10400000,16100000,8500000,35800000,-3700000,-61000000,39600000
81,Other Working Capital,34200000,63600000,92600000,69800000,114400000,119400000,200300000,119000000,101500000,43100000,92000000,147200000,133200000,233700000,158600000,49600000
82,Other Non-Cash Items,1800000,-65800000,-25300000,13600000,-103400000,-31800000,-68900000,72600000,26900000,71800000,-97400000,-110100000,-8400000,-214100000,134800000,4600000
83,Cash Provided by Operating Activities,96000000,33700000,81800000,54100000,17500000,36400000,86000000,62000000,77700000,111900000,67400000,104600000,153900000,110200000,252000000,225700000
84,CAPEX,-22700000,-23000000,-22900000,-19800000,-24300000,-20800000,-24700000,-29200000,-36700000,-37700000,-37100000,-37900000,-39800000,-37900000,-34300000,-54100000
85,Acquisitions Net,- -,- -,-4500000,-6700000,-400000,- -,-10000000,- -,-91300000,-150900000,-232000000,-104200000,-57500000,-365900000,-4500000,-224500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-20000000,-12100000,-20100000,-18100000,-23300000,-21400000,-22600000,-28100000,-35300000,-34200000,-34800000,-35700000,-36900000,-35800000,-32800000,-48400000
89,Cash Used for Investing Activites,-20000000,-12100000,-24600000,-24800000,-23700000,-21400000,-32600000,-28100000,-126600000,-185100000,-266800000,-139900000,-94400000,-401700000,-37300000,-272900000
90,Debt Repayment,- -,- -,- -,-53300000,- -,-8100000,-1500000,-97300000,-5600000,-261600000,-13000000,-122700000,-2900000,- -,- -,-2500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184100000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-700000,- -,- -,-300000,-3600000,-200000,-2800000,-7700000,-4300000,-5000000,-20000000,- -,- -,- -
93,Dividends Paid,- -,- -,-205800000,-7700000,-8100000,-8400000,-8500000,-10100000,-10700000,-11200000,-11800000,-12700000,-13100000,-12700000,-12800000,-12800000
94,Other Financing Activites,-68900000,-23200000,184400000,800000,13000000,-1700000,49700000,6000000,81000000,364400000,224000000,-9000000,-12300000,300200000,-194600000,96100000
95,Cash Used/Provided by Financing Activities,-68900000,-23200000,-22100000,-60200000,4900000,-18500000,36100000,-101600000,61900000,83900000,194900000,34700000,-48300000,287500000,-207400000,80800000
96,Effect of Forex Changes on Cash,500000,800000,-1000000,1700000,600000,-1200000,500000,-1900000,-9100000,-6800000,500000,1400000,-2200000,500000,700000,-2300000
97,Net Change In Cash,7600000,-800000,34100000,-29200000,-700000,-4700000,90000000,-69600000,3900000,3900000,-4000000,800000,9000000,-3500000,8000000,31300000
98,Cash at the End of Period,10300000,9500000,43600000,14400000,13700000,9000000,99000000,29400000,33300000,37200000,33200000,34000000,43000000,39500000,47500000,78800000
99,Cash at the Beginning of Period,2700000,10300000,9500000,43600000,14400000,13700000,9000000,99000000,29400000,33300000,37200000,33200000,34000000,43000000,39500000,47500000
100,Free Cash Flow,73300000,10700000,58900000,34300000,-6800000,15600000,61300000,32800000,41000000,74200000,30300000,66700000,114100000,72300000,217700000,171600000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1433660/000119312509050967/0001193125-09-050967-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000119312510047030/0001193125-10-047030-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143774911001273/jbt_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1433660/000143774912002106/0001437749-12-002106-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143774913002494/0001437749-13-002494-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143774914003618/jbtc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1433660/000143774915003838/jbtc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1433660/000162828016012004/0001628280-16-012004-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366017000007/0001433660-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366018000004/0001433660-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366019000006/0001433660-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366020000008/0001433660-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366021000010/0001433660-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1433660/000143366022000006/0001433660-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,
