,https://roic.ai/company/TUFN,2017,2018,2019,2020,2021
34,Net Receivables,11492000,14716000,16222000,16674000,19156000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,1623000,6001000,4997000,7159000,8765000
37,Total Current Assets,27815000,35965000,139880000,101868000,90537000
38,PP&E,1829000,2563000,25135000,23304000,21464000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,2000000,3000000,22705000,23514000
43,Tax Assets,540000,- -,- -,1346000,2533000
44,Other Non-Current Assets,4942000,6605000,8717000,11128000,13345000
45,Total Non-Current Assets,7311000,11168000,36852000,58483000,60856000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,35126000,47133000,176732000,160351000,151393000
48,Accounts Payable,663000,3096000,4394000,4147000,5191000
49,Short-Term Debt,667000,222000,2533000,3185000,3437000
50,Tax Payable,369000,468000,- -,- -,- -
51,Deferred Revenue,16690000,- -,- -,24940000,28386000
52,Other Current Liabilities,11238000,33038000,39715000,18563000,21800000
53,Total Current Liabilities,29258000,36356000,46642000,50835000,58814000
54,Long-Term Debt,222000,- -,- -,- -,17837000
55,Deferred Revenue,7267000,- -,- -,12815000,18740000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,27407000,14024000,35768000,21522000,1681000
58,Total Non-Current Liabilities,34896000,14024000,35768000,34337000,38258000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,24533000,23425000,21274000
61,Total Liabilities,64154000,50380000,82410000,85172000,97072000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,29000,30000,145000,148000,157000
64,Retained Earnings,-36051000,-40313000,-68432000,-103838000,-140764000
65,Other Comprehensive Income/Loss,-2984000,-3940000,-4588000,5000,-113000
66,Other Total Stockholders Equity,9978000,40976000,167197000,178864000,195041000
67,Total Stockholders Equity,-29028000,-3247000,94322000,75179000,54321000
68,Total Liabilities And Stockholders Equity,35126000,47133000,176732000,160351000,151393000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,35126000,47133000,176732000,160351000,151393000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1757399/000117891320000854/0001178913-20-000854-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-2792000,-4262000,-28119000,-35406000,-36926000
74,Depreciation and Amortization,368000,956000,1205000,1523000,1904000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,2110000,- -,10927000,15025000,13896000
77,Change in Working Capital,-112000,4405000,7019000,2470000,6397000
78,Accounts Receivable,-7354000,-3258000,-1537000,-452000,-2482000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-253000,2456000,1027000,-247000,1044000
81,Other Working Capital,4122000,6006000,4333000,2950000,6180000
82,Other Non-Cash Items,-2000,3528000,-653000,-1051000,487000
83,Cash Provided by Operating Activities,-428000,4627000,-9621000,-17439000,-14242000
84,CAPEX,-889000,-1690000,-2548000,-2070000,-1678000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-44381000,-29227000
87,Sales/Maturities of Investments,- -,- -,- -,2069000,29414000
88,Other Investing Activites,50000,55000,-173000,- -,- -
89,Cash Used for Investing Activites,-839000,-1635000,-2721000,-44382000,-1491000
90,Debt Repayment,-668000,-667000,-222000,- -,- -
91,Common Stock Issued,- -,- -,115292000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,395000,33000,691000,663000,1885000
95,Cash Used/Provided by Financing Activities,-273000,-634000,115761000,663000,1885000
96,Effect of Forex Changes on Cash,-4000,-380000,712000,1146000,-179000
97,Net Change In Cash,-1544000,1978000,104131000,-60012000,-14027000
98,Cash at the End of Period,15620000,17598000,121729000,61717000,47690000
99,Cash at the Beginning of Period,17164000,15620000,17598000,121729000,61717000
100,Free Cash Flow,-1317000,2937000,-12169000,-19509000,-15920000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1757399/000117891320000854/0001178913-20-000854-index.html,- -,- -
102,false,,,,,
