,https://roic.ai/company/ESI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0014,0.0629,- -,-0.0355,-0.1214,-0.0206,-0.0784,-0.1654,0.0502,0.0408,0.0847
25,EPS,-0.45,0.02,- -,-1.94,-1.52,-0.17,-1.04,-1.13,0.36,0.30,0.82
26,EPS Diluted,-0.45,0.02,- -,-1.94,-1.52,-0.65,-1.04,-1.13,0.35,0.30,0.82
27,Weighted Average Shares Outstanding,88529000,88529000,88529000,135305000,203200000,243000000,286100000,288200000,257600000,248800000,247600000
28,Weighted Average Shares Outstanding Diluted,88529000,88529000,88529000,135305000,203200000,272000000,286100000,288200000,260100000,249900000,248000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590714/000117184315001732/f10k_032715.htm,https://www.sec.gov/Archives/edgar/data/1590714/000159071416000097/0001590714-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071417000047/0001590714-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071418000033/0001590714-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071419000040/0001590714-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071420000023/0001590714-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071421000021/0001590714-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1590714/000159071422000029/0001590714-22-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,143351000,123040000,397300000,432200000,422600000,477800000,233600000,190100000,291900000,330100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,143351000,123040000,397300000,432200000,422600000,477800000,233600000,190100000,291900000,330100000
34,Net Receivables,- -,138970000,140525000,327300000,1148000000,1054800000,1156000000,382400000,363900000,403400000,492200000
35,Inventory,- -,76093000,89618000,205800000,517500000,416400000,490500000,188100000,199600000,203100000,274400000
36,Other Current Assets,- -,16115000,30056000,648000000,172800000,177400000,216300000,1678100000,79800000,91500000,117800000
37,Total Current Assets,- -,374529000,383239000,1578400000,2270500000,2071200000,2340600000,2482200000,833400000,989900000,1214500000
38,PP&E,- -,100391000,139670000,175000000,491600000,460500000,452300000,266900000,264800000,240400000,278100000
39,Goodwill,- -,476232000,1002886000,1405300000,4021900000,4178900000,4201200000,2182600000,2179600000,2252700000,2526300000
40,Intangible Assets,- -,251772000,683004000,1341500000,3314300000,3233300000,3137300000,1024800000,944000000,855900000,956700000
41,Intangible Assets,- -,728004000,1685890000,2746800000,7336200000,7412200000,7338500000,3207400000,3123600000,3108600000,3483000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81500000
44,Other Non-Current Assets,- -,30993000,33089000,57400000,91900000,110200000,121000000,3445000000,102200000,144500000,81300000
45,Total Non-Current Assets,- -,859388000,1858649000,2979200000,7919700000,7982900000,7911800000,6919300000,3490600000,3493500000,3923900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1233917000,2241888000,4557600000,10190200000,10054100000,10252400000,9401500000,4324000000,4483400000,5138400000
48,Accounts Payable,- -,53416000,56156000,106700000,450300000,383600000,461800000,100900000,96800000,95600000,138400000
49,Short-Term Debt,- -,26819000,7958000,15100000,54700000,116100000,38900000,25300000,23900000,23800000,31400000
50,Tax Payable,- -,4443000,6610000,16700000,65100000,82500000,73100000,29600000,25800000,33300000,50000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,47911000,55306000,120800000,557400000,583000000,591100000,1016300000,173100000,194900000,245400000
53,Total Current Liabilities,- -,128146000,119420000,242600000,1062400000,1082700000,1091800000,1142500000,293800000,314300000,415200000
54,Long-Term Debt,- -,693821000,744291000,1400800000,5173600000,5122900000,5440600000,5350700000,1513200000,1508100000,1894200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,49411000,138273000,202300000,678800000,663200000,579600000,133000000,119600000,112900000,140000000
57,Other Non-Current Liabilities,- -,90102000,90316000,159300000,356200000,295500000,280300000,594200000,178500000,230000000,188200000
58,Total Non-Current Liabilities,- -,833334000,972880000,1762400000,6208600000,6081600000,6300500000,6077900000,1811300000,1851000000,2222400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,16100000,16400000,18700000
61,Total Liabilities,- -,961480000,1092300000,2005000000,7271000000,7164300000,7392300000,7220400000,2105100000,2165300000,2637600000
62,Preferred Stock,- -,525027000,20972000,- -,645900000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,50000000,- -,1900000,2300000,2800000,2900000,2900000,2600000,2600000,2600000
64,Retained Earnings,- -,-273086000,-194222000,-224100000,-532700000,-573500000,-869700000,-1195400000,-1536500000,-1473200000,-1331900000
65,Other Comprehensive Income/Loss,- -,-30270000,14779000,-130600000,-886100000,-674500000,-422000000,-756900000,-280500000,-194800000,-197400000
66,Other Total Stockholders Equity,- -,1054000,1347710000,2812400000,3520400000,3981300000,4032000000,4058600000,4035300000,3985200000,- -
67,Total Stockholders Equity,- -,272725000,1053567000,2459600000,2749800000,2736100000,2743200000,2109200000,2220900000,2319800000,2480700000
68,Total Liabilities And Stockholders Equity,- -,1234205000,2145867000,4464600000,10020800000,9900400000,10135500000,9329600000,4326000000,4485100000,5118300000
69,Minority Interest,- -,-288000,96021000,93000000,169400000,153700000,116900000,71900000,-2000000,-1700000,20100000
70,Total Liabilities & Equity,- -,1233917000,2241888000,4557600000,10190200000,10054100000,10252400000,9401500000,4324000000,4483400000,5138400000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1590714/000117184315001732/f10k_032715.htm,https://www.sec.gov/Archives/edgar/data/1590714/000159071416000097/0001590714-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071417000047/0001590714-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071418000033/0001590714-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071419000040/0001590714-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071420000023/0001590714-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071421000021/0001590714-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1590714/000159071422000029/0001590714-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,987000,46000000,- -,-29900000,-308600000,-73700000,-296200000,-324400000,92200000,75700000,203300000
74,Depreciation and Amortization,46745000,42200000,- -,88000000,251000000,342300000,354200000,156700000,154700000,161400000,163900000
75,Deferred Income Tax,-16010000,-8400000,- -,-43200000,-45500000,-57400000,-126600000,-54700000,-3100000,-53000000,-46700000
76,Stock Based Compensation,727000,200000,- -,1300000,800000,- -,- -,- -,- -,6000000,40100000
77,Change in Working Capital,-28630000,17436000,- -,1071981000,-127700000,-219600000,260300000,90900000,-800100000,136000000,-45800000
78,Accounts Receivable,-401000,-4900000,- -,4900000,66700000,-18900000,-53100000,900000,21800000,-27300000,-48700000
79,Inventory,1481000,800000,- -,11400000,-7300000,70400000,-30300000,-18800000,-3800000,1400000,-46500000
80,Accounts Payable,-3498000,3300000,- -,10900000,83200000,-67300000,49800000,-5500000,-7000000,-5300000,16800000
81,Other Working Capital,246383000,263819000,- -,1335800000,1208100000,988500000,1248800000,1339700000,539600000,675600000,15100000
82,Other Non-Cash Items,45927000,-22236000,- -,-989981000,550900000,193200000,-9600000,122800000,565500000,-64800000,11200000
83,Cash Provided by Operating Activities,49746000,75200000,- -,98200000,320900000,184800000,182100000,-8700000,9200000,261300000,326000000
84,CAPEX,-8741000,-13400000,- -,-18500000,-47900000,-56300000,-59400000,-28400000,-29700000,-28800000,-46300000
85,Acquisitions Net,- -,-5100000,- -,-1361800000,-4673400000,1300000,-500000,-3200000,-63900000,-9000000,-536500000
86,Purchases of Investments,- -,- -,- -,- -,-34400000,-36400000,-40500000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,25000000,- -,- -,- -
88,Other Investing Activites,-3454000,-13200000,- -,-620900000,451300000,-39600000,-51600000,-45600000,4263600000,-30900000,-32400000
89,Cash Used for Investing Activites,-3454000,-18300000,- -,-1982700000,-4256500000,-74700000,-92600000,-23800000,4199700000,-39900000,-568900000
90,Debt Repayment,-36983000,-26100000,- -,-9100000,-296100000,-3340100000,-4122100000,-22500000,-5351400000,-807900000,-10000000
91,Common Stock Issued,- -,- -,- -,1512600000,469500000,391500000,1400000,1400000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-460000000,- -,- -,-507100000,-55700000,-19600000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12400000,-61900000
94,Other Financing Activites,-815000,-1100000,- -,665400000,3827800000,3306400000,4053300000,63500000,1424400000,752400000,381500000
95,Cash Used/Provided by Financing Activities,-37798000,-27200000,- -,2168900000,4001200000,-102200000,-67400000,42400000,-4434100000,-123600000,290000000
96,Effect of Forex Changes on Cash,-1782000,200000,- -,-10100000,-30700000,-17500000,33100000,-27000000,4800000,4000000,-5400000
97,Net Change In Cash,6712000,29900000,- -,274300000,34900000,-9600000,55200000,-68300000,-225400000,101800000,38200000
98,Cash at the End of Period,113452000,143400000,- -,397300000,432200000,422600000,477800000,415500000,190100000,291900000,330100000
99,Cash at the Beginning of Period,106740000,113500000,- -,123000000,397300000,432200000,422600000,483800000,415500000,190100000,291900000
100,Free Cash Flow,41005000,61800000,- -,79700000,273000000,128500000,122700000,-37100000,-20500000,232500000,279700000
101,SEC Link,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1590714/000117184315001732/f10k_032715.htm,https://www.sec.gov/Archives/edgar/data/1590714/000159071416000097/0001590714-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071417000047/0001590714-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071418000033/0001590714-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071419000040/0001590714-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071420000023/0001590714-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1590714/000159071421000021/0001590714-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1590714/000159071422000029/0001590714-22-000029-index.htm
102,false,,,,,,,,,,,
