,https://roic.ai/company/XELA,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,- -,-371927,56963,-204285000,-162517000,-509116000,-178530000,-142390000
24,Net Income ratio,- -,-Infinity,Infinity,-0.1773,-0.1025,-0.3259,-0.1381,-0.1221
25,EPS,- -,-0.12,0.03,-6.24,-3.27,-10.56,-10.98,-1.22
26,EPS Diluted,- -,-0.12,0.03,-6.24,-3.27,-10.56,-10.98,-1.22
27,Weighted Average Shares Outstanding,3420468,3420468,3471475,35689384,50781223,48572930,49242175,265194961
28,Weighted Average Shares Outstanding Diluted,3420468,3420468,3471475,35689384,50781223,48572930,49242175,265194961
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1620179/000121390015002648/0001213900-15-002648-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000121390016011905/0001213900-16-011905-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000121390017001994/0001213900-17-001994-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000104746918001782/0001047469-18-001782-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837019002304/0001558370-19-002304-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837020007360/0001558370-20-007360-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837021003326/0001558370-21-003326-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837022003779/0001558370-22-003779-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,1273,881923,120382,39000000,25615000,6198000,68221,20775000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1273,881923,120382,39000000,25615000,6198000,68221,20775000
34,Net Receivables,- -,- -,- -,229704000,270812000,262116000,206868,184817000
35,Inventory,- -,- -,- -,11922000,16220000,19047000,14314,15215000
36,Other Current Assets,27017,74715,- -,67085000,43254000,31564000,33890,59084000
37,Total Current Assets,28290,956638,120382,347711000,355901000,318925000,323293,279891000
38,PP&E,- -,- -,- -,132908000,132984000,207264000,87851,127386000
39,Goodwill,- -,- -,- -,747325000,708258000,359771000,359781,358323000
40,Intangible Assets,- -,- -,- -,464984000,407021000,342443000,292664,244539000
41,Intangible Assets,- -,- -,- -,1212309000,1115279000,702214000,652445,602862000
42,Investments,- -,350155268,351088398,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,9019000,16225000,12032000,6606,2109000
44,Other Non-Current Assets,184087,- -,- -,12891000,19391000,17889000,-6606,24775000
45,Total Non-Current Assets,184087,350155268,351088398,1367127000,1283879000,939399000,740296,757132000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,212377,351111906,351208780,1714838000,1639780000,1258324000,1063589,1037023000
48,Accounts Payable,- -,67420,107331,81263000,99853000,86167000,76027,61744000
49,Short-Term Debt,240715,- -,- -,36176000,46735000,75623000,70532000,167434000
50,Tax Payable,- -,- -,- -,12922000,12602000,9960000,15419000,3551000
51,Deferred Revenue,- -,- -,- -,44365000,50739000,44047000,6606,34324000
52,Other Current Liabilities,- -,- -,- -,211956000,235395000,260144000,-70159894,236391000
53,Total Current Liabilities,240715,67420,107331,373760000,432722000,465981000,454739,499893000
54,Long-Term Debt,240715,- -,- -,1276094000,1306423000,1398385000,39952,1154725000
55,Deferred Revenue,- -,- -,- -,424000,432000,339000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,5362000,11212000,7996000,9569,11594000
57,Other Non-Current Liabilities,- -,12250000,12250000,69204000,69999000,128664000,4055,37583000
58,Total Non-Current Liabilities,240715,12250000,12250000,1351084000,1388066000,1535384000,53576,1203902000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,1683148,- -
60,Capital Lease Obligations,- -,- -,- -,41569000,44236000,132687000,100681000,72932000
61,Total Liabilities,240715,12317420,12357331,1724844000,1820788000,2001365000,2084311,1703795000
62,Preferred Stock,- -,- -,- -,1000,1000,1000,1000,1000
63,Common Stock,1006,333795524,333852493,15000,15000,15000,15,37000
64,Retained Earnings,-53338,-425265,-368302,-514628000,-678563000,-1211508000,- -,-1532428000
65,Other Comprehensive Income/Loss,- -,- -,-16000000,-11248000,-15866000,-15388000,-24483000,-18409000
66,Other Total Stockholders Equity,23994,5424227,21367258,515854000,513407000,483839000,-902050015,884027000
67,Total Stockholders Equity,-28338,338794486,338851449,-10006000,-181006000,-743041000,-926532000,-666772000
68,Total Liabilities And Stockholders Equity,212377,351111906,351208780,1714838000,1639782000,1258324000,-924447689,1037023000
69,Minority Interest,- -,- -,- -,- -,-2000,- -,925511278,- -
70,Total Liabilities & Equity,212377,351111906,351208780,1714838000,1639780000,1258324000,1063589,1037023000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1620179/000121390015002648/0001213900-15-002648-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000121390016011905/0001213900-16-011905-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000121390017001994/0001213900-17-001994-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000104746918001782/0001047469-18-001782-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837019002304/0001558370-19-002304-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837020007360/0001558370-20-007360-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837021003326/0001558370-21-003326-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837022003779/0001558370-22-003779-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-371927,56963,-204285000,-162517000,-509116000,-178530000,-142390000
74,Depreciation and Amortization,- -,- -,- -,98890000,145485000,100903000,93953000,77150000
75,Deferred Income Tax,- -,- -,- -,-66723000,3352000,1093000,7940000,6649000
76,Stock Based Compensation,- -,- -,- -,6743000,7647000,7827000,2846000,3940000
77,Change in Working Capital,- -,19723,-876167,-26062051,-50772000,-70235000,146924554,-43845000
78,Accounts Receivable,- -,- -,- -,-4832000,-19319000,4410000,54538000,17438000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,52953000,5157000,-19588000,12015000,-61068000
81,Other Working Capital,- -,889218,13051,-26049000,-76821000,-147056000,-131446,- -
82,Other Non-Cash Items,- -,-155268,-194337,233806051,87262000,405677000,-102914554,-13038000
83,Cash Provided by Operating Activities,- -,-507472,-1013541,42369000,30457000,-63851000,-29781000,-111534000
84,CAPEX,- -,- -,- -,-33275000,-35062000,-20542000,-11663000,-16528000
85,Acquisitions Net,- -,- -,- -,-419124000,-34810000,-5000000,-13200000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-350000000,252000,-18810000,-11422000,-5822000,46301000,5313000
89,Cash Used for Investing Activites,- -,-350000000,252000,-452374000,-66304000,-25182000,21438000,-9261000
90,Debt Repayment,- -,-325370,- -,-1167552000,-57652000,-215961000,-7000,-575469000
91,Common Stock Issued,- -,351628838,- -,204417000,- -,- -,- -,405297000
92,Common Stock Repurchased,- -,- -,- -,-249000,-7221000,-3480000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,84655,- -,1403599000,62963000,278580000,63369000,268823000
95,Cash Used/Provided by Financing Activities,- -,351388123,- -,440215000,-1910000,59139000,63362000,98651000
96,Effect of Forex Changes on Cash,- -,- -,- -,429000,122000,139000,1191000,-105000
97,Net Change In Cash,- -,880650,-761541,30639000,-37635000,-29755000,56210000,-22249000
98,Cash at the End of Period,- -,881923,120382,39000000,43854000,14099000,70309000,48060000
99,Cash at the Beginning of Period,- -,1273,881923,8361000,81489000,43854000,14099000,70309000
100,Free Cash Flow,- -,-507472,-1013541,9094000,-4605000,-84393000,-41444000,-128062000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1620179/000121390016011905/0001213900-16-011905-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000121390017001994/0001213900-17-001994-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000104746918001782/0001047469-18-001782-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837019002304/0001558370-19-002304-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837020007360/0001558370-20-007360-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837021003326/0001558370-21-003326-index.htm,https://www.sec.gov/Archives/edgar/data/1620179/000155837022003779/0001558370-22-003779-index.htm
102,false,,,,,,,,
