,https://roic.ai/company/APTO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-3120012,-2952080,-2780622,-3962359,-7486978,-7707698,-10637543,-20650900,-15714088,-14059372,-7920832,-6051205,-7306422,5185192,-5041716,-4421241,-5356658,-8765252,-11338988,-13723681,-11674000,-28976000,-26735000,-55162000,622000
16,EBITDA ratio,-43.0000,-43.0000,-41.0000,-5937.0000,-7484.6411,-Infinity,-222.4359,-46.2304,-3143.4690,-585.7894,-79.1898,-140.6497,-43.2826,41.7634,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,67820,- -,- -,- -,- -,- -,-339915,-717019,-874202,5152730,-1153211,10402608,- -,- -,23286,-870904,1061476,29016,165000,239000,580000,530000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5399348,-9725550,-10539818,-13858344,-11661000,-28868000,-26277000,-55238000,-65354000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3482804,-3226692,-3119723,-5738980,-9894970,-8825380,-12119048,-22240814,-17581623,-16265429,-9012085,-6370374,-8128440,5052506,-5157394,-4477525,-5399348,-9725550,-10539818,-13858344,-11661000,-28868000,-26277000,-55238000,-65354000
24,Net Income ratio,-48.0000,-47.0000,-46.0000,-8599.0000,-9891.8823,-Infinity,-253.4149,-49.7897,-3517.0534,-677.7057,-90.0998,-148.0682,-48.1522,40.6947,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-41.79,-32.13,-29.30,-24.03,-25.76,-21.20,-31.48,-47.56,-37.30,-32.70,-16.83,-10.86,-13.21,6.48,-4.67,-2.68,-1.51,-1.88,-0.89,-1.09,-0.52,-0.86,-0.52,-0.67,-0.80
26,EPS Diluted,-41.79,-32.13,-29.30,-24.03,-25.76,-21.20,-31.48,-47.56,-37.30,-32.70,-16.83,-10.86,-13.21,6.48,-4.67,-2.68,-1.51,-1.88,-0.89,-1.09,-0.52,-0.86,-0.52,-0.67,-0.80
27,Weighted Average Shares Outstanding,83332,100426,106480,239221,391038,398549,401633,476737,478082,482001,569047,597447,686334,780330,1096412,1688326,3520902,5215979,11906000,12743000,22313000,33391000,50160000,81837000,81837000
28,Weighted Average Shares Outstanding Diluted,83332,100426,106480,239221,391038,398549,401633,476737,478082,482001,569047,597447,686334,781580,1096412,1688326,3520902,5215979,11906000,12743000,22313000,33391000,50160000,81837000,81837000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882361/000117184319002540/0001171843-19-002540-index.htm,https://www.sec.gov/Archives/edgar/data/882361/000117184320001617/0001171843-20-001617-index.html,https://www.sec.gov/Archives/edgar/data/882361/000117184321002006/0001171843-21-002006-index.htm,https://www.sec.gov/Archives/edgar/data/882361/000117184322002048/0001171843-22-002048-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1306051,892489,881661,33989388,1809995,762465,659553,786463,2212449,2445064,1313304,2667413,4930275,632156,932589,310535,633562,17848454,8289315,7932446,10631000,15299000,79842000,117393000,39114000
32,Short-Term Investments,5659556,2059591,- -,3776821,29940910,23988621,17645548,18832141,14888294,5110135,6792572,6822614,449541,234097,- -,- -,- -,10155012,5941529,- -,798000,440000,17758000,5000000,40014000
33,Cash and Short-Term Investments,6965607,2952080,881661,37766209,31750905,24751086,18305102,19618604,17100744,7555199,8105877,9490027,5379817,866252,932589,310535,633562,28003465,14230844,7932446,11429000,15739000,97600000,122393000,79128000
34,Net Receivables,72558,137306,67820,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,217675,205959,67820,730804,977997,781477,805014,1245150,897777,468012,314072,1328703,757798,602775,397195,284334,354135,456188,768904,493267,396000,747000,1166000,2683000,2609000
37,Total Current Assets,7255841,3295345,1017301,38497013,32728902,25532563,19110116,20863754,17998520,8023211,8419949,10818730,6137615,1469027,1329785,594868,987697,28459653,14999748,8425712,11825000,16486000,98766000,125076000,81737000
38,PP&E,435350,343265,339100,171522,170000,349213,1097928,1079263,1259686,804022,470108,245130,211927,139321,101346,53373,16494,16589,265189,187486,142000,384000,1710000,1186000,788000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,550014,566131,609323,555963,574342,620361,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,480571,678201,2345914,1339996,396242,441363,444696,2256438,595017,- -,- -,- -,- -,- -,- -,- -,- -,47561,24552,- -,- -,- -,- -,- -
41,Intangible Assets,- -,480571,678201,2345914,1339996,396242,441363,444696,2256438,1145031,566131,609323,555963,574342,620361,- -,- -,- -,47561,24552,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-68653,135640,7280675,5959982,4852957,4309016,2879034,452887,437011,5013160,-1,-0,- -,0,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,435350,755183,1152941,9798111,7469978,5598412,5848307,4402993,3969012,2386063,6049400,854452,767890,713663,721708,53373,16494,16589,312750,212038,142000,384000,1710000,1186000,788000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7691191,4050529,2170242,48295125,40198879,31130975,24958423,25266748,21967532,10409275,14469348,11673182,6905505,2182690,2051492,648242,1004191,28476241,15312498,8637750,11967000,16870000,100476000,126262000,82525000
48,Accounts Payable,145117,- -,881661,1428238,2033994,289176,960437,1782783,851788,504013,1032238,928491,274312,366783,220095,312476,691776,598113,376165,- -,- -,1315000,1960000,2171000,1699000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13255046,947759,- -,873379,- -,- -,- -,- -,- -,- -,521000,539000,459000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,653026,755183,- -,979744,1780995,1957193,2945076,2492298,2406401,2234058,1564363,1803956,1037615,1381833,966372,1430401,1070167,1182401,1321621,1316866,1765000,1474000,3058000,4102000,6016000
53,Total Current Liabilities,798143,755183,881661,2407982,3814988,2246369,3905513,4275081,3258189,2738072,2596601,2732447,14566972,2696376,1186467,2616257,1761944,1780514,1697786,1316866,1765000,2789000,5539000,6812000,8174000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,8137975,9992264,11161583,12814787,- -,- -,- -,- -,- -,486600,- -,- -,- -,- -,- -,- -,115000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-1000,-1001,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1011000,535000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,-1000,-1001,- -,- -,8137975,9992264,11161583,12814787,- -,- -,- -,- -,- -,486600,- -,- -,- -,- -,1011000,535000,115000
59,Other Liabilities,- -,- -,- -,- -,-2000,- -,- -,- -,- -,19984527,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1532000,1074000,- -
61,Total Liabilities,798143,755183,881661,2407982,3813989,2245369,3905513,4275081,11396164,12730336,13758183,15547234,14566972,2696376,1186467,2616257,1761944,2267114,1697786,1316866,1765000,2789000,6550000,7347000,8289000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,87753500,- -,- -,- -,- -,- -,148844037,155356737,172787020,165006599,169327046,196241752,161004979,171844357,231923000,261072000,365490000,429523000,- -
64,Retained Earnings,-20461471,-22586846,-25500342,-30813228,-39922880,-48993863,-66668709,-89403955,-116859913,-149449944,-162870688,-181586175,-173771560,-174463568,-193599836,-188644127,-194006869,-194005972,-167839359,-187140838,-246788000,-275638000,-301915000,-357153000,- -
65,Other Comprehensive Income/Loss,-1233493,-1167101,-271280,-305002,-370999,-508310,-30885,4206128,12582868,8474224,8145885,8825674,-173771560,-2615816,-2881712,-2774435,-2810766,-2689203,- -,-4000000,-4298000,-4316000,-4298000,-4316000,-4316000
66,Other Total Stockholders Equity,28588013,27049293,27060204,77005373,76678769,78387779,-997,111432913,128946904,149556947,166457518,181123930,191037615,21208962,24559554,24443948,26732837,26662550,- -,26617365,29365000,32963000,34649000,50861000,78552000
67,Total Stockholders Equity,6893049,3295345,1288581,45887143,36384891,28885606,21052909,20991667,10571369,-2321061,711165,-3874052,-7661468,-513686,865025,-1968015,-757752,26209127,13614712,7320884,10202000,14081000,93926000,118915000,74236000
68,Total Liabilities And Stockholders Equity,7691191,4050529,2170242,48295125,40198879,31130975,24958423,25266748,21967533,10409275,14469348,11673182,6905505,2182690,2051492,648242,1004191,28476241,15312498,8637750,11967000,16870000,100476000,126262000,82525000
69,Minority Interest,- -,-0,-0,0,-0,-1,1,0,-1,0,- -,0,-0,- -,- -,0,-0,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7691191,4050529,2170242,48295125,40198879,31130975,24958423,25266748,21967532,10409275,14469348,11673182,6905505,2182690,2051492,648242,1004191,28476241,15312498,8637750,11967000,16870000,100476000,126262000,82525000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882361/000117184319002540/0001171843-19-002540-index.htm,https://www.sec.gov/Archives/edgar/data/882361/000117184320001617/0001171843-20-001617-index.html,https://www.sec.gov/Archives/edgar/data/882361/000117184321002006/0001171843-21-002006-index.htm,https://www.sec.gov/Archives/edgar/data/882361/000117184322002048/0001171843-22-002048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3482804,-3226692,-3119723,-5738980,-9894970,-8825380,-12119048,-22240814,-17581623,-16265429,-9012085,-6370374,-8128440,5052506,-5157394,-4477525,-5399348,-9725550,-10539818,-13858344,-11661000,-28868000,-26277000,-55238000,-65354000
74,Depreciation and Amortization,362792,274612,339100,1776621,2407993,2423477,1481505,1589914,1867535,2206058,1091253,319169,173394,81507,57327,42699,36869,19353,69180,114575,84000,87000,613000,614000,622000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,409174,166806,538465,492004,498700,1682825,2026389,1505096,817000,4276000,2296000,21438000,12949000
77,Change in Working Capital,507909,-3917536,-2404522,35953391,-7175118,-5627720,-8081591,1384071,-1848342,-9455192,538208,2262935,-16515641,7202009,1370666,-2164706,1247142,27453385,-13377177,-6193116,2951154,3637000,79530000,25037000,-44701000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-572477,83403,-176076,103835,379361,-58982,191685,- -,- -,726000,645000,211000,-472000
81,Other Working Capital,6457698,2540162,135640,36089031,28913913,23286193,15204603,16588674,14740331,5285140,5823347,8086283,-8429358,-1227349,143318,-2021388,-774246,26679139,13301962,7108846,10060000,13697000,93227000,118264000,73563000
82,Other Non-Cash Items,- -,3848883,2743622,-35569636,8378114,4236872,10043315,-1331107,2643144,11648250,1498263,-6463160,17444081,-16029441,-2842745,3767842,-1320880,-27296715,12695468,6206508,-2482154,-2339000,-77720000,-25742000,96484000
83,Cash Provided by Operating Activities,-2612103,-3020733,-2441522,-3578603,-6283981,-7792750,-8675819,-20597936,-14919287,-11866313,-5884362,-10251429,-6617431,-3526613,-6033680,-2339686,-4937517,-7866701,-9125958,-12225281,-10291000,-23207000,-21558000,-33891000,- -
84,CAPEX,- -,-137306,- -,-3789502,-112000,-312190,-917596,-280808,-476881,-68001,-19004,-58031,-161468,-1896,-8190,- -,- -,-20275,-237805,-3720,-13000,-329000,-102000,-79000,-212000
85,Acquisitions Net,- -,- -,- -,-359729,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34996000
86,Purchases of Investments,-5659556,- -,-5289965,- -,-26260921,- -,- -,-1055280,- -,- -,-5017161,- -,- -,- -,- -,- -,- -,-10155012,- -,- -,-798000,- -,-17268000,- -,- -
87,Sales/Maturities of Investments,- -,3295345,- -,- -,- -,6136741,- -,- -,5557617,11857313,- -,4213231,5783486,236940,- -,- -,- -,- -,5718136,6134216,- -,341000,- -,12707000,-34996000
88,Other Investing Activites,- -,-480571,- -,77418,1000,- -,9061389,-999,- -,-0,0,-1001,- -,-0,252854,- -,29107,70041,206098,78119,68000,- -,- -,- -,34996000
89,Cash Used for Investing Activites,-5659556,2677468,-5289965,-4071812,-26371920,5824550,8143792,-1337087,5080736,11789311,-5036165,4154200,5622018,235044,244664,- -,29107,-10105246,5686429,6208615,-743000,12000,-17370000,12628000,-35208000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3337061,- -,- -,-873210,-984259,- -,- -,- -,- -,- -,-537000,-555000
91,Common Stock Issued,5151647,1990938,4815224,34432542,1342996,908554,521067,22055940,878781,- -,10896522,7604027,3492661,2167526,6038798,- -,5935887,30284403,7206,5617886,13394000,25720000,93167000,58402000,36000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2466986,- -,2305882,6348316,- -,- -,-178339,- -,10318432,- -,-1180273,-253134,- -,0,- -,1766167,168821,5918458,700445,- -,324000,2151000,10281000,942000,745000
95,Cash Used/Provided by Financing Activities,7618633,- -,7121106,40780859,1342996,908554,342729,22055940,11197213,- -,9716249,7350893,3492661,-1169535,6038798,1766167,5231498,35218601,707651,5617886,13718000,27871000,103448000,58807000,226000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,669458,-226918,7000,-8000,23000,7000,7000
97,Net Change In Cash,-653026,-343265,-610381,33130443,-31313906,-1058645,-189298,121916,1358662,-76002,-1203278,1254665,2497248,-4461104,249782,-573519,323088,17246655,-2062420,-625697,2691000,4668000,64543000,37551000,-78279000
98,Cash at the End of Period,1306051,892489,1220761,33989388,1809995,762465,659553,786463,2212449,2445064,1313304,2667413,4930275,632156,932589,310535,633562,17848454,8289315,7932446,10631000,15299000,79842000,117393000,39114000
99,Cash at the Beginning of Period,1959077,1235754,1831142,858945,33123900,1821110,848852,664546,853788,2521066,2516583,1412749,2433028,5093260,682807,884054,310475,601799,10351736,8558143,7940000,10631000,15299000,79842000,117393000
100,Free Cash Flow,-2612103,-3158039,-2441522,-7368105,-6395981,-8104940,-9593416,-20878744,-15396168,-11934315,-5903366,-10309460,-6778899,-3528509,-6041869,-2339686,-4937517,-7886976,-9363763,-12229001,-10304000,-23536000,-21660000,-33970000,-212000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882361/000117184319002540/0001171843-19-002540-index.htm,https://www.sec.gov/Archives/edgar/data/882361/000117184320001617/0001171843-20-001617-index.html,https://www.sec.gov/Archives/edgar/data/882361/000117184321002006/0001171843-21-002006-index.htm,https://www.sec.gov/Archives/edgar/data/882361/000117184322002048/0001171843-22-002048-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
