,https://roic.ai/company/HDSN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,300000,3800000,-1600000,-12800000,-1100000,-2700000,-605000,-756000,-1033000,-302000,1338000,3216000,2785000,-1771000,5966000,-689000,2706000,3046000,15445000,-7677000,-6000,10555000,20608000,18539000,-35477000,744000,13033000,50955000
16,EBITDA ratio,0.2308,0.1727,-0.0816,-0.5565,-0.0472,-0.1508,-0.0391,-0.0364,-0.0517,-0.0168,0.0916,0.1673,0.1188,-0.0659,0.1799,-0.0285,0.0726,0.0687,0.2736,-0.1309,-0.0001,0.1324,0.1954,0.1321,-0.2130,0.0046,0.0883,0.2644
17,Operating Income,200000,3100000,-1500000,-4900000,-2400000,-3500000,-2407000,-2220000,-2453000,-1533000,402000,2588000,2182000,-2354000,5416000,-1214000,2152000,2528000,14880000,-8485000,-985000,8181000,18947000,15132000,-42608000,-15784000,5904000,42305000
18,Operating Income ratio,0.1538,0.1409,-0.0765,-0.2130,-0.1030,-0.1955,-0.1557,-0.1069,-0.1229,-0.0853,0.0275,0.1346,0.0930,-0.0875,0.1633,-0.0502,0.0577,0.0570,0.2636,-0.1447,-0.0176,0.1026,0.1796,0.1078,-0.2559,-0.0974,0.0400,0.2195
19,Total Other Income Expenses (Gains),- -,-200000,-1700000,-9400000,100000,100000,512000,-179000,-69000,-899000,-138000,-294000,-307000,-746000,-1167000,-1400000,-1088000,-860000,-684000,-933000,-641000,-474000,-1682000,-3128000,-14755000,-9500000,-11297000,-8906000
20,Income Before Tax,- -,2900000,-3200000,-14300000,- -,- -,- -,-2399000,-2522000,-2432000,264000,2294000,1875000,-3100000,4249000,-2614000,1064000,1668000,14196000,-9418000,-1626000,7707000,17265000,12004000,-57363000,-25284000,-5393000,33399000
21,Income Before Tax Ratio,- -,0.1318,-0.1633,-0.6217,- -,- -,- -,-0.1155,-0.1263,-0.1354,0.0181,0.1193,0.0800,-0.1153,0.1281,-0.1082,0.0285,0.0376,0.2515,-0.1606,-0.0291,0.0967,0.1637,0.0855,-0.3445,-0.1560,-0.0365,0.1733
22,Income Tax expense (Gain),- -,1100000,-1100000,2000000,- -,- -,- -,- -,- -,- -,- -,24000,-233000,-1139000,-2420000,-119000,363000,634000,1395000,-3576000,-906000,2944000,6628000,847000,-1704000,656000,-185000,1140000
23,Net Income,- -,1800000,-2100000,-16300000,-2700000,-4000000,-2396000,-2399000,-2522000,-2432000,264000,2270000,2108000,-1961000,6669000,-2495000,701000,1034000,12801000,-5842000,-720000,4763000,10637000,11157000,-55659000,-25940000,-5208000,32259000
24,Net Income ratio,- -,0.0818,-0.1071,-0.7087,-0.1159,-0.2235,-0.1550,-0.1155,-0.1263,-0.1354,0.0181,0.1181,0.0899,-0.0729,0.2011,-0.1032,0.0188,0.0233,0.2268,-0.0996,-0.0129,0.0597,0.1008,0.0795,-0.3342,-0.1601,-0.0353,0.1674
25,EPS,0.02,0.46,-0.47,-3.26,-0.52,-0.85,-0.57,-0.61,-0.64,-0.63,0.01,0.09,0.08,-0.09,0.35,-0.12,0.03,0.04,0.54,-0.24,-0.02,0.15,0.31,0.27,-1.31,-0.61,-0.12,0.74
26,EPS Diluted,0.02,0.43,-0.47,-3.26,-0.52,-0.85,-0.57,-0.61,-0.64,-0.63,0.01,0.09,0.08,-0.09,0.33,-0.12,0.03,0.04,0.49,-0.24,-0.02,0.14,0.30,0.26,-1.31,-0.61,-0.12,0.69
27,Weighted Average Shares Outstanding,2537000,3461538,4468085,5003343,5068320,5085820,5088570,5103733,5162228,5271086,21388102,25590698,25903252,22214197,19271530,20054000,22373773,23780814,23906706,24826101,29122746,32546840,34104476,41764230,42484972,42613478,42710381,43765443
28,Weighted Average Shares Outstanding Diluted,2537000,3461538,4468085,5003343,5294118,5085820,5088570,5103733,5162228,5271086,21417814,25734313,26263298,22214197,20306207,20054000,23723650,24803047,26353960,24826101,29122746,33936099,35416910,42766843,42484972,42613478,42710381,46640822
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925528/000101054106000023/ksba10_2004-main.htm,https://www.sec.gov/Archives/edgar/data/925528/000101054106000024/ksb10_2005-main.htm,https://www.sec.gov/Archives/edgar/data/925528/000101054107000007/ksb10_2006-main.htm,https://www.sec.gov/Archives/edgar/data/925528/000101054108000004/ksb10_2007main.htm,- -,https://www.sec.gov/Archives/edgar/data/925528/000101054110000013/0001010541-10-000013-index.html,https://www.sec.gov/Archives/edgar/data/925528/000101054111000006/k10_2010.htm,https://www.sec.gov/Archives/edgar/data/925528/000114420412012900/0001144204-12-012900-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420413013020/0001144204-13-013020-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420414012491/v368894_10k.htm,https://www.sec.gov/Archives/edgar/data/925528/000114420415016402/v403650_10k.htm,https://www.sec.gov/Archives/edgar/data/925528/000114420416087439/0001144204-16-087439-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420417013954/0001144204-17-013954-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420418015276/0001144204-18-015276-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420419014301/0001144204-19-014301-index.html,https://www.sec.gov/Archives/edgar/data/925528/000110465920033130/0001104659-20-033130-index.html,https://www.sec.gov/Archives/edgar/data/925528/000110465921035666/0001104659-21-035666-index.htm,https://www.sec.gov/Archives/edgar/data/925528/000141057822000491/0001410578-22-000491-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2200000,2500000,400000,600000,800000,2500000,863000,1382000,545000,656000,615000,634000,593000,283000,214000,299000,3926000,3958000,3991000,669000,935000,1258000,33931000,5002000,2272000,2600000,1348000,3492000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2200000,2500000,400000,600000,800000,2500000,863000,1382000,545000,656000,615000,634000,593000,283000,214000,299000,3926000,3958000,3991000,669000,935000,1258000,33931000,5002000,2272000,2600000,1348000,3492000
34,Net Receivables,600000,2500000,2500000,1900000,1100000,1900000,2588000,2745000,1971000,1954000,1739000,1829000,1231000,1746000,1731000,1594000,1767000,2453000,1956000,6415000,3968000,4414000,4797000,24495000,14065000,8061000,9806000,14223000
35,Inventory,1100000,5300000,9100000,3800000,3300000,2500000,1901000,2387000,2967000,2587000,2661000,6145000,12393000,12602000,23613000,16410000,18211000,17734000,40167000,33967000,37017000,61897000,68601000,172485000,101962000,59238000,44460000,94144000
36,Other Current Assets,700000,2100000,1000000,200000,100000,200000,197000,150000,249000,269000,307000,168000,160000,242000,665000,815000,376000,611000,910000,815000,1408000,1900000,847000,6934000,5287000,4525000,6528000,8090000
37,Total Current Assets,4600000,12400000,13000000,6500000,5300000,7100000,5549000,6664000,5732000,5466000,5322000,8776000,14377000,14873000,26223000,19118000,24280000,24756000,47024000,41866000,43328000,69469000,108176000,208916000,123586000,74424000,62142000,119949000
38,PP&E,1000000,4500000,5900000,5900000,5300000,5800000,5342000,3581000,2551000,2193000,1801000,2774000,2984000,2881000,2921000,2925000,3008000,3441000,4765000,4536000,7887000,7536000,7532000,30461000,27395000,31722000,28469000,26896000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000,856000,856000,49464000,47803000,47803000,47803000,47803000
40,Intangible Assets,100000,6900000,7800000,- -,- -,- -,- -,- -,- -,- -,- -,88000,78000,66000,73000,78000,73000,- -,76000,57000,2322000,3787000,3299000,32419000,29451000,26012000,23150000,20357000
41,Intangible Assets,100000,6900000,7800000,- -,- -,- -,- -,- -,- -,- -,- -,88000,78000,66000,73000,78000,73000,89000,76000,57000,2587000,4643000,4155000,81883000,77254000,73815000,70953000,68160000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1138000,440000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000,1520000,4120000,4120000,3669000,3086000,3888000,5363000,6031000,3287000,2532000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,200000,2100000,100000,300000,100000,105000,123000,139000,137000,102000,60000,32000,46000,158000,104000,66000,79000,341000,106000,102000,76000,75000,184000,106000,192000,85000,710000
45,Total Non-Current Assets,1400000,11600000,15800000,6000000,5600000,5900000,5447000,3704000,2690000,2330000,1903000,2922000,3346000,4513000,7272000,7227000,6816000,6695000,10208000,10502000,16607000,15542000,14294000,112528000,104755000,105729000,99507000,95766000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6000000,24000000,28800000,12500000,10900000,13000000,10996000,10368000,8422000,7796000,7225000,11698000,17723000,19386000,33495000,26345000,31096000,31451000,57232000,52368000,59935000,85011000,122470000,321444000,228341000,180153000,161649000,215715000
48,Accounts Payable,400000,1400000,2800000,3400000,4300000,3400000,3836000,3287000,3278000,3033000,2392000,2892000,4464000,3568000,- -,- -,- -,- -,- -,- -,- -,5792000,5110000,10885000,8671000,10274000,7644000,9623000
49,Short-Term Debt,- -,- -,5700000,1600000,1000000,2000000,2169000,2450000,2582000,1777000,1157000,1402000,3234000,3124000,8524000,5457000,5012000,6361000,12736000,15367000,6320000,20573000,199000,66202000,31672000,17008000,9314000,21626000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,300000,300000,300000,- -,- -,- -,- -,- -,- -,- -,467000,595000,720000,638000,6600000,4292000,7043000,5930000,6880000,4244000,4894000,4595000,4992000,18273000,20069000,18844000,20811000,33190000
53,Total Current Liabilities,700000,1700000,8800000,5000000,5300000,5400000,6005000,5737000,5860000,4810000,4016000,4889000,8418000,7330000,15124000,9749000,12055000,12291000,19616000,19611000,11214000,30960000,10301000,95360000,60412000,46126000,37769000,64439000
54,Long-Term Debt,500000,1900000,1500000,1200000,1900000,2100000,1887000,841000,1054000,380000,293000,1219000,1297000,6493000,5665000,4581000,1018000,121000,4920000,4671000,4389000,4293000,152000,101138000,98267000,87724000,81903000,78645000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1473000,443000,1192000,1355000,1692000
57,Other Non-Current Liabilities,100000,- -,100000,- -,100000,- -,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333000,333000,- -,20000,6000,- -,- -,- -
58,Total Non-Current Liabilities,600000,2000000,1600000,1200000,2000000,2100000,1893000,841000,1054000,380000,293000,1219000,1297000,6493000,5665000,4581000,1018000,121000,4920000,4671000,4722000,4626000,152000,102631000,98716000,88916000,83258000,80337000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,6000,5745000,3931000,6878000
61,Total Liabilities,1300000,3700000,10400000,6200000,7300000,7500000,7898000,6578000,6914000,5190000,4309000,6108000,9715000,13823000,20789000,14330000,13073000,12412000,24536000,24282000,15936000,35586000,10453000,197991000,159128000,135042000,121027000,144776000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,11663000,12509000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,100000,51000,52000,52000,90000,255000,259000,259000,191000,194000,209000,238000,238000,241000,251000,323000,328000,415000,424000,426000,426000,433000,448000
64,Retained Earnings,300000,2000000,- -,-16300000,-19000000,-22900000,-25305000,-27704000,-30226000,-32658000,-32394000,-30124000,-28016000,-29977000,-23308000,-25803000,-25102000,-24068000,-11267000,-17109000,-17829000,-13066000,-2430000,8727000,-46932000,-72872000,-78080000,-45821000
65,Other Comprehensive Income/Loss,-100000,-800000,-1700000,-2700000,-3800000,-4800000,-5309000,-5801000,-6584000,-6850000,-6781000,-7381000,-6813000,-7216000,- -,-8203000,-8699000,-9078000,-9465000,-10126000,-11021000,-12766000,-14451000,-19253000,-23078000,-27177000,- -,- -
66,Other Total Stockholders Equity,4500000,19100000,20100000,25300000,26400000,33100000,33661000,37243000,26603000,29515000,41836000,42836000,42578000,42565000,35820000,45812000,51586000,51947000,53187000,55070000,72526000,74929000,128483000,133555000,138797000,144734000,118269000,116312000
67,Total Stockholders Equity,4700000,20300000,18400000,6300000,3600000,5500000,3098000,3790000,1508000,2606000,2916000,5590000,8008000,5563000,12706000,12015000,18023000,19039000,32696000,28086000,43999000,49425000,112017000,123453000,69213000,45111000,40622000,70939000
68,Total Liabilities And Stockholders Equity,6000000,24000000,28800000,12500000,10900000,13000000,10996000,10368000,8422000,7796000,7225000,11698000,17723000,19386000,33495000,26345000,31096000,31451000,57232000,52368000,59935000,85011000,122470000,321444000,228341000,180153000,161649000,215715000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6000000,24000000,28800000,12500000,10900000,13000000,10996000,10368000,8422000,7796000,7225000,11698000,17723000,19386000,33495000,26345000,31096000,31451000,57232000,52368000,59935000,85011000,122470000,321444000,228341000,180153000,161649000,215715000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925528/000101054106000023/ksba10_2004-main.htm,https://www.sec.gov/Archives/edgar/data/925528/000101054106000024/ksb10_2005-main.htm,https://www.sec.gov/Archives/edgar/data/925528/000101054107000007/ksb10_2006-main.htm,https://www.sec.gov/Archives/edgar/data/925528/000101054108000004/ksb10_2007main.htm,- -,https://www.sec.gov/Archives/edgar/data/925528/000101054110000013/0001010541-10-000013-index.html,https://www.sec.gov/Archives/edgar/data/925528/000101054111000006/k10_2010.htm,https://www.sec.gov/Archives/edgar/data/925528/000114420412012900/0001144204-12-012900-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420413013020/0001144204-13-013020-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420414012491/v368894_10k.htm,https://www.sec.gov/Archives/edgar/data/925528/000114420415016402/v403650_10k.htm,https://www.sec.gov/Archives/edgar/data/925528/000114420416087439/0001144204-16-087439-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420417013954/0001144204-17-013954-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420418015276/0001144204-18-015276-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420419014301/0001144204-19-014301-index.html,https://www.sec.gov/Archives/edgar/data/925528/000110465920033130/0001104659-20-033130-index.html,https://www.sec.gov/Archives/edgar/data/925528/000110465921035666/0001104659-21-035666-index.htm,https://www.sec.gov/Archives/edgar/data/925528/000141057822000491/0001410578-22-000491-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1800000,-2100000,-16300000,-2700000,-4000000,-2396000,-2399000,-2522000,-2432000,264000,2270000,2108000,-1961000,6669000,-2495000,701000,1034000,12801000,-5842000,-720000,4763000,10637000,11157000,-55659000,-25940000,-5208000,32259000
74,Depreciation and Amortization,100000,600000,1100000,1500000,1200000,1300000,1290000,1220000,1142000,1196000,733000,619000,565000,561000,547000,524000,540000,497000,556000,808000,979000,2072000,2225000,3379000,7131000,7117000,6096000,6180000
75,Deferred Income Tax,- -,100000,-300000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,-252000,-1268000,-2600000,- -,451000,583000,-1036000,-1448000,-857000,2768000,1080000,4005000,-1030000,749000,163000,337000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000,381000,195000,69000,134000,122000,708000,203000,706000,1498000,1402000,1829000,656000,511000
77,Change in Working Capital,-1100000,6800000,-6500000,-2700000,-1500000,1700000,-2156000,1383000,-1055000,784000,650000,2581000,2072000,1584000,3556000,-1730000,2856000,240000,14943000,-5153000,9859000,6395000,59366000,15681000,-50382000,48086000,12908000,-36403000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,137000,-261000,-712000,468000,-1781000,-293000,-545000,-404000,4498000,287000,6080000,-2625000,-4461000
79,Inventory,-500000,-4100000,-3700000,5300000,500000,800000,580000,-486000,-580000,380000,-74000,-3484000,-6248000,-209000,-11011000,7203000,-1801000,477000,-22433000,486000,-1150000,-23430000,-6704000,-840000,43327000,43464000,18713000,-46878000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,542000,-2101000,316000,4259000,173000,6026000,-423000,- -,- -,- -
81,Other Working Capital,3900000,10700000,4200000,1500000,- -,1700000,-456000,927000,-128000,656000,1306000,3887000,5959000,7543000,11099000,9369000,12225000,12465000,27408000,22255000,32114000,38509000,97875000,113556000,63174000,108000,-300000,674000
82,Other Non-Cash Items,-200000,-12200000,4600000,17100000,3600000,-2400000,2535000,-2565000,1093000,-316000,-791000,-5364000,-5700000,1466000,-12620000,6680000,-1615000,-1810000,-36664000,5096000,-8268000,-26704000,-64666000,-17354000,134869000,1980000,-2928000,-4112000
83,Cash Provided by Operating Activities,-1200000,-2900000,-3200000,1600000,600000,-3400000,-727000,-2361000,-1342000,-768000,856000,106000,-1207000,382000,-4389000,3360000,3128000,613000,-9266000,-6417000,1701000,-10503000,9348000,18366000,36331000,33821000,11687000,-1228000
84,CAPEX,-900000,-2600000,-2000000,-1100000,-600000,-1800000,-853000,-374000,-324000,-520000,-385000,-629000,-469000,-446000,-593000,-430000,-618000,-946000,-1267000,-561000,-726000,-901000,-1733000,-1022000,-1092000,-1011000,-1470000,-1922000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-730000,164000,-7305000,-2424000,- -,-208969000,- -,- -,- -,- -
86,Purchases of Investments,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-730000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-200000,-1400000,-2500000,- -,- -,- -,- -,928000,244000,1000,149000,-86000,- -,- -,-35000,-39000,-23000,-43000,711000,-11000,-73000,-12000,- -,- -,- -,- -,1000000,- -
89,Cash Used for Investing Activites,-1100000,-5100000,-3400000,-1100000,-600000,-1800000,-853000,554000,-80000,-519000,-236000,-715000,-469000,-446000,-593000,-430000,-618000,-946000,-1997000,-397000,-8031000,-3325000,-1733000,-209991000,-1092000,-1011000,-470000,-1922000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1132000,-4255000,-4108000,-1018000,-3740000,-247000,-9329000,-328000,-24576000,-172000,-36941000,-31145000,-15007000,-5252000
91,Common Stock Issued,4800000,9700000,200000,3900000,- -,5800000,- -,3091000,20000,863000,46000,401000,21000,4000,341000,1410000,5125000,3000,122000,1110000,15925000,460000,51060000,807000,17000,9000,63000,201000
92,Common Stock Repurchased,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5337000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-400000,-1500000,4500000,-4200000,200000,1200000,-40000,-765000,565000,535000,-707000,227000,1614000,5087000,5704000,- -,100000,1380000,14914000,2629000,- -,14019000,-1426000,162061000,-1045000,-1346000,2475000,10345000
95,Cash Used/Provided by Financing Activities,4400000,8200000,4500000,-300000,200000,7000000,-40000,2326000,585000,1398000,-661000,628000,1635000,-246000,4913000,-2845000,1117000,365000,11296000,3492000,6596000,14151000,25058000,162696000,-37969000,-32482000,-12469000,5294000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,1700000,-1620000,519000,-837000,111000,-41000,19000,-41000,-310000,-69000,85000,3627000,32000,33000,-3322000,266000,323000,32673000,-28929000,-2730000,328000,-1252000,2144000
98,Cash at the End of Period,- -,- -,- -,- -,- -,2500000,863000,1382000,545000,656000,615000,634000,593000,283000,214000,299000,3926000,3958000,3991000,669000,935000,1258000,33931000,5002000,2272000,2600000,1348000,3492000
99,Cash at the Beginning of Period,- -,2200000,2500000,400000,600000,800000,2483000,863000,1382000,545000,656000,615000,634000,593000,283000,214000,299000,3926000,3958000,3991000,669000,935000,1258000,33931000,5002000,2272000,2600000,1348000
100,Free Cash Flow,-2100000,-5500000,-5200000,500000,- -,-5200000,-1580000,-2735000,-1666000,-1288000,471000,-523000,-1676000,-64000,-4982000,2930000,2510000,-333000,-10533000,-6978000,975000,-11404000,7615000,17344000,35239000,32810000,10217000,-3150000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925528/000101054106000023/ksba10_2004-main.htm,https://www.sec.gov/Archives/edgar/data/925528/000101054106000024/ksb10_2005-main.htm,https://www.sec.gov/Archives/edgar/data/925528/000101054107000007/ksb10_2006-main.htm,https://www.sec.gov/Archives/edgar/data/925528/000101054108000004/ksb10_2007main.htm,- -,https://www.sec.gov/Archives/edgar/data/925528/000101054110000013/0001010541-10-000013-index.html,https://www.sec.gov/Archives/edgar/data/925528/000101054111000006/k10_2010.htm,https://www.sec.gov/Archives/edgar/data/925528/000114420412012900/0001144204-12-012900-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420413013020/0001144204-13-013020-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420414012491/v368894_10k.htm,https://www.sec.gov/Archives/edgar/data/925528/000114420415016402/v403650_10k.htm,https://www.sec.gov/Archives/edgar/data/925528/000114420416087439/0001144204-16-087439-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420417013954/0001144204-17-013954-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420418015276/0001144204-18-015276-index.html,https://www.sec.gov/Archives/edgar/data/925528/000114420419014301/0001144204-19-014301-index.html,https://www.sec.gov/Archives/edgar/data/925528/000110465920033130/0001104659-20-033130-index.html,https://www.sec.gov/Archives/edgar/data/925528/000110465921035666/0001104659-21-035666-index.htm,https://www.sec.gov/Archives/edgar/data/925528/000141057822000491/0001410578-22-000491-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
