,https://roic.ai/company/BBDC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1379785/000095014409001615/0000950144-09-001615-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000095012310023081/0000950123-10-023081-index.html,- -,https://www.sec.gov/Archives/edgar/data/1379785/000119312512101223/0001193125-12-101223-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978513000004/0001379785-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978514000013/0001379785-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1379785/000137978515000032/0001379785-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1379785/000137978516000105/0001379785-16-000105-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978517000005/0001379785-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978518000014/0001379785-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978519000008/0001379785-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978520000009/0001379785-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978521000016/0001379785-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1379785/000137978522000008/0001379785-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,31397,21787750,27193287,55200421,54820222,66868340,72300423,133304346,78759026,52615418,107087663,191849697,12426982,21991565,59163004,49987222
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,31397,21787750,27193287,55200421,54820222,66868340,72300423,133304346,78759026,52615418,107087663,191849697,12426982,21991565,59163004,49987222
34,Net Receivables,- -,- -,- -,305159,679828,676961,867627,1883395,2650178,5255760,7409105,4892146,10189788,7806887,28918698,50520788,69030225,253376534
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65542229,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62651000,- -
38,PP&E,- -,- -,- -,34166,48020,28666,47647,58304,55535,60525,108753,105698,106494,81149,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,114374218,182105291,201317970,325990593,507078575,706802723,664373189,887223122,977276716,1037907181,1016284346,1121855745,1173643807,1539232058,1850260330
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,1052043,136179326,213667161,261051300,388045494,583194821,794535412,814889080,984105928,1039317490,1159650656,1223063612,1167577075,1252634838,1614387745,2160906341
47,Total Assets,- -,- -,1052043,136179326,213667161,261051300,388045494,583194821,794535412,814889080,984105928,1039317490,1159650656,1223063612,1167577075,1252634838,1677038745,2160906341
48,Accounts Payable,- -,- -,- -,698735,1881761,2333952,2388505,3521932,9542144,10511573,10509910,11177984,10794184,13860689,6076774,7683086,8264717,8045094
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,570000000,- -,- -,- -
50,Tax Payable,- -,- -,- -,52598,30436,59178,197979,1402866,3210989,1064544,2506031,735498,489691,796111,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,5001265,5218239,7766048,2711495,6178068,4557856,4588427,5790090,5722016,2505816,2139311,-541476774,4924154,-2199717,- -
53,Total Current Liabilities,- -,- -,- -,5700000,7100000,10100000,5100000,9700000,14100000,15100000,16300000,16900000,13300000,16000000,34600000,12607240,6065000,- -
54,Long-Term Debt,- -,- -,- -,37010000,115110000,121910000,202464866,239237504,149500000,354006457,436899689,514047936,535156822,565799910,570000000,- -,- -,1372745552
55,Deferred Revenue,- -,- -,- -,- -,- -,75000,37500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1760259,843947,577267,208587,628742,1342456,3514376,3363669,4988317,2053701,1331528,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-1770259,-853947,-662267,-210953,-666246,212257544,-3520833,-12263358,-5036253,-2010523,-1331438,- -,669152890,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,37000000,115100000,121900000,202500000,239200000,363100000,354000000,428000000,514000000,535200000,565800000,570000000,669152890,- -,1372745552
59,Other Liabilities,- -,- -,1050646,74006973,230241998,- -,- -,478407866,726200168,- -,864979299,1028049735,- -,- -,1140009788,- -,953169221,2791721130
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,1050646,42706973,122241998,131952108,207566335,248907866,377200168,369096950,453279299,530949735,548494398,581788238,604609788,681760129,959234221,1418975578
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,6804,6917,11703,14929,22775,27285,27697,32950,33375,40401,47741,51284,48951,65316,65316
64,Retained Earnings,- -,- -,-103,- -,2115157,1070452,- -,- -,6783161,8610735,12926514,16127141,5884512,8305431,-321978246,-282940612,-309967839,-285821321
65,Other Comprehensive Income/Loss,- -,- -,- -,6516360,1466303,-8752222,-3138525,9119425,13985862,36721540,-24252829,-57035200,-81603709,-190692679,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,1500,86949189,87836786,136769259,183602755,325144755,396538936,400432158,542119994,549242439,686835054,823614881,884894249,853766370,1027707047,- -
67,Total Stockholders Equity,- -,- -,1397,93472353,91425163,129099192,180479159,334286955,417335244,445792130,530826629,508367755,611156258,641275374,562967287,570874709,717804524,741930763
68,Total Liabilities And Stockholders Equity,- -,- -,1052043,136179326,213667161,261051300,388045494,583194821,794535412,814889080,984105928,1039317490,1159650656,1223063612,1167577075,1252634838,1677038745,2160906341
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,1052043,136179326,213667161,261051300,388045494,583194821,794535412,814889080,984105928,1039317490,1159650656,1223063612,1167577075,1252634838,1677038745,2160906341
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1379785/000095014409001615/0000950144-09-001615-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000095012310023081/0000950123-10-023081-index.html,- -,https://www.sec.gov/Archives/edgar/data/1379785/000119312512101223/0001193125-12-101223-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978513000004/0001379785-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978514000013/0001379785-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1379785/000137978515000032/0001379785-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1379785/000137978516000105/0001379785-16-000105-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978517000005/0001379785-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978518000014/0001379785-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978519000008/0001379785-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978520000009/0001379785-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978521000016/0001379785-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1379785/000137978522000008/0001379785-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,3173222,-103,8813098,7638501,4036703,25390549,56771037,60063517,81211880,28362448,47857252,34256432,-28650461,-114282136,58191634,8176793,77685429
74,Depreciation and Amortization,- -,- -,- -,7814,16681,22548,19554,27295,33038,40151,48363,60244,70108,65857,27414,- -,10161326,- -
75,Deferred Income Tax,- -,- -,- -,1760259,769519,-266680,-368680,420155,713714,2171920,-150707,1624648,-2934616,-722173,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,275311,701601,1151576,1909808,3030757,3980708,5840464,6989341,10331464,6022861,14229633,- -,- -,- -
77,Change in Working Capital,- -,348922,- -,-5700000,-1400000,-3000000,5000000,-4600000,-4400000,-1000000,-1200000,-600000,3600000,-2700000,-18600000,21992760,69193240,-11118568
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-766783,- -,-2153345,2516959,-5297642,2382901,-5991755,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,335696,- -,92439,1183026,452191,54553,1133427,-385358,-118929,347592,349233,282470,540,-9913555,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-5700000,-7100000,-10100000,-5100000,-9700000,-14100000,-15100000,-16300000,-16900000,-13300000,-16000000,-34600000,-12607240,56586000,- -
82,Other Non-Cash Items,- -,-17239550,- -,-52724284,-67927200,-14868258,-128645133,-172741049,-190001871,40954744,-221151733,-87165641,-68459294,33950977,-79662218,-111688870,-305661846,-463119297
83,Cash Provided by Operating Activities,- -,-13717406,-103,-47843113,-60627188,-13374086,-97452134,-118212754,-130560845,127359403,-188251165,-31234156,-23135906,7967061,-198287307,-31504476,-218130487,-396552436
84,CAPEX,- -,- -,- -,-41980,-30535,-3194,-38535,-37952,-30269,-45141,-96591,-57189,-70904,-40512,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31499,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-41980,-30535,-3194,-38535,-37952,-30269,-45141,-96591,-57189,-70904,-40512,31499,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-22300000,-24900000,-81810000,-20500000,-40000000,-213000000,-117100000,-114194139,-576703253,-569380949,-694205343,-506580035
91,Common Stock Issued,- -,- -,- -,64728037,- -,47332682,41212968,128636252,77122974,- -,127730614,- -,129126224,131996144,99839845,- -,160354027,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-66900,-234912,-643308,-2885904,- -,-2608031,-2552679,-4449563,-2180295,-51002289,-23356506,-7130632,- -
93,Dividends Paid,- -,- -,- -,-3716000,-9235216,-12322468,-20914748,-32370760,-51789022,-56735702,-74290996,-74752788,-66476054,-77069133,-21074312,-26927706,-31325222,-53559190
94,Other Financing Activites,- -,16935000,31500,6104304,75298476,6441100,99347162,59576640,195385149,10925363,122970849,295453204,136578448,138282908,567773102,660734220,860933553,948457800
95,Cash Used/Provided by Financing Activities,- -,16935000,31500,67116341,66063260,41384414,97110470,130298824,136023197,-66310339,133802436,5147737,77679055,76835485,18833093,41069059,288626383,388318575
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,3217594,31500,19231248,5405537,28007134,-380199,12048118,5432083,61003923,-54545320,-26143608,54472245,84762034,-179422715,9564583,70495896,-8233861
98,Cash at the End of Period,- -,6067164,31397,21787750,27193287,55200421,54820222,66868340,72300423,133304346,78759026,52615418,107087663,191849697,12426982,21991565,92487461,84253600
99,Cash at the Beginning of Period,- -,2849570,- -,2556502,21787750,27193287,55200421,54820222,66868340,72300423,133304346,78759026,52615418,107087663,191849697,12426982,21991565,92487461
100,Free Cash Flow,- -,-13717406,-103,-47885093,-60657723,-13377280,-97490669,-118250706,-130591114,127314262,-188347756,-31291345,-23206810,7926549,-198287307,-31504476,-218130487,-396552436
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1379785/000095014409001615/0000950144-09-001615-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000095012310023081/0000950123-10-023081-index.html,- -,https://www.sec.gov/Archives/edgar/data/1379785/000119312512101223/0001193125-12-101223-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978513000004/0001379785-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978514000013/0001379785-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1379785/000137978515000032/0001379785-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1379785/000137978516000105/0001379785-16-000105-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978517000005/0001379785-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978518000014/0001379785-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978519000008/0001379785-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978520000009/0001379785-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1379785/000137978521000016/0001379785-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1379785/000137978522000008/0001379785-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,
