,https://roic.ai/company/NAVB,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,- -,1008783,2068792,155816,4314345,2232926,1949106,1169480,585099,8192129,6051962,4922307,8835633,7322719,16484964,2786554,6713703,7187234,33035142,32628555,62616363,10266101,664703,1232549,1212344,996006,1451587
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5328,24009,30297,31855,17014,2422,20179,31177,- -,5572,- -,- -,- -,- -,- -,- -,589173,762897,590957,- -
61,Total Liabilities,- -,- -,- -,- -,8596120,9019012,7168556,10461588,4607276,4425068,3119705,2126097,9202065,7553645,8331559,11006541,9645175,18887611,6730993,10062173,13377773,44326104,41723646,68800213,80127889,8733106,4611067,5031895,5711111,6751389
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,11,10,7,8,4,- -,- -,- -,- -,- -,132,- -
63,Common Stock,- -,- -,- -,- -,22587,22763,22888,23047,26264,36449,36502,51521,58378,58622,59624,67240,70863,80937,86320,95399,113019,135919,150200,155650,155763,162207,200391,211134,219141,221277
64,Retained Earnings,- -,- -,- -,- -,-64116003,-87362531,-115395283,-119569270,-117729364,-117714411,-120678136,-122477131,-126018153,-130947103,-135688319,-140776531,-148840015,-192698686,-250870299,-245357307,-274557844,-317257302,-352983971,-380546651,-394855034,-319908968,-336722905,-347671102,-359056683,-370787610
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1831997,-2596459,-1654661,-1264299,-1174167,-1502676,-1883797,-1875028,-2003942,-1768558,-1882371,-1630740,-1669796,-1693290,-1850614,-977960,- -,-1483676,-1614320,-1943427,-2333070,-969357,-1089013,-1300233,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,121202461,122490619,121852699,120671503,121842806,126084476,126485567,129559583,134127547,136673835,137213039,138396437,147413223,184441187,256766327,267371605,273039442,314595464,324644621,328029170,328897218,332095748,339353666,347147909,360153014,370459777
67,Total Stockholders Equity,- -,- -,- -,- -,55277048,32554392,4825643,-139019,2965539,6903838,3960136,5258945,6163830,4016796,-298027,-3943594,-25725,-9869852,4131745,21131747,-1405376,-4009587,-29803466,-54305258,-68135123,11379630,1742139,-1612292,1315604,-106556
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,63873168,41573404,11994199,10322569,7572815,11328906,7079841,7385042,15365895,11570441,8033532,7062947,9619450,9017759,10862738,31193920,11972397,40316517,11920180,14494955,11992766,20112736,6353206,3419603,7026715,6644833
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,469558,468910,668700,668321,731303,731303,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,63873168,41573404,11994199,10322569,7572815,11328906,7079841,7385042,15365895,11570441,8033532,7062947,9619450,9017759,10862738,31193920,11972397,40316517,11920180,14964513,12461676,20781436,7021527,4150906,7758018,6644833
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/810509/000114420406012836/v038619_10ksb.htm,https://www.sec.gov/Archives/edgar/data/810509/000114420407013134/v068500_10ksb.htm,https://www.sec.gov/Archives/edgar/data/810509/000095015208002476/l30806ae10vk.htm,https://www.sec.gov/Archives/edgar/data/810509/000114420409017036/0001144204-09-017036-index.html,https://www.sec.gov/Archives/edgar/data/810509/000114420410017006/0001144204-10-017006-index.html,https://www.sec.gov/Archives/edgar/data/810509/000114420411015182/v214630_10k.htm,https://www.sec.gov/Archives/edgar/data/810509/000114420412013346/0001144204-12-013346-index.html,- -,https://www.sec.gov/Archives/edgar/data/810509/000144530514001051/navb1231201310k.htm,https://www.sec.gov/Archives/edgar/data/810509/000081050915000003/navb1231201410k.htm,https://www.sec.gov/Archives/edgar/data/810509/000156459016015173/0001564590-16-015173-index.html,https://www.sec.gov/Archives/edgar/data/810509/000165495417002915/0001654954-17-002915-index.html,https://www.sec.gov/Archives/edgar/data/810509/000143774918004756/0001437749-18-004756-index.html,https://www.sec.gov/Archives/edgar/data/810509/000143774919005086/0001437749-19-005086-index.html,https://www.sec.gov/Archives/edgar/data/810509/000143774920005567/0001437749-20-005567-index.html,https://www.sec.gov/Archives/edgar/data/810509/000143774921007329/0001437749-21-007329-index.htm,https://www.sec.gov/Archives/edgar/data/810509/000143774922007390/0001437749-22-007390-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2600000,-8000000,-10800000,-10800000,-20969143,-23246528,-28032752,-4173987,1839906,14953,-2963725,-1798995,-3541022,-4928950,-4741216,-5088212,-5166226,-39605720,-49964868,5612992,-29157204,-42699458,-35726669,-27562680,-14308383,74946066,-16113937,-10948197,-10721691,-11730927
74,Depreciation and Amortization,-100000,-100000,-600000,-500000,652623,896522,1124930,552962,392499,423117,796831,757784,856011,1291120,1220652,1810914,408352,333749,223460,176544,200222,404181,500183,571419,501369,254587,150385,144512,70393,36803
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211577,445411,597672,3592090,2304118,2908269,1634162,2368685,277539,394209,306698,232058,230521,471262
77,Change in Working Capital,100000,- -,- -,- -,46076186,-23725107,-21344347,-9740,2810602,264027,-2931759,1370475,7916671,-3480218,-5022299,551169,2442608,1296250,74046,20409487,-22271207,21613376,-26536166,6889270,-65428843,64799521,-3546764,-3121006,2716991,-1729740
78,Accounts Receivable,- -,- -,400000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23009,296813,-707914,-219021,6499,- -,334082,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-100000,100000,100000,248734,-199335,-1165258,444492,38418,-570558,213948,169135,131532,34163,-428202,-166838,93372,-653043,-381382,-53289,524049,-1934936,761024,135986,-861274,1470826,- -,- -,-169798,18643
80,Accounts Payable,200000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46865,38146,759411,- -,736109,1003515,-944850,290024,5441155,-6017775,-430325,687351,49648,259600
81,Other Working Capital,- -,- -,- -,- -,46076186,22351079,1006732,996992,3807594,4071621,1139862,2510337,10427008,6946790,1924491,2475660,4918268,6214518,6288564,26698051,4426844,26040220,-495946,6393324,-59035519,5764002,2217238,-903768,1813223,83483
82,Other Non-Cash Items,200000,700000,2200000,2100000,-40300069,24372634,26802628,5602956,-3372456,-979098,2082376,-2143699,-6057031,4116068,4985091,1460925,-918429,36048257,43899922,-45801118,25000752,-17838443,31001741,-1342724,82515098,-81310777,23479058,4337903,-470007,2734447
83,Cash Provided by Operating Activities,-2400000,-7400000,-9200000,-9200000,-14540403,-21702479,-21449541,1972191,1670551,-277001,-3016277,-1814435,-825371,-3001980,-3557772,-1265204,-3022118,-1482053,-5169768,-16010005,-23923319,-35612075,-29126749,-19076030,3556780,59083606,4275440,-9354730,-8173793,-10218155
84,CAPEX,-100000,-400000,-1400000,-1400000,-3742506,-4887554,-3668211,-75363,-168165,-72028,-263012,-75456,-87923,-106629,-175185,-48010,-133838,-167675,-398740,-236334,-671808,-1292367,-1191632,-66093,-1847,-33690,-46192,-56700,-413870,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24028,- -,- -,- -,- -,- -,- -,- -,- -,30159527,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-8400000,-14700000,-16600000,-16600000,-50061144,-13489774,-1738512,- -,- -,- -,-2491361,- -,- -,-5480787,- -,- -,-690000,- -,- -,- -,- -,- -,-333334,- -,- -,-2200000,-600000,- -,- -,- -
87,Sales/Maturities of Investments,5000000,- -,- -,- -,37589495,18623811,16005601,448196,- -,- -,2492305,- -,- -,3950000,1531000,- -,196000,494000,- -,- -,- -,- -,- -,- -,27623,400000,1600000,800000,- -,- -
88,Other Investing Activites,-100000,13900000,11900000,11900000,-126287,-197873,-239400,-2902,1569532,180616,-28638,-34020,-22819,11092,4097,- -,-16991,-71093,-32111,-2817436,-8460,-52701,-77184,11173,-65000,- -,- -,-29575,-276947,-329424
89,Cash Used for Investing Activites,-3600000,-1200000,-6100000,-6100000,-16214233,246483,10598878,369931,1401367,108588,-314734,-109476,-110742,-1626324,1359912,-48010,-627343,326576,-398740,27158261,-671808,-1292367,-1524966,-27828,-39224,-1833690,953808,770425,-412828,-329424
90,Debt Repayment,-200000,-900000,-300000,-300000,-395028,-302244,-660809,- -,- -,- -,- -,- -,- -,- -,- -,- -,-176024,-147344,-20338,-71031,-1290913,-5989603,-25002226,-30335883,-233607,-59753740,-395573,-359061,-368553,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,2818210,803,834,- -,2943797,2349073,57922,50000,1900000,232156,3641010,7092163,7198373,2724189,41303750,87984,65975,- -,72419,3000200,7086915,4442560,12682700
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-675000,- -,-6323,-611264,- -,-100875,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111389,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14500000,2100000,25200000,25200000,51298130,1529519,4601592,-883326,-3311911,-188667,-255565,-131651,6840938,-331330,-290430,-874221,5618946,-257861,- -,4047900,3837286,25410757,28105937,51061020,-8910884,3687086,-7153000,-572271,6135950,-574751
95,Cash Used/Provided by Financing Activities,14300000,1200000,24900000,24900000,50903102,1227275,3940783,1934884,-3311108,-187833,-255565,2812146,9190011,-273408,-240430,350779,5675078,3229482,6349172,11075242,5069687,60724904,3191695,20791112,-9144491,-55994235,-4548373,6155583,10209957,12107949
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-13027,-18666,43791,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,14300000,1200000,24900000,24900000,20135439,-20247387,-6866089,4277006,-239190,-356246,-3586576,888235,8253898,-4901712,-2438290,-962435,2025617,2074005,780664,22223498,-19525440,23820462,-27460020,1687254,-5626935,1255681,680875,-2428722,1623336,1560370
98,Cash at the End of Period,- -,- -,- -,- -,30168412,9921025,3054936,4882537,4643347,4287101,700525,1588760,9842658,4940946,2502656,1540220,3565837,5639842,6420506,28644004,9118564,32939026,5479006,7166260,1539325,2795006,3475881,1047159,2670495,4230865
99,Cash at the Beginning of Period,400000,8600000,500000,500000,10032973,30168412,9921025,605531,4882537,4643347,4287101,700525,1588760,9842658,4940946,2502655,1540220,3565837,5639842,6420506,28644004,9118564,32939026,5479006,7166260,1539325,2795006,3475881,1047159,2670495
100,Free Cash Flow,-2500000,-7800000,-10600000,-10600000,-18282909,-26590033,-25117752,1896828,1502386,-349029,-3279289,-1889891,-913294,-3108609,-3732957,-1313214,-3155956,-1649728,-5568508,-16246339,-24595127,-36904442,-30318381,-19142123,3554933,59049916,4229248,-9411430,-8587663,-10218155
