,https://roic.ai/company/ENDP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0035,0.0385,-0.8257,-0.1542,0.1526,0.1830,0.3757,0.3953,0.2569,0.3254,0.3191,0.2462,0.2451,0.1288,-0.2450,-0.2138,-0.3913,-0.4399,-0.9785,-0.4275,-0.3186,-0.1183,-0.0091,-0.1826
22,Income Tax expense (Gain),- -,2073000,-6181000,-3753000,30081000,39208000,87787000,121949000,95895000,125810000,140459000,93324000,133678000,109626000,-53562000,-24067000,-401840000,-1137465000,-700084000,-250293000,22935000,15680000,-273982000,22478000
23,Net Income,201000,3260000,-156840000,-36542000,30813000,69790000,143309000,202295000,137839000,227440000,261741000,266336000,259006000,187613000,-740337000,-685339000,-721319000,-1495042000,-3347066000,-2035433000,-1031469000,-422636000,183944000,-569081000
24,Net Income ratio,0.0019,0.0235,-0.7944,-0.1450,0.0772,0.1172,0.2330,0.2467,0.1515,0.2095,0.2076,0.1823,0.1509,0.0687,-0.2445,-0.2619,-0.2507,-0.4574,-0.8346,-0.5868,-0.3500,-0.1450,0.0634,-0.1901
25,EPS,0.00,0.05,-1.97,-0.40,0.30,0.54,1.09,1.53,1.03,1.70,2.12,2.27,2.23,1.60,-6.68,-5.94,-4.69,-6.73,-15.03,-9.12,-4.61,-1.87,0.80,-2.63
26,EPS Diluted,0.00,0.05,-1.97,-0.40,0.30,0.53,1.08,1.52,1.03,1.69,2.12,2.27,2.20,1.55,-6.68,-6.05,-4.91,-7.59,-15.03,-9.12,-4.61,-1.87,0.79,-2.63
27,Weighted Average Shares Outstanding,71307000,71332266,79454223,91505000,102064000,128417000,131805000,132242000,133178000,133903000,123248000,117062000,116057895,117158880,110793855,115354393,153912985,222124282,222651000,223198000,223960000,226050000,229314000,232785000
28,Weighted Average Shares Outstanding Diluted,71307000,71332266,79454223,91505000,102126000,132439000,132718000,133289000,133911000,134525000,123720000,117515000,117951000,121178000,115719000,115354393,153912985,222124282,222651000,223198000,223960000,226050000,233653000,232785000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1593034/000159303415000005/endp-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1593034/000159303416000051/0001593034-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303417000009/0001593034-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303418000010/0001593034-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303419000009/0001593034-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303420000019/0001593034-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303421000012/0001593034-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1593034/000159303422000012/0001593034-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,17367000,22028000,59196000,95357000,56902000,229573000,278034000,500956000,628085000,350325000,775693000,708462000,466214000,547620000,547916000,526597000,408753000,272348000,517250000,986605000,1149113000,1454531000,1213437000,1507196000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,313386000,6500000,25275000,- -,- -,- -,- -,815000,34000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,17367000,22028000,59196000,95357000,56902000,229573000,278034000,500956000,628085000,663711000,782193000,733737000,466214000,547620000,547916000,526597000,409568000,272382000,517250000,986605000,1149113000,1454531000,1213437000,1507196000
34,Net Receivables,- -,62254000,78312000,85329000,119496000,101284000,139039000,357287000,279159000,249784000,247926000,337263000,550950000,733222000,727339000,725827000,1286574000,1730978000,1039956000,529484000,510351000,515520000,575099000,- -
35,Inventory,- -,21269000,29746000,27766000,35516000,50450000,71415000,50983000,62129000,69228000,80656000,84893000,178805000,262419000,357638000,374439000,472215000,744665000,555671000,391437000,322179000,327865000,352260000,283552000
36,Other Current Assets,- -,12876000,5800000,32473000,45573000,92289000,79089000,84159000,66641000,82724000,72919000,124688000,163565000,244835000,336341000,1227644000,1139115000,727127000,476582000,363551000,361507000,288302000,272462000,923838000
37,Total Current Assets,- -,118427000,173054000,240925000,257487000,473596000,567577000,993385000,1036014000,1065447000,1183694000,1280581000,1359534000,1788096000,1969234000,2854507000,3307472000,3475152000,2589459000,2271077000,2343150000,2586218000,2413258000,2714586000
38,PP&E,- -,5712000,5742000,9883000,11810000,20246000,28875000,38001000,36565000,44920000,44378000,47529000,215295000,297731000,385668000,372077000,428825000,670574000,669596000,523971000,498892000,556565000,495501000,431544000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,181079000,181079000,181079000,302534000,715005000,2558041000,2014351000,1372832000,3762547000,7299354000,4729395000,4450082000,3764636000,3595184000,3560011000,3197011000
40,Intangible Assets,- -,- -,284560000,194813000,217834000,223122000,298337000,280144000,78046000,70949000,232376000,609909000,1531760000,2504124000,2098973000,1872926000,3194367000,7812655000,5859297000,4317684000,3457306000,2571267000,2740808000,2362823000
41,Intangible Assets,- -,192081000,284560000,194813000,217834000,223122000,298337000,280144000,259125000,252028000,413455000,912443000,2246765000,5062165000,4113324000,3245758000,6956914000,15112009000,10588692000,8767766000,7221942000,6166451000,6300819000,5559834000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211792000,23509000,19105000,1746000,2979000,1506000,3855000,2267000,1456000,738000,- -,- -,- -
43,Tax Assets,- -,8636000,- -,23420000,21184000,31045000,- -,- -,1745000,4211000,47898000,- -,- -,- -,- -,- -,5059000,9145000,7817000,11582000,678000,2192000,1824000,1138000
44,Other Non-Current Assets,- -,4580000,4484000,1954000,4657000,5871000,52702000,60148000,63240000,336032000,267206000,36458000,67286000,125486000,98587000,96535000,209840000,79601000,417278000,59728000,66993000,78101000,53235000,60313000
45,Total Non-Current Assets,- -,211009000,294786000,230070000,255485000,280284000,379914000,378293000,360675000,637191000,772937000,1208222000,2552855000,5504487000,4599325000,3717349000,7602144000,15875184000,11685650000,9364503000,7789243000,6803309000,6851379000,6052829000
46,Other Assets,287618000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,287618000,329436000,467840000,470995000,512972000,753880000,947491000,1371678000,1396689000,1702638000,1956631000,2488803000,3912389000,7292583000,6568559000,6571856000,10909616000,19350336000,14275109000,11635580000,10132393000,9389527000,9264637000,8767415000
48,Accounts Payable,- -,19185000,15855000,30705000,83802000,77107000,83259000,94787000,122647000,178869000,160468000,176076000,241114000,260385000,416882000,263241000,308344000,344267000,126712000,85348000,96024000,101532000,94408000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24993000,88265000,133998000,414929000,155937000,328705000,131125000,34205000,34150000,44913000,45763000,32976000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9498000,- -,35372000,- -,3089000,- -,8551000,9266000,2086000,1661000,2422000,- -,7221000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,1720000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1824000,- -
52,Other Current Liabilities,- -,49701000,84440000,144961000,68627000,108567000,189989000,414726000,215452000,216369000,226005000,296104000,469721000,773128000,1177140000,1018502000,2634964000,2801340000,2376908000,2101356000,1819922000,1313844000,1111829000,1596986000
53,Total Current Liabilities,- -,68886000,100295000,175666000,152429000,185674000,273248000,509513000,338099000,396958000,386473000,472180000,735828000,1121778000,1728020000,1696672000,3099245000,3474312000,2634745000,2220909000,1950096000,1460289000,1253824000,1629962000
54,Long-Term Debt,- -,175218000,162154000,- -,- -,- -,- -,- -,- -,- -,371695000,322534000,1045801000,3424329000,3037947000,3323844000,4202356000,8251657000,8141378000,8242032000,8224269000,8359899000,8280578000,8048980000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21628000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1664000,14637000,- -,- -,- -,- -,217334000,617677000,516565000,310764000,724278000,871040000,192297000,43131000,34487000,31703000,26066000,21628000
57,Other Non-Current Liabilities,- -,6745000,7218000,207000,7851000,589000,16629000,4158000,17602000,13390000,70729000,196678000,110097000,89208000,152821000,655360000,475524000,785351000,605100000,644628000,421824000,404180000,352108000,-954783000
58,Total Non-Current Liabilities,- -,181963000,169372000,207000,7851000,589000,18293000,18795000,17602000,13390000,442424000,519212000,1373232000,4131214000,3707333000,4289968000,5402158000,9908048000,8938775000,8929791000,8680580000,8795782000,8658752000,7137453000
59,Other Liabilities,212260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59062000,49745000,- -
61,Total Liabilities,212260000,250849000,269667000,175873000,160280000,186263000,291541000,528308000,355701000,410348000,828897000,991392000,2109060000,5252992000,5435353000,5986640000,8501403000,13382360000,11573520000,11150700000,10630676000,10256071000,9912576000,8767415000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000,43000,42000,48000,46000,- -,- -,- -
63,Common Stock,- -,713000,891000,1021000,1021000,1318000,1319000,1328000,1336000,1341000,1343000,1350000,1363000,1383000,1400000,1444000,15000,22000,22000,22000,22000,23000,23000,- -
64,Retained Earnings,- -,-31833000,-188673000,-225215000,-194402000,-124612000,18697000,220992000,358831000,583619000,845360000,1105291000,1364297000,1551910000,811573000,126234000,-595085000,-2341215000,-5688281000,-8096539000,-9124932000,-9552214000,-9368270000,-9981515000
65,Other Comprehensive Income/Loss,- -,- -,-3992000,-5485000,-1176000,-720000,19000,1714000,1117000,3025000,-1656000,-1881000,-1161000,-9436000,-6802000,-4915000,-124088000,-384205000,-353434000,-209821000,-229229000,-219090000,-217753000,-216445000
66,Other Total Stockholders Equity,75358000,109707000,389947000,524801000,547249000,691631000,635915000,619336000,679704000,704305000,282687000,392651000,377092000,433833000,266685000,403255000,3093867000,8693385000,8743240000,8791170000,8855810000,8904737000,8938061000,8953974000
67,Total Stockholders Equity,75358000,78587000,198173000,295122000,352692000,567617000,655950000,843370000,1040988000,1292290000,1127734000,1497411000,1741591000,1977690000,1072856000,526018000,2374757000,5968030000,2701589000,484880000,-498283000,-866544000,-647939000,-1243986000
68,Total Liabilities And Stockholders Equity,287618000,329436000,467840000,470995000,512972000,753880000,947491000,1371678000,1396689000,1702638000,1956631000,2488803000,3850651000,7230682000,6508209000,6512658000,10876160000,19350390000,14275109000,11635580000,10132393000,9389527000,9264637000,7523429000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61738000,61901000,60350000,59198000,33456000,-54000,- -,- -,- -,- -,- -,1243986000
70,Total Liabilities & Equity,287618000,329436000,467840000,470995000,512972000,753880000,947491000,1371678000,1396689000,1702638000,1956631000,2488803000,3912389000,7292583000,6568559000,6571856000,10909616000,19350336000,14275109000,11635580000,10132393000,9389527000,9264637000,8767415000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1593034/000159303415000005/endp-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1593034/000159303416000051/0001593034-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303417000009/0001593034-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303418000010/0001593034-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303419000009/0001593034-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303420000019/0001593034-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303421000012/0001593034-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1593034/000159303422000012/0001593034-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,201000,3260000,-156840000,-36542000,30813000,69790000,143309000,202295000,137839000,227440000,261741000,266336000,259006000,187613000,-740337000,-685339000,-721319000,-1495042000,-3347066000,-2035433000,-1031469000,-422636000,183944000,-569081000
74,Depreciation and Amortization,7373000,8309000,28858000,58286000,3532000,6670000,11020000,15880000,17849000,16291000,49905000,99884000,108404000,237414000,285524000,255663000,331651000,632756000,983309000,983765000,723707000,612862000,518807000,457098000
75,Deferred Income Tax,- -,1998000,-8732000,-4701000,-8730000,-53774000,6829000,-30894000,9352000,-1624000,7050000,-36395000,-15420000,-75877000,-193960000,-155727000,-275123000,-447168000,-745341000,-156129000,5557000,-5561000,-163558000,-3157000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19593000,22909000,46013000,59395000,38998000,32671000,61185000,59769000,50149000,54071000,59142000,41357000,30046000
77,Change in Working Capital,- -,49541000,23218000,-7500000,39799000,182864000,6407000,189543000,214043000,-29426000,128732000,11180000,-184695000,42612000,-425104000,916621000,-949608000,-207387000,-46126000,95454000,342886000,732875000,33505000,-74810000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62584000,-84659000,-107609000,40395000,-80195000,-341404000,-274994000,-7387000,486359000,17090000,19158000,-45792000,-82052000
79,Inventory,- -,-6808000,-8477000,1980000,-7750000,-14934000,-20965000,20432000,-11146000,-7099000,-11428000,12920000,13894000,-8703000,-95438000,-29286000,42346000,29130000,-62369000,147189000,67269000,-27139000,-8031000,48978000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12068000,30145000,-30269000,142609000,-159532000,-96361000,630000,- -,- -,- -,- -,- -,84391000
81,Other Working Capital,- -,49541000,72759000,65259000,105058000,287922000,294329000,483872000,697915000,668489000,797221000,808401000,623706000,666318000,241214000,1157835000,208227000,840000,-45286000,50168000,393054000,1125929000,1159434000,1084624000
82,Other Non-Cash Items,13358000,-49342000,148565000,70943000,44224000,12709000,4507000,-92180000,-33749000,153061000,-90826000,-65192000,263442000,264340000,1748361000,-71699000,1919504000,1517682000,3619894000,1616179000,172518000,-878630000,-216663000,570954000
83,Cash Provided by Operating Activities,20932000,13766000,35069000,80486000,109638000,218259000,172072000,284644000,345334000,365742000,356602000,295406000,453646000,702115000,733879000,298517000,337776000,62026000,524439000,553985000,267270000,98052000,397392000,411050000
84,CAPEX,- -,-2124000,-1534000,-6546000,-3084000,-12159000,-9645000,-10491000,-46119000,-20007000,-17428000,-12415000,-19891000,-59383000,-105518000,-108483000,-85425000,-125742000,-158062000,-125654000,-86398000,-63854000,-721475000,-77929000
85,Acquisitions Net,- -,- -,19611000,- -,-14190000,- -,- -,- -,-20473000,- -,-15000000,-250359000,-1105040000,-2380407000,-3175000,4505000,-1031989000,-6061625000,-26286000,223237000,70369000,6577000,6737000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-500000,-1700000,- -,-806409000,-134211000,- -,-2473000,-18653000,- -,- -,-35400000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,217026000,447111000,23750000,231125000,85025000,18800000,- -,87233000,1230000,34000,7000000,- -,- -,92763000,- -
88,Other Investing Activites,-3537000,-6950000,- -,- -,-5000000,-33000000,-99206000,-14493000,143000,-5138000,-101640000,-6485000,-44000,-674000,-4274000,-791661000,288728000,-102601000,290969000,- -,-4871000,-2921000,-724367000,-59544000
89,Cash Used for Investing Activites,-3537000,-9074000,18077000,-6546000,-22274000,-45159000,-109351000,-26684000,-66449000,-614528000,178832000,-245509000,-896323000,-2374092000,-88467000,-883639000,-771853000,-6244770000,125861000,104583000,-17900000,-60198000,-624867000,-59544000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120720000,-508630000,-1210360000,-363899000,-156726000,-2025535000,-1931081000,-716361000,-3737105000,-39372000,-1545136000,-96683000,-78745000
91,Common Stock Issued,- -,- -,7000,96238000,4000,155000,773000,10189000,8443000,7731000,52606000,- -,- -,- -,6062000,5310000,4617000,2304299000,5119000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-31000,- -,- -,-6730000,- -,- -,- -,- -,- -,-424816000,- -,-58974000,-34702000,-256000000,- -,-25081000,-310088000,- -,- -,-5375000,-10156000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-14549000,- -,-15985000,-134017000,-119093000,-584000,-15033000,-45227000,-160199000,-36705000,262144000,3592000,768033000,2997743000,-31710000,730941000,2348856000,5992337000,317260000,3570112000,-36825000,1759893000,-11884000,-26736000
95,Cash Used/Provided by Financing Activities,-14549000,-31000,-15978000,-37779000,-125819000,-429000,-14260000,-35038000,-151756000,-28974000,-110066000,-117128000,200429000,1752681000,-645547000,579525000,302857000,6055467000,-393982000,-166993000,-81572000,204601000,-108567000,-105481000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,702000,431000,1692000,-4037000,-7068000,328000,2515000,-1975000,1096000,654000,285000
97,Net Change In Cash,-14549000,4661000,37168000,36161000,-38455000,172671000,48461000,222922000,127129000,-277760000,425368000,-67231000,-242248000,81406000,296000,-3092000,-117844000,-133348000,244902000,505834000,165823000,243551000,-335388000,246310000
98,Cash at the End of Period,- -,22028000,59196000,95357000,56902000,229573000,278034000,500956000,628085000,350325000,775693000,708462000,466214000,547620000,547916000,526597000,408753000,272348000,517250000,1311014000,1476837000,1720388000,1385000000,1631310000
99,Cash at the Beginning of Period,- -,17367000,22028000,59196000,95357000,56902000,229573000,278034000,500956000,628085000,350325000,775693000,708462000,466214000,547620000,529689000,526597000,405696000,272348000,805180000,1311014000,1476837000,1720388000,1385000000
100,Free Cash Flow,20932000,11642000,33535000,73940000,106554000,206100000,162427000,274153000,299215000,345735000,339174000,282991000,433755000,642732000,628361000,190034000,252351000,-63716000,366377000,428331000,180872000,34198000,-324083000,333121000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1593034/000159303415000005/endp-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1593034/000159303416000051/0001593034-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303417000009/0001593034-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303418000010/0001593034-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303419000009/0001593034-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303420000019/0001593034-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1593034/000159303421000012/0001593034-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1593034/000159303422000012/0001593034-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
