,https://roic.ai/company/ADV,2016,2017,2018,2019,2020,2021
73,Net Income,32149000,- -,-1157332000,-21172000,-162443000,54494000
74,Depreciation and Amortization,170260000,- -,225233000,232573000,238598000,240041000
75,Deferred Income Tax,-36657000,- -,-213615000,-68063000,-14357000,-10012000
76,Stock Based Compensation,3182000,- -,-7877000,1313000,89774000,24382000
77,Change in Working Capital,173657000,- -,-3737000,268073000,-109598000,-193520000
78,Accounts Receivable,-54678000,- -,73693000,-33290000,116105000,-215501000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,18507000,- -,-14364000,21635000,10880000,46000000
81,Other Working Capital,170024000,- -,166287000,434360000,324762000,-5057000
82,Other Non-Cash Items,-178184000,- -,1283676000,-261381000,303756000,10606000
83,Cash Provided by Operating Activities,164407000,- -,126348000,151343000,345730000,125991000
84,CAPEX,-34755000,- -,-47162000,-52419000,-30946000,-31175000
85,Acquisitions Net,-115513000,- -,-184283000,-9389000,-68057000,-44668000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1287000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-148981000,- -,-231445000,-61808000,-99003000,-75843000
90,Debt Repayment,-208364000,- -,-262198000,-45507000,-3514676000,-125045000
91,Common Stock Issued,- -,- -,- -,- -,925216000,794000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-12567000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,165743000,- -,332338000,7299000,2359308000,50518000
95,Cash Used/Provided by Financing Activities,-42621000,- -,70140000,-38208000,-230152000,-86300000
96,Effect of Forex Changes on Cash,-3100000,- -,-9146000,3179000,4366000,-3177000
97,Net Change In Cash,-30295000,- -,-44103000,54506000,20941000,-39329000
98,Cash at the End of Period,40268000,- -,144519000,199025000,219966000,180637000
99,Cash at the Beginning of Period,70563000,- -,188622000,144519000,199025000,219966000
100,Free Cash Flow,129652000,- -,79186000,98924000,314784000,94816000
101,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1776661/000121390020007995/0001213900-20-007995-index.htm,https://www.sec.gov/Archives/edgar/data/1776661/000119312521082812/0001193125-21-082812-index.htm,https://www.sec.gov/Archives/edgar/data/1776661/000095017022002524/0000950170-22-002524-index.htm
102,false,,,,,,
