,https://roic.ai/company/GH,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,70716000,57782000,30403000,90597000,97504000,101420000
28,Weighted Average Shares Outstanding Diluted,70716000,57782000,30403000,90597000,97504000,101420000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1576280/000162828019003139/0001628280-19-003139-index.htm,https://www.sec.gov/Archives/edgar/data/1576280/000162828020002613/0001628280-20-002613-index.htm,https://www.sec.gov/Archives/edgar/data/1576280/000157628021000031/0001576280-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1576280/000157628022000015/0001576280-22-000015-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,33591000,72280000,140544000,143228000,832977000,492202000
32,Short-Term Investments,61665000,149040000,278417000,379574000,961903000,440546000
33,Cash and Short-Term Investments,95256000,221320000,418961000,522802000,1794880000,932748000
34,Net Receivables,3495000,12787000,35690000,47986000,53299000,97652000
35,Inventory,2769000,7287000,9136000,15181000,22716000,30674000
36,Other Current Assets,1571000,1541000,5204000,11389000,17466000,53052000
37,Total Current Assets,103091000,242935000,468991000,597358000,1888361000,1114126000
38,PP&E,12634000,16036000,31003000,72808000,100125000,313904000
39,Goodwill,- -,- -,- -,3290000,3290000,3290000
40,Intangible Assets,- -,8739000,7800000,15414000,16200000,14207000
41,Intangible Assets,- -,8739000,7800000,18704000,19490000,17497000
42,Investments,- -,73254000,77563000,268783000,246597000,698034000
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,840000,1974000,2046000,4882000,17208000,60938000
45,Total Non-Current Assets,13474000,100003000,118412000,365177000,383420000,1090373000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,116565000,342938000,587403000,962535000,2271781000,2204499000
48,Accounts Payable,3157000,4998000,10642000,16197000,7340000,17580000
49,Short-Term Debt,131000,199000,97000,7140000,6632000,12856000
50,Tax Payable,345000,905000,1470000,3050000,4634000,4223000
51,Deferred Revenue,1898000,3113000,16138000,12277000,8550000,11326000
52,Other Current Liabilities,9092000,11317000,20067000,37120000,44287000,152925000
53,Total Current Liabilities,14278000,19627000,46944000,72734000,66809000,194687000
54,Long-Term Debt,16482000,- -,- -,- -,806292000,1360874000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,6109000,14705000,57307000,91408000,100185000,3933000
58,Total Non-Current Liabilities,22591000,14705000,57307000,91408000,906477000,1364807000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,557000,659000,216000,40396000,48197000,238909000
61,Total Liabilities,36869000,34332000,104251000,164142000,973286000,1559494000
62,Preferred Stock,179997000,499974000,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,1000,1000,1000
64,Retained Earnings,-107625000,-195736000,-280799000,-352809000,-606592000,-1007825000
65,Other Comprehensive Income/Loss,-86000,-532000,-83000,1111000,2697000,-4764000
66,Other Total Stockholders Equity,193807000,515038000,764033000,1150090000,1902389000,- -
67,Total Stockholders Equity,79696000,308606000,483152000,798393000,1298495000,645005000
68,Total Liabilities And Stockholders Equity,116565000,342938000,587403000,962535000,2271781000,2204499000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,116565000,342938000,587403000,962535000,2271781000,2204499000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1576280/000162828019003139/0001628280-19-003139-index.htm,https://www.sec.gov/Archives/edgar/data/1576280/000162828020002613/0001628280-20-002613-index.htm,https://www.sec.gov/Archives/edgar/data/1576280/000157628021000031/0001576280-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1576280/000157628022000015/0001576280-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-46139000,-83221000,-85063000,-75651000,-253783000,-405670000
74,Depreciation and Amortization,3693000,5206000,7136000,13609000,16065000,22271000
75,Deferred Income Tax,- -,- -,- -,-1597000,- -,- -
76,Stock Based Compensation,1971000,3670000,6851000,16954000,144113000,151449000
77,Change in Working Capital,2454000,134495000,198739000,102577000,1296928000,-40468000
78,Accounts Receivable,-2786000,-9292000,-22903000,-7389000,-5463000,-44353000
79,Inventory,-351000,-4518000,-1849000,-6045000,-7535000,-7957000
80,Accounts Payable,2145000,1250000,5046000,4341000,-7859000,8638000
81,Other Working Capital,88813000,223308000,422047000,524624000,1821552000,16992000
82,Other Non-Cash Items,1311000,-132385000,-199848000,-103026000,-1307250000,63401000
83,Cash Provided by Operating Activities,-36710000,-72235000,-72185000,-47134000,-103927000,-209017000
84,CAPEX,-1766000,-8983000,-20203000,-21217000,-54059000,-75035000
85,Acquisitions Net,- -,- -,- -,-7328000,- -,- -
86,Purchases of Investments,-341415000,-236835000,-287450000,-614290000,-1125575000,-940230000
87,Sales/Maturities of Investments,369383000,75402000,154625000,325333000,562548000,952110000
88,Other Investing Activites,- -,-2302000,- -,-2568000,-17886000,- -
89,Cash Used for Investing Activites,26202000,-170416000,-153028000,-317570000,-617086000,-63155000
90,Debt Repayment,-379000,-26088000,-443000,-439000,-174000,-146000
91,Common Stock Issued,- -,765000,254006000,356827000,355730000,- -
92,Common Stock Repurchased,-100000,-12557000,-172000,-723000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,40319000,319536000,39770000,11639000,1054751000,-66678000
95,Cash Used/Provided by Financing Activities,39840000,281656000,293161000,367304000,1410307000,-66824000
96,Effect of Forex Changes on Cash,- -,- -,- -,84000,455000,-1693000
97,Net Change In Cash,29332000,39005000,67948000,2684000,689749000,-340689000
98,Cash at the End of Period,33591000,72596000,140544000,143228000,832977000,492288000
99,Cash at the Beginning of Period,4259000,33591000,72596000,140544000,143228000,832977000
100,Free Cash Flow,-38476000,-81218000,-92388000,-68351000,-157986000,-284052000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1576280/000162828019003139/0001628280-19-003139-index.htm,https://www.sec.gov/Archives/edgar/data/1576280/000162828020002613/0001628280-20-002613-index.htm,https://www.sec.gov/Archives/edgar/data/1576280/000157628021000031/0001576280-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1576280/000157628022000015/0001576280-22-000015-index.htm
102,false,,,,,,
