,https://roic.ai/company/OPRX,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-3.6032,-50.7714,-170.4782,-28.2702,-1.9080,-0.1777,0.0435,-0.1577,-0.0824,-0.1986,-0.1735,0.0107,-0.1278,-0.0510,0.0062
25,EPS,-0.51,-1.05,-1.08,-0.45,-0.45,-0.09,0.06,-0.12,-0.06,-0.15,-0.21,0.02,-0.23,-0.15,0.02
26,EPS Diluted,-0.51,-1.05,-1.08,-0.45,-0.45,-0.09,0.03,-0.12,-0.06,-0.15,-0.21,0.02,-0.23,-0.15,0.02
27,Weighted Average Shares Outstanding,690410,4004919,4194609,4410442,4640551,4738623,4796000,7460797,8187471,9902629,9819743,10832209,13387863,14827923,17639346
28,Weighted Average Shares Outstanding Diluted,690410,4004919,4194609,4410442,4640551,4738623,4904334,8002776,8187471,9902629,9819743,11862991,13387863,14827923,18198412
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448431/000125529412000205/0001255294-12-000205-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000125529413000182/0001255294-13-000182-index.html,- -,https://www.sec.gov/Archives/edgar/data/1448431/000121390015002228/0001213900-15-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1448431/000121390016011609/0001213900-16-011609-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390017002093/0001213900-17-002093-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390018002722/0001213900-18-002722-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390019003962/0001213900-19-003962-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390020007491/0001213900-20-007491-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390021013996/0001213900-21-013996-index.htm,https://www.sec.gov/Archives/edgar/data/1448431/000121390022009736/0001213900-22-009736-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,135429,2502656,656394,1278094,959166,284263,1118243,3446973,8207565,7034647,5122573,8914034,18852680,10516776,84681770
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,135429,2502656,656394,1278094,959166,284263,1118243,3446973,8207565,7034647,5122573,8914034,18852680,10516776,84681770
34,Net Receivables,- -,1346,14465,226000,471870,616798,1566964,2100381,2847450,3060396,3430890,6457841,7418025,17885705,24800585
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2000,3292,8092,580051,119032,68158,11771,28093,70623,80820,255428,590744,871043,4456611,5630655
37,Total Current Assets,137429,2507294,678951,2084145,1550068,969219,2696978,5575447,11125638,10175863,8808891,15962619,27141748,32859092,115113010
38,PP&E,5972,15270,13581,13061,23931,20685,15057,12813,10239,173649,167305,149330,735877,594828,472638
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3678513,14740031,14740031,14740031
40,Intangible Assets,151564,120737,197610,1234754,1313439,1180451,1290936,1435497,1173354,1124198,782496,5259067,13940142,12120944,10646654
41,Intangible Assets,151564,120737,197610,1234754,1313439,1180451,1290936,1435497,1173354,1124198,782496,8937580,28680173,26860975,25386685
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,416667,5049,5049,5049,5049,5049,5049,5049,5049,80727,12859,12859
45,Total Non-Current Assets,157536,136007,211191,1664482,1342419,1206185,1311042,1453359,1188642,1302896,954850,9091959,29496777,27468662,25872182
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,294965,2643301,890142,3748627,2892487,2175404,4008020,7028806,12314280,11478759,9763741,25054578,56638525,60327754,140985192
48,Accounts Payable,43216,171864,33224,608409,906712,624693,1952400,2273133,3137799,2991731,2082095,2319626,2111433,5588118,4985024
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123220,90982
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,225720,330605,49252,4252,120130,227002,386581,507160,610625,580014,285795,1389907
52,Other Current Liabilities,296676,45933,4606,20700,66000,6000,12000,25459,6983,288268,953947,1300882,3416066,4031174,2902836
53,Total Current Liabilities,339892,217797,37830,854829,1303317,679945,1968652,2418722,3371784,3666580,3543202,4231133,6107513,10028307,9368749
54,Long-Term Debt,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236726
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,2365000,5668753,325533,- -
58,Total Non-Current Liabilities,50000,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,2365000,5668753,325533,236726
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,564184,448753,327708
61,Total Liabilities,389892,217797,37830,1854829,1303317,679945,1968652,2418722,3371784,3666580,3543202,6596133,11776266,10353840,9605475
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10300,12263,12826,13607,14192,14232,14773,22867,29031,29719,29318,12039,14601,15223,17861
64,Retained Earnings,-394927,-14492039,-19047728,-21756752,-24377514,-24741490,-24616220,-26124750,-26719890,-28259093,-30363122,-30278805,-33424610,-35631737,-35253658
65,Other Comprehensive Income/Loss,-295,-1617,-3306,-5056,-7287,-12763,-18391,-17794,-22414,-25689,-74276,-104702,-148916,- -,- -
66,Other Total Stockholders Equity,289995,16906897,19890520,23641999,25959779,26235480,26659206,30729761,35655769,36067242,36628619,48829913,78421184,85590428,166615514
67,Total Stockholders Equity,-94927,2425504,852312,1893798,1589170,1495459,2039368,4610084,8942496,7812179,6220539,18458445,44862259,49973914,131379717
68,Total Liabilities And Stockholders Equity,294965,2643301,890142,3748627,2892487,2175404,4008020,7028806,12314280,11478759,9763741,25054578,56638525,60327754,140985192
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,294965,2643301,890142,3748627,2892487,2175404,4008020,7028806,12314280,11478759,9763741,25054578,56638525,60327754,140985192
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448431/000125529412000205/0001255294-12-000205-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000125529413000182/0001255294-13-000182-index.html,- -,https://www.sec.gov/Archives/edgar/data/1448431/000121390015002228/0001213900-15-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1448431/000121390016011609/0001213900-16-011609-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390017002093/0001213900-17-002093-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390018002722/0001213900-18-002722-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390019003962/0001213900-19-003962-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390020007491/0001213900-20-007491-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390021013996/0001213900-21-013996-index.htm,https://www.sec.gov/Archives/edgar/data/1448431/000121390022009736/0001213900-22-009736-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-361466,-4248853,-4555689,-2009024,-2120762,-363976,215847,-1025393,-595140,-1539203,-2104029,226344,-3142576,-2207127,378079
74,Depreciation and Amortization,2824,32150,32516,59930,145315,187104,193791,264340,333950,235284,324551,316502,1175131,1971083,1965325
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-897960,- -,- -
76,Stock Based Compensation,- -,333004,- -,473768,189485,220647,418639,1172242,581106,559301,902389,1863911,2260298,3172840,5491957
77,Change in Working Capital,55009,2491960,-1648376,588195,-982565,42523,439052,2428399,4597129,-1244571,-1243594,6465797,9302749,1796550,-7310451
78,Accounts Receivable,- -,- -,1346,-211535,-245870,-151851,-950166,-588672,-747069,-212946,-370494,-2789252,-628830,-10667680,-6994880
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,43216,128648,-138640,3753,298303,-282019,1237130,226843,864666,60932,-909636,647491,-336427,3476685,-603094
81,Other Working Capital,-202463,2289497,641121,1229316,246751,289274,728326,3156725,7753854,6509283,5265689,11731486,21034235,22830785,1104112
82,Other Non-Cash Items,- -,472337,4401987,-424282,2247018,-710331,-134701,-2895938,-4401935,1523224,640852,-8079999,-10358438,-11043732,201129
83,Cash Provided by Operating Activities,-303633,-919402,-1769562,-1311413,-521509,-624033,1132628,-56350,515110,-465965,-1479831,792555,-1660796,-6310386,726039
84,CAPEX,-125581,-10621,-107700,-225637,-234870,-50870,-298648,-409952,-100964,-349538,-42243,-91013,-1587717,-124725,-485999
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,-9000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-120088,- -,-107700,-224407,-226819,-48640,-298648,-402968,-98918,-171104,- -,347529,-1494369,-56684,-385677
89,Cash Used for Investing Activites,-125581,-10621,-107700,-225637,-239919,-50870,-298648,-409952,-100964,-349538,-42243,-5686833,-10582086,-124725,-485999
90,Debt Repayment,- -,-643750,-4000,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,300000,636000,- -,8750,- -,- -,- -,8795032,4346446,449500,- -,8164475,21303826,- -,70671536
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,-806915,-390000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,250000,3305000,35000,2150000,1442500,- -,- -,- -,- -,- -,- -,521264,877702,-1900793,3253418
95,Cash Used/Provided by Financing Activities,550000,3297250,31000,2158750,442500,- -,- -,2795032,4346446,-357415,-390000,8685739,22181528,-1900793,73924954
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,120786,2367227,-1846262,621700,-318928,-674903,833980,2328730,4760592,-1172918,-1912074,3791461,9938646,-8335904,74164994
98,Cash at the End of Period,135429,2502656,656394,1278094,959166,284263,1118243,3446973,8207565,7034647,5122573,8914034,18852680,10516776,84681770
99,Cash at the Beginning of Period,14643,135429,2502656,656394,1278094,959166,284263,1118243,3446973,8207565,7034647,5122573,8914034,18852680,10516776
100,Free Cash Flow,-429214,-930023,-1877262,-1537050,-756379,-674903,833980,-466302,414146,-815503,-1522074,701542,-3248513,-6435111,240040
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448431/000125529412000205/0001255294-12-000205-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000125529413000182/0001255294-13-000182-index.html,- -,https://www.sec.gov/Archives/edgar/data/1448431/000121390015002228/0001213900-15-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1448431/000121390016011609/0001213900-16-011609-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390017002093/0001213900-17-002093-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390018002722/0001213900-18-002722-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390019003962/0001213900-19-003962-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390020007491/0001213900-20-007491-index.html,https://www.sec.gov/Archives/edgar/data/1448431/000121390021013996/0001213900-21-013996-index.htm,https://www.sec.gov/Archives/edgar/data/1448431/000121390022009736/0001213900-22-009736-index.htm
102,false,,,,,,,,,,,,,,,
