,https://roic.ai/company/ELP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1937837000,2754747000,3531721000,2534828000,3374738000,3337295000,3897833000,4516825000,5413572000,5162983000,5557843000,6422564000,4846239000,6088855000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,1826074000,1958230000,1656317000,2007183000,2501270000,838340000,838340000,-6080748000,13463000,-7428482000,635695000,860347000,926900000,744784000,792716000,844398000,914751000,1014248000,2716907000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6919088000,1571832000,- -,1350002000,983159000,976964000,1177372000,998466000,895601000,785610000,591927000,353349000
67,Total Stockholders Equity,- -,- -,- -,- -,4726074000,4858230000,5136317000,5487183000,6376270000,7236177000,8053087000,8830061000,11030123000,11826694000,12232992000,12651339000,13330689000,14245728000,14864165000,15207842000,16032925000,17252414000,19959111000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,8547177000,9222573000,9834537000,10802313000,11663601000,12128490000,13014059000,13579959000,17593729000,18878829000,20947048000,22834032000,25266051000,28608907000,30142928000,32859716000,35626811000,37966752000,46493257000
69,Minority Interest,- -,- -,- -,- -,- -,- -,44744000,143431000,271022000,231527000,239567000,253537000,265703000,242834000,264506000,277413000,352091000,338750000,291281000,302661000,303289000,345798000,291407000
70,Total Liabilities & Equity,- -,- -,- -,- -,8547177000,9222573000,9879281000,10945744000,11934623000,12360017000,13253626000,13833496000,17859432000,19121663000,21211554000,23111445000,25618142000,28947657000,30434209000,33162377000,35930100000,38312550000,46784664000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,377036000,290400020,430370850,472885414,-320019000,171137000,374148000,502377000,1242680000,1106610000,1078744000,1026433000,987807000,1157690000,700688000,1072560000,1205950000,1192738000,958650000,1033626000,1407063000,1989946000,3904202000
74,Depreciation and Amortization,-246477000,-321363690,-366406950,-283015456,282390000,292342000,308910000,328906000,372395000,422049000,404743000,391548000,542992000,552435000,549858000,602447000,629943000,676472000,708296000,731599000,749179000,1093836000,1009912000
75,Deferred Income Tax,3993000,-16302670,-24400350,3997165,-111112000,-52559000,30650000,-50028000,- -,- -,106082000,89724000,-127517000,-204539000,246178000,405069000,522016000,532229000,530568000,274686000,511993000,639326000,1285365000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-49368000,-54265610,-113507550,-339049702,-553701000,-129982000,208415000,280806000,- -,-479579000,-13586000,-308262000,-793348000,-1256613000,-429637000,-825148000,-1625726000,160323000,-1068054000,249311000,330616000,39176000,1351400000
78,Accounts Receivable,-3509000,-4908720,-158080650,-175748183,-30325000,-44848000,-93675000,-164286000,- -,-118420000,90961000,-72831000,84274000,-75867000,104421000,20614000,-789176000,-1022952000,578116000,-322814000,191113000,225624000,-175049000
79,Inventory,-4961000,-347520,-382200,-4348361,-2000000,-6503000,-3416000,-5958000,- -,-751000,-12065000,-29930000,-9322000,17622000,-21007000,-14469000,-11344000,19604000,381000,20078000,-5726000,-14220000,-40035000
80,Accounts Payable,4719000,21765250,-9541350,184913936,-53964000,146475000,331644000,315047000,- -,-25976000,130488000,14299000,-16349000,-90083000,107412000,-281881000,42528000,-229155000,-1315457000,209499000,-636671000,184965000,217177000
81,Other Working Capital,- -,- -,-6731400,- -,-254954000,-80798000,-16418000,-3014000,- -,-351005000,-307211000,-297545000,-973237000,-239365000,-329515000,-292013000,-263102000,-317616000,-318016000,190005000,-261127000,-520255000,-347730000
82,Other Non-Cash Items,596530000,910565750,791623950,874685985,838573000,215217000,30085000,19305000,-937943000,308194000,-14960000,90275000,637808000,898923000,328129000,82683000,359189000,-1241034000,347358000,-1300016000,-1227880000,-817278000,-3610035000
83,Cash Provided by Operating Activities,681714000,809033800,717679950,729503407,136131000,496155000,952208000,1081366000,677132000,1357274000,1561023000,1289718000,1247742000,1147896000,1395216000,1337611000,1091372000,1320728000,1476818000,989206000,1770971000,2945006000,3940844000
84,CAPEX,-768471000,-722470550,-407988750,-337584845,-303642000,-322307000,-404220000,-668866000,- -,-520549000,-656062000,-978879000,-1036955000,-1641639000,-1728799000,-1719300000,-2149145000,-1721331000,-2213163000,-2011748000,-1496656000,-548162000,-236550000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-604743000,-1393000,-108962000,- -,- -,- -,-565000,-65519000,149760000,- -,74983000,- -,43278000,-88759000,228000
86,Purchases of Investments,-242484000,-43740460,-28606500,-90608568,-95798000,-42094000,-37276000,-2707000,- -,- -,-118996000,-15140000,-184060000,-77501000,-159176000,-519315000,-732224000,-528629000,-505098000,-248243000,-127361000,-133874000,-120677000
87,Sales/Maturities of Investments,- -,30770,- -,- -,- -,88309000,400000,146000,- -,- -,- -,75920000,- -,- -,- -,279406000,- -,76883000,13664000,533120000,- -,45170000,- -
88,Other Investing Activites,26499000,19052060,42221400,61653382,42016000,55360000,-129119000,38923000,- -,-39064000,84062000,-15193000,-594411000,-729634000,-745009000,-1138459000,-1085637000,-747343000,-810188000,-660542000,-576003000,-943058000,-1320797000
89,Cash Used for Investing Activites,-984456000,-747128180,-394373850,-366540031,-357424000,-220732000,-570215000,-632504000,-604743000,-556599000,-791542000,-911726000,-1131838000,-1629054000,-1780354000,-1864114000,-2562676000,-1951618000,-2511075000,-1581173000,-2149153000,-1663651000,-1667571000
90,Debt Repayment,-80102000,- -,- -,-275406979,-195299000,-70567000,-195371000,-541466000,-9756000,-817591000,-262564000,-226162000,-224501000,- -,-37868000,-41660000,-466162000,-1325809000,-1012212000,-1886192000,-2617811000,-3668940000,-1331718000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-84942000,-156063630,-174985200,-209610871,-55437000,-8000,-45751000,-99880000,-122922000,-292809000,-269030000,-413516000,-198801000,-401105000,-224705000,-591548000,-668969000,-307528000,-368956000,-506404000,-300722000,-380421000,-626357000
94,Other Financing Activites,7139000,18997760,-122337150,63843736,506370000,-55886000,15666000,791158000,629408000,346592000,34818000,144262000,583291000,136972000,1081723000,1442126000,1604934000,3004823000,1916771000,3042565000,4205049000,3761324000,242962000
95,Cash Used/Provided by Financing Activities,-157905000,-137065870,-297322350,-421174114,255634000,-126461000,-225456000,149812000,496730000,-763808000,-496776000,-495416000,159989000,-264133000,819150000,808918000,469803000,1371486000,535603000,649969000,1286516000,-288037000,-1715113000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-460647000,-75162060,25983750,-58208427,34341000,148962000,156537000,598674000,569119000,36867000,272705000,-117424000,275893000,-745291000,434012000,282415000,-1001501000,740596000,-498654000,58002000,908334000,993318000,558160000
98,Cash at the End of Period,214049000,181561100,224076450,164734029,199919000,348881000,519236000,1131766000,584702000,1540871000,1813576000,1696152000,1794416000,1049125000,1483137000,1741632000,740131000,1480727000,982073000,1040075000,1948409000,2941727000,3499887000
99,Cash at the Beginning of Period,674696000,256723160,198092700,222942456,165578000,199919000,362699000,533092000,15583000,1504004000,1540871000,1813576000,1518523000,1794416000,1049125000,1459217000,1741632000,740131000,1480727000,982073000,1040075000,1948409000,2941727000
100,Free Cash Flow,-86757000,86563250,309691200,391918563,-167511000,173848000,547988000,412500000,677132000,836725000,904961000,310839000,210787000,-493743000,-333583000,-381689000,-1057773000,-400603000,-736345000,-1022542000,274315000,2396844000,3704294000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.8276,0.5539,0.5128,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925
