,https://roic.ai/company/RNGR,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,1700000,6100000,6300000,5100000,5300000,6000000,22400000
37,Total Current Assets,5200000,22300000,49700000,61100000,58700000,35000000,105000000
38,PP&E,48800000,102400000,189200000,229800000,225400000,189000000,276000000
39,Goodwill,- -,1600000,9000000,- -,- -,- -,- -
40,Intangible Assets,- -,9200000,10800000,10000000,9300000,8000000,7000000
41,Intangible Assets,- -,10800000,19800000,10000000,9300000,8000000,7000000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,200000,1000000,1600000,100000,- -,5000000
45,Total Non-Current Assets,48800000,113400000,210000000,241400000,234800000,197000000,288000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,54000000,135700000,259700000,302500000,293500000,232000000,393000000
48,Accounts Payable,1500000,7100000,36800000,22800000,22100000,10000000,20000000
49,Short-Term Debt,1500000,2300000,1300000,15800000,15800000,2000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1900000,2500000,14800000,20300000,17200000,21000000,82000000
53,Total Current Liabilities,4900000,11900000,52900000,58900000,55100000,33000000,102000000
54,Long-Term Debt,8500000,10100000,5800000,44700000,26600000,10000000,18000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,300000,1100000,5300000,6900000,8800000,1000000,24000000
58,Total Non-Current Liabilities,8800000,11200000,11100000,51600000,35400000,11000000,42000000
59,Other Liabilities,- -,- -,- -,- -,- -,33000000,- -
60,Capital Lease Obligations,1000000,800000,9500000,11000000,13200000,9000000,- -
61,Total Liabilities,13700000,23100000,64000000,110500000,90500000,55000000,144000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200000,200000,200000,-3000000,-3000000
64,Retained Earnings,- -,- -,-6600000,-9900000,-8100000,- -,-8000000
65,Other Comprehensive Income/Loss,-2200000,-8700000,-25400000,-52500000,-85500000,- -,- -
66,Other Total Stockholders Equity,42500000,121300000,135500000,164100000,206600000,104900000,259000000
67,Total Stockholders Equity,40300000,112600000,103700000,101900000,113200000,101900000,248000000
68,Total Liabilities And Stockholders Equity,54000000,135700000,167700000,212400000,203700000,156900000,392000000
69,Minority Interest,- -,- -,92000000,90100000,89800000,75100000,1000000
70,Total Liabilities & Equity,54000000,135700000,259700000,302500000,293500000,232000000,393000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1699039/000155837018001955/0001558370-18-001955-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903919000012/0001699039-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903920000008/0001699039-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903921000017/0001699039-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903922000029/0001699039-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,-5000000,-6600000,-3300000,1800000,-18000000,-2000000
74,Depreciation and Amortization,2100000,6600000,17800000,30300000,34800000,35000000,36000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-6000000
76,Stock Based Compensation,100000,500000,1200000,2100000,3300000,3700000,3000000
77,Change in Working Capital,-3000000,10100000,-13600000,5400000,1400000,-1600000,1000000
78,Accounts Receivable,-2100000,-8700000,-12400000,-13500000,5200000,15600000,-49000000
79,Inventory,- -,- -,- -,-3400000,1100000,400000,2000000
80,Accounts Payable,-1600000,1200000,200000,200000,-1100000,-3300000,4000000
81,Other Working Capital,300000,10400000,-3200000,2200000,3600000,2000000,3000000
82,Other Non-Cash Items,-4400000,-17400000,-16100000,-6900000,10600000,6400000,-71000000
83,Cash Provided by Operating Activities,-5200000,-5200000,-17300000,27600000,51900000,25500000,-39000000
84,CAPEX,-26000000,-11200000,-21700000,-75900000,-24200000,-7200000,-1000000
85,Acquisitions Net,- -,-16300000,-47700000,-4000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,500000,2100000,500000,5500000,800000,1800000,-31000000
89,Cash Used for Investing Activites,-25500000,-25400000,-68900000,-74400000,-23400000,-5400000,-36000000
90,Debt Repayment,-300000,-3100000,-13900000,-51000000,-49800000,-65400000,-10000000
91,Common Stock Issued,- -,- -,80800000,- -,- -,- -,-16000000
92,Common Stock Repurchased,- -,- -,-3900000,- -,-1100000,-3400000,- -
93,Dividends Paid,- -,-3000000,- -,- -,- -,- -,- -
94,Other Financing Activites,29200000,37200000,26900000,95100000,26700000,44600000,99000000
95,Cash Used/Provided by Financing Activities,28900000,31100000,89900000,44100000,-24200000,-24200000,73000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1800000,500000,3700000,-2700000,4300000,-4100000,-2200000
98,Cash at the End of Period,1100000,1600000,5300000,2600000,6900000,2800000,600000
99,Cash at the Beginning of Period,2900000,1100000,1600000,5300000,2600000,6900000,2800000
100,Free Cash Flow,-31200000,-16400000,-39000000,-48300000,27700000,18300000,-40000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1699039/000155837018001955/0001558370-18-001955-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903919000012/0001699039-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903920000008/0001699039-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903921000017/0001699039-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903922000029/0001699039-22-000029-index.htm
102,false,,,,,,,
