,https://roic.ai/company/NUVR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71557/000089710105000801/0000897101-05-000801-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710106000675/0000897101-06-000675-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710107000662/0000897101-07-000662-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710108000654/0000897101-08-000654-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710109000657/0000897101-09-000657-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710110000644/0000897101-10-000644-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710111000528/0000897101-11-000528-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710112000496/0000897101-12-000496-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710113000406/0000897101-13-000406-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316214000151/0001513162-14-000151-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316215000133/0001513162-15-000133-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316216000749/0001513162-16-000749-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316217000073/0001513162-17-000073-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316218000066/0001513162-18-000066-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316219000076/0001513162-19-000076-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316220000052/0001513162-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316221000039/0001513162-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316222000025/0001513162-22-000025-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1914113,2201435,2739389,2706764,30457707,9510309,3320510,2526490,2394703,1221717,2749850,964404,945087,551824,616114,1842092,1584769,2993000,8617660,2306149
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9960187,- -
33,Cash and Short-Term Investments,- -,- -,- -,1914113,2201435,2739389,2706764,30457707,9510309,3320510,2526490,2394703,1221717,2749850,964404,945087,551824,616114,1842092,1584769,2993000,18577847,2306149
34,Net Receivables,- -,- -,- -,2626492,2649347,1417572,1057174,1337367,1495353,3493158,4051942,1747442,2598444,2198266,1458627,2290370,1962052,2260130,1944501,4283073,2356742,2500783,2426009
35,Inventory,- -,- -,- -,502315,336958,263183,252068,239707,362884,1132009,1295638,1708042,1946831,2276368,2535046,2227925,2511632,1860157,2075199,2581389,2827159,2965960,5357380
36,Other Current Assets,- -,- -,- -,183751,271716,259302,257785,206927,280848,1428475,1209666,1592545,1361476,1405640,1539111,1499977,1814598,724891,851488,770589,826873,-8959792,3292432
37,Total Current Assets,- -,- -,- -,5226671,5459456,4679446,4273791,32241708,11649394,9374152,9083736,7442732,7128468,8630124,6497188,6963359,6840106,5461292,6713280,9219820,9003774,15084798,13381970
38,PP&E,- -,- -,- -,29729208,28290584,- -,- -,- -,- -,3844092,4669052,5777342,6769814,10221493,11512589,13713496,15507380,16801894,17750364,21705180,23301293,71690357,82303647
39,Goodwill,- -,- -,- -,3246442,3244390,- -,3240285,3238233,3218906,29516277,29516324,29707100,29707100,39975906,39805349,39805349,39805349,39805349,39805349,49903029,49903029,49903029,49903029
40,Intangible Assets,- -,- -,- -,- -,- -,3242338,- -,- -,17275,26017128,24216886,22292714,20215961,28609193,26137960,23666728,21195495,18726239,16257156,27409020,24085250,21639293,18315567
41,Intangible Assets,- -,- -,- -,3246442,3244390,3242338,3240285,3238233,3236181,55533405,53733210,51999814,49923061,68585099,65943309,63472077,61000844,58531588,56062505,77312049,73988279,71542322,68218596
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,24889402,23296498,24379344,25643682,6491513,6731959,7079362,7294815,7345680,7521389,9170093,9453578,9960187,10417563
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19484500
44,Other Non-Current Assets,- -,- -,- -,15109062,16336104,45913584,47789833,44575900,44167320,36952603,33452860,30837371,28225483,34680010,32195215,32845363,28993183,26190904,24252065,42824197,46498484,299155,-19062073
45,Total Non-Current Assets,- -,- -,- -,48084712,47871078,49155922,51030118,47814133,47403501,121219502,115151620,112993871,110562040,119978115,116383072,117110298,112796222,108870066,105586323,151011519,153241634,153492021,161362233
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,53311383,53330534,53835368,55303909,80055841,59052895,130593654,124235356,120436603,117690508,128608239,122880260,124073657,119636328,114331358,112299603,160231339,162245408,168576819,174744203
48,Accounts Payable,- -,- -,- -,2223687,1011579,1328386,972150,294756,1515996,1550877,1924806,1154791,1186665,1988390,1792608,3049999,1627308,2378736,2079470,3060987,1807334,1604735,3244472
49,Short-Term Debt,- -,- -,- -,- -,- -,2515987,2516796,26149,27472,519003,2957965,3458976,3698883,4113000,40707730,2700000,2700000,3315822,3315822,4511844,4511844,6788430,4511844
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1405622
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16988409,- -
52,Other Current Liabilities,- -,- -,- -,3146160,3202957,608453,1428764,23184492,816313,4904996,2509393,2830813,2475167,2533681,2444365,2465719,2874439,2594153,3129698,3367920,4831341,-13351904,3080525
53,Total Current Liabilities,- -,- -,- -,5369847,4214536,4452826,4917710,23505397,2359781,6974876,7392164,7444580,7360715,8635071,44944703,8215718,7201747,8288711,8524990,10940751,11150519,12029670,10836841
54,Long-Term Debt,- -,- -,- -,20152961,17630413,15114426,12597630,79983,61443,51251825,47308525,43815417,39809171,42494385,- -,36944471,33635045,28298064,24022465,57084130,51072286,47161441,43114772
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19484500
56,Deferred Tax Liabilities,- -,- -,- -,3651647,5243963,6068778,5867918,3244134,3018684,13334880,13709382,13476518,14142484,20215563,19418249,19161144,18391181,16314431,10318689,16140789,16470055,16988409,19484500
57,Other Non-Current Liabilities,- -,- -,- -,6708,3165,375000,375000,2478474,328336,7330171,3944744,3254319,2694217,1532594,1563599,1702326,1337983,1171656,984726,1470191,2794493,4776593,-59941777
58,Total Non-Current Liabilities,- -,- -,- -,23811316,22877541,21558204,18840548,5802591,3408463,71916876,64962651,60546254,56645872,64242542,20981848,57807941,53364209,45784151,35325880,74695110,70336834,68926443,22141995
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87398762
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,29181163,27092077,26011030,23758258,29307988,5768244,78891752,72354815,67990834,64006587,72877613,65926551,66023659,60565956,54072862,43850870,85635861,81487353,80956113,76093608
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,8525975,8525975,8525725,8525725,8525725,8525725,8525725,8525725,8525725,8525725,8506530,8482556,8502223,8528043,8565625,8600108,8625430,8648697,8667816,8683422
64,Retained Earnings,- -,- -,- -,15604245,17712482,19298613,23019926,42222128,44758926,45405280,45206551,45620217,45972430,47403409,48471153,49547775,50561016,51706451,59814870,66181285,72106198,80748301,90338806
65,Other Comprehensive Income/Loss,- -,- -,- -,-26423783,-30588170,-34771111,-38746872,-42663233,-46339199,-2000000,-2000000,-2000000,-1000000,-80466903,-86075424,-92297652,-99525661,-106767672,-113875345,-120877227,-129605576,-1944511,-631253
66,Other Total Stockholders Equity,- -,- -,- -,26423783,30588170,34771111,38746872,42663233,46339199,-229103,148265,299827,185766,80287590,86075424,92297652,99506974,106754092,113909100,120665990,129608736,149100,259620
67,Total Stockholders Equity,- -,- -,- -,24130220,26238457,27824338,31545651,50747853,53284651,51701902,51880541,52445769,53683921,55730626,56953709,58049998,59070372,60258496,68448733,74595478,80758055,87620706,98650595
68,Total Liabilities And Stockholders Equity,- -,- -,- -,53311383,53330534,53835368,55303909,80055841,59052895,130593654,124235356,120436603,117690508,128608239,122880260,124073657,119636328,114331358,112299603,160231339,162245408,168576819,174744203
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,53311383,53330534,53835368,55303909,80055841,59052895,130593654,124235356,120436603,117690508,128608239,122880260,124073657,119636328,114331358,112299603,160231339,162245408,168576819,174744203
71,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/71557/000089710105000801/0000897101-05-000801-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710106000675/0000897101-06-000675-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710107000662/0000897101-07-000662-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710108000654/0000897101-08-000654-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710109000657/0000897101-09-000657-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710110000644/0000897101-10-000644-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710111000528/0000897101-11-000528-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710112000496/0000897101-12-000496-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710113000406/0000897101-13-000406-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316214000151/0001513162-14-000151-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316215000133/0001513162-15-000133-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316216000749/0001513162-16-000749-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316217000073/0001513162-17-000073-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316218000066/0001513162-18-000066-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316219000076/0001513162-19-000076-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316220000052/0001513162-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316221000039/0001513162-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316222000025/0001513162-22-000025-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3329423,2963127,16588360,3989981,3812754,3291749,5460052,35111205,4582972,2692526,1642828,2050605,2027523,3174914,2854115,2744744,2666155,2854487,9954236,7763919,8329979,9835812,12251921
74,Depreciation and Amortization,2048946,2304251,3075155,3666249,4288905,4270812,4111769,4120673,3893777,9021128,9455416,9538864,9049414,8258486,9194430,9590061,9806033,9823112,9711932,10419053,12219418,12241886,12538778
75,Deferred Income Tax,-8594,-31590,- -,1365804,1592316,824815,-200860,-2623784,-225450,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13620,66164,190853,69452,187951
77,Change in Working Capital,-655051,- -,- -,-143176,1388096,-1018300,-870539,9380230,553302,-6890337,-707704,-1693420,-230399,227300,-38442568,37195156,890718,-2465778,1015709,90779,-425814,5201873,-509999
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1017501,398356,40560,200863,-1000739,205263,-1328984,1625368,476079,- -
79,Inventory,-203288,-1303654,894404,464250,165357,73775,11115,12361,-123177,-72398,-163629,-388446,-238789,-224434,-258678,307121,-283707,651475,-215042,-76453,-245770,-138801,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1562377,1029782,-557210,-565928,926587,-67804,1072892,-1057485,369800,-297606,549516,-946158,-89247,- -
81,Other Working Capital,- -,- -,- -,-143176,1244920,226620,-643919,8736311,9289613,2399276,1691572,-1848,-232247,-4947,-38447515,-1252359,-361641,-2827419,-1811710,-1720931,-2146745,3055128,2545129
82,Other Non-Cash Items,-775155,-1627042,-13778729,-3111586,-2972507,449788,-2013341,-41625456,-26766797,4429646,-4092703,1481596,-2192205,-1210687,37859824,-36859819,-2814132,1974606,-6755941,-1063085,2660228,-6104413,-24468651
83,Cash Provided by Operating Activities,3939569,3608746,5884786,5767272,8109564,7818864,6487081,4362868,-17962196,9252963,6297837,11377645,8654333,10450013,11465801,12670142,10548774,12186427,13939556,17276830,22974664,21244610,- -
84,CAPEX,-2800248,-9550540,-7197761,-7766799,-4132108,-3004263,-2317737,-1966156,-4029073,-4109769,-5540308,-6626623,-4824204,-7014135,-5367289,-9419188,-5673113,-5725287,-6267066,-7270982,-13046645,-12880549,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60776922,651419,- -,- -,18150,- -,- -,- -,- -,- -,-42136493,- -,- -,- -
86,Purchases of Investments,- -,- -,-202660,- -,- -,- -,- -,-18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,300000,600000,- -,- -,- -,- -,- -,74318762,3116624,1454231,1890000,4338,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-444845,-298634,41227,-3727951,535844,-55562,52757,-47234,-9362,-1373578,-232407,-292243,-42000,-24610,-81558,-83947,-199578,-136227,-75842,-239787,348758,-295734,- -
89,Cash Used for Investing Activites,-2945093,-9249174,-7359194,-11494750,-3596264,-3059825,-2264980,54305372,-921811,-64806038,-3231296,-6914528,-4866204,-7020595,-5448847,-9503135,-5872691,-5861514,-6342908,-49337156,-12697887,-12298469,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8018087,-2419004,-2957965,-3685805,-1400669,-5899655,-40707730,-3309426,-4425267,-4334778,-29880200,-6110400,-4621815,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-16750,-980577,- -,- -,-1402,- -,- -,- -,- -,- -,- -,- -,- -,-180180,- -,- -,- -,- -,- -,-114126,-238612,- -
93,Dividends Paid,-1645832,-1732455,-1709409,-1704517,-1704517,-1704466,-1738739,-15909003,-2046174,-2046172,-1841557,-1636939,-1675310,-1692329,-1722565,-1732455,-1737094,-1835356,-2035892,-2379099,-2644020,-1350054,- -
94,Other Financing Activites,-366666,6557333,7709333,5100425,-2521461,-2515217,-2515987,-15008294,-17217,59427535,400000,- -,400000,1191713,- -,39253861,-22826,- -,- -,64062302,- -,2889000,- -
95,Cash Used/Provided by Financing Activities,-2012498,4808128,5019347,3395908,-4225978,-4221085,-4254726,-30917297,-2063391,49363276,-3860561,-4594904,-4961115,-1901285,-7802400,-3186324,-5069346,-6260623,-6370670,31803003,-8868546,-3321481,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1018022,-832300,3544939,-2331570,287322,537954,-32625,27750943,-20947398,-6189799,-794020,-131787,-1172986,1528133,-1785446,-19317,-393263,64290,1225978,-257323,1408231,5624660,- -
98,Cash at the End of Period,1533044,700744,4245683,1914113,2201435,2739389,2706764,30457707,9510309,3320510,2526490,2394703,1221717,2749850,964404,945087,551824,616114,1842092,1584769,2993000,8617660,- -
99,Cash at the Beginning of Period,2551066,1533044,700744,4245683,1914113,2201435,2739389,2706764,30457707,9510309,3320510,2526490,2394703,1221717,2749850,964404,945087,551824,616114,1842092,1584769,2993000,8617660
100,Free Cash Flow,1139321,-5941794,-1312975,-1999527,3977456,4814601,4169344,2396712,-21991269,5143194,757529,4751022,3830129,3435878,6098512,3250954,4875661,6461140,7672490,10005848,9928019,8364061,- -
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71557/000089710105000801/0000897101-05-000801-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710106000675/0000897101-06-000675-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710107000662/0000897101-07-000662-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710108000654/0000897101-08-000654-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710109000657/0000897101-09-000657-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710110000644/0000897101-10-000644-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710111000528/0000897101-11-000528-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710112000496/0000897101-12-000496-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000089710113000406/0000897101-13-000406-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316214000151/0001513162-14-000151-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316215000133/0001513162-15-000133-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316216000749/0001513162-16-000749-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316217000073/0001513162-17-000073-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316218000066/0001513162-18-000066-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316219000076/0001513162-19-000076-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316220000052/0001513162-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316221000039/0001513162-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/71557/000151316222000025/0001513162-22-000025-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
