,https://roic.ai/company/SND,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,-30888000,-29375000,-2519000,-51162000,-96090000,-25525000,-8620000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,49000,14000,-29899000,100000,61000,-11142000
89,Cash Used for Investing Activites,-30888000,-29375000,-2470000,-51148000,-125989000,-25425000,-8559000,-11142000
90,Debt Repayment,-13100000,-10493000,-67093000,-635000,-40227000,-97661000,-13425000,- -
91,Common Stock Issued,- -,- -,138371000,26251000,127000,71000,62000,42000
92,Common Stock Repurchased,-40001000,-121000,-40744000,-127000,-2173000,-140000,-1155000,- -
93,Dividends Paid,-5000,-5000,-4000,- -,- -,- -,- -,- -
94,Other Financing Activites,60540000,12385000,-11125000,-2276000,83592000,79695000,6622000,-180000
95,Cash Used/Provided by Financing Activities,7434000,1766000,19405000,23213000,41319000,-18035000,-7896000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1317000,3094000,43638000,-12307000,-33761000,1173000,9086000,- -
98,Cash at the End of Period,802000,3896000,47534000,35227000,1466000,2639000,11725000,- -
99,Cash at the Beginning of Period,2119000,802000,3896000,47534000,35227000,1466000,2639000,11725000
100,Free Cash Flow,-8751000,1328000,24184000,-35534000,-45181000,19108000,16921000,21218000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1529628/000156459017004562/0001564590-17-004562-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000156459018005710/0001564590-18-005710-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000152962819000019/0001529628-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000152962820000020/0001529628-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000152962821000067/0001529628-21-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1529628/000152962822000029/0001529628-22-000029-index.htm
102,false,,,,,,,,
