,https://roic.ai/company/WTNW,2016,2017,2018,2019
84,CAPEX,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,10000
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-100000,-350000
89,Cash Used for Investing Activites,- -,-138034,-378148,-2131722
90,Debt Repayment,- -,- -,- -,870941
91,Common Stock Issued,170000,1436030,1470500,299387
92,Common Stock Repurchased,- -,-2049,-53106,10000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,123500,129261,1475491,4520509
95,Cash Used/Provided by Financing Activities,293500,1563242,2892885,5700837
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,- -,1713,51057,12936
98,Cash at the End of Period,336,2049,53106,66042
99,Cash at the Beginning of Period,- -,336,2049,53106
100,Free Cash Flow,-293164,-1423495,-2463680,-3556179
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1713909/000101054918000100/0001010549-18-000100-index.html,https://www.sec.gov/Archives/edgar/data/1713909/000101054919000059/0001010549-19-000059-index.html,https://www.sec.gov/Archives/edgar/data/1713909/000101054920000118/0001010549-20-000118-index.htm
102,false,,,,
