,https://roic.ai/company/VNT,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-12700000
94,Other Financing Activites,-114800000,-290500000,-499800000,-260500000,2145200000
95,Cash Used/Provided by Financing Activities,-114800000,-290500000,-499800000,-283900000,725500000
96,Effect of Forex Changes on Cash,9300000,-7900000,-5100000,14800000,-6800000
97,Net Change In Cash,- -,- -,- -,- -,192100000
98,Cash at the End of Period,- -,- -,- -,380500000,572600000
99,Cash at the Beginning of Period,- -,- -,- -,- -,380500000
100,Free Cash Flow,295400000,378600000,507200000,655600000,433300000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1786842/000178684221000013/0001786842-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1786842/000178684222000015/0001786842-22-000015-index.htm
102,false,,,,,
