,https://roic.ai/company/KMI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,197929527,197929527,197929527,707000000,907000000,1036000000,1137000000,2187000000,2230000000,2230000000,2216000000,2264000000,2263000000,2267000000
28,Weighted Average Shares Outstanding Diluted,197929527,197929527,197929527,1296600000,1354000000,1036000000,1137000000,2193000000,2230000000,2230000000,2216000000,2264000000,2263000000,2267000000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1506307/000150630714000010/kmi-2013x10k.htm,https://www.sec.gov/Archives/edgar/data/1506307/000150630715000014/kmi-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/1506307/000150630716000072/0001506307-16-000072-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630717000008/0001506307-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630718000010/0001506307-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630719000033/0001506307-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630720000022/0001506307-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630721000022/0001506307-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1506307/000150630722000018/0001506307-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,165600000,502400000,411400000,714000000,598000000,315000000,229000000,684000000,264000000,3280000000,185000000,1184000000,1140000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,925000000,- -,- -
33,Cash and Short-Term Investments,- -,165600000,502400000,411400000,714000000,598000000,315000000,229000000,684000000,264000000,3280000000,1110000000,1184000000,1140000000
34,Net Receivables,- -,916300000,971400000,914200000,1404000000,1721000000,1641000000,1315000000,1550000000,1613000000,1521000000,1370000000,1293000000,- -
35,Inventory,- -,115400000,94200000,171600000,374000000,430000000,459000000,407000000,357000000,424000000,385000000,371000000,348000000,- -
36,Other Current Assets,- -,183000000,218900000,166100000,1182000000,1119000000,1337000000,873000000,638000000,414000000,536000000,387000000,378000000,2689000000
37,Total Current Assets,- -,1380300000,1786900000,1663300000,3674000000,3868000000,3752000000,2824000000,3229000000,2715000000,5722000000,3238000000,3203000000,3829000000
38,PP&E,- -,16803500000,17070700000,17926000000,30996000000,35847000000,38564000000,40547000000,38705000000,40155000000,37897000000,36419000000,35836000000,35653000000
39,Goodwill,- -,4744300000,4830900000,5073500000,23572000000,24504000000,24654000000,23790000000,22152000000,22162000000,21965000000,21451000000,19851000000,19914000000
40,Intangible Assets,- -,259800000,339200000,1184700000,1171000000,2438000000,2302000000,3551000000,3319000000,3099000000,2880000000,2676000000,2453000000,- -
41,Intangible Assets,- -,5004100000,5170100000,6258200000,24743000000,26942000000,26956000000,27341000000,25471000000,25261000000,24845000000,24127000000,22304000000,19914000000
42,Investments,- -,3695600000,4291100000,3744400000,5804000000,5951000000,6036000000,6040000000,7027000000,7298000000,7481000000,7759000000,7917000000,7578000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,5651000000,5323000000,4352000000,2044000000,1566000000,857000000,536000000,- -
44,Other Non-Current Assets,- -,697500000,589300000,1125100000,2968000000,2577000000,2239000000,2029000000,1521000000,1582000000,1355000000,1757000000,2177000000,3442000000
45,Total Non-Current Assets,- -,26200700000,27121200000,29053700000,64511000000,71317000000,79446000000,81280000000,77076000000,76340000000,73144000000,70919000000,68770000000,66587000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,27581000000,28908100000,30717000000,68185000000,75185000000,83198000000,84104000000,80305000000,79055000000,78866000000,74157000000,71973000000,70416000000
48,Accounts Payable,- -,620800000,647500000,728700000,1200000000,1676000000,1588000000,1324000000,1257000000,1340000000,1337000000,914000000,837000000,- -
49,Short-Term Debt,- -,805300000,2013300000,2921300000,2449000000,2306000000,2717000000,821000000,2696000000,2828000000,3277000000,2266000000,2447000000,2646000000
50,Tax Payable,- -,58300000,44700000,38800000,- -,- -,- -,- -,- -,- -,483000000,364000000,267000000,- -
51,Deferred Revenue,- -,76100000,96700000,99600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,817000000,886600000,779400000,1560000000,2093000000,2057000000,1920000000,1971000000,2013000000,2943000000,1920000000,1790000000,3175000000
53,Total Current Liabilities,- -,2319200000,3644100000,4529000000,5209000000,6075000000,6362000000,4065000000,5924000000,6181000000,7557000000,5100000000,5074000000,5821000000
54,Long-Term Debt,- -,13240700000,13812900000,14356400000,32000000000,33887000000,40246000000,42406000000,37354000000,35015000000,33936000000,31915000000,32021000000,30674000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2035900000,2092700000,2199100000,4033000000,4651000000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1140100000,819400000,1064900000,2844000000,2287000000,2164000000,2230000000,2225000000,2735000000,2842000000,3056000000,3040000000,2000000000
58,Total Non-Current Liabilities,- -,16416700000,16725000000,17620400000,38877000000,40825000000,42410000000,44636000000,39579000000,37750000000,36778000000,34971000000,35061000000,32674000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,18735900000,20369100000,22149400000,44086000000,46900000000,48772000000,48701000000,45503000000,43931000000,44335000000,40071000000,40135000000,38495000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4338400000,3575600000,8000000,10000000,10000000,21000000,22000000,22000000,22000000,23000000,23000000,23000000,- -
64,Retained Earnings,- -,- -,- -,-3000000,-943000000,-1372000000,-2106000000,-6103000000,-6669000000,-7754000000,-7716000000,-7693000000,-9936000000,- -
65,Other Comprehensive Income/Loss,- -,-167900000,-136500000,-114600000,-119000000,-24000000,-17000000,-461000000,-661000000,-541000000,-330000000,-333000000,-407000000,-411000000
66,Other Total Stockholders Equity,- -,- -,- -,3430100000,14917000000,14479000000,36178000000,41661000000,41739000000,41909000000,41701000000,41745000000,41756000000,- -
67,Total Stockholders Equity,- -,4170500000,3439100000,3320500000,13865000000,13093000000,34076000000,35119000000,34431000000,33636000000,33678000000,33742000000,31436000000,30823000000
68,Total Liabilities And Stockholders Equity,- -,22906400000,23808200000,25469900000,57951000000,59993000000,82848000000,83820000000,79934000000,77567000000,78013000000,73813000000,71571000000,69318000000
69,Minority Interest,- -,4674600000,5099900000,5247100000,10234000000,15192000000,350000000,284000000,371000000,1488000000,853000000,344000000,402000000,1098000000
70,Total Liabilities & Equity,- -,27581000000,28908100000,30717000000,68185000000,75185000000,83198000000,84104000000,80305000000,79055000000,78866000000,74157000000,71973000000,70416000000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1506307/000150630714000010/kmi-2013x10k.htm,https://www.sec.gov/Archives/edgar/data/1506307/000150630715000014/kmi-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/1506307/000150630716000072/0001506307-16-000072-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630717000008/0001506307-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630718000010/0001506307-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630719000033/0001506307-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630720000022/0001506307-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630721000022/0001506307-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1506307/000150630722000018/0001506307-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,495000000,-41300000,594400000,315000000,1193000000,1026000000,253000000,708000000,183000000,1609000000,2190000000,119000000,1784000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2164000000,2135000000
75,Deferred Income Tax,- -,60600000,1900000,84200000,47000000,640000000,615000000,692000000,1087000000,2073000000,405000000,717000000,345000000,355000000
76,Stock Based Compensation,- -,- -,- -,- -,87000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-452900000,-918300000,-1008500000,1330700000,-672000000,-403000000,1369000000,-1454000000,-771000000,1631000000,-27000000,-9000000,-121000000
78,Accounts Receivable,- -,47600000,18200000,7800000,-231000000,-131000000,-84000000,382000000,-107000000,-78000000,-50000000,105000000,88000000,-265000000
79,Inventory,- -,-20000000,-20800000,17600000,-92000000,-53000000,-30000000,34000000,49000000,-90000000,15000000,4000000,16000000,-202000000
80,Accounts Payable,- -,-180500000,-4200000,41100000,44000000,-36000000,-1000000,-156000000,144000000,73000000,21000000,-198000000,-19000000,387000000
81,Other Working Capital,- -,-938900000,-1857200000,-2865700000,-1535000000,-2207000000,-2610000000,-1241000000,-2695000000,-3466000000,-1835000000,-1862000000,-1871000000,-1992000000
82,Other Non-Cash Items,- -,1484800000,2868700000,2695000000,1015300000,2903000000,3229000000,2989000000,4446000000,3116000000,1398000000,1868000000,1931000000,1555000000
83,Cash Provided by Operating Activities,- -,1587500000,1911000000,2365100000,2795000000,4064000000,4467000000,5303000000,4787000000,4601000000,5043000000,4748000000,4550000000,5708000000
84,CAPEX,- -,-1324300000,-1002500000,-1200100000,-2022000000,-3369000000,-3617000000,-3896000000,-2882000000,-3188000000,-2924000000,-2270000000,-1707000000,-1281000000
85,Acquisitions Net,- -,- -,- -,- -,-3179000000,- -,- -,- -,1401000000,- -,2998000000,1499000000,- -,- -
86,Purchases of Investments,- -,-2051800000,-1260400000,-1341600000,-192000000,-217000000,-389000000,-96000000,-408000000,-684000000,-433000000,-1299000000,-386000000,- -
87,Sales/Maturities of Investments,- -,125700000,224500000,236400000,- -,- -,- -,- -,- -,- -,124000000,1527000000,- -,-206000000
88,Other Investing Activites,- -,-1551400000,-1251200000,-1286300000,-1713000000,-2847000000,-4821000000,-5610000000,-2698000000,-2678000000,-2737000000,-3441000000,-525000000,-2505000000
89,Cash Used for Investing Activites,- -,-3477500000,-2287100000,-2391500000,-5084000000,-3064000000,-5210000000,-5706000000,-1705000000,-3362000000,-68000000,-1714000000,-911000000,-2305000000
90,Debt Repayment,- -,-5728800000,-7841700000,-8792900000,-14755000000,-12393000000,-17801000000,-15116000000,-10060000000,-11064000000,-14591000000,-11224000000,-3996000000,-6831000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,3870000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-273000000,-2000000,-50000000,- -
93,Dividends Paid,- -,-650000000,-700000000,-769600000,-1184000000,-1622000000,-1760000000,-4224000000,-1272000000,-1276000000,-1774000000,-2174000000,-2441000000,-2443000000
94,Other Financing Activites,- -,8309800000,9252300000,9505500000,18523000000,12920000000,20032000000,15797000000,8703000000,10659000000,14814000000,7215000000,3849000000,5809000000
95,Cash Used/Provided by Financing Activities,- -,1931000000,710600000,-57000000,2584000000,-1095000000,471000000,327000000,-2629000000,-1681000000,-1824000000,-6185000000,-2638000000,-3465000000
96,Effect of Forex Changes on Cash,- -,6000000,2300000,-7600000,8000000,-21000000,-11000000,-10000000,2000000,22000000,-146000000,29000000,-1000000,- -
97,Net Change In Cash,- -,47000000,336800000,-91000000,303000000,-116000000,-283000000,-86000000,455000000,-420000000,3005000000,-3122000000,1000000000,-62000000
98,Cash at the End of Period,- -,165600000,502400000,411400000,714000000,598000000,315000000,229000000,684000000,264000000,3331000000,209000000,1209000000,1147000000
99,Cash at the Beginning of Period,- -,118600000,165600000,502400000,411000000,714000000,598000000,315000000,229000000,684000000,326000000,3331000000,209000000,1209000000
100,Free Cash Flow,- -,263200000,908500000,1165000000,773000000,695000000,850000000,1407000000,1905000000,1413000000,2119000000,2478000000,2843000000,4427000000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1506307/000150630714000010/kmi-2013x10k.htm,https://www.sec.gov/Archives/edgar/data/1506307/000150630715000014/kmi-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/1506307/000150630716000072/0001506307-16-000072-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630717000008/0001506307-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630718000010/0001506307-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630719000033/0001506307-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630720000022/0001506307-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1506307/000150630721000022/0001506307-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1506307/000150630722000018/0001506307-22-000018-index.htm
102,false,,,,,,,,,,,,,,
