,https://roic.ai/company/RYI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0286,0.0239,-0.0136,0.0052,0.0209,0.0498,0.0360,0.0239,0.0343,0.0466,0.0327,0.0316,0.0468,0.0186,0.0961
19,Total Other Income Expenses (Gains),-84500000,-80700000,-83000000,-110700000,-118500000,-160000000,-110700000,-113300000,-106700000,-107100000,-93300000,-22500000,-95600000,-154700000,-156100000
20,Income Before Tax,86900000,46100000,-124700000,-90600000,-19800000,40300000,13900000,-26900000,1900000,26100000,16700000,116700000,115200000,-90100000,389100000
21,Income Before Tax Ratio,0.0145,0.0087,-0.0407,-0.0233,-0.0042,0.0100,0.0040,-0.0074,0.0006,0.0091,0.0050,0.0265,0.0256,-0.0260,0.0686
22,Income Tax expense (Gain),30000000,14800000,67500000,13100000,-11000000,-5500000,-112300000,-700000,3700000,7200000,-1300000,10300000,32500000,-24800000,93700000
23,Net Income,56900000,32500000,-190700000,-104000000,-8100000,47100000,127300000,-25700000,-500000,18700000,17100000,106000000,82400000,-65800000,294300000
24,Net Income ratio,0.0095,0.0061,-0.0622,-0.0267,-0.0017,0.0117,0.0368,-0.0071,-0.0002,0.0065,0.0051,0.0240,0.0183,-0.0190,0.0519
25,EPS,1.77,1.01,-5.95,-3.25,-0.25,1.47,3.97,-1.01,-0.02,0.55,0.46,2.84,2.19,-1.73,7.67
26,EPS Diluted,1.77,1.01,-5.95,-3.25,-0.25,1.47,3.97,-1.01,-0.02,0.54,0.46,2.81,2.17,-1.73,7.55
27,Weighted Average Shares Outstanding,32037500,32037500,32037500,32037500,32037500,32037500,32037500,25400000,32100000,34300000,37200000,37300000,37700000,38000000,38470000
28,Weighted Average Shares Outstanding Diluted,32037500,32037500,32037500,32037500,32037500,32037500,32037500,25400000,32100000,34400000,37300000,37700000,38000000,38000000,39091000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1481582/000119312511067235/0001193125-11-067235-index.htm,https://www.sec.gov/Archives/edgar/data/1481582/000119312512107289/0001193125-12-107289-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1481582/000119312515094069/d837880d10k.htm,https://www.sec.gov/Archives/edgar/data/1481582/000156459016014318/0001564590-16-014318-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459017004120/0001564590-17-004120-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459018004385/0001564590-18-004385-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459019006287/0001564590-19-006287-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459020008692/0001564590-20-008692-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459021008111/0001564590-21-008111-index.htm,https://www.sec.gov/Archives/edgar/data/1481582/000156459022006263/0001564590-22-006263-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,35200000,130400000,115000000,62600000,61700000,71200000,74400000,60000000,63200000,80700000,77400000,23200000,11000000,61400000,51200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,35200000,130400000,115000000,62600000,61700000,71200000,74400000,60000000,63200000,80700000,77400000,23200000,11000000,61400000,51200000
34,Net Receivables,601500000,500900000,357400000,497900000,513900000,394100000,381900000,400800000,305700000,326000000,376300000,521000000,425100000,378900000,630800000
35,Inventory,1069700000,819500000,601700000,783400000,732400000,741500000,733000000,738900000,555800000,563400000,616500000,806300000,742900000,604500000,832100000
36,Other Current Assets,68800000,55300000,62300000,73400000,46300000,46300000,50000000,41700000,34000000,27700000,33700000,62600000,101000000,58600000,78900000
37,Total Current Assets,1775200000,1506100000,1136400000,1417300000,1354300000,1253100000,1239300000,1241400000,958700000,997800000,1103900000,1413100000,1280000000,1103400000,1593000000
38,PP&E,587000000,547700000,477500000,479200000,479700000,472300000,441700000,425800000,400300000,388200000,422900000,489000000,567900000,530100000,599400000
39,Goodwill,68500000,76000000,71000000,73300000,96300000,96600000,91600000,102700000,103200000,103200000,115300000,120300000,120300000,120300000,124100000
40,Intangible Assets,14800000,14100000,12800000,16200000,62200000,57400000,51200000,50900000,46200000,40800000,46900000,58100000,50600000,43200000,42200000
41,Intangible Assets,83300000,90100000,83800000,89500000,158500000,154000000,142800000,153600000,149400000,144000000,162200000,178400000,170900000,163500000,166300000
42,Investments,80100000,49000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,14700000,59500000,55800000,47100000,37200000,41000000,97400000,134100000,31800000,24400000,17900000,- -,- -,- -,- -
44,Other Non-Current Assets,36200000,29500000,22300000,20400000,28700000,33700000,30600000,22000000,16000000,4300000,5000000,5800000,2700000,5100000,6900000
45,Total Non-Current Assets,801300000,775800000,639400000,636200000,704100000,701000000,712500000,735500000,597500000,560900000,608000000,673200000,741500000,698700000,772600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2576500000,2281900000,1775800000,2053500000,2058400000,1954100000,1951800000,1976900000,1556200000,1558700000,1711900000,2086300000,2021500000,1802100000,2365600000
48,Accounts Payable,277000000,225000000,173700000,287500000,245100000,196300000,207300000,220800000,206300000,230400000,275000000,390200000,311500000,365100000,481200000
49,Short-Term Debt,- -,- -,- -,26700000,52000000,35300000,32300000,66600000,22000000,19200000,21300000,27300000,49200000,34500000,53700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,262500000,196900000,212300000,244300000,250600000,224800000,221000000,214800000,87400000,82800000,106400000,151500000,131200000,128000000,216100000
53,Total Current Liabilities,539500000,421900000,386000000,558500000,547700000,456400000,460600000,502200000,315700000,332400000,402700000,569000000,491900000,527600000,751000000
54,Long-Term Debt,1199100000,964500000,725800000,1184600000,1264200000,1270100000,1262500000,1192500000,1012500000,944300000,1024400000,1126000000,932600000,819200000,795300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65200000,58200000,94100000
57,Other Non-Current Liabilities,338700000,503300000,509700000,492900000,514100000,521500000,338800000,409100000,368900000,331300000,292200000,315400000,353200000,252000000,180600000
58,Total Non-Current Liabilities,1537800000,1467800000,1235500000,1677500000,1778300000,1791600000,1601300000,1601600000,1381400000,1275600000,1316600000,1441400000,1351000000,1129400000,1070000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133700000,113700000,209700000
61,Total Liabilities,2077300000,1889700000,1621500000,2236000000,2326000000,2248000000,2061900000,2103800000,1697100000,1608000000,1719300000,2010400000,1842900000,1657000000,1821000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,200000,300000,300000,400000,400000,400000,400000,400000,400000
64,Retained Earnings,-11200000,21300000,-169400000,-273400000,-281500000,-234400000,-107100000,-132800000,-130900000,-112200000,-95100000,14200000,99600000,33800000,321700000
65,Other Comprehensive Income/Loss,-7100000,-45200000,-67500000,-138000000,-215000000,-252000000,-188000000,-291000000,-307000000,-308000000,-286000000,-316000000,-302000000,-271900000,-165100000
66,Other Total Stockholders Equity,517500000,397900000,374700000,224700000,225200000,189800000,182900000,295000000,296000000,369000000,370700000,374600000,374600000,376500000,380200000
67,Total Stockholders Equity,499200000,374000000,137800000,-186700000,-271300000,-296600000,-112000000,-128500000,-141600000,-50800000,-10000000,73200000,172600000,138800000,537200000
68,Total Liabilities And Stockholders Equity,2576500000,2263700000,1759300000,2049300000,2054700000,1951400000,1949900000,1975300000,1555500000,1557200000,1709300000,2083600000,2015500000,1795800000,2358200000
69,Minority Interest,- -,18200000,16500000,4200000,3700000,2700000,1900000,1600000,700000,1500000,2600000,2700000,6000000,6300000,7400000
70,Total Liabilities & Equity,2576500000,2281900000,1775800000,2053500000,2058400000,1954100000,1951800000,1976900000,1556200000,1558700000,1711900000,2086300000,2021500000,1802100000,2365600000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1481582/000119312511067235/0001193125-11-067235-index.htm,https://www.sec.gov/Archives/edgar/data/1481582/000119312512107289/0001193125-12-107289-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1481582/000119312515094069/d837880d10k.htm,https://www.sec.gov/Archives/edgar/data/1481582/000156459016014318/0001564590-16-014318-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459017004120/0001564590-17-004120-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459018004385/0001564590-18-004385-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459019006287/0001564590-19-006287-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459020008692/0001564590-20-008692-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459021008111/0001564590-21-008111-index.htm,https://www.sec.gov/Archives/edgar/data/1481582/000156459022006263/0001564590-22-006263-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,56900000,32500000,-190700000,-104000000,-8100000,47100000,127300000,-25700000,-500000,18700000,17100000,106000000,82400000,-65800000,294300000
74,Depreciation and Amortization,39800000,37600000,36900000,38400000,43000000,47000000,46600000,45600000,43700000,42500000,47100000,52900000,58400000,53900000,55900000
75,Deferred Income Tax,36300000,-12800000,56800000,58800000,-11600000,-9200000,-112700000,-3500000,3200000,4700000,-9200000,7800000,48000000,-16600000,600000
76,Stock Based Compensation,24500000,- -,- -,- -,- -,- -,- -,- -,700000,1400000,2200000,3300000,3100000,1900000,5500000
77,Change in Working Capital,483800000,-151500000,-333800000,108400000,-52200000,-9900000,-18000000,-39500000,-96200000,22400000,35800000,142900000,-56000000,-212300000,-347900000
78,Accounts Receivable,- -,- -,- -,- -,- -,120800000,9900000,-19500000,88000000,-22500000,-44000000,-64800000,92500000,- -,- -
79,Inventory,484000000,262400000,226900000,-170900000,92900000,-5800000,4400000,-6400000,178100000,-6500000,-42900000,-21400000,65900000,138900000,-227900000
80,Accounts Payable,20800000,-80000000,-500000,102300000,-71700000,-38300000,15700000,-22400000,-12400000,20500000,58300000,58400000,-78200000,25800000,123600000
81,Other Working Capital,1235700000,1084200000,750400000,858800000,806600000,796700000,778700000,739200000,643000000,665400000,701200000,844100000,788100000,575800000,-23100000
82,Other Non-Cash Items,-23200000,374700000,715700000,-300300000,83400000,111500000,4900000,-50200000,308200000,-64300000,-95100000,-255500000,57200000,516800000,26600000
83,Cash Provided by Operating Activities,618100000,280500000,284900000,-198700000,54500000,186500000,48100000,-73300000,259100000,25400000,-2100000,57400000,193100000,277900000,35000000
84,CAPEX,-60700000,-30100000,-22800000,-27000000,-47000000,-40800000,-20200000,-21600000,-22300000,-23000000,-25100000,-38400000,-45800000,-26000000,-59300000
85,Acquisitions Net,- -,- -,- -,-12000000,-95000000,-5000000,- -,-20000000,-9000000,- -,-49000000,-170000000,- -,- -,-14500000
86,Purchases of Investments,-200000,-42700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,30900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1093400000,31100000,32100000,-32400000,-20000000,-30300000,-13500000,-14000000,-9000000,-20700000,-22700000,-30200000,26400000,-25900000,108900000
89,Cash Used for Investing Activites,-1093600000,19300000,32100000,-44400000,-115000000,-35300000,-13500000,-34000000,-18000000,-20700000,-71700000,-200200000,26400000,-25900000,94400000
90,Debt Repayment,-2349900000,-1841700000,-285900000,-190600000,-11800000,-990300000,-15400000,-111700000,-62000000,-744100000,-14600000,-66100000,-190900000,-667800000,-175500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,112400000,- -,71500000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-6600000,- -,- -,- -,- -,- -,- -,- -,-1800000
93,Dividends Paid,-4100000,- -,-56500000,-213800000,- -,-35000000,- -,- -,- -,- -,- -,- -,- -,- -,-6400000
94,Other Financing Activites,2809600000,1644700000,- -,589500000,69700000,881900000,-4600000,99800000,-170200000,684500000,81200000,159000000,7100000,417600000,45800000
95,Cash Used/Provided by Financing Activities,455600000,-197000000,-342400000,185100000,57900000,-143400000,-26600000,100500000,-232200000,11900000,66600000,92900000,-183800000,-250200000,-137900000
96,Effect of Forex Changes on Cash,- -,-7600000,10000000,5600000,1700000,1700000,-4800000,-7600000,-5700000,900000,3900000,-4300000,-200000,900000,-1600000
97,Net Change In Cash,-19900000,95200000,-15400000,-52400000,-900000,9500000,3200000,-14400000,3200000,17500000,-3300000,-54200000,35500000,2700000,-10100000
98,Cash at the End of Period,35200000,130400000,115000000,62600000,61700000,71200000,74400000,60000000,63200000,80700000,77400000,24300000,59800000,62500000,52400000
99,Cash at the Beginning of Period,55100000,35200000,130400000,115000000,62600000,61700000,71200000,74400000,60000000,63200000,80700000,78500000,24300000,59800000,62500000
100,Free Cash Flow,557400000,250400000,262100000,-225700000,7500000,145700000,27900000,-94900000,236800000,2400000,-27200000,19000000,147300000,251900000,-24300000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1481582/000119312511067235/0001193125-11-067235-index.htm,https://www.sec.gov/Archives/edgar/data/1481582/000119312512107289/0001193125-12-107289-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1481582/000119312515094069/d837880d10k.htm,https://www.sec.gov/Archives/edgar/data/1481582/000156459016014318/0001564590-16-014318-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459017004120/0001564590-17-004120-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459018004385/0001564590-18-004385-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459019006287/0001564590-19-006287-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459020008692/0001564590-20-008692-index.html,https://www.sec.gov/Archives/edgar/data/1481582/000156459021008111/0001564590-21-008111-index.htm,https://www.sec.gov/Archives/edgar/data/1481582/000156459022006263/0001564590-22-006263-index.htm
102,false,,,,,,,,,,,,,,,
