,https://roic.ai/company/CLVT,2017,2018,2019,2020,2021
47,Total Assets,4005111000,3709674000,3791371000,15197344000,20132269000
48,Accounts Payable,60758000,38418000,26458000,82038000,129218000
49,Short-Term Debt,45345000,60345000,31130000,64055000,62754000
50,Tax Payable,- -,- -,- -,45119000,- -
51,Deferred Revenue,361260000,391102000,407325000,707318000,1030399000
52,Other Current Liabilities,193710000,153849000,186085000,716356000,679603000
53,Total Current Liabilities,661073000,643714000,650998000,1569767000,1901974000
54,Long-Term Debt,1967735000,1930177000,1692800000,3562224000,5550235000
55,Deferred Revenue,15796000,17112000,19723000,41399000,54250000
56,Deferred Tax Liabilities,51792000,43226000,48547000,362261000,380060000
57,Other Non-Current Liabilities,22609000,24838000,18891000,67722000,370591000
58,Total Non-Current Liabilities,2057932000,2015353000,1779961000,4033606000,6355136000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,86319000,139779000,- -
61,Total Liabilities,2719005000,2659067000,2430959000,5603373000,8257110000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,16000,16000,2208529000,10049317000,- -
64,Retained Earnings,-390099000,-632261000,-843238000,-958867000,-1604461000
65,Other Comprehensive Income/Loss,13984000,5358000,-4879000,503521000,326755000
66,Other Total Stockholders Equity,1662205000,1677494000,- -,- -,13203575000
67,Total Stockholders Equity,1286106000,1050607000,1360412000,9593971000,11925869000
68,Total Liabilities And Stockholders Equity,4005111000,3709674000,3791371000,15197344000,20182979000
69,Minority Interest,- -,- -,- -,- -,-50710000
70,Total Liabilities & Equity,4005111000,3709674000,3791371000,15197344000,20132269000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1764046/000176404621000074/0001764046-21-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1764046/000176404622000064/0001764046-22-000064-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-263930000,-242162000,-210977000,-106310000,-270448000
74,Depreciation and Amortization,228463000,237225000,200542000,303150000,537815000
75,Deferred Income Tax,-36272000,19716000,357000,-45105000,-13358000
76,Stock Based Compensation,17663000,13715000,51383000,35422000,33329000
77,Change in Working Capital,28180000,-17937000,77180000,-83840000,-22974000
78,Accounts Receivable,43109000,-50906000,-593000,16234000,-64067000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-39660000,-18091000,-13838000,-2851000,31193000
81,Other Working Capital,-217165000,-235102000,-157922000,-241762000,-264736000
82,Other Non-Cash Items,32563000,-36657000,-905000,160183000,59403000
83,Cash Provided by Operating Activities,6667000,-26100000,117580000,263500000,323767000
84,CAPEX,-37804000,-45410000,-72461000,-113695000,-118543000
85,Acquisitions Net,-2401000,57344000,-68424000,-2878473000,-3930214000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-37804000,-45410000,-72461000,-113695000,-114246000
89,Cash Used for Investing Activites,-40205000,11934000,-140885000,-2992168000,-4044460000
90,Debt Repayment,-15423000,-76709000,-691509000,-137600000,-32624000
91,Common Stock Issued,9058000,1574000,- -,843744000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-18868000
94,Other Financing Activites,29183000,42530000,766724000,2220436000,4083652000
95,Cash Used/Provided by Financing Activities,22818000,-32605000,75215000,2926580000,4032160000
96,Effect of Forex Changes on Cash,3248000,-5193000,-971000,-5043000,3738000
97,Net Change In Cash,-7472000,-51964000,50555000,192869000,- -
98,Cash at the End of Period,77548000,25584000,76139000,269008000,- -
99,Cash at the Beginning of Period,85020000,77548000,25584000,76139000,269008000
100,Free Cash Flow,-31137000,-71510000,45119000,149805000,205224000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1764046/000176404621000074/0001764046-21-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1764046/000176404622000064/0001764046-22-000064-index.htm
102,false,,,,,
