,https://roic.ai/company/RLMD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,- -,- -,25968956,14483636,1527356,570411,4854089,1317855,4256983,3868423
53,Total Current Liabilities,6996,33666,26773411,15582673,3060737,1376639,5904698,2606418,12603458,15060925
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2656457,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,100000,- -,140914,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,100000,- -,140914,- -,2656457,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,6996,33666,26873411,15582673,3201651,1376639,8561155,2606418,12603458,15060925
62,Preferred Stock,- -,- -,3337,72,- -,- -,- -,- -,- -,- -
63,Common Stock,23500,28500,40294,10778,12035,12528,12550,38978,16333,27740
64,Retained Earnings,-12142,-57157,-55318647,-76122243,-79096934,-85383455,-94344307,-111662367,-179315303,-305067112
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-63700,-2000,-4600,-9500,- -,- -
66,Other Total Stockholders Equity,- -,15000,- -,84921327,86190952,86833211,88823281,119246204,284881716,513304258
67,Total Stockholders Equity,11358,-13657,- -,8809934,7042353,1460284,-5513076,7613315,105582746,208264886
68,Total Liabilities And Stockholders Equity,18354,20009,26873411,24392607,10244004,2836923,3048079,10219733,118186204,223325811
69,Minority Interest,- -,- -,-1108961,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18354,20009,25764450,24392607,10244004,2836923,3048079,10219733,118186204,223325811
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1553643/000121390021017556/0001213900-21-017556-index.htm,https://www.sec.gov/Archives/edgar/data/1553643/000121390022015012/0001213900-22-015012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-12052,-45015,- -,-20803596,-2974691,-6286521,-8960852,-17318060,-59456394,-125751809
74,Depreciation and Amortization,- -,250,- -,9256,54819,85271,2627,4870,3752,1258
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1977362,1002576,704452,517999,1213996,20777272,40494476
77,Change in Working Capital,4487,-1015695,- -,9416100,-2147634,-5139286,-4265009,10544694,10849623,-7864714
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,491,3236,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,6996,26504,- -,89187,424426,-730153,157392,158920,7823812,2846027
81,Other Working Capital,-15207,-1030902,- -,8385198,6237564,1098278,-3166731,7377963,- -,- -
82,Other Non-Cash Items,- -,1048601,- -,-6825850,-9078815,4169749,6703157,-4943354,16946,1247394
83,Cash Provided by Operating Activities,-7565,-11859,- -,-16226728,-13143745,-6466335,-6002078,-10497854,-27808801,-91873395
84,CAPEX,- -,-1800,- -,-23326,-562256,-49690,-12391,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-182051630,-222981675
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,147603982,168863639
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-1800,- -,-23326,-562256,-49690,-12391,- -,-34447648,-54118036
90,Debt Repayment,- -,- -,- -,-293625,-263752,-273670,- -,-285170,-110247,- -
91,Common Stock Issued,13500,20000,- -,- -,- -,- -,- -,17760635,20527158,185311412
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,13449288,- -,- -,6542900,- -,8056416,2628061
95,Cash Used/Provided by Financing Activities,13500,20000,- -,13155663,-263752,-273670,6542900,17475465,28473327,187939473
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5935,6341,- -,-3094391,-13969753,-6789695,528431,6977611,-33783122,41948042
98,Cash at the End of Period,8949,15290,- -,22469960,8500207,1710512,2238943,9216554,2495397,44443439
99,Cash at the Beginning of Period,3014,8949,- -,25564351,22469960,8500207,1710512,2238943,36278519,2495397
100,Free Cash Flow,-7565,-13659,- -,-16250054,-13706001,-6516025,-6014469,-10497854,-27808801,-91873395
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1553643/000121390021017556/0001213900-21-017556-index.htm,https://www.sec.gov/Archives/edgar/data/1553643/000121390022015012/0001213900-22-015012-index.htm
102,false,,,,,,,,,,
