,https://roic.ai/company/SOL,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12,Interest Income ,- -,3000,941,312161,1933991,1782695,1715675,1835016,7862339,7118250,8443153,5009687,2875075,2353343,51403,193552,822915,975719
13,Interest Expense (Gain),- -,26000,- -,- -,- -,11869167,17122262,23245598,37190296,50628707,52108491,49015802,43417785,33939704,3936302,8703904,9159818,6206076
14,Depreciation and Amortization,- -,- -,45013,732859,4170400,15517433,32745074,56353672,82730940,93501714,112894150,90223634,90112980,83205965,4475823,8402169,7796003,7342327
15,EBITDA,- -,28000,618526,23313057,40950863,-29939786,-63192674,308593160,115402721,-77032628,-96635613,105259535,129129259,84741017,43191731,18676993,9229647,16490094
16,EBITDA ratio,- -,Infinity,0.1216,0.2763,0.1645,-0.0447,-0.1238,0.2560,0.1171,-0.0795,-0.0636,0.0674,0.1007,0.0911,0.4194,0.1927,0.0775,0.2243
17,Operating Income,- -,25000,601470,22235200,43432602,-48516357,-90557951,245944220,11542466,-179030862,-221445399,8217495,29303330,-15072644,6555610,15531888,-964304,6780197
18,Operating Income ratio,- -,Infinity,0.1182,0.2635,0.1744,-0.0724,-0.1774,0.2040,0.0117,-0.1847,-0.1457,0.0053,0.0229,-0.0162,0.0637,0.1603,-0.0081,0.0922
19,Total Other Income Expenses (Gains),- -,-23000,-27957,344998,-6624993,-13183171,-22211590,-16950330,-16062770,-42178780,-40196810,-42201168,-33704836,-17332008,-3033711,-10624199,-9610802,-4461174
20,Income Before Tax,- -,2000,573513,22580198,36807609,-61699528,-112769541,228993890,-4520304,-221209642,-261642209,-33983673,-4401506,-32404652,3521899,4907689,-10575106,2319023
21,Income Before Tax Ratio,- -,Infinity,0.1127,0.2676,0.1478,-0.0920,-0.2209,0.1899,-0.0046,-0.2283,-0.1722,-0.0218,-0.0034,-0.0348,0.0342,0.0506,-0.0888,0.0316
22,Income Tax expense (Gain),- -,-5000,-617352,-2720601,-6155828,-2420260,-41156343,59997804,-4851479,21352490,-2722715,-349880,673616,2293599,322068,-188791,1105049,163036
23,Net Income,- -,7000,1190865,25300799,42936291,-54906126,-71903667,168996086,332964,-242515539,-258915539,-33630021,-5075122,-34698251,34457538,1759711,-8831223,2778655
24,Net Income ratio,- -,Infinity,0.2341,0.2999,0.1725,-0.0819,-0.1409,0.1402,0.0003,-0.2502,-0.1704,-0.0215,-0.0040,-0.0373,0.3346,0.0182,-0.0741,0.0378
25,EPS,- -,0.00,0.20,3.20,4.30,-4.30,-4.30,9.80,0.02,-11.80,-14.20,-1.70,-0.20,-1.70,1.40,0.05,-0.22,0.07
26,EPS Diluted,- -,0.00,0.20,3.20,4.30,-4.30,-4.30,9.70,0.02,-11.80,-14.20,-1.70,-0.20,-1.70,1.40,0.05,-0.22,0.07
27,Weighted Average Shares Outstanding,- -,10000003,6666670,7906500,10000003,12711606,14755368,17287092,17349690,17267137,18216791,20355005,20408504,20222977,24689929,38075293,40595551,49166354
28,Weighted Average Shares Outstanding Diluted,- -,10822148,6666670,7906500,10822148,12711606,14755368,17511173,17349690,17267137,18216791,20355005,20408504,20222977,24690529,38075293,40595551,49788422
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417892/000114420419021681/tv518702_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,40000,404139,9861698,53136512,112333796,106807945,290701669,379039116,93283283,86772678,99847604,38045225,37336382,13429301,6750178,24292113,40593094
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,6207119,3331540,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,40000,404139,9861698,53136512,112333796,113015064,294033209,379039116,93283283,86772678,99847604,38045225,37336382,13429301,6750178,24292113,40593094
34,Net Receivables,- -,- -,1469372,11476273,8871567,80151496,160269005,126031360,185657050,265353881,269763740,157956730,189411563,134083111,38672687,47478159,21527211,59334201
35,Inventory,- -,1000,3232913,44775370,110630212,193035583,137844182,170598793,154181613,254879734,359577034,357361169,193171119,143976055,- -,- -,- -,- -
36,Other Current Assets,- -,220000,1662986,23251559,90602516,54613227,69095437,103324271,114044019,260262517,490685041,244365734,217122399,192098473,117972757,81044723,57243821,36821294
37,Total Current Assets,- -,261000,6769410,89364900,263240807,440134102,480223688,693987633,832921798,873779415,1206798493,859531237,637750306,507494021,170074745,135273060,103063145,136748589
38,PP&E,- -,463000,2426435,19907593,136598396,503132032,702815884,801471848,980164615,1152499164,908088817,789871607,667701865,523105400,154659077,190787262,192284087,168745676
39,Goodwill,- -,- -,- -,- -,- -,- -,5323406,5323406,5646522,- -,- -,- -,- -,- -,- -,- -,- -,1022567
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1349274,- -,52290000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,6672680,5323406,5646522,- -,- -,- -,- -,- -,- -,- -,- -,1022567
42,Investments,- -,- -,- -,- -,- -,45729448,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,625804,102266,284126,2339569,40227229,8525910,25156789,13529981,13658926,8461905,10237718,15538942,59298,1111472,837864,1184321
44,Other Non-Current Assets,- -,184000,237753,19210804,40486018,16452618,54889568,80615459,105085854,18516451,11204441,11142777,30629696,42267325,10905672,50540548,23759097,29240796
45,Total Non-Current Assets,- -,647000,3289992,39220663,177368540,567653667,804605361,895936623,1116053780,1184545596,932952184,809476289,708569279,580911667,165624047,242439282,216881048,200193360
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,908000,10059402,128585563,440609347,1007787769,1284829049,1589924256,1948975578,2058325011,2139750677,1669007526,1346319585,1088405688,335698792,377712342,319944193,336941949
48,Accounts Payable,- -,- -,1589973,4901913,13146538,37942429,93406183,220798309,235813928,483024820,656242907,461499180,300176417,223302995,25787686,12050201,20431093,6313330
49,Short-Term Debt,- -,245000,712498,14674862,71691426,191987179,391108786,400797904,570893649,733618423,673096148,654675368,694932546,595433960,6605894,44464515,48292515,50205411
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,12416684,4111306,2552000,5305606,123492,129845,314870,559493,848061,1284514,1414346
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,58237920,40384298,99499295,84411639,28101183,21997987,21028525,102510,86316,900604
52,Other Current Liabilities,- -,224000,5013417,36405128,73537847,103207149,125335779,152629926,124431555,185201776,284134642,136206256,80651743,63697179,91774848,77119842,40595544,30889293
53,Total Current Liabilities,- -,469000,7315888,55981903,158375811,333136757,609850748,774226139,989377052,1442229317,1712972992,1336792443,1103861889,904432121,145196953,133737068,109405468,88308638
54,Long-Term Debt,- -,- -,- -,- -,146061791,32832576,189279292,121515030,256284887,168196128,181105079,138050827,38776693,28835700,100019369,119309869,72991550,65373230
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,77192114,62165323,54886955,26283215,55618285,53067150,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,40999,62928,1246180,259730956,89436078,107718591,24980069,21330758,21769107,32724722,36128806,35924937,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,40999,62928,147307971,292563532,278715370,229233621,358457070,251692209,257761141,197058764,130523784,117827787,100019369,119309869,72991550,65373230
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67505469,77874770,79656432,74563082
61,Total Liabilities,- -,469000,7356887,56044831,305683782,625700289,888566118,1003459760,1347834122,1693921526,1970734133,1533851207,1234385673,1022259908,245216322,253046937,182397018,153681868
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,36265997,330665587,- -,- -,- -,421460573,475816214,476765888,477964702,477171487,519225850,519313350,530208240,574499870
64,Retained Earnings,- -,- -,1172086,23264197,66200488,11294362,-60609305,108386781,104859324,-137656215,-396571754,-430201775,-435276897,-469975148,-435517610,-433514434,-442345657,-439567002
65,Other Comprehensive Income/Loss,- -,- -,30246,1245907,8415476,22079224,22053871,36180724,71645808,74836221,83613660,81080032,61576757,51233248,-2238218,-4493312,-2858746,-3565101
66,Other Total Stockholders Equity,- -,- -,- -,- -,14826696,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9364019,- -,7769742
67,Total Stockholders Equity,- -,439000,2702515,72540732,125708657,381808401,396262931,586464496,600986007,363891066,168807898,135156319,111933912,66145780,90482470,90669623,94716772,139137509
68,Total Liabilities And Stockholders Equity,- -,908000,10059402,128585563,431392439,1007508690,1284829049,1589924256,1948820129,2057812592,2139542031,1669007526,1346319585,1088405688,335698792,343716560,277113790,292819377
69,Minority Interest,- -,- -,- -,- -,9216908,279079,- -,- -,155449,512419,208646,- -,- -,- -,- -,33995782,42830403,44122572
70,Total Liabilities & Equity,- -,908000,10059402,128585563,440609347,1007787769,1284829049,1589924256,1948975578,2058325011,2139750677,1669007526,1346319585,1088405688,335698792,377712342,319944193,336941949
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417892/000114420419021681/tv518702_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,1190865,25300799,42936291,-54906126,-71903667,168996086,332964,-242515539,-258915539,-33630021,-5075122,-34698251,34457538,1759711,-8831223,2778655
74,Depreciation and Amortization,- -,- -,45013,732859,4170400,15517433,32745074,56353672,82730940,93501714,112894150,90223634,90112980,83205965,4475823,8402169,7796003,7342327
75,Deferred Income Tax,- -,- -,-617352,-2720601,-6422628,- -,- -,- -,- -,- -,- -,- -,- -,- -,88048,-1094385,255538,-303000
76,Stock Based Compensation,- -,- -,- -,- -,- -,3087288,3296174,3934566,4359540,2221406,1626560,2240126,1527494,746980,870618,439071,348916,369187
77,Change in Working Capital,- -,- -,93760,-39173698,-76624152,-140168900,-108011097,173488392,-155824272,-24309487,101643051,-160578101,-72414865,-21414952,-55318375,-63638871,35290818,-14002505
78,Accounts Receivable,- -,- -,- -,- -,- -,-34936540,-62658713,26886223,-79455716,145062643,131330242,-129283192,-187856103,-21855275,2081248,-18362948,20766681,-19743913
79,Inventory,- -,- -,-3215221,-40591047,-60436604,-204846808,-1721040,-28433451,-24250952,-157339323,-97019340,-19210219,121765462,10470840,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,23185315,38022985,121462667,4559739,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,40781,-4015958,7872905,-18043669,-77700017,-1501088,-4627725,-11408745,63337030,-19744255,-24785270,1484381,-26353006,-14024527,-13962,778151
82,Other Non-Cash Items,- -,- -,369572,361738,4278605,141656062,90195061,397625,46342532,76370620,161313062,-19944597,-11940880,-305863,33856462,3046040,21053649,-6219103
83,Cash Provided by Operating Activities,- -,- -,1081858,-15498903,-31661484,-34814243,-53678455,403170341,-22058296,-94731286,118561284,-121688959,2209607,27533879,18430114,-51086265,55913701,-10034439
84,CAPEX,- -,- -,-2239542,-17606865,-101398281,-338324857,-358084269,-144531450,-152719189,-136420900,-126238037,-54512424,-16820983,-11625304,-80314313,-40399769,-13693749,-8247790
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-16831050,- -,-1172824,- -,- -,18679663,-83000,3190678,- -,- -,- -,-3896627
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-634552,- -,-6331995,-759322,- -,- -,-4454292,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,6335472,- -,- -,- -,768666,290341,4397504,- -,1889873,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,2805,-14597720,-16801614,-4211355,117880820,-6739141,-17242528,-112806981,-63654573,146896244,-18669198,48704684,-76039388,- -,12096869,8757356
89,Cash Used for Investing Activites,- -,- -,-2236737,-32204585,-118199895,-336200740,-257669051,-151270591,-177466536,-249218537,-189602269,115460987,-40027473,42159931,-156353701,-40399769,-1596880,-3387061
90,Debt Repayment,- -,- -,- -,- -,- -,-141403468,-529798413,-740964722,-792228598,-1056351424,-1450351941,-1055713921,-1114019290,-1074454714,-3269380,-46621678,-97715935,-29726806
91,Common Stock Issued,- -,- -,1042582,50000000,- -,294012074,73625000,- -,- -,- -,70050000,- -,- -,- -,- -,- -,11000000,44999330
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1545000,- -,-1943822,- -,- -,- -,-812183,-1493352,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-102862,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,456819,7218271,188537448,269722942,763471778,668152189,1068086073,1116259106,1447922033,1068762587,1103673722,1013574352,105673095,132446192,47410260,14904449
95,Cash Used/Provided by Financing Activities,- -,- -,1499401,57218271,188537448,422228686,305753365,-72812533,273913653,59907682,67620092,13048666,-11157751,-62373714,102403715,85824514,-39305675,30176973
96,Effect of Forex Changes on Cash,- -,- -,20043,-57224,4598745,7983581,68290,4806507,13948626,-1713692,-3089712,6254232,-12826762,-8028939,11612791,1258263,1087262,-722416
97,Net Change In Cash,- -,- -,364565,9457559,43274814,59197284,-5525851,183893724,88337447,-285755833,-6510605,13074926,-61802379,-708843,-23907081,-4403257,15671109,15979158
98,Cash at the End of Period,- -,- -,404139,9861698,53136512,112333796,106807945,290701669,379039116,93283283,86772678,99847604,38045225,37336382,13429301,9026044,24697153,40676311
99,Cash at the Beginning of Period,- -,- -,39574,404139,9861698,53136512,112333796,106807945,290701669,379039116,93283283,86772678,99847604,38045225,37336382,13429301,9026044,24697153
100,Free Cash Flow,- -,- -,-1157684,-33105768,-133059765,-373139100,-411762724,258638891,-174777485,-231152186,-7676753,-176201383,-14611376,15908575,-61884199,-91486034,42219952,-18282229
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417892/000114420419021681/tv518702_20f.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,
