,https://roic.ai/company/SRRE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12,Interest Income ,- -,- -,- -,7887,10958,7136,29072,13199,3557,9964,13775,239079,394201,853055,132429,59144,39469,42218,151760,582788
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,623928,555282,613155,1514782,2420375,3763555,3401238,3476587,2205816,423864,2142282,- -,48
14,Depreciation and Amortization,3600,1000,- -,81602,131072,112793,733534,813776,841775,866221,926330,990401,1100170,1063659,1028453,602002,503790,480020,1674980,2546065
15,EBITDA,-3305124,-856566,-7049,309720,2727947,4982325,-3606161,-3426896,4873498,2118076,1249646,303974,3632204,841794,-393236,33204505,67727010,51080941,-463866,2541870
16,EBITDA ratio,-115.3661,-49.6704,-Infinity,0.0401,0.2507,0.3035,-0.4451,-0.4244,0.3717,0.1652,0.1347,0.0356,0.2846,0.0978,-0.0825,6.3844,2.4578,6.1965,-0.0141,431.4421
17,Operating Income,-3301223,-1020588,-7049,176591,2849866,5416730,-4395387,-4255030,3791024,1776088,-626721,-1112137,2188791,-2242333,-3727776,-3633012,141948,-3204213,-6948403,-27784638
18,Operating Income ratio,-115.2300,-59.1817,-Infinity,0.0229,0.2619,0.3299,-0.5426,-0.5269,0.2892,0.1385,-0.0675,-0.1304,0.1715,-0.2604,-0.7825,-0.6985,0.0052,-0.3887,-0.2106,-4716.0014
19,Total Other Income Expenses (Gains),- -,- -,- -,39445,-88164,-483720,213281,-583064,-84414,-549631,-302072,-2142140,-3361060,-2939496,-3127270,30962792,66869560,51311297,2044522,27782622
20,Income Before Tax,- -,- -,- -,216036,2761702,4933010,-4182106,-4838094,3706610,1226457,-928793,-3254277,-1172269,-5181829,-6855046,27329780,67011508,48107084,-4903881,-2016
21,Income Before Tax Ratio,- -,- -,- -,0.0280,0.2538,0.3005,-0.5162,-0.5991,0.2827,0.0957,-0.1001,-0.3815,-0.0918,-0.6017,-1.4390,5.2549,2.4318,5.8357,-0.1486,-0.3422
22,Income Tax expense (Gain),- -,- -,- -,164174,500732,1211584,426054,1164307,201057,664187,26889,-13518,-63227,30583,-132984,-37395,4144726,1573573,-384046,- -
23,Net Income,-3308724,-857566,-7049,63944,2096143,3657948,-4765749,-6028907,3275384,-25487,-1218355,-3093284,-1168294,-3653686,-4765292,30434082,62654630,46885066,-1754800,-4243
24,Net Income ratio,-115.4918,-49.7284,-Infinity,0.0083,0.1927,0.2228,-0.5883,-0.7466,0.2498,-0.0020,-0.1313,-0.3626,-0.0915,-0.4243,-1.0003,5.8517,2.2737,5.6875,-0.0532,-0.7201
25,EPS,-267.02,-28.16,-0.22,0.00,0.10,0.16,-0.20,-0.25,0.14,-0.00,-0.05,-0.11,-0.04,-0.09,-0.06,0.44,0.91,0.68,-0.03,-0.06
26,EPS Diluted,-267.02,-28.16,-0.22,0.00,0.10,0.16,-0.20,-0.25,0.14,-0.00,-0.05,-0.11,-0.04,-0.09,-0.06,0.44,0.91,0.68,-0.03,-0.06
27,Weighted Average Shares Outstanding,12130,30434,31528,17095839,22282816,23628174,23691925,23691925,23691925,23691925,26191925,28691925,28691925,37404254,68691925,68691925,68691925,68691925,68691925,68691925
28,Weighted Average Shares Outstanding Diluted,12130,30434,31528,17095839,22282816,23628174,23691925,23691925,23691925,23691925,26191925,28691925,28691925,37404254,68691925,68691925,68691925,68691925,68691925,68691925
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083490/000114420408030094/0001144204-08-030094-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083490/000114420413030915/0001144204-13-030915-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420414075912/0001144204-14-075912-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420417033242/0001144204-17-033242-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420417053893/0001144204-17-053893-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420418012903/0001144204-18-012903-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420418012903/0001144204-18-012903-index.html,https://www.sec.gov/Archives/edgar/data/1083490/000114420419041558/0001144204-19-041558-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000110465920116418/0001104659-20-116418-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000110465921058970/0001104659-21-058970-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,969913,855588,945727,2281516,587468,3444600,4110996,4921031,1973022,4265475,2817555,2148944,8870303,5869944,17656165,15900753,40369612
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23152639,49451172,27818996,27275677
33,Cash and Short-Term Investments,- -,- -,- -,969913,855588,945727,2281516,587468,3444600,4110996,4921031,1973022,4265475,2817555,2148944,8870303,29022583,67107337,43719749,67645289
34,Net Receivables,- -,- -,- -,2642758,1527955,4891393,1837035,1042884,828330,637089,2321071,6552968,4516567,4360073,4331057,4232314,4973050,10156495,5080643,77464
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67974281,64423978,85909986,- -
36,Other Current Assets,- -,- -,- -,2784994,5218440,2574092,2715379,1159031,732257,1283463,1349014,21846170,31422099,74333038,79400535,83239123,5972384,6337195,11120557,235170682
37,Total Current Assets,- -,- -,- -,6397665,7601983,8411212,6833930,2789383,5005187,6031548,8591116,30372160,40204141,81510666,85880536,96341740,107942298,148025005,145830935,302893435
38,PP&E,- -,- -,- -,596685,531458,2491633,2519585,10844903,9889069,2571516,2405829,9303261,9139734,8470080,7536158,1412403,1283901,1098842,1203850,1384776
39,Goodwill,- -,- -,- -,- -,- -,207302,13307,13307,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1690029
40,Intangible Assets,- -,- -,- -,183029,187783,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,183029,187783,207302,13307,13307,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1690029
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1509958,4253206,3925770,5747224,5639916,7716818,37181284,50830269,31003256,12918786,14307007
43,Tax Assets,- -,- -,- -,- -,144333,142842,- -,- -,- -,- -,- -,189375,469400,17203,142111,337536,591300,- -,380627,- -
44,Other Non-Current Assets,- -,- -,- -,1480036,7488899,10662642,7878261,- -,- -,7208535,6920532,6401469,6137819,5700845,5008609,4348324,4255265,3707480,26949046,-14307007
45,Total Non-Current Assets,- -,- -,- -,2259750,8352473,13504419,10411153,10858210,9889069,11290009,13579567,19819875,21494177,19828044,20403696,43279547,56960735,35809578,41452309,3074805
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,8657415,15954456,21915631,17245083,13647593,14894256,17321557,22170683,50192035,61698318,101338710,106284232,139621287,164903033,183834583,187283244,305968240
48,Accounts Payable,- -,5015,- -,193762,73522,528814,230654,340353,316064,86928,481741,586935,489582,10531908,7467199,2486348,3767578,5268437,4347678,20448001
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1168095,- -,- -,- -,12834563,23781969,31729436,38835948,21393554,16415191,1530409,1457046,1433445,1532591
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382209,452528
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1217087,3168369,12306707,18138065,54263661,41468361,40698987,21702494,- -
52,Other Current Liabilities,- -,- -,- -,4100186,4951789,6752170,4191637,11341598,5314193,14174358,9054484,12125218,13822007,29363524,45407764,44607180,25841801,11024847,17928453,181079309
53,Total Current Liabilities,- -,5015,- -,4293948,5025311,7280984,5590386,11681951,5630257,14261286,22370788,37711209,49209394,91038087,92406582,117772380,72608149,58449317,45412070,203059901
54,Long-Term Debt,- -,- -,- -,1203952,5306506,4171923,5958718,215951,8054831,2264937,- -,- -,3444374,8171270,18479734,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,12064,- -,- -,- -,- -,8275725,4316655,3454879,2888194,7188543,5441360,5421706,5108941,4782387,8696104,8107843,7684522,- -
58,Total Non-Current Liabilities,- -,- -,12064,1203952,5306506,4171923,5958718,8491676,12371486,5719816,2888194,7188543,8885734,13592976,23588675,4782387,8696104,8107843,7684522,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7668048
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,5015,12064,5497900,10331817,11452907,11549104,20173627,18001743,19981102,25258982,44899752,58095128,104631063,115995257,122554767,81304253,66557160,53096592,210727949
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1532,306,216366,216366,230016,236919,236919,236919,236919,286919,286919,286919,686919,686919,686919,686919,686919,686919,686919
64,Retained Earnings,- -,-5052502,-5059551,530353,2559836,5742586,-741548,-12188648,-9023506,-9225986,-10208331,-13500082,-14668376,-19780232,-24545524,5831320,68975118,106727898,105326252,100291529
65,Other Comprehensive Income/Loss,- -,- -,- -,-117567,-242107,-365217,-579622,-1555745,-845245,-941346,-1103618,-1462512,-2112986,-2688684,-3151430,-1943460,-1964416,-1958025,-1932140,22981737
66,Other Total Stockholders Equity,- -,5045955,5047181,2526415,2864964,4479933,6237421,6493110,5887464,6082758,6951027,7174690,7638195,11330447,12462732,10925669,13561403,9932437,26373331,11556626
67,Total Stockholders Equity,- -,-5015,-12064,3155567,5399059,10087318,5153170,-7014364,-3744368,-3847655,-4074003,-7500985,-8856248,-10451550,-14547303,15500448,81259024,115389229,130454362,135516811
68,Total Liabilities And Stockholders Equity,- -,- -,- -,8653467,15730876,21540225,16702274,13159263,14257375,16133447,21184979,37398767,49238880,94179513,101447954,138055215,162563277,181946389,183550954,346244760
69,Minority Interest,- -,- -,- -,3948,223580,375406,542809,488330,636881,1188110,985704,12793268,12459438,7159197,4836278,1566072,2339756,1888194,3732290,-40276520
70,Total Liabilities & Equity,- -,- -,- -,8657415,15954456,21915631,17245083,13647593,14894256,17321557,22170683,50192035,61698318,101338710,106284232,139621287,164903033,183834583,187283244,305968240
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083490/000114420408030094/0001144204-08-030094-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083490/000114420413030915/0001144204-13-030915-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420414075912/0001144204-14-075912-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420417033242/0001144204-17-033242-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420417053893/0001144204-17-053893-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420418012903/0001144204-18-012903-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420418012903/0001144204-18-012903-index.html,https://www.sec.gov/Archives/edgar/data/1083490/000114420419041558/0001144204-19-041558-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000110465920116418/0001104659-20-116418-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000110465921058970/0001104659-21-058970-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3308724,-857566,-7049,63944,2096143,3657948,-4765749,-6028907,3275384,-25487,-1218355,-3093284,-1168294,-3653686,-4765292,30434082,62654630,46885066,-1754800,-4243
74,Depreciation and Amortization,3600,1000,- -,81602,131072,112793,733534,813776,841775,866221,926330,990401,1100170,1063659,1028453,602002,503790,480020,1674980,2546065
75,Deferred Income Tax,- -,- -,- -,- -,-142202,6265,- -,1085723,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-385473,-517406
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-107906,-5015,5015,2103717,472955,-1446444,113316,-10136112,8267498,-7604668,-5549934,6440623,-1666204,-522168,3001375,-14904594,56764789,54241539,10843177,-585331
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,176937,70101,404122,-847162,-737557,573824,-35076,-282674,317772,586530,102918,208780,-48464
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12560521,302275,-47252768,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,92220,-24596,-233693,380865,103597,-113903,4865647,-2556969,-4695878,1093145,1741632,-846057,14906144
81,Other Working Capital,- -,-5015,- -,2103717,2576672,1130228,1243544,-8892568,-625070,-8229738,-13779672,-7339049,-9005253,-9527421,-6526046,-21430640,35334149,89575688,100418865,99833534
82,Other Non-Cash Items,2881000,757417,-10030,-4556284,-1797389,-1641298,2969916,13051504,-11648185,6585843,966218,-17952312,-7636554,-25306710,-6698397,7070236,-122689155,-110136378,-59730449,17154881
83,Cash Provided by Operating Activities,-532030,-104164,-12064,-2307021,760579,689264,-948983,-1214016,736472,-178091,-4875741,-13614572,-9370882,-28418905,-7433861,23201726,-2765946,-8529753,-49352565,18593966
84,CAPEX,- -,-2000,- -,-451451,-69270,-435556,-2392187,-372702,-6800,-484739,-25655,-7309816,-188611,-83630,-189159,-81604,-15723,-4536,-288496,-355886
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-74961,-404009,- -,-1476778,-2601924,-60000,-102864,- -,- -,- -,- -,-28389144,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,63200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21096379,- -
88,Other Investing Activites,- -,- -,- -,-1554419,-5755718,1188257,4064731,146679,11665,-149387,4599,-3915496,-1430856,-251580,-2090185,7590048,35007924,71336614,39151920,26421970
89,Cash Used for Investing Activites,- -,-2000,- -,-2005870,-5824988,752701,1660783,-630032,4865,-2110904,-2622980,-11285312,-1722331,-335210,-2279344,7508444,34992201,42942934,59959803,26066084
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-376310,-6292342,-515143,-52509,-14482953,-3462079,-15316296,-25462004,-48125898,-15890958,- -,- -,- -
91,Common Stock Issued,524406,52000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-543708,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6869193,23869057
94,Other Financing Activites,8624,53162,12064,4546753,4984915,-1401894,202932,421857,8392539,2215167,5892945,38967636,16627156,43573421,34276201,24689107,-21550026,-20474314,-6944799,-44186653
95,Cash Used/Provided by Financing Activities,533030,105162,12064,4003045,4984915,-1401894,202932,45547,2100197,1700024,5840436,24484683,13165077,28257125,8814197,-23436791,-37440984,-20474314,-13813992,-20317596
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-34831,50068,421057,104453,15598,118368,61381,-27769,497523,68323,215940,476449,2391328,-1670463,1451342,- -
97,Net Change In Cash,533030,- -,- -,-309846,-114325,90139,1335789,-1694048,2857132,-470603,-1596904,-442970,2569387,-428667,-683067,7749828,-2823401,12268404,-1755412,24468859
98,Cash at the End of Period,1002,- -,- -,969913,855588,945727,2281516,587468,3444600,2973997,1377093,934123,3503510,1626584,943516,8693345,5869944,19207153,15900753,40369612
99,Cash at the Beginning of Period,- -,1002,- -,1279759,969913,855588,945727,2281516,587468,3444600,2973997,1377093,934123,2055251,1626583,943517,8693345,6938749,17656165,15900753
100,Free Cash Flow,-532030,-106164,-12064,-2758472,691309,253708,-3341170,-1586718,729672,-662830,-4901396,-20924388,-9559493,-28502535,-7623020,23120122,-2781669,-8534289,-49641061,18238080
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083490/000114420408030094/0001144204-08-030094-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083490/000114420413030915/0001144204-13-030915-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420414075912/0001144204-14-075912-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420417033242/0001144204-17-033242-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420417053893/0001144204-17-053893-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420418012903/0001144204-18-012903-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000114420418012903/0001144204-18-012903-index.html,https://www.sec.gov/Archives/edgar/data/1083490/000114420419041558/0001144204-19-041558-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000110465920116418/0001104659-20-116418-index.htm,https://www.sec.gov/Archives/edgar/data/1083490/000110465921058970/0001104659-21-058970-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
