,https://roic.ai/company/CMRX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,6491000,337000,347000,175000,354000,441000,224000,144000,196000,- -,2392000
58,Total Non-Current Liabilities,- -,8932000,10204000,4641000,175000,354000,441000,224000,144000,196000,2814000,2392000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,441000,224000,144000,196000,2814000,- -
61,Total Liabilities,- -,15746000,17827000,14848000,17242000,20533000,10546000,13420000,13110000,9424000,11347000,32288000
62,Preferred Stock,- -,103366000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2000,17000,26000,41000,46000,46000,47000,51000,62000,63000,87000
64,Retained Earnings,- -,-93678000,-102008000,-162730000,-222042000,-339414000,-415804000,-486788000,-556262000,-668838000,-712360000,-885596000
65,Other Comprehensive Income/Loss,- -,-4000,-2000,- -,35000,-764000,-440000,-963000,-92000,35000,- -,-21000
66,Other Total Stockholders Equity,- -,- -,116197000,261243000,496602000,675591000,692422000,709514000,733907000,778693000,785673000,953782000
67,Total Stockholders Equity,- -,9686000,14204000,98539000,274636000,335459000,276224000,221810000,177604000,109952000,73376000,68252000
68,Total Liabilities And Stockholders Equity,- -,25432000,32031000,113387000,291878000,355992000,286770000,235230000,190714000,119376000,84723000,100540000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,25432000,32031000,113387000,291878000,355992000,286770000,235230000,190714000,119376000,84723000,100540000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1117480/000114420414014110/0001144204-14-014110-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000162828015001582/0001628280-15-001582-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748016000034/0001117480-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748017000004/0001117480-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748018000008/0001117480-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748019000010/0001117480-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748020000006/0001117480-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748021000006/0001117480-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748022000008/0001117480-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-25457000,-25589000,-4406000,-36445000,-59312000,-117372000,-76390000,-70984000,-69474000,-112576000,-43522000,-173236000
74,Depreciation and Amortization,213000,270000,280000,258000,283000,657000,1063000,1091000,860000,564000,402000,167000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,753000,1055000,1396000,3071000,4411000,12959000,16223000,16110000,13074000,9528000,5568000,12260000
77,Change in Working Capital,2672000,18010000,5921000,78871000,117588000,-11732000,17702000,-83023000,33155000,-67627000,-35740000,-7216000
78,Accounts Receivable,937000,-4187000,3404000,535000,142000,-2354000,861000,-83000,1352000,-903000,893000,340000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2760000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7061000
81,Other Working Capital,- -,18010000,23931000,102802000,220390000,208658000,226360000,143337000,176492000,108865000,73125000,65909000
82,Other Non-Cash Items,138000,-20025000,-5067000,-71314000,-110047000,15598000,-22413000,86681000,-31340000,94930000,37254000,68095000
83,Cash Provided by Operating Activities,-21681000,-26279000,-1876000,-25559000,-47077000,-99890000,-63815000,-50125000,-53725000,-75181000,-36038000,-99930000
84,CAPEX,-117000,-321000,-126000,-193000,-1018000,-2211000,-841000,-151000,-181000,-158000,-58000,-207000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-12094000,-13640000,-9907000,-1852000,-210770000,-295088000,-103373000,-162613000,-131642000,-167528000,-73978000,-105355000
87,Sales/Maturities of Investments,11975000,7600000,5894000,11507000,52088000,127985000,198279000,179195000,236918000,178317000,138739000,66856000
88,Other Investing Activites,- -,125000,- -,- -,- -,- -,- -,- -,- -,- -,10000,-5385000
89,Cash Used for Investing Activites,-236000,-6236000,-4139000,9462000,-159700000,-169314000,94065000,16431000,105095000,10631000,64713000,-44091000
90,Debt Repayment,-1434000,-1965000,-2601000,-4950000,-5700000,-4350000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,107634000,225939000,161879000,- -,- -,10867000,- -,- -,43445000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6037000,44781000,14915000,3483000,5024000,3818000,608000,779000,321000,345000,1413000,68984000
95,Cash Used/Provided by Financing Activities,4603000,42816000,12314000,106167000,225263000,161347000,608000,779000,11188000,345000,1413000,112429000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-17314000,10301000,6299000,90070000,18486000,-107857000,30858000,-32915000,62558000,-64205000,30088000,-31592000
98,Cash at the End of Period,3306000,13607000,19906000,109976000,128462000,20605000,51463000,18548000,81106000,16901000,46989000,15397000
99,Cash at the Beginning of Period,20620000,3306000,13607000,19906000,109976000,128462000,20605000,51463000,18548000,81106000,16901000,46989000
100,Free Cash Flow,-21798000,-26600000,-2002000,-25752000,-48095000,-102101000,-64656000,-50276000,-53906000,-75339000,-36096000,-100137000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1117480/000114420414014110/0001144204-14-014110-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000162828015001582/0001628280-15-001582-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748016000034/0001117480-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748017000004/0001117480-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748018000008/0001117480-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748019000010/0001117480-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748020000006/0001117480-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748021000006/0001117480-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748022000008/0001117480-22-000008-index.htm
102,false,,,,,,,,,,,,
