,https://roic.ai/company/BSFC,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,- -,54980,29380,13143,153904,55644,1155513
34,Net Receivables,- -,- -,5399630,4675590,4589106,3357298,1082468,1231181
35,Inventory,- -,- -,9434630,12952850,8126634,7984492,1832661,2119441
36,Other Current Assets,- -,- -,364040,129490,425012,284606,1758952,5125411
37,Total Current Assets,- -,- -,15253280,17787310,13153895,11780300,4729725,9631546
38,PP&E,- -,- -,175410,146500,109169,1268839,99472,1975531
39,Goodwill,- -,- -,- -,- -,- -,445395,445395,445395
40,Intangible Assets,- -,- -,- -,- -,- -,2126112,1963616,3312758
41,Intangible Assets,- -,- -,- -,- -,- -,2571507,2409011,3758153
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,343920,311050,218254,125418,-99472,-12052472
45,Total Non-Current Assets,- -,- -,519330,457550,327423,3965764,2409011,-6318788
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,15772610,18244860,13481318,15746064,7138736,3312758
48,Accounts Payable,- -,- -,- -,- -,- -,- -,1607490,- -
49,Short-Term Debt,- -,- -,- -,- -,11145091,11037920,4302456,990583
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,109414
52,Other Current Liabilities,- -,- -,17355440,19463530,3155741,3528466,1346838,5692072
53,Total Current Liabilities,- -,- -,17355440,19463530,14300832,14566386,7256784,6792069
54,Long-Term Debt,- -,- -,68890,33880,- -,610000,1805907,2439572
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-373370,-424080,- -,1089390,-1221063,- -
58,Total Non-Current Liabilities,- -,- -,-304480,-390200,- -,1699390,584844,2439572
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,1226342,99181,- -
61,Total Liabilities,- -,- -,17050960,19073330,14300832,16265776,7841628,7038441
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,500,1500,1603,1761,1958,2480
64,Retained Earnings,- -,- -,-1888800,-1494930,-3853139,-8952466,- -,-16144151
65,Other Comprehensive Income/Loss,- -,- -,-150860,-213260,- -,-183090,- -,-54240
66,Other Total Stockholders Equity,- -,- -,760810,878220,3404774,8972111,-21681,25102879
67,Total Stockholders Equity,- -,- -,-1278350,-828470,-446762,-161684,-19723,8906968
68,Total Liabilities And Stockholders Equity,- -,- -,15772610,18244860,13854070,16104092,7821905,15945409
69,Minority Interest,- -,- -,- -,- -,-372752,-358028,-683169,-12632651
70,Total Liabilities & Equity,- -,- -,15772610,18244860,13481318,15746064,7138736,3312758
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1730773/000149315218006055/0001493152-18-006055-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1730773/000149315220010121/0001493152-20-010121-index.htm,https://www.sec.gov/Archives/edgar/data/1730773/000149315221008924/0001493152-21-008924-index.htm,https://www.sec.gov/Archives/edgar/data/1730773/000149315222008578/0001493152-22-008578-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,- -,-892060,393870,-2260364,-4986286,-4445011,-2605374
74,Depreciation and Amortization,- -,- -,62350,62400,71334,236253,33367,349498
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,2107692,2262322,139380,530506
77,Change in Working Capital,- -,- -,4910120,-1679833,-1136561,-1639149,259027,5366536
78,Accounts Receivable,- -,- -,- -,-257940,- -,- -,942656,-133043
79,Inventory,- -,- -,- -,-3518220,5220684,1804241,71487,-213328
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,453615
81,Other Working Capital,- -,- -,3613,-1676220,-1146937,-2786086,-2527059,2839477
82,Other Non-Cash Items,- -,- -,39400,-1852377,4859637,5704024,8588812,-8474195
83,Cash Provided by Operating Activities,- -,- -,4119810,-3075940,3641738,1577164,4575575,-4833029
84,CAPEX,- -,- -,-17550,-33490,-26681,-9038,-55540,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-260667,- -,162400
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,398777,-935810
89,Cash Used for Investing Activites,- -,- -,-17550,-33490,-26681,-269705,343237,-773410
90,Debt Repayment,- -,- -,- -,- -,-36446200,-24151982,- -,-398385
91,Common Stock Issued,- -,- -,- -,- -,- -,22000,69000,644220
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,113040,-28260
94,Other Financing Activites,- -,- -,-4064250,2863650,33158116,22620968,-4982675,6262965
95,Cash Used/Provided by Financing Activities,- -,- -,-4064250,2863650,-3288084,-1509014,-4800635,6480540
96,Effect of Forex Changes on Cash,- -,- -,-11870,56010,-38622,50141,23700,-54240
97,Net Change In Cash,- -,- -,26140,-189780,288351,-151416,141877,817826
98,Cash at the End of Period,- -,- -,26140,-134800,347226,195810,337687,1155513
99,Cash at the Beginning of Period,- -,- -,- -,54980,58875,347226,195810,337687
100,Free Cash Flow,- -,- -,4102260,-3109430,3615057,1568126,4520035,-4833029
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1730773/000149315218006055/0001493152-18-006055-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1730773/000149315220010121/0001493152-20-010121-index.htm,https://www.sec.gov/Archives/edgar/data/1730773/000149315221008924/0001493152-21-008924-index.htm,https://www.sec.gov/Archives/edgar/data/1730773/000149315222008578/0001493152-22-008578-index.htm
102,false,,,,,,,,
