,https://roic.ai/company/SUNW,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,-1067390,-611130,-1024973,-2348231,-1050064,-616906,-1546503,-2042778,-3814926,-24872328,1056000,-9380000,-7222000,-5740000,-9186000,-15939000,-26625000
21,Income Before Tax Ratio,- -,-4.7506,-1.1045,-24.5620,-39.4661,-24.2358,-Infinity,-Infinity,-Infinity,-Infinity,-1.2319,0.0197,-0.1085,-0.0932,-0.0809,-0.1535,-0.4204,-0.2632
22,Income Tax expense (Gain),- -,800,837,800,1600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-573454,-1068190,-611967,-1025773,-2349831,-1050064,-616906,-1546503,-2042778,-3814926,-24872328,1056000,-9380000,-7222000,-5740000,-9186000,-15939000,-26625000
24,Net Income ratio,-2.7996,-4.7542,-1.1060,-24.5812,-39.4930,-24.2358,-Infinity,-Infinity,-Infinity,-Infinity,-1.2319,0.0197,-0.1085,-0.0932,-0.0809,-0.1535,-0.4204,-0.2632
25,EPS,-45.50,-45.50,-17.45,-45.50,-45.50,-9.10,-1.82,-1.82,-3.64,-3.64,-15.05,0.42,-3.22,-2.24,-1.61,-2.07,-1.03,-0.99
26,EPS Diluted,-45.50,-45.50,-16.20,-45.50,-45.50,-9.10,-1.82,-1.82,-3.64,-3.64,-15.05,0.35,-3.22,-2.24,-1.61,-2.07,-1.03,-0.99
27,Weighted Average Shares Outstanding,24711,34499,35072,36742,48204,148214,386619,601840,703949,926404,1655628,2423843,2889602,3174944,3563770,4447648,15600455,26947023
28,Weighted Average Shares Outstanding Diluted,24711,34499,37770,36742,48204,148214,386619,601840,703949,926404,1655628,3387026,2889602,3174944,3563770,4447648,15600455,26947023
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172631/000106594911000056/0001065949-11-000056-index.html,https://www.sec.gov/Archives/edgar/data/1172631/000118518512000524/0001185185-12-000524-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518513000654/0001185185-13-000654-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518514000641/0001185185-14-000641-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518515000737/0001185185-15-000737-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518516003879/0001185185-16-003879-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315217002936/0001493152-17-002936-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315218004031/0001493152-18-004031-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315219004282/0001493152-19-004282-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315220005238/0001493152-20-005238-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315221006917/0001493152-21-006917-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315222006620/0001493152-22-006620-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,132459,171934,50546,3258,2949,10002,3311,- -,33637,10422,414123,12040000,11069000,6356000,3628000,3154000,38991000,19719000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,132459,171934,50546,3258,2949,10002,3311,- -,33637,10422,414123,12040000,11069000,6356000,3628000,3154000,38991000,19719000
34,Net Receivables,180000,2000,- -,300000,- -,- -,- -,- -,- -,- -,2023497,9153000,13972000,15120000,14354000,12470000,5287000,19066000
35,Inventory,- -,12524,48476,39103,39598,- -,- -,- -,- -,- -,22947,1269000,3394000,4450000,3233000,2970000,1179000,10219000
36,Other Current Assets,- -,295,4363,5164,904,- -,24822,25000,3708,4862,1557673,257000,154000,2556000,597000,660000,485000,4477000
37,Total Current Assets,312459,186753,103385,347525,43451,10002,28133,25000,37345,15284,4018240,22719000,28589000,28482000,21812000,19254000,45942000,53481000
38,PP&E,20999,44176,30538,18915,9526,678,5544,6031,4421,6734,84208,745000,1674000,1233000,852000,2016000,892000,7104000
39,Goodwill,- -,- -,- -,1715000,- -,- -,- -,- -,- -,- -,2599268,10864000,11364000,11364000,9464000,9464000,5464000,32186000
40,Intangible Assets,- -,- -,- -,66627,5656,- -,- -,- -,- -,23161,- -,500000,- -,- -,- -,- -,- -,7910000
41,Intangible Assets,- -,- -,- -,1781627,5656,- -,- -,- -,- -,23161,2599268,11364000,11364000,11364000,9464000,9464000,5464000,40096000
42,Investments,- -,- -,- -,- -,2975,2975,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,475,2975,2975,7975,- -,- -,2975,2975,- -,2000,19500,36000,53000,68000,68000,69000,47000,132000
45,Total Non-Current Assets,21474,47151,33513,1808517,18157,3653,8519,9006,4421,31895,2702976,12145000,13091000,12665000,10384000,11549000,6403000,47332000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,333933,233904,136898,2156042,61608,13655,36652,34006,41766,47179,6721216,34864000,41680000,41147000,32196000,30803000,52345000,100813000
48,Accounts Payable,20308,12598,38266,42507,91046,45582,13444,17349,67580,73791,1499895,4273000,11797200,10637000,9488000,8676000,3780000,3929000
49,Short-Term Debt,6000,- -,250000,449342,483342,109000,65000,12916,123400,515397,1778331,3628000,1177000,835000,1036000,1204000,1436000,1417000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,40000,30000,38817,- -,- -,- -,- -,- -,51613,394000,64000,2905000,5127000,5369000,6260000,12201000
52,Other Current Liabilities,15794,183647,65282,244662,405813,528295,585331,- -,742414,2905380,1431207,2750000,6178800,9741000,2370000,2545000,3576000,7198000
53,Total Current Liabilities,42102,196245,393548,766511,1019018,682877,663775,30265,933394,3494568,4761046,11045000,19217000,24118000,18021000,17794000,15052000,24745000
54,Long-Term Debt,436000,436000,436000,436000,- -,- -,- -,- -,- -,- -,- -,232000,1150000,1123000,3858000,3484000,2060000,2051000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,78817,48817,- -,- -,- -,- -,- -,- -,- -,45000,116000,246000,321000,1082000,1176000,1251000
58,Total Non-Current Liabilities,436000,436000,514817,484817,- -,- -,- -,- -,- -,- -,- -,277000,1266000,1369000,4179000,4566000,3236000,3302000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1505000,694000,3468000
61,Total Liabilities,478102,632245,908365,1251328,1019018,682877,663775,30265,933394,3494568,4761046,11322000,20483000,25487000,22200000,22360000,18288000,28047000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,2000,2000,- -,- -,- -,- -
63,Common Stock,141930,159017,160539,218650,44187,181977,100689,118283,141155,213289,14016,18000,21000,23000,26000,7000,24000,29000
64,Retained Earnings,-1820169,-2888359,-3500326,-4526099,-6875930,-7925994,-8542900,-10089403,-12132181,-15947107,-40819435,-39763000,-49143000,-56365000,-63510000,-72696000,-88635000,-115260000
65,Other Comprehensive Income/Loss,-10687,-24325,-37963,-49186,-58575,-67423,-67923,-69514,-71124,-72971,-83205,-141000,-353400,-723000,-1094000,-1427000,- -,- -
66,Other Total Stockholders Equity,1544757,2355326,2606283,5261349,5932908,7142218,7883011,10044375,11170522,12359400,42848794,63426000,70670400,72723000,74574000,82559000,122668000,187997000
67,Total Stockholders Equity,-144169,-398341,-771467,904714,-957410,-669222,-627123,3741,-891628,-3447389,1960170,23542000,21197000,15660000,9996000,8443000,34057000,72766000
68,Total Liabilities And Stockholders Equity,333933,233904,136898,2156042,61608,13655,36652,34006,41766,47179,6721216,34864000,41680000,41147000,32196000,30803000,52345000,100813000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,333933,233904,136898,2156042,61608,13655,36652,34006,41766,47179,6721216,34864000,41680000,41147000,32196000,30803000,52345000,100813000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172631/000106594911000056/0001065949-11-000056-index.html,https://www.sec.gov/Archives/edgar/data/1172631/000118518512000524/0001185185-12-000524-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518513000654/0001185185-13-000654-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518514000641/0001185185-14-000641-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518515000737/0001185185-15-000737-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518516003879/0001185185-16-003879-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315217002936/0001493152-17-002936-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315218004031/0001493152-18-004031-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315219004282/0001493152-19-004282-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315220005238/0001493152-20-005238-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315221006917/0001493152-21-006917-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315222006620/0001493152-22-006620-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-573454,-1068190,-611967,-1025773,-2349831,-1050064,-616906,-1546503,-2042778,-3814926,-24872328,1056000,-9380000,-7222000,-5740000,-9186000,-15939000,-26625000
74,Depreciation and Amortization,4388,13638,13638,30323,37513,8848,500,1591,1610,1847,10234,51000,323000,410000,384000,1001000,1148000,6943000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,12831,- -,208005,603848,- -,385408,424628,136000,6041000,1159000,1313000,434000,147000,3734000
77,Change in Working Capital,-151435,-279849,-280671,-128823,-556581,302692,37233,630377,-890784,-2583235,2736478,12416806,-2302000,-5008000,-573000,-2331000,29430000,-16213000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1456896,-1228000,-2691000,-1946000,3038000,484000,4006000,-403000
79,Inventory,- -,-12524,-35952,9373,-495,39598,- -,- -,- -,- -,-22947,-690000,-2125000,-1106000,1217000,263000,1791000,-5207000
80,Accounts Payable,- -,- -,- -,- -,48540,34036,-32138,3905,192416,6211,973254,368000,- -,- -,-1163000,- -,- -,- -
81,Other Working Capital,270357,-9492,-290163,-418986,-975567,-672875,-635642,-5265,-896049,-3479284,-742806,11674000,9372000,4364000,3791000,1460000,30890000,668000
82,Other Non-Cash Items,256250,767891,427487,370134,2509703,593745,-37157,-578712,2268588,5320012,21291704,-12406806,7146000,6570000,-1136000,3626000,-19123000,2951000
83,Cash Provided by Operating Activities,-464251,-566510,-451513,-754139,-346365,-144779,-408325,-889399,-663364,-690894,-409284,1253000,1828000,-4091000,-5752000,-6456000,-4337000,-29210000
84,CAPEX,-11043,-41015,- -,-1055,-656,- -,-5366,-2078,- -,-27321,-80326,-224000,-667000,-68000,-9000,-23000,-27000,-805000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-3000000,- -,- -,- -,- -,- -,-50619000
86,Purchases of Investments,- -,- -,- -,-7468,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,1963,-656,1347,- -,- -,- -,-23161,428311,186000,- -,118000,6000,34000,1000,99000
89,Cash Used for Investing Activites,-11043,-41015,- -,-6560,-656,1347,-5366,-2078,- -,-27321,-652015,-3038000,-667000,50000,-3000,11000,-26000,-51325000
90,Debt Repayment,- -,- -,- -,- -,-45000,-3000,-44000,- -,-12916,- -,- -,- -,-2132000,-672000,-683000,-785000,-4090000,-362000
91,Common Stock Issued,614000,653000,80125,314069,12712,106485,451000,868500,350500,42500,- -,11579000,- -,- -,- -,6694000,41406000,61600000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-6247,-6000,250000,399342,379000,47000,- -,19666,359417,652500,1465000,1832000,- -,- -,3682000,- -,2847000,- -
95,Cash Used/Provided by Financing Activities,607753,647000,330125,713411,346712,150485,407000,888166,697001,695000,1465000,13411000,-2132000,-672000,2999000,5909000,40163000,61238000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,39475,-121388,-47288,-309,7053,-6691,- -,- -,-23215,403701,11626000,-971000,-4713000,-2756000,-536000,35800000,-19297000
98,Cash at the End of Period,132459,171934,50546,3258,2949,10002,3311,- -,33637,10422,414123,12040000,11069000,6356000,4075000,3539000,39339000,20042000
99,Cash at the Beginning of Period,- -,132459,171934,50546,3258,2949,10002,3311,- -,33637,10422,414000,12040000,11069000,6831000,4075000,3539000,39339000
100,Free Cash Flow,-475294,-607525,-451513,-755194,-347021,-144779,-413691,-891477,-663364,-718215,-489610,1029000,1161000,-4159000,-5761000,-6479000,-4364000,-30015000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172631/000106594911000056/0001065949-11-000056-index.html,https://www.sec.gov/Archives/edgar/data/1172631/000118518512000524/0001185185-12-000524-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518513000654/0001185185-13-000654-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518514000641/0001185185-14-000641-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518515000737/0001185185-15-000737-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000118518516003879/0001185185-16-003879-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315217002936/0001493152-17-002936-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315218004031/0001493152-18-004031-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315219004282/0001493152-19-004282-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315220005238/0001493152-20-005238-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315221006917/0001493152-21-006917-index.htm,https://www.sec.gov/Archives/edgar/data/1172631/000149315222006620/0001493152-22-006620-index.htm
102,false,,,,,,,,,,,,,,,,,,
