,https://roic.ai/company/BDR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,-1100000,-1900000,-2800000,-3200000,-4566000,-6030000,-7340000,-508000,-9742000,-897000,-821000,-826000,-654000,-1757000,-1264000,-1256000,-1942000,-1621000,-668000,-1354000,-1168000,-1278000,-854000,-832000,-885000,-952000,-931000
66,Other Total Stockholders Equity,20600000,23500000,24100000,26100000,22150000,23887000,24846000,17776000,28432000,18747000,18747000,17143000,17576000,17849000,18000000,18095000,18352000,18610000,18882000,19180000,20727000,24983000,26080000,27168000,28158000,29571000,31513000
67,Total Stockholders Equity,19700000,25600000,31800000,40500000,35247000,39096000,39962000,33267000,31940000,26923000,21499000,20232000,20677000,19436000,20155000,22043000,21203000,16625000,15028000,13738000,7369000,6534000,7413000,7167000,7363000,1237000,3285000
68,Total Liabilities And Stockholders Equity,31800000,36200000,42300000,69700000,66076000,62834000,64386000,52002000,47990000,38156000,32864000,27222000,25949000,27042000,25172000,26612000,25871000,26303000,22641000,21244000,16230000,15000000,15174000,15601000,18347000,11130000,11910000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-710000
70,Total Liabilities & Equity,31800000,36200000,42300000,69700000,66076000,62834000,64386000,52002000,47990000,38156000,32864000,27222000,25949000,27042000,25172000,26612000,25871000,26303000,22641000,21244000,16230000,15000000,15174000,15601000,18347000,11130000,11200000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000683/000095015905000451/0000950159-05-000451-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000095015906000516/0000950159-06-000516-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1000683/000095015908000585/0000950159-08-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000130794209000045/0001307942-09-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000130794210000014/0001307942-10-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000130794211000013/0001307942-11-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420412018525/0001144204-12-018525-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420413018986/0001144204-13-018986-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420414019460/0001144204-14-019460-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420415019829/0001144204-15-019829-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420416091323/0001144204-16-091323-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420417017902/0001144204-17-017902-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390018003785/0001213900-18-003785-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390019005351/0001213900-19-005351-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390020009053/0001213900-20-009053-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390021017745/0001213900-21-017745-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390022016788/0001213900-22-016788-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5500000,3900000,6400000,7100000,59000,3576000,1217000,-6457000,-2749000,-3122000,-5500000,342000,-561000,-411000,75000,1785000,-411000,-5157000,-2822000,-902000,-6771000,-1195000,-384000,-1339000,-742000,-7474000,84000
74,Depreciation and Amortization,400000,1100000,1100000,2400000,2994000,3001000,2812000,1819000,1883000,1731000,1657000,1615000,495000,479000,590000,828000,1141000,1438000,1314000,1415000,1308000,972000,642000,521000,1109000,1101000,911000
75,Deferred Income Tax,300000,-500000,300000,-600000,67000,-570000,4000,308000,- -,2826000,- -,- -,- -,- -,75000,- -,- -,2311000,33000,32000,34000,10000,-35000,-104000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301000,151000,90000,231000,258000,272000,245000,216000,209000,386000,493000,619000,404000,562000
77,Change in Working Capital,-6800000,8600000,3000000,-9000000,8456000,1698000,4100000,-937000,-5246000,-14468000,-3495000,2403000,-1609000,4311000,-970000,938000,-343000,-1367000,-972000,-738000,-9070000,3773000,1547000,-2897000,1691000,-3235000,1048000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-816000,-310000,367000,-838000,1543000,220000,836000,-72000,159000,-348000,-33000,175000,516000,11000
79,Inventory,-5100000,-2600000,-1800000,-4100000,-2576000,460000,-4423000,3509000,2596000,439000,390000,-359000,6000,273000,-958000,-599000,359000,940000,2542000,-269000,1793000,856000,-242000,-312000,-1761000,4421000,-791000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,949000,-235000,-123000,329000,-402000,-711000,1376000,2298000,-2333000,- -
81,Other Working Capital,14400000,23000000,26000000,17000000,25456000,27154000,31254000,30317000,25071000,10603000,7108000,9511000,7902000,12213000,11243000,12181000,11838000,10471000,9499000,8761000,-309000,3464000,5011000,2114000,3805000,570000,1618000
82,Other Non-Cash Items,500000,-13600000,-8500000,1000000,-4193000,-1449000,-4422000,6524000,11798000,16948000,9984000,-4288000,3770000,-3399000,-1249000,-570000,-379000,6157000,4036000,1563000,13485000,-2998000,-2393000,3913000,-9215000,5992000,-3772000
83,Cash Provided by Operating Activities,-100000,-500000,2300000,900000,7383000,6256000,3711000,1257000,5686000,3915000,2646000,72000,2095000,1281000,-1328000,3071000,239000,3640000,1861000,1615000,-798000,771000,-237000,587000,-6538000,-3212000,-1167000
84,CAPEX,-5500000,-1500000,-1400000,-19900000,-1197000,-368000,-803000,-695000,-954000,-639000,-991000,-489000,-455000,-533000,-466000,-1140000,-872000,-7698000,-1001000,-1227000,-641000,-56000,-200000,-101000,-316000,-191000,-31000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-1880000,-183000,-19000,-3000,2234000,- -,37000,62000,- -,- -,-7020000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-500000,-200000,- -,- -,-501000,- -,- -,-532000,994000,- -,2000000,- -,-533000,-466000,-1140000,-872000,6472000,-1001000,-1227000,-641000,-56000,-200000,-101000,9474000,-191000,-86000
89,Cash Used for Investing Activites,-5500000,-2000000,-1600000,-19900000,-1197000,-869000,-803000,-2575000,-1669000,336000,-994000,3745000,-455000,-496000,-404000,-1140000,-872000,-7568000,-1001000,-1227000,-641000,-56000,-200000,-101000,9474000,-191000,-86000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22571000,-1040000,-22169000,-259000,-265000,-277000,-270000,-279000,-3612000,-230000,-251000,-5635000,-594000,255000
91,Common Stock Issued,18300000,1900000,300000,200000,127000,273000,- -,2000,- -,57000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,- -,- -,- -,- -,- -,812000,11000
92,Common Stock Repurchased,-300000,- -,-500000,-400000,-5435000,- -,- -,-83000,-116000,- -,- -,-970000,- -,-28000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-9100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3300000,1500000,-1300000,19100000,-1372000,-5345000,-2329000,715000,-3964000,-4433000,-935000,-3550000,-1454000,24013000,317000,21941000,26000,3795000,-969000,35000,1495000,3356000,367000,156000,2712000,2682000,1192000
95,Cash Used/Provided by Financing Activities,5600000,3400000,-1500000,18900000,-6680000,-5072000,-2329000,634000,-4080000,-4376000,-935000,-4520000,-1454000,1414000,-723000,-228000,-233000,3530000,-1246000,-223000,1216000,-256000,137000,-95000,-2923000,2900000,1458000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-494000,315000,579000,-684000,-63000,-125000,717000,-703000,186000,2199000,-2455000,1703000,-866000,-398000,-386000,165000,-223000,459000,-300000,391000,13000,-503000,205000
98,Cash at the End of Period,- -,- -,- -,- -,48000,363000,942000,258000,195000,70000,787000,84000,270000,2469000,14000,1717000,851000,453000,67000,232000,9000,468000,168000,559000,572000,69000,274000
99,Cash at the Beginning of Period,500000,500000,1300000,600000,542000,48000,363000,942000,258000,195000,70000,787000,84000,270000,2469000,14000,1717000,851000,453000,67000,232000,9000,468000,168000,559000,572000,69000
100,Free Cash Flow,-5600000,-2000000,900000,-19000000,6186000,5888000,2908000,562000,4732000,3276000,1655000,-417000,1640000,748000,-1794000,1931000,-633000,-4058000,860000,388000,-1439000,715000,-437000,486000,-6854000,-3403000,-1198000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000683/000095015905000451/0000950159-05-000451-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000095015906000516/0000950159-06-000516-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1000683/000095015908000585/0000950159-08-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000130794209000045/0001307942-09-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000130794210000014/0001307942-10-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000130794211000013/0001307942-11-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420412018525/0001144204-12-018525-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420413018986/0001144204-13-018986-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420414019460/0001144204-14-019460-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420415019829/0001144204-15-019829-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420416091323/0001144204-16-091323-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420417017902/0001144204-17-017902-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390018003785/0001213900-18-003785-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390019005351/0001213900-19-005351-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390020009053/0001213900-20-009053-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390021017745/0001213900-21-017745-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390022016788/0001213900-22-016788-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
