,https://roic.ai/company/RGRX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-4092197,-1636027,-795430,1761568,-711232,1041432,-150609,-1404547,-1659875,-3326399,-5454851,-8266981,-11178158,-10636965,-6493860,-5023912,-6007052,-847002,-671343,-2753642,-5270483,229125,286487,-1993553,-1404247,-1523368,-1597755
24,Net Income ratio,-38.7552,-3.0171,-3.6991,539.5308,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-30.3385,-46.5129,-63.1604,-Infinity,-5.9137,-3.9740,-0.6308,-22.7697,-Infinity,-86.9544,2.4556,5.0570,-28.6155,-18.2935,-19.8456,-20.8147
25,EPS,-0.46,-0.18,-0.07,0.15,-0.06,0.06,-0.01,-0.05,-0.06,-0.10,-0.15,-0.21,-0.24,-0.21,-0.12,-0.07,-0.07,-0.01,-0.01,-0.03,-0.05,0.00,0.00,-0.02,-0.01,-0.01,-0.01
26,EPS Diluted,-0.46,-0.18,-0.07,0.15,-0.06,0.05,-0.01,-0.05,-0.06,-0.10,-0.15,-0.21,-0.24,-0.21,-0.12,-0.07,-0.07,-0.01,-0.01,-0.03,-0.05,0.00,0.00,-0.02,-0.01,-0.01,-0.01
27,Weighted Average Shares Outstanding,8977429,9068959,11363286,11743787,11853867,18852429,19477429,25560301,28522042,32909753,36843609,40116367,46465982,50967617,55680525,68444011,80135099,81627638,81733247,93186443,101527676,106787151,107442936,120716329,130970754,133357185,133357185
28,Weighted Average Shares Outstanding Diluted,8977429,9068959,11363286,11743787,11853867,20828640,19477429,25560301,28522042,32909753,36843609,40116367,46465982,50967617,55680525,68444011,80135099,81627638,81733247,93186443,101527676,125922455,120928833,120716329,130970754,133357185,133357185
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/707511/000119312505066586/0001193125-05-066586-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000119312506069314/0001193125-06-069314-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000119312507071431/0001193125-07-071431-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465908020491/0001104659-08-020491-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000136231009005350/0001362310-09-005350-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000095012310030368/0000950123-10-030368-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000095012311031468/0000950123-11-031468-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000119312512150122/0001193125-12-150122-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420413022111/0001144204-13-022111-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420414020919/0001144204-14-020919-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420415020097/v404831_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420416093682/v434404_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420417017360/v462305_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420418017995/tv488786_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420419016982/tv516113_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465920036901/tm205314d1_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465921030728/0001104659-21-030728-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465922040167/0001104659-22-040167-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,153725,21369,2698,43387,335421,100490,474338,1019889,2874260,4896143,13052308,3696878,5655367,4355768,3790352,116092,141905,6306,844043,317627,769495,181708,237261,639916,427898,1231608
32,Short-Term Investments,- -,- -,- -,444872,886122,150691,- -,- -,- -,- -,2679693,4000000,4579592,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,153725,21369,447570,929509,486112,100490,474338,1019889,2874260,7575836,17052308,8276470,5655367,4355768,3790352,116092,141905,6306,844043,317627,769495,181708,237261,639916,427898,1231608
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,12357,4592,272491,26951,- -,- -,10703,214450,177350,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,64725,46988,- -,- -,8000,12631,18929,63325,106222,72894,111679,268244,236477,196546,384806,24603,22242,26299,86525,24300,79936,35442,36609,41639,49909,19932
37,Total Current Assets,- -,218450,68357,447570,929509,494112,113121,493267,1083214,2992839,7653322,17436478,8571665,5891844,4552314,4185861,355145,341497,32605,930568,341927,849431,217150,273870,681555,477807,1251540
38,PP&E,- -,6344,1304,- -,1889,1158,1731,3836,3377,2587,54234,53398,44435,25039,8492,24940,16946,9372,4373,12871,10544,7219,4171,1418,24453,68229,27673
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,25013,23227,21440,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,25013,23227,21440,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,88474,2197,2197,965,4387,9198,24817,- -,271635,17078,11749,5693,5693,22948,17255,11503,5752,5752,5752,5752,5752,5752,5752,5752,5752,5752
45,Total Non-Current Assets,- -,94818,3501,2197,2854,5545,10929,53666,26604,295662,71312,65147,50128,30732,31440,42195,28449,15124,10125,18623,16296,12971,9923,7170,30205,73981,33425
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,313268,71858,449767,932363,499657,124050,546933,1109818,3288501,7724634,17501625,8621793,5922576,4583754,4228056,383594,356621,42730,949191,358223,862402,227073,281040,711760,551788,1284965
48,Accounts Payable,- -,165084,276215,367768,273385,109293,51289,138984,81268,405997,187666,362402,273561,70554,140206,185643,451881,637102,577211,232610,141130,75695,66461,92433,43678,39320,63634
49,Short-Term Debt,- -,- -,110000,392046,301722,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,591036,54754,- -,33856,27809
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50822,78893,76761,76761,76761,76761
52,Other Current Liabilities,- -,1786415,1764304,969869,752255,136168,52763,98162,111780,173925,526461,886888,2195508,1255358,740198,430996,358778,67210,39049,177009,217911,233239,1416699,91058,122034,249647,261729
53,Total Current Liabilities,- -,1951499,2150519,1729683,1327362,245461,104052,237146,193048,579922,714127,1249290,2469069,1325912,880404,616639,810659,704312,616260,409619,359041,659756,2153089,315006,242473,399584,429933
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275598,432545,566021,688854,512022,43819,- -,708070,923775,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,400000,1379388,1530345,2045622,2178087,2101325,2024564,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215334,1285170,4673336,4226837,100835,- -,- -,27809,3084911
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,675598,1047879,2251191,6741578,6269204,2190276,2178087,2809395,2976148,3084911
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27014,68599,- -
61,Total Liabilities,- -,1951499,2150519,1729683,1327362,245461,104052,237146,193048,579922,714127,1249290,2469069,1325912,880404,616639,810659,1379910,1664139,2660810,7100619,6928960,4343365,2493093,3051868,3375732,3514844
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,9102,11977,11977,11977,19477,19477,26966,30099,34577,37629,46096,46554,53623,60407,73532,81391,81733,81733,101317,101640,106787,109790,128433,131507,133442,143550
64,Retained Earnings,- -,-37260497,-38055927,-36294359,-37005591,-35964159,-36114768,-37519315,-39179190,-42505589,-47960440,-56227421,-67405579,-78007544,-84501404,-89525316,-95532368,-96379370,-97050713,-99804355,-105074838,-104845713,-104559226,-105881777,-107368590,-108891958,-110489713
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1965,-3197,-5300,-7613,-10001,-22918,-41030,-62227,-81623,-98171,-107907,-116985,-116728,-121727,-85392,-88794,-92120,-95168,-97921,-99339,- -,- -
66,Other Total Stockholders Equity,- -,35613164,35965289,35002466,36598615,36200843,36118486,37807436,40073474,45189592,54956236,72474690,73573976,82632208,88242518,93171108,95140897,95391076,95469298,98076811,98319596,98764488,100428312,103639212,104996314,105934572,108116284
67,Total Stockholders Equity,- -,-1638231,-2078661,-1279916,-394999,254196,19998,309787,916770,2708579,7010507,16252335,6152724,4596664,3703350,3611417,-427065,-1023289,-1621409,-1711619,-6742396,-6066558,-4116292,-2212053,-2340108,-2823944,-2229879
68,Total Liabilities And Stockholders Equity,- -,313268,71858,449767,932363,499657,124050,546933,1109818,3288501,7724634,17501625,8621793,5922576,4583754,4228056,383594,356621,42730,949191,358223,862402,227073,281040,711760,551788,1284965
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,313268,71858,449767,932363,499657,124050,546933,1109818,3288501,7724634,17501625,8621793,5922576,4583754,4228056,383594,356621,42730,949191,358223,862402,227073,281040,711760,551788,1284965
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/707511/000119312505066586/0001193125-05-066586-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000119312506069314/0001193125-06-069314-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000119312507071431/0001193125-07-071431-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465908020491/0001104659-08-020491-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000136231009005350/0001362310-09-005350-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000095012310030368/0000950123-10-030368-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000095012311031468/0000950123-11-031468-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000119312512150122/0001193125-12-150122-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420413022111/0001144204-13-022111-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420414020919/0001144204-14-020919-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420415020097/v404831_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420416093682/v434404_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420417017360/v462305_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420418017995/tv488786_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420419016982/tv516113_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465920036901/tm205314d1_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465921030728/0001104659-21-030728-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465922040167/0001104659-22-040167-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4092197,-1636027,-795430,1761568,-711232,1041432,-150609,-1404547,-1659875,-3326399,-5454851,-8266981,-11178158,-10636965,-6493860,-5023912,-6007052,-847002,-671343,-2753642,-5270483,229125,286487,-1993553,-1404247,-1523368,-1597755
74,Depreciation and Amortization,306633,77189,5040,1304,305,731,1232,3289,4099,4175,15626,18112,21197,19396,16547,9736,9078,7574,4999,4823,3403,3326,3048,2753,1418,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,748480,474355,221754,168499,73223,163432,- -,342483,271377,276129,269740,332003,397814
77,Change in Working Capital,330323,-1560416,-349113,800049,884260,646504,-239582,247052,634045,1522751,4526278,9247993,-10084592,-1536664,-894022,-102688,-4024736,92699,-220840,1104604,-538063,206789,-2125614,1894803,480218,-360859,743384
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37100,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69652,45437,266238,240403,-59891,-344602,-91481,-65436,-9234,25972,-48755,-4358,24314
81,Other Working Capital,-172633,-1733049,-2082162,-1282113,-397853,248651,9069,256121,890166,2412917,6939195,16187188,6102596,4565932,3671910,3569222,-455514,-362815,-583655,520949,-17114,189675,-1935939,-41136,439082,78223,821607
82,Other Non-Cash Items,4048859,2677482,647147,-3029516,-552555,-2264758,-86049,-132923,-627352,-1151521,-3546457,-8219182,12433786,1583827,471190,-354347,4380964,304043,32362,-223160,5279803,-1849855,901617,-1068426,-485099,545295,-533739
83,Cash Provided by Operating Activities,593618,-441772,-492356,-466595,-379222,-576091,-475008,-1287129,-1649083,-2950994,-4459404,-7220058,-8807767,-10570406,-6151665,-4996856,-5419992,-274187,-781599,-1703943,-525340,-1068132,-663085,-888294,-1137970,-1006929,-990296
84,CAPEX,- -,- -,- -,- -,-2194,- -,-1806,-4208,-1854,-1598,-371240,-17276,-12234,- -,- -,-26184,-1084,- -,- -,-13320,-1076,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6382737,-5580424,-20681135,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,4072034,250510,- -,165878,512429,1030625,241883,- -,- -,- -,3700000,4263161,20100000,4581135,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-4132560,-236810,- -,- -,- -,- -,- -,-5000,- -,-202937,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-60526,13700,- -,165878,510235,1030625,240077,-9208,-1854,-204535,-3053977,-1334539,-593369,4581135,- -,-26184,-1084,- -,- -,-13320,-1076,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,-67954,-90324,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,35000,250000,- -,- -,- -,- -,1735417,2020651,5088193,9632299,16710762,45706,7947760,4852066,4457624,1746816,- -,- -,2500000,- -,1520000,- -,- -,- -,- -,1759088
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-65232,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,110000,350000,- -,-162500,- -,- -,175837,-78293,-97035,- -,- -,- -,- -,- -,- -,300000,646000,55000,- -,- -,75298,943847,1540625,794911,34918
95,Cash Used/Provided by Financing Activities,- -,35000,360000,282046,-90324,-162500,- -,1670185,2196488,5009900,9535264,16710762,45706,7947760,4852066,4457624,1746816,300000,646000,2555000,- -,1520000,75298,943847,1540625,794911,1794006
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,533092,-393072,-132356,-18671,40689,292034,-234931,373848,545551,1854371,2021883,8156165,-9355430,1958489,-1299599,-565416,-3674260,25813,-135599,837737,-526416,451868,-587787,55553,402655,-212018,803710
98,Cash at the End of Period,546797,153725,21369,2698,43387,335421,100490,474338,1019889,2874260,4896143,13052308,3696878,5655367,4355768,3790352,116092,141905,6306,844043,317627,769495,181708,237261,639916,427898,1231608
99,Cash at the Beginning of Period,13705,546797,153725,21369,2698,43387,335421,100490,474338,1019889,2874260,4896143,13052308,3696878,5655367,4355768,3790352,116092,141905,6306,844043,317627,769495,181708,237261,639916,427898
100,Free Cash Flow,593618,-441772,-492356,-466595,-381416,-576091,-476814,-1291337,-1650937,-2952592,-4830644,-7237334,-8820001,-10570406,-6151665,-5023040,-5421076,-274187,-781599,-1717263,-526416,-1068132,-663085,-888294,-1137970,-1006929,-990296
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/707511/000119312505066586/0001193125-05-066586-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000119312506069314/0001193125-06-069314-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000119312507071431/0001193125-07-071431-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465908020491/0001104659-08-020491-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000136231009005350/0001362310-09-005350-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000095012310030368/0000950123-10-030368-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000095012311031468/0000950123-11-031468-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000119312512150122/0001193125-12-150122-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420413022111/0001144204-13-022111-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420414020919/0001144204-14-020919-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420415020097/v404831_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420416093682/v434404_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420417017360/v462305_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420418017995/tv488786_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000114420419016982/tv516113_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465920036901/tm205314d1_10k.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465921030728/0001104659-21-030728-index.htm,https://www.sec.gov/Archives/edgar/data/707511/000110465922040167/0001104659-22-040167-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
