,https://roic.ai/company/CR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,173700000,180800000,186400000,186700000,214500000,225300000,220800000,216300000,207800000,290200000,323100000,336800000,363200000,404900000,331400000,318646000,369786000,322125000,360813000,365157000,428965000,2009000000,969753000,615079000,516801000,503385000,578863000,540215000,535646000,661023000,566500000,789400000,592400000,721000000,716900000,698100000,738800000
11,COGS and Expenses,1028400000,1112800000,1179600000,1217400000,1350600000,1325000000,1223600000,1222300000,1224300000,1543600000,1639400000,1681500000,1840200000,2029600000,1384200000,1307164000,1415496000,1476676000,1466979000,1704031000,1847627000,2008953000,2745910000,2366115000,1982831000,1975987000,2261956000,2250164000,2247405000,2569717000,2352600000,2547700000,2363300000,2877200000,2821000000,2628800000,2677700000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10263000,2820000,1184000,1635000,1879000,1867000,1713000,1900000,1900000,2500000,2300000,2700000,2000000,1400000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25799000,27139000,26841000,26255000,26831000,26460000,39222000,37600000,36500000,36100000,50900000,46800000,55300000,46900000
14,Depreciation and Amortization,30700000,27600000,28300000,19700000,21300000,30100000,28400000,28500000,29400000,44700000,48800000,49400000,55400000,61500000,61300000,55281000,74610000,49790000,54025000,55716000,55715000,54285000,61310000,57162000,58204000,59841000,62943000,57263000,54837000,75766000,67000000,67400000,72700000,120000000,113500000,127500000,119500000
15,EBITDA,56900000,99800000,115300000,114500000,112900000,132600000,100800000,67200000,109200000,135900000,170200000,194400000,231300000,276100000,230800000,245641000,210427000,46167000,205189000,-112454000,252238000,293619000,-57585000,266813000,270045000,297591000,109451000,389503000,405864000,395247000,440000000,267000000,475600000,582400000,330700000,407200000,684700000
16,EBITDA ratio,0.0518,0.0829,0.0898,0.0872,0.0776,0.0922,0.0774,0.0514,0.0833,0.0822,0.0955,0.1052,0.1136,0.1217,0.1485,0.1647,0.1326,0.0304,0.1254,-0.0595,0.1224,0.1301,-0.0220,0.1025,0.1230,0.1342,0.0430,0.1510,0.1564,0.1351,0.1606,0.0972,0.1707,0.1741,0.1007,0.1386,0.2153
17,Operating Income,70400000,91400000,104400000,95700000,105000000,113200000,78900000,84700000,85900000,109900000,142900000,166200000,196600000,238900000,169500000,184026000,171684000,39671000,169012000,186304000,213622000,247936000,-107656000,197489000,208269000,235162000,42264000,310441000,347876000,316290000,372900000,200300000,401900000,441300000,210400000,262900000,502300000
18,Operating Income ratio,0.0641,0.0759,0.0813,0.0729,0.0721,0.0787,0.0606,0.0648,0.0656,0.0665,0.0802,0.0899,0.0965,0.1053,0.1091,0.1234,0.1082,0.0262,0.1033,0.0986,0.1036,0.1099,-0.0411,0.0758,0.0948,0.1060,0.0166,0.1204,0.1340,0.1081,0.1361,0.0729,0.1443,0.1319,0.0641,0.0895,0.1580
19,Total Other Income Expenses (Gains),-44200000,-19200000,-17400000,-14200000,-13400000,-10700000,-6500000,-46000000,-6100000,-18700000,-21500000,-21200000,-20700000,-24300000,-13700000,6334000,-35867000,-15218000,-17848000,-354474000,-17099000,-8602000,-11239000,-13637000,-23343000,-24233000,-21810000,-25836000,-21860000,-35134000,-36400000,-36200000,-34400000,-29900000,-39700000,-38400000,-25100000
20,Income Before Tax,26200000,72200000,87000000,81500000,91600000,102500000,72400000,38700000,79800000,91200000,121400000,145000000,175900000,214600000,155800000,190360000,135817000,24453000,151164000,-168170000,196523000,239334000,-118895000,183852000,184926000,210929000,20454000,284605000,326016000,281156000,336500000,164100000,367500000,411400000,170700000,224500000,477200000
21,Income Before Tax Ratio,0.0238,0.0600,0.0678,0.0621,0.0629,0.0713,0.0556,0.0296,0.0609,0.0552,0.0681,0.0785,0.0864,0.0946,0.1003,0.1277,0.0856,0.0161,0.0924,-0.0890,0.0953,0.1060,-0.0454,0.0706,0.0842,0.0951,0.0080,0.1104,0.1256,0.0961,0.1228,0.0597,0.1319,0.1230,0.0520,0.0764,0.1501
22,Income Tax expense (Gain),8600000,33800000,36700000,32300000,35700000,39800000,27400000,14400000,30900000,35300000,45100000,52900000,63100000,76200000,54900000,66631000,47197000,7825000,46861000,-62749000,60486000,73447000,-56553000,48694000,50846000,56739000,-6062000,88416000,105065000,87587000,106500000,40300000,195000000,75900000,37100000,43400000,82900000
23,Net Income,17600000,38400000,50300000,62500000,55900000,62700000,45000000,24300000,48900000,55900000,76300000,92100000,112800000,138400000,114600000,123729000,88620000,-11448000,104303000,-105421000,136037000,165887000,-62342000,135158000,133856000,154170000,26315000,216993000,219502000,192672000,228900000,122800000,171800000,335600000,133300000,181000000,435400000
24,Net Income ratio,0.0160,0.0319,0.0392,0.0476,0.0384,0.0436,0.0345,0.0186,0.0373,0.0338,0.0428,0.0498,0.0554,0.0610,0.0738,0.0830,0.0558,-0.0075,0.0638,-0.0558,0.0660,0.0735,-0.0238,0.0519,0.0609,0.0695,0.0103,0.0841,0.0846,0.0659,0.0835,0.0447,0.0617,0.1003,0.0406,0.0616,0.1369
25,EPS,0.25,0.55,0.66,0.82,0.77,0.87,0.63,0.35,0.73,0.83,1.11,1.34,1.65,2.02,1.71,2.03,1.48,-0.19,1.76,-1.78,2.27,2.72,-1.04,2.27,2.28,2.59,0.45,3.78,3.79,3.28,3.94,2.10,2.89,5.63,2.23,3.10,7.47
26,EPS Diluted,0.25,0.50,0.63,0.82,0.77,0.86,0.63,0.35,0.73,0.82,1.11,1.34,1.63,2.00,1.70,2.02,1.47,-0.19,1.75,-1.78,2.25,2.67,-1.04,2.24,2.28,2.59,0.44,3.72,3.73,3.23,3.89,2.07,2.84,5.50,2.20,3.08,7.47
27,Weighted Average Shares Outstanding,45960000,45055000,76212121,76219512,72597403,72068966,71428571,69428571,66986301,67828500,68724000,68895000,68565000,68514851,66981000,60919000,59825000,59728000,59394000,59251000,59816000,60906000,60037000,59667000,58473000,58601000,58120000,57443000,57896000,58770000,58100000,58500000,59400000,59600000,59800000,58300000,58400000
28,Weighted Average Shares Outstanding Diluted,45960000,45055000,79841270,76219512,72597403,72906977,71428571,69428571,66986301,68062500,68901750,68895000,69344262,69368000,67460000,61399000,60355000,59728000,59716000,59251000,60413000,62103000,60037000,60298000,58812000,59562000,59204000,58293000,58839000,59603000,58800000,59300000,60400000,61000000,60600000,58800000,59200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25445/000095010995000851/0000950109-95-000851-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/25445/000095013098001500/0000950130-98-001500-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25445/000095013003001890/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312504035266/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312505044701/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312506049541/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312507043378/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312508040709/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312509036461/0001193125-09-036461-index.html,https://www.sec.gov/Archives/edgar/data/25445/000119312510039621/0001193125-10-039621-index.html,https://www.sec.gov/Archives/edgar/data/25445/000119312511049904/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312512081927/0001193125-12-081927-index.html,https://www.sec.gov/Archives/edgar/data/25445/000144530513000320/0001445305-13-000320-index.html,https://www.sec.gov/Archives/edgar/data/25445/000144530514000574/cr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000162828015000998/cr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000162828016011540/0001628280-16-011540-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828017001848/0001628280-17-001848-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828018002289/0001628280-18-002289-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828019001892/0001628280-19-001892-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828020002133/0001628280-20-002133-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828021002871/0001628280-21-002871-index.htm,https://www.sec.gov/Archives/edgar/data/25445/000162828022004278/0001628280-22-004278-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,49100000,16700000,15000000,41600000,4900000,8400000,22600000,49100000,12600000,2100000,5500000,11600000,7000000,15900000,3200000,10926000,21163000,36589000,142518000,50727000,180392000,138607000,283370000,231840000,372714000,272941000,245089000,423947000,270643000,346266000,363500000,509700000,706200000,343400000,393900000,551000000,478600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,49100000,16700000,15000000,41600000,4900000,8400000,22600000,49100000,12600000,2100000,5500000,11600000,7000000,15900000,3200000,10926000,21163000,36589000,142518000,50727000,180392000,138607000,283370000,231840000,372714000,272941000,245089000,423947000,270643000,346266000,363500000,509700000,706200000,343400000,393900000,551000000,478600000
34,Net Receivables,134200000,146300000,155100000,170600000,173100000,171000000,166200000,157700000,178800000,234700000,240800000,253700000,298000000,303200000,206500000,209817000,217636000,213850000,248492000,308140000,289521000,382646000,378776000,375563000,317763000,334918000,365595000,367052000,460324000,431352000,418100000,414400000,443400000,531800000,569200000,447100000,486100000
35,Inventory,162500000,181000000,187200000,213100000,209300000,206500000,181000000,164000000,193700000,237100000,245000000,267300000,291100000,330300000,259500000,236329000,244190000,214689000,235431000,284291000,272354000,313259000,327719000,349926000,284552000,319077000,360689000,352725000,368886000,369719000,376900000,342500000,349300000,411500000,457300000,438200000,440900000
36,Other Current Assets,30200000,11600000,10000000,6700000,11000000,6300000,7600000,7900000,8400000,6300000,6700000,7400000,11700000,49600000,36000000,43080000,40268000,44349000,35335000,59648000,56128000,45897000,47757000,63911000,71317000,61725000,60859000,36797000,49239000,47847000,45000000,49100000,19600000,76200000,79500000,137400000,338600000
37,Total Current Assets,376000000,355600000,367300000,432000000,398300000,392200000,377400000,378700000,393500000,480200000,498000000,540000000,607800000,699000000,505200000,500152000,523257000,509477000,661776000,702806000,798395000,880409000,1037622000,1021240000,1046346000,988661000,1032232000,1180521000,1149092000,1195184000,1203500000,1315700000,1518500000,1362900000,1499900000,1573700000,1744200000
38,PP&E,212800000,221600000,224400000,182000000,188300000,188200000,176900000,163200000,199400000,263000000,243900000,258300000,273800000,307600000,256600000,246111000,275793000,273248000,302638000,287596000,263791000,289555000,289683000,290814000,285224000,280746000,284146000,268283000,305055000,290264000,276000000,278900000,282400000,599100000,616300000,600400000,527300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,704736000,766550000,781232000,761978000,810285000,820824000,813792000,1249316000,1191305000,1167900000,1149200000,1206900000,1403700000,1472400000,1609000000,1412500000
40,Intangible Assets,46200000,50000000,55800000,50700000,46200000,64700000,63100000,62200000,113100000,234600000,229600000,260600000,272500000,415200000,373100000,358472000,420443000,456449000,592964000,643531000,629090000,122744000,128150000,106701000,118731000,162636000,146227000,125913000,408923000,353454000,317100000,282200000,276800000,481800000,505100000,520300000,- -
41,Intangible Assets,46200000,50000000,55800000,50700000,46200000,64700000,63100000,62200000,113100000,234600000,229600000,260600000,272500000,415200000,373100000,358472000,420443000,456449000,592964000,643531000,629090000,827480000,894700000,887933000,880709000,972921000,967051000,939705000,1658239000,1544759000,1485000000,1431400000,1483700000,1885500000,1977500000,2129300000,1412500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171164000,220370000,233165000,204386000,182832000,265849000,245843000,186734000,196245000,162400000,181800000,104200000,18800000,35100000,14900000,- -
44,Other Non-Current Assets,24700000,23600000,14200000,17000000,21800000,19700000,12800000,26100000,38200000,30200000,26900000,30000000,31800000,32900000,40500000,39116000,72622000,174522000,254398000,482575000,448210000,261876000,434917000,341336000,296233000,281537000,294253000,255526000,260487000,224333000,214700000,220200000,204700000,176400000,294900000,270600000,802600000
45,Total Non-Current Assets,283700000,295200000,294400000,249700000,256300000,272600000,252800000,251500000,350700000,527800000,500400000,548900000,578100000,755700000,670200000,643699000,768858000,904219000,1150000000,1413702000,1341091000,1550075000,1839670000,1753248000,1666552000,1718036000,1811299000,1709357000,2410515000,2255601000,2138100000,2112300000,2075000000,2679800000,2923800000,3015200000,2742400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,659700000,650800000,661700000,681700000,654600000,664800000,630200000,630200000,744200000,1008000000,998400000,1088900000,1185900000,1454700000,1175400000,1143851000,1292115000,1413696000,1811776000,2116508000,2139486000,2430484000,2877292000,2774488000,2712898000,2706697000,2843531000,2889878000,3559607000,3450785000,3341600000,3428000000,3593500000,4042700000,4423700000,4588900000,4486600000
48,Accounts Payable,- -,- -,- -,- -,73600000,62500000,64700000,59400000,73400000,95200000,96900000,105100000,122600000,132400000,87600000,92249000,84707000,91072000,116885000,161477000,149647000,161270000,177978000,182147000,142390000,157051000,194158000,182731000,229828000,228822000,223300000,223200000,247400000,329200000,311100000,218400000,246700000
49,Short-Term Debt,25500000,32100000,32200000,62600000,11200000,10500000,8100000,9300000,112000000,22300000,16100000,25200000,31200000,51200000,13700000,14858000,1818000,48553000,100275000,371000,254000,9505000,548000,16622000,1078000,984000,1112000,1123000,125826000,100806000,49600000,- -,249400000,6900000,173400000,399100000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1980000,4150000,11057000,10165000,15686000,2062000,5624000,6300000,3500000,3600000,1000000,13000000,100000,10600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29100000,19000000,27000000,50800000,88400000,103000000,- -
52,Other Current Liabilities,139400000,135300000,150600000,132700000,99600000,101500000,97100000,105300000,86300000,126800000,128300000,123600000,142000000,167600000,132200000,124870000,162614000,148800000,201414000,248166000,248688000,291151000,315026000,339895000,323314000,340519000,337825000,328034000,313248000,310397000,270800000,278600000,313700000,353300000,343800000,336100000,548500000
53,Total Current Liabilities,164900000,167400000,182800000,195300000,184400000,174500000,169900000,174000000,271700000,244300000,241300000,253900000,295800000,351200000,233500000,231977000,249139000,288425000,418574000,410014000,398589000,461926000,493552000,538664000,466782000,498554000,533095000,511888000,668902000,640025000,572800000,520800000,837500000,740200000,916700000,1056600000,795200000
54,Long-Term Debt,275900000,232100000,156300000,143100000,119100000,104100000,83800000,111000000,105600000,331300000,281100000,267800000,260700000,359100000,286800000,213790000,302368000,205318000,295861000,296592000,293248000,391760000,398301000,1237975000,398557000,398736000,398914000,399092000,749170000,749213000,749300000,745300000,494100000,942300000,842000000,929400000,842400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,19100000,41700000,43100000,46900000,49500000,19200000,3700000,6100000,32400000,28000000,29800000,22800000,26200000,25900000,28386000,20888000,8972000,57738000,71367000,71406000,89595000,31880000,22971000,29578000,48852000,41668000,36853000,76041000,46301000,50000000,42400000,44900000,53200000,55800000,53600000,71100000
57,Other Non-Current Liabilities,61400000,59200000,25200000,25600000,20400000,19900000,56800000,70100000,70000000,72000000,73300000,74700000,74100000,75000000,61100000,62935000,68425000,261919000,253352000,674841000,622949000,560567000,1060362000,229057000,924279000,767525000,1047798000,1014669000,850821000,944645000,818700000,973800000,868500000,779900000,1132900000,1018200000,942800000
58,Total Non-Current Liabilities,337300000,310400000,223200000,211800000,186400000,173500000,159800000,184800000,181700000,435700000,382400000,372300000,357600000,460300000,373800000,305111000,391681000,476209000,606951000,1042800000,987603000,1041922000,1490543000,1490003000,1352414000,1215113000,1488380000,1450614000,1676032000,1740159000,1618000000,1761500000,1407500000,1775400000,2030700000,2001200000,1856300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115500000,109900000,- -
61,Total Liabilities,502200000,477800000,406000000,407100000,370800000,348000000,329700000,358800000,453400000,680000000,623700000,626200000,653400000,811500000,607300000,537088000,640820000,764634000,1025525000,1452814000,1386192000,1503848000,1984095000,2028667000,1819196000,1713667000,2021475000,1962502000,2344934000,2380184000,2190800000,2282300000,2245000000,2515600000,2947400000,3057800000,2651500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72400000,72426000,72426000,72426000,72426000,72426000,72426000,72426000,72426000,72426000,72426000,72426000,72426000,72426000,72426000,72426000,72400000,72400000,72400000,72400000,72400000,72400000,- -
64,Retained Earnings,65800000,88300000,128000000,163700000,194000000,235200000,234000000,236500000,263700000,296300000,342300000,394600000,483600000,574800000,623400000,720864000,789244000,756801000,838678000,706505000,814197000,946077000,845864000,935460000,1022838000,1126630000,1095953000,1250972000,1403202000,1521990000,1674300000,1719900000,1813300000,2072100000,2112200000,2192800000,- -
65,Other Comprehensive Income/Loss,-301100000,-320400000,-340700000,-183400000,-192500000,-200700000,-205500000,-214100000,-222300000,-250400000,-269000000,-289200000,-308900000,-337800000,-322600000,-343322000,-360479000,-788000,51034000,80246000,31090000,73175000,154077000,-45131000,5130000,11518000,-93512000,-128077000,-48651000,-298751000,-376700000,-476100000,-380100000,-447600000,-483700000,-466400000,-440000000
66,Other Total Stockholders Equity,392800000,405100000,468400000,294300000,282300000,282300000,272000000,249000000,249400000,282100000,301400000,357300000,357800000,406200000,194900000,156795000,150104000,-179377000,-175887000,-195483000,-164419000,-173075000,-187564000,-224693000,-214632000,-225630000,-261314000,-276938000,-222658000,-235913000,-230600000,-182400000,-160400000,-172700000,-227200000,-269900000,- -
67,Total Stockholders Equity,157500000,173000000,255700000,274600000,283800000,316800000,300500000,271400000,290800000,328000000,374700000,462700000,532500000,643200000,568100000,606763000,651295000,649062000,786251000,663694000,753294000,918603000,884803000,738062000,885762000,984944000,813553000,918383000,1204319000,1059752000,1139400000,1133800000,1345200000,1524200000,1473700000,1528900000,1835100000
68,Total Liabilities And Stockholders Equity,659700000,650800000,661700000,681700000,654600000,664800000,630200000,630200000,744200000,1008000000,998400000,1088900000,1185900000,1454700000,1175400000,1143851000,1292115000,1413696000,1811776000,2116508000,2139486000,2422451000,2868898000,2766729000,2704958000,2698611000,2835028000,2880885000,3549253000,3439936000,3330200000,3416100000,3590200000,4039800000,4421100000,4586700000,4486600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8033000,8394000,7759000,7940000,8086000,8503000,8993000,10354000,10849000,11400000,11900000,3300000,2900000,2600000,2200000,- -
70,Total Liabilities & Equity,659700000,650800000,661700000,681700000,654600000,664800000,630200000,630200000,744200000,1008000000,998400000,1088900000,1185900000,1454700000,1175400000,1143851000,1292115000,1413696000,1811776000,2116508000,2139486000,2430484000,2877292000,2774488000,2712898000,2706697000,2843531000,2889878000,3559607000,3450785000,3341600000,3428000000,3593500000,4042700000,4423700000,4588900000,4486600000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25445/000095010995000851/0000950109-95-000851-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/25445/000095013098001500/0000950130-98-001500-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25445/000095013003001890/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312504035266/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312505044701/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312506049541/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312507043378/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312508040709/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312509036461/0001193125-09-036461-index.html,https://www.sec.gov/Archives/edgar/data/25445/000119312510039621/0001193125-10-039621-index.html,https://www.sec.gov/Archives/edgar/data/25445/000119312511049904/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312512081927/0001193125-12-081927-index.html,https://www.sec.gov/Archives/edgar/data/25445/000144530513000320/0001445305-13-000320-index.html,https://www.sec.gov/Archives/edgar/data/25445/000144530514000574/cr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000162828015000998/cr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000162828016011540/0001628280-16-011540-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828017001848/0001628280-17-001848-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828018002289/0001628280-18-002289-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828019001892/0001628280-19-001892-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828020002133/0001628280-20-002133-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828021002871/0001628280-21-002871-index.htm,https://www.sec.gov/Archives/edgar/data/25445/000162828022004278/0001628280-22-004278-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,55900000,62700000,45000000,24300000,48900000,55900000,76300000,92100000,112800000,138400000,114600000,123729000,88620000,-11448000,104303000,-105421000,136037000,165887000,-62342000,135158000,133856000,154170000,26315000,216993000,219502000,192672000,228900000,122800000,171800000,335600000,133300000,181000000,435400000
74,Depreciation and Amortization,- -,- -,- -,- -,21300000,30100000,28400000,28500000,29400000,44700000,48800000,49400000,55400000,61500000,61300000,55281000,74610000,49790000,54025000,55716000,55715000,54285000,61310000,57162000,58204000,59841000,62943000,57263000,54837000,75766000,67000000,67400000,72700000,120000000,113500000,127500000,119500000
75,Deferred Income Tax,- -,- -,- -,- -,- -,2000000,-1700000,-8200000,1000000,-3300000,-4300000,3100000,4800000,4200000,6500000,-2689000,-2019000,-29781000,2778000,18506000,23905000,5049000,-112641000,13296000,26284000,31453000,-43923000,55000000,48964000,37906000,39700000,-25100000,102300000,47700000,-25100000,18100000,10800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13327000,9166000,13326000,14972000,17319000,22791000,20858000,21300000,21700000,21800000,21600000,22300000,22300000,24500000
