,https://roic.ai/company/CRSP,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,945000,155961000,315520000,239758000,456649000,943771000,1168620000,923031000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,521713000,1456098000
33,Cash and Short-Term Investments,945000,155961000,315520000,239758000,456649000,943771000,1690333000,2379129000
34,Net Receivables,- -,339000,3157000,2626000,88000,99000,144000,305000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,23000,540000,1511000,6001000,9658000,43677000,26143000,38079000
37,Total Current Assets,968000,156840000,320188000,248385000,466395000,987547000,1716620000,2417513000
38,PP&E,- -,1328000,21027000,18857000,18500000,72832000,93025000,312035000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,509000,454000,399000,344000,289000,- -,- -,- -
41,Intangible Assets,509000,454000,399000,344000,289000,235000,180000,125000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,50000,801000,3348000,3760000,3832000,6138000,18141000,22204000
45,Total Non-Current Assets,559000,2583000,24774000,22961000,22621000,79205000,111346000,334364000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1527000,159423000,344962000,271346000,489016000,1066752000,1827966000,2751877000
48,Accounts Payable,211000,1584000,4569000,1639000,5069000,5944000,9094000,14816000
49,Short-Term Debt,- -,- -,- -,- -,- -,8489000,11362000,12158000
50,Tax Payable,11000,81000,23000,347000,402000,583000,10473000,724000
51,Deferred Revenue,- -,- -,- -,- -,- -,960000,2341000,1011000
52,Other Current Liabilities,1935000,8571000,17429000,12872000,22677000,41713000,71462000,91898000
53,Total Current Liabilities,2146000,10155000,21998000,14511000,27746000,57106000,94259000,119883000
54,Long-Term Debt,- -,38336000,- -,- -,- -,- -,50067000,212872000
55,Deferred Revenue,- -,75090000,77646000,56928000,57780000,11776000,11776000,12323000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,6355000,64966000,12472000,12075000,11295000,58445000,7630000,7339000
58,Total Non-Current Liabilities,6355000,178392000,90118000,69003000,69075000,70221000,69473000,232534000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,52539000,61429000,225030000
61,Total Liabilities,8501000,188547000,112116000,83514000,96821000,127327000,163732000,352417000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,120000,181000,1216000,1240000,1584000,1847000,2277000,2391000
64,Retained Earnings,-8403000,-33906000,-57083000,-125440000,-291569000,-224711000,-573576000,-195915000
65,Other Comprehensive Income/Loss,-2000,-8000,-26000,14000,-8000,7000,-83000,-5067000
66,Other Total Stockholders Equity,1168000,4636000,288739000,312018000,682188000,1162282000,2235616000,- -
67,Total Stockholders Equity,-7117000,-29097000,232846000,187832000,392195000,939425000,1664234000,2399460000
68,Total Liabilities And Stockholders Equity,1384000,159450000,344962000,271346000,489016000,1066752000,1827966000,2751877000
69,Minority Interest,143000,-27000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1527000,159423000,344962000,271346000,489016000,1066752000,1827966000,2751877000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1674416/000156459017003977/0001564590-17-003977-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459018004920/0001564590-18-004920-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459019004115/0001564590-19-004115-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459020004355/0001564590-20-004355-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459021006074/0001564590-21-006074-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000095017022001282/0000950170-22-001282-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-6800000,-25828000,-23202000,-68357000,-164981000,66858000,-348865000,377661000
74,Depreciation and Amortization,38000,127000,925000,3024000,3519000,4725000,9184000,17953000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,695000,3684000,10844000,18873000,34985000,44057000,66018000,102390000
77,Change in Working Capital,1534000,147863000,151505000,-64316000,204775000,491792000,691920000,26859000
78,Accounts Receivable,- -,-339000,-2818000,531000,2538000,-11000,-45000,-161000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-1178000,146685000,298190000,233874000,438649000,930441000,1622361000,8723000
82,Other Non-Cash Items,-260000,-66418000,-195382000,40679000,-174537000,-550755000,-656623000,14109000
83,Cash Provided by Operating Activities,-4793000,59428000,-55310000,-70097000,-96239000,56677000,-238366000,538972000
84,CAPEX,- -,-1154000,-3016000,-7814000,-2773000,-6684000,-18358000,-81705000
85,Acquisitions Net,- -,- -,-100000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-500000,- -,- -,-593998000,-1509327000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,71186000,555602000
88,Other Investing Activites,- -,- -,35000000,- -,- -,8009000,- -,- -
89,Cash Used for Investing Activites,- -,-1154000,31884000,-8314000,-2773000,1325000,-541170000,-1035430000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,22000,- -,89061000,- -,307053000,415019000,982289000,213267000
92,Common Stock Repurchased,- -,- -,- -,- -,-57000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5101000,96733000,94159000,2608000,8938000,15964000,33863000,37678000
95,Cash Used/Provided by Financing Activities,5123000,96733000,183220000,2608000,315934000,430983000,1016152000,250945000
96,Effect of Forex Changes on Cash,254000,9000,-235000,41000,-22000,15000,40000,-11000
97,Net Change In Cash,584000,155016000,159559000,-75762000,216900000,489000000,236656000,-245524000
98,Cash at the End of Period,945000,155961000,315520000,239758000,459812000,948812000,1185468000,939944000
99,Cash at the Beginning of Period,361000,945000,155961000,315520000,242912000,459812000,948812000,1185468000
100,Free Cash Flow,-4793000,58274000,-58326000,-77911000,-99012000,49993000,-256724000,457267000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1674416/000156459017003977/0001564590-17-003977-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459018004920/0001564590-18-004920-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459019004115/0001564590-19-004115-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459020004355/0001564590-20-004355-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459021006074/0001564590-21-006074-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000095017022001282/0000950170-22-001282-index.htm
102,false,,,,,,,,
