,https://roic.ai/company/SHC,2018,2019,2020,2021
88,Other Investing Activites,169251000,- -,-105187000,-57671000
89,Cash Used for Investing Activites,96638000,-57257000,-158694000,-159833000
90,Debt Repayment,-14634000,-2561084000,-1177325000,-6792000
91,Common Stock Issued,- -,- -,1155961000,- -
92,Common Stock Repurchased,- -,- -,-34000000,- -
93,Dividends Paid,-175845000,-691170000,- -,- -
94,Other Financing Activites,-1378000,3126224000,128796000,-110494000
95,Cash Used/Provided by Financing Activities,-191857000,-126030000,73432000,-117286000
96,Effect of Forex Changes on Cash,-3676000,485000,4106000,44000
97,Net Change In Cash,20668000,-33761000,39429000,4470000
98,Cash at the End of Period,96786000,63025000,102454000,106924000
99,Cash at the Beginning of Period,76118000,96786000,63025000,102454000
100,Free Cash Flow,46950000,91784000,67078000,179383000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1822479/000182247921000018/0001822479-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1822479/000182247922000014/0001822479-22-000014-index.htm
102,false,,,,
