,https://roic.ai/company/SAMG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,-260000,761000,-2016000,16903000,15836000,7063000,1667000,6045000,15934000,16029000,-46328000,12888000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-261000,- -,-118000,1443000,-959000,-121000,730000,-940000,512000,514000,63000,- -
81,Other Working Capital,-2000,759000,-1257000,15646000,31482000,38545000,40212000,46257000,62191000,78220000,31892000,44780000,- -
82,Other Non-Cash Items,-1339000,-2072000,637000,-11907000,-7328000,1932000,3045000,-713000,-1081000,-3109000,49619000,-2672000,-14693000
83,Cash Provided by Operating Activities,8311000,11419000,15401000,20756000,26387000,20351000,16243000,17978000,29586000,28857000,18775000,26846000,- -
84,CAPEX,-10000,-79000,-606000,-257000,-275000,-664000,-388000,-723000,-804000,-1756000,-3812000,-626000,- -
85,Acquisitions Net,-488000,-245000,-4020000,-720000,-3203000,-1805000,-3547000,-148000,- -,- -,-35568000,- -,- -
86,Purchases of Investments,- -,- -,-419000,-42000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,234000,139000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-14000,689000,335000,110000,-1000,435000,-1000,587000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-512000,365000,-4476000,-770000,-3479000,-2034000,-3936000,-284000,-804000,-1756000,-39380000,-626000,- -
90,Debt Repayment,-3895000,-4375000,-1461000,-1715000,-6232000,-5687000,-2155000,-2371000,-1992000,-880000,-1907000,-3711000,- -
91,Common Stock Issued,1343000,180000,13000,- -,56689000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-225000,-237000,-222000,-35365000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-661000,-3657000,-3783000,-3857000,-3895000,-4659000,-5328000,-6105000,- -
94,Other Financing Activites,-6295000,-5666000,-8911000,-11960000,-23660000,-5275000,-5627000,-5511000,-6590000,-6101000,11389000,-6738000,- -
95,Cash Used/Provided by Financing Activities,-8847000,-10086000,-10596000,-13897000,-9229000,-14619000,-11565000,-11739000,-12477000,-11640000,4154000,-16554000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1048000,1698000,329000,6089000,13679000,3698000,742000,5955000,16305000,15461000,-16451000,9666000,- -
98,Cash at the End of Period,5327000,7025000,7354000,13443000,27122000,30820000,31562000,37517000,53822000,69283000,52832000,62498000,- -
99,Cash at the Beginning of Period,6375000,5327000,7025000,7354000,13443000,27122000,30820000,31562000,37517000,53822000,69283000,52832000,62498000
100,Free Cash Flow,8301000,11340000,14795000,20499000,26112000,19687000,15855000,17255000,28782000,27101000,14963000,26220000,43370000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1549966/000156459014000921/samg-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1549966/000156459015001666/samg-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1549966/000156459016014433/0001564590-16-014433-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459017003855/0001564590-17-003855-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459018005134/0001564590-18-005134-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459019006824/0001564590-19-006824-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459020008978/0001564590-20-008978-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459021010956/0001564590-21-010956-index.htm,https://www.sec.gov/Archives/edgar/data/1549966/000095017022002690/0000950170-22-002690-index.htm
102,false,,,,,,,,,,,,,
