,https://roic.ai/company/IMAC,2016,2017,2018,2019,2020
66,Other Total Stockholders Equity,1194507,1297812,1681200,21744370,10092683
67,Total Stockholders Equity,767104,747424,-2306320,10017491,10432058
68,Total Liabilities And Stockholders Equity,1318194,1855075,12700627,22498277,22364910
69,Minority Interest,283357,-575993,-1625839,-2080199,-7178252
70,Total Liabilities & Equity,1601551,1279082,11074788,20418078,15186658
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1729944/000149315220004759/0001493152-20-004759-index.html,https://www.sec.gov/Archives/edgar/data/1729944/000149315221005333/0001493152-21-005333-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-380797,-57181,-3053743,-6497230,-5542438
74,Depreciation and Amortization,- -,65895,651067,1552919,1722465
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,392217,392050
77,Change in Working Capital,-304752,-1315822,-13397703,9675003,2295028
78,Accounts Receivable,-305000,208416,-170235,-412805,-234518
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,2991,53673,- -,1359099,-1460376
81,Other Working Capital,1550461,234639,-13163064,-3488061,-1193033
82,Other Non-Cash Items,-195040,870132,13992069,-9191652,-4860491
83,Cash Provided by Operating Activities,-880589,-436976,-1808310,-4068743,-5993386
84,CAPEX,- -,-546470,-1579842,-1200216,-125987
85,Acquisitions Net,-421603,73955,-23931,- -,-200000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,147096,-243750
89,Cash Used for Investing Activites,-421603,-472515,-1603773,-1053120,-569737
90,Debt Repayment,- -,-87817,-359267,-440088,-157500
91,Common Stock Issued,1350000,- -,- -,5151179,5181855
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,828397,248891,3837877,590145,3789031
95,Cash Used/Provided by Financing Activities,2178397,161074,3478610,5301236,8813386
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-748417,66527,179373,2250263
98,Cash at the End of Period,876205,127788,194316,373689,2623952
99,Cash at the Beginning of Period,- -,876205,127789,194316,373689
100,Free Cash Flow,-880589,-983446,-3388152,-5268959,-6119373
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1729944/000149315220004759/0001493152-20-004759-index.html,https://www.sec.gov/Archives/edgar/data/1729944/000149315221005333/0001493152-21-005333-index.htm
102,false,,,,,
