,https://roic.ai/company/CNDT,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,207000000,10000000,-574000000,-1227000000,-16000000,-395000000,-2106000000,-139000000,-25000000
21,Income Before Tax Ratio,0.0301,0.0014,-0.0862,-0.1915,-0.0027,-0.0732,-0.4715,-0.0334,-0.0060
22,Income Tax expense (Gain),72000000,-24000000,-238000000,-244000000,-193000000,21000000,-172000000,-21000000,3000000
23,Net Income,182000000,-81000000,-414000000,-983000000,181000000,-416000000,-1934000000,-118000000,-28000000
24,Net Income ratio,0.0265,-0.0117,-0.0621,-0.1534,0.0301,-0.0771,-0.4330,-0.0283,-0.0068
25,EPS,0.85,-0.40,-1.83,-4.85,0.84,-2.06,-9.29,-0.61,-0.13
26,EPS Diluted,0.85,-0.40,-1.83,-4.85,0.83,-2.06,-9.29,-0.61,-0.13
27,Weighted Average Shares Outstanding,212905000,202633000,212905000,202680412,204000000,206000000,208180840,193442623,212633000
28,Weighted Average Shares Outstanding Diluted,212905000,202633000,212905000,202680412,218072289,206000000,208180840,193442623,219817000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1677703/000167770317000006/0001677703-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770318000014/0001677703-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770319000007/0001677703-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770320000010/0001677703-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770321000016/0001677703-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770322000015/0001677703-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,159000000,140000000,390000000,658000000,756000000,496000000,450000000,415000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,159000000,140000000,390000000,658000000,756000000,496000000,450000000,415000000
34,Net Receivables,- -,1612000000,1520000000,1318000000,1115000000,1021000000,917000000,943000000,853000000
35,Inventory,- -,43000000,41000000,41000000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1438000000,173000000,168000000,937000000,187000000,173000000,184000000,412000000
37,Total Current Assets,- -,3252000000,1874000000,1917000000,2710000000,1964000000,1586000000,1577000000,1680000000
38,PP&E,- -,291000000,280000000,283000000,257000000,328000000,613000000,551000000,512000000
39,Goodwill,- -,4784000000,4872000000,3889000000,3366000000,3408000000,1502000000,1528000000,1339000000
40,Intangible Assets,- -,2283000000,1821000000,1434000000,891000000,792000000,616000000,422000000,52000000
41,Intangible Assets,- -,7067000000,6693000000,5323000000,4257000000,4200000000,2118000000,1950000000,1391000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,131000000,126000000,123000000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,213000000,85000000,63000000,324000000,188000000,197000000,178000000,453000000
45,Total Non-Current Assets,- -,7702000000,7184000000,5792000000,4838000000,4716000000,2928000000,2679000000,2356000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10954000000,9058000000,7709000000,7548000000,6680000000,4514000000,4256000000,4036000000
48,Accounts Payable,- -,242000000,264000000,164000000,138000000,230000000,198000000,182000000,198000000
49,Short-Term Debt,- -,268000000,24000000,28000000,82000000,55000000,141000000,171000000,30000000
50,Tax Payable,- -,32000000,30000000,19000000,- -,18000000,27000000,32000000,- -
51,Deferred Revenue,- -,230000000,227000000,206000000,151000000,112000000,108000000,133000000,82000000
52,Other Current Liabilities,- -,3399000000,2226000000,1004000000,997000000,800000000,730000000,606000000,715000000
53,Total Current Liabilities,- -,4139000000,2741000000,1402000000,1368000000,1197000000,1177000000,1092000000,1025000000
54,Long-Term Debt,- -,43000000,37000000,1913000000,1979000000,1512000000,1464000000,1420000000,1567000000
55,Deferred Revenue,- -,116000000,100000000,74000000,- -,32000000,21000000,29000000,- -
56,Deferred Tax Liabilities,- -,958000000,764000000,619000000,384000000,327000000,111000000,121000000,75000000
57,Other Non-Current Liabilities,- -,287000000,254000000,271000000,146000000,248000000,299000000,404000000,237000000
58,Total Non-Current Liabilities,- -,1404000000,1155000000,2877000000,2509000000,2119000000,1895000000,1974000000,1879000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,320000000,288000000,184000000
61,Total Liabilities,- -,5543000000,3896000000,4279000000,3877000000,3316000000,3072000000,3066000000,2904000000
62,Preferred Stock,- -,- -,- -,142000000,142000000,142000000,142000000,142000000,- -
63,Common Stock,- -,- -,- -,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,- -,171000000,-233000000,-2185000000,-2313000000,-2351000000
65,Other Comprehensive Income/Loss,- -,-129000000,-181000000,-526000000,-494000000,-425000000,-407000000,-398000000,-429000000
66,Other Total Stockholders Equity,- -,5540000000,5343000000,3812000000,3708000000,3736000000,3748000000,3757000000,- -
67,Total Stockholders Equity,- -,5411000000,5162000000,3430000000,3529000000,3222000000,1300000000,1190000000,1132000000
68,Total Liabilities And Stockholders Equity,- -,10954000000,9058000000,7709000000,7406000000,6538000000,4372000000,4256000000,4036000000
69,Minority Interest,- -,- -,- -,- -,142000000,142000000,142000000,- -,- -
70,Total Liabilities & Equity,- -,10954000000,9058000000,7709000000,7548000000,6680000000,4514000000,4256000000,4036000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1677703/000167770317000006/0001677703-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770318000014/0001677703-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770319000007/0001677703-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770320000010/0001677703-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770321000016/0001677703-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770322000015/0001677703-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,182000000,-81000000,-414000000,-983000000,181000000,-416000000,-1934000000,-118000000,-28000000
74,Depreciation and Amortization,734000000,787000000,600000000,613000000,497000000,460000000,459000000,459000000,352000000
75,Deferred Income Tax,23000000,-123000000,-115000000,-160000000,-230000000,-75000000,-220000000,-21000000,-21000000
76,Stock Based Compensation,24000000,28000000,19000000,23000000,40000000,38000000,24000000,20000000,21000000
77,Change in Working Capital,-536000000,-838000000,20000000,1382000000,827000000,-575000000,-358000000,76000000,-138000000
78,Accounts Receivable,-203000000,-44000000,239000000,-27000000,31000000,133000000,107000000,-14000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-141000000,- -,22000000,-60000000,-49000000,-56000000,-32000000,39000000,- -
81,Other Working Capital,-49000000,-887000000,-867000000,515000000,1342000000,767000000,409000000,485000000,- -
82,Other Non-Cash Items,-48000000,892000000,383000000,-767000000,-1013000000,851000000,2161000000,-255000000,57000000
83,Cash Provided by Operating Activities,379000000,665000000,493000000,108000000,302000000,283000000,132000000,161000000,243000000
84,CAPEX,-288000000,-216000000,-194000000,-188000000,-132000000,-224000000,-215000000,-139000000,-147000000
85,Acquisitions Net,-30000000,-290000000,742000000,-54000000,56000000,675000000,-97000000,5000000,5000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,11000000,117000000,1000000,- -,- -,- -
88,Other Investing Activites,-30000000,-9000000,-61000000,208000000,-3000000,-37000000,-65000000,-63000000,-67000000
89,Cash Used for Investing Activites,-300000000,-488000000,514000000,16000000,74000000,460000000,-310000000,-134000000,-142000000
90,Debt Repayment,-140000000,-166000000,-384000000,-1164000000,-402000000,-614000000,-54000000,-205000000,-1502000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-10000000,-10000000,-10000000,-10000000,-10000000
94,Other Financing Activites,74000000,17000000,-631000000,1296000000,303000000,-13000000,-21000000,141000000,1380000000
95,Cash Used/Provided by Financing Activities,-66000000,-149000000,-1015000000,132000000,-109000000,-637000000,-85000000,-74000000,-132000000
96,Effect of Forex Changes on Cash,-1000000,-8000000,-11000000,-6000000,1000000,-8000000,3000000,- -,-7000000
97,Net Change In Cash,12000000,20000000,-19000000,250000000,268000000,98000000,-260000000,-47000000,-38000000
98,Cash at the End of Period,139000000,159000000,140000000,390000000,658000000,765000000,505000000,458000000,420000000
99,Cash at the Beginning of Period,127000000,139000000,159000000,140000000,390000000,667000000,765000000,505000000,458000000
100,Free Cash Flow,91000000,449000000,299000000,-80000000,170000000,59000000,-83000000,22000000,96000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1677703/000167770317000006/0001677703-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770318000014/0001677703-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770319000007/0001677703-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770320000010/0001677703-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770321000016/0001677703-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1677703/000167770322000015/0001677703-22-000015-index.htm
102,false,,,,,,,,,
