,https://roic.ai/company/COGT,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,5963000,6891000,17949000,1315000,- -,- -
52,Other Current Liabilities,- -,1320000,2953000,5477000,7131000,10310000,11270000
53,Total Current Liabilities,- -,8737000,11190000,24945000,13248000,13094000,17077000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,831000
55,Deferred Revenue,- -,13517000,8714000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,908000,906000,748000,4413000,3155000,- -
58,Total Non-Current Liabilities,- -,14425000,9620000,748000,4413000,3155000,831000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,6032000,5207000,- -
61,Total Liabilities,- -,23162000,20810000,25693000,17661000,16249000,17908000
62,Preferred Stock,- -,77086000,77151000,- -,- -,110881000,- -
63,Common Stock,- -,10000,10000,30000,30000,32000,44000
64,Retained Earnings,- -,-25847000,-51339000,-92059000,-123892000,-198700000,-270973000
65,Other Comprehensive Income/Loss,- -,-24000,-16000,-12000,- -,- -,- -
66,Other Total Stockholders Equity,- -,1163000,2499000,152275000,155624000,322454000,485113000
67,Total Stockholders Equity,- -,52388000,28305000,60234000,31762000,234667000,214184000
68,Total Liabilities And Stockholders Equity,- -,75550000,49115000,85927000,49423000,250916000,232092000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,75550000,49115000,85927000,49423000,250916000,232092000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1622229/000119312519089299/0001193125-19-089299-index.htm,https://www.sec.gov/Archives/edgar/data/1622229/000156459020013188/0001564590-20-013188-index.htm,https://www.sec.gov/Archives/edgar/data/1622229/000156459021013325/0001564590-21-013325-index.htm,https://www.sec.gov/Archives/edgar/data/1622229/000156459022010238/0001564590-22-010238-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-6592000,-18124000,-25492000,-34532000,-31833000,-74808000,-72273000
74,Depreciation and Amortization,179000,830000,1171000,1321000,1293000,720000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,248000,1016000,1341000,3088000,3241000,6017000,- -
77,Change in Working Capital,23881000,37745000,-29806000,24868000,-28714000,204475000,-26262000
78,Accounts Receivable,-294000,-634000,98000,-838000,-332000,2000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,705000,389000,-31000,367000,1664000,-2451000,- -
81,Other Working Capital,23250000,60995000,31189000,56057000,27343000,231818000,205556000
82,Other Non-Cash Items,- -,-40107000,26951000,-27234000,14499000,-172254000,98535000
83,Cash Provided by Operating Activities,17716000,-18640000,-25835000,-32489000,-41514000,-35850000,- -
84,CAPEX,-1994000,-3307000,-912000,-549000,-33000,320000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-55172000,-6500000,-47682000,- -,- -,- -
87,Sales/Maturities of Investments,- -,28000000,21000000,37700000,22988000,- -,- -
88,Other Investing Activites,-1255000,50000,-75000,- -,204000,8100000,- -
89,Cash Used for Investing Activites,-3249000,-30429000,13513000,-10531000,23159000,8420000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,60000,71793000,- -,132729000,44687000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,70752000,-40000,-789000,-1447000,108000,99467000,- -
95,Cash Used/Provided by Financing Activities,70752000,-40000,-729000,70346000,108000,232196000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,85219000,-49109000,-13051000,27326000,-18247000,204766000,- -
98,Cash at the End of Period,90430000,41321000,28270000,56926000,38679000,243445000,- -
99,Cash at the Beginning of Period,5211000,90430000,41321000,29600000,56926000,38679000,243445000
100,Free Cash Flow,15722000,-21947000,-26747000,-33038000,-41547000,-35850000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1622229/000119312519089299/0001193125-19-089299-index.htm,https://www.sec.gov/Archives/edgar/data/1622229/000156459020013188/0001564590-20-013188-index.htm,https://www.sec.gov/Archives/edgar/data/1622229/000156459021013325/0001564590-21-013325-index.htm,https://www.sec.gov/Archives/edgar/data/1622229/000156459022010238/0001564590-22-010238-index.htm
102,false,,,,,,,
