,https://roic.ai/company/FDUS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.5003,0.4982,0.4931,0.4635,0.4676,0.5131,0.4954,0.4487,0.4940,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-8687767,-3935924,3877062,3729000,8398000,-3779000,-555000,15174000,12478000,15449000,17017000,- -,93041000
20,Income Before Tax,- -,- -,15410000,19420000,27940000,19885000,26328000,42200000,46375000,50930000,49087000,32665000,118670000
21,Income Before Tax Ratio,- -,- -,0.6588,0.5737,0.6686,0.4312,0.4851,0.7007,0.6759,0.6664,0.6366,0.8172,0.9166
22,Income Tax expense (Gain),- -,- -,20000,- -,740000,400000,351000,630000,2424000,1478000,621000,1439000,2566000
23,Net Income,-1592130,5023713,15390000,19410000,27200000,19485000,25977000,41570000,43951000,49452000,48466000,31226000,116104000
24,Net Income ratio,-0.1123,0.2793,0.6580,0.5734,0.6509,0.4225,0.4787,0.6902,0.6405,0.6471,0.6286,0.7812,0.8968
25,EPS,-0.17,0.53,1.63,1.91,2.01,1.36,1.60,2.27,1.87,2.02,1.98,1.28,4.75
26,EPS Diluted,-0.17,0.53,1.63,1.91,2.01,1.36,1.60,2.27,1.87,2.02,1.98,1.28,4.75
27,Weighted Average Shares Outstanding,9427021,9427021,9427021,10185627,13524368,14346438,16201449,18283715,23527188,24471730,24463119,24442431,24437400
28,Weighted Average Shares Outstanding Diluted,9427021,9427021,9427021,10185627,13524368,14346438,16201449,18283715,23527188,24471730,24463119,24442431,24437400
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1513363/000119312512104127/0001193125-12-104127-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312513096290/0001193125-13-096290-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312514086785/0001193125-14-086785-index.htm,https://www.sec.gov/Archives/edgar/data/1513363/000119312515078824/0001193125-15-078824-index.htm,https://www.sec.gov/Archives/edgar/data/1513363/000119312516491683/0001193125-16-491683-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312517067882/0001193125-17-067882-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312518067128/0001193125-18-067128-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312519057412/0001193125-19-057412-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312520052649/0001193125-20-052649-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312521056953/0001193125-21-056953-index.htm,https://www.sec.gov/Archives/edgar/data/1513363/000095017022002806/0000950170-22-002806-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2671884,1757139,39058516,52042000,53418000,29318000,31657000,57083000,41572000,42015000,15012000,124308000,169417000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2671884,1757139,39058516,52042000,53418000,29318000,31657000,57083000,41572000,42015000,15012000,124308000,169417000
34,Net Receivables,1275878,1141357,1686851,3307000,2487000,4460000,4520000,4407000,7411000,7528000,6331000,7548000,8231000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2802184,3136815,465171,4251000,1224000,5454000,1222000,798000,972000,- -,- -,- -,- -
37,Total Current Assets,6749946,6035311,41210538,59600000,57129000,39232000,37399000,62288000,49955000,49543000,- -,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,122900256,141341478,204745372,274249000,306981000,396355000,443269000,524454000,596308000,642982000,766919000,742869000,719124000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,2687233,- -,3152000,- -,4872000,- -,- -,1351000,- -,- -,- -
45,Total Non-Current Assets,122900256,141341478,207432605,274249000,310133000,396355000,448141000,524454000,596308000,644333000,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789439000,875740000,897185000
47,Total Assets,129650202,147376789,248643143,333849000,367262000,435587000,485540000,586742000,646263000,693876000,789439000,875740000,897185000
48,Accounts Payable,253359,232305,279849,2612000,2484000,3101000,3016000,3563000,2876000,2984000,3947000,3994000,5323000
49,Short-Term Debt,- -,- -,2162160,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,3571000,328000,400000,555000,500000,803000,547000,275000,2410000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1465892,1639820,1718989,3646000,9153000,5723000,6162000,9955000,12279000,16404000,42479000,- -,- -
53,Total Current Liabilities,1719251,1872125,4160998,6258000,11637000,8824000,9178000,13518000,15155000,19388000,46426000,- -,- -
54,Long-Term Debt,79450000,93500000,104000000,144500000,144500000,183500000,229000000,219439000,237835000,271503000,- -,- -,366036000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330703000,- -,- -
58,Total Non-Current Liabilities,79450000,93500000,104000000,144500000,144500000,183500000,229000000,219439000,237835000,271503000,330703000,- -,366036000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464980000,775457000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,81169251,95372125,108160998,150758000,156137000,192324000,238178000,232957000,252990000,290891000,377129000,464980000,409421000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,49821847,49821847,9427,12000,14000,16000,16000,22000,24000,24000,24000,24000,24000
64,Retained Earnings,2546458,7647788,422049,455000,3221000,12433000,13887000,9626000,5687000,36683000,46225000,44943000,125933000
65,Other Comprehensive Income/Loss,-3887354,-3964971,-481937,3633000,5000000,-12194000,-12848000,4036000,17017000,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,-1500000,140532606,178991000,202890000,243008000,246307000,340101000,370545000,366278000,366061000,365793000,- -
67,Total Stockholders Equity,48480951,52004664,140482145,183091000,211125000,243263000,247362000,353785000,393273000,402985000,412310000,410760000,487764000
68,Total Liabilities And Stockholders Equity,129650202,147376789,248643143,333849000,367262000,435587000,485540000,586742000,646263000,693876000,789439000,875740000,897185000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,129650202,147376789,248643143,333849000,367262000,435587000,485540000,586742000,646263000,693876000,789439000,875740000,897185000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1513363/000119312512104127/0001193125-12-104127-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312513096290/0001193125-13-096290-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312514086785/0001193125-14-086785-index.htm,https://www.sec.gov/Archives/edgar/data/1513363/000119312515078824/0001193125-15-078824-index.htm,https://www.sec.gov/Archives/edgar/data/1513363/000119312516491683/0001193125-16-491683-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312517067882/0001193125-17-067882-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312518067128/0001193125-18-067128-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312519057412/0001193125-19-057412-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312520052649/0001193125-20-052649-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312521056953/0001193125-21-056953-index.htm,https://www.sec.gov/Archives/edgar/data/1513363/000095017022002806/0000950170-22-002806-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-1592130,5023713,15390000,19410000,27200000,19485000,25977000,41570000,43951000,49452000,48466000,31226000,116104000
74,Depreciation and Amortization,- -,- -,- -,- -,22190000,- -,10086000,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-4856,-867509,32886354,16292460,-7850000,-15084000,-2187000,20549000,-13970000,-4645000,-76581000,46426000,21574000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,5030695,4163186,37049540,53342000,45492000,30408000,28221000,48770000,34800000,30155000,-46426000,- -,- -
82,Other Non-Cash Items,-46799645,-16980233,-94312219,-85235460,-43632000,-75671000,-53344000,-95745000,-58180000,-36659000,-40613000,-21690000,30223000
83,Cash Provided by Operating Activities,-48396631,-12824029,-46035865,-49533000,-2092000,-71270000,-19468000,-33626000,-28199000,8148000,-68728000,55962000,167901000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-34500000,-52700000,-67300000,-52500000,-41500000,-245750000
91,Common Stock Issued,- -,- -,73625161,37952000,28857000,36542000,3170000,94712000,32330000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-582000,- -,-268000,- -
93,Dividends Paid,- -,- -,-6033293,-14754000,-25139000,-23889000,-25048000,-29859000,-36793000,-39158000,-39141000,-32508000,-39100000
94,Other Financing Activites,49699749,11909284,15745374,39318000,-250000,34517000,43685000,28699000,69851000,99335000,133366000,127610000,162058000
95,Cash Used/Provided by Financing Activities,49699749,11909284,83337242,62516000,3468000,47170000,21807000,59052000,12688000,-7705000,41725000,53334000,-122792000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1303118,-914745,37301377,12983000,1376000,-24100000,2339000,25426000,-15511000,443000,-27003000,109296000,45109000
98,Cash at the End of Period,2671884,1757139,39058516,52042000,53418000,29318000,31657000,57083000,41572000,42015000,15012000,124308000,169417000
99,Cash at the Beginning of Period,1368766,2671884,1757139,39059000,52042000,53418000,29318000,31657000,57083000,41572000,42015000,15012000,124308000
100,Free Cash Flow,-48396631,-12824029,-46035865,-49533000,-2092000,-71270000,-19468000,-33626000,-28199000,8148000,-68728000,55962000,167901000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1513363/000119312512104127/0001193125-12-104127-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312513096290/0001193125-13-096290-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312514086785/0001193125-14-086785-index.htm,https://www.sec.gov/Archives/edgar/data/1513363/000119312515078824/0001193125-15-078824-index.htm,https://www.sec.gov/Archives/edgar/data/1513363/000119312516491683/0001193125-16-491683-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312517067882/0001193125-17-067882-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312518067128/0001193125-18-067128-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312519057412/0001193125-19-057412-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312520052649/0001193125-20-052649-index.html,https://www.sec.gov/Archives/edgar/data/1513363/000119312521056953/0001193125-21-056953-index.htm,https://www.sec.gov/Archives/edgar/data/1513363/000095017022002806/0000950170-22-002806-index.htm
102,false,,,,,,,,,,,,,
