,https://roic.ai/company/HSDT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,- -,-1.35,-0.89,-0.16,-0.14,-0.30,-1.26,-0.37,-0.34,-7.79
27,Weighted Average Shares Outstanding,- -,6414010,1197774,57048406,83355095,93163700,22786192,26352642,41922719,2326893
28,Weighted Average Shares Outstanding Diluted,- -,6414010,1197774,57048406,83355095,93163700,22786192,26352642,41922719,2326893
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1610853/000106299315003610/0001062993-15-003610-index.html,- -,https://www.sec.gov/Archives/edgar/data/1610853/000156459018005321/0001564590-18-005321-index.html,https://www.sec.gov/Archives/edgar/data/1610853/000156459019007839/0001564590-19-007839-index.html,https://www.sec.gov/Archives/edgar/data/1610853/000156459020010496/0001564590-20-010496-index.html,https://www.sec.gov/Archives/edgar/data/1610853/000156459021012121/0001564590-21-012121-index.htm,https://www.sec.gov/Archives/edgar/data/1610853/000156459022010124/0001564590-22-010124-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,9,418893,2669000,5562000,25583000,5459000,3331000,11005000
32,Short-Term Investments,- -,- -,- -,378000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,9,796893,2669000,5562000,25583000,5459000,3331000,11005000
34,Net Receivables,- -,- -,- -,8833,225000,704000,275000,574000,230000,251000
35,Inventory,- -,- -,- -,- -,- -,- -,392000,598000,389000,476000
36,Other Current Assets,- -,- -,- -,410621,556000,352000,711000,610000,735000,862000
37,Total Current Assets,- -,- -,9,1216347,3450000,6618000,26961000,7241000,4685000,12594000
38,PP&E,- -,- -,- -,- -,- -,173000,554000,1264000,576000,412000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,1242000,759000,763000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,582000,527000,333000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1824000,1286000,1096000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,18000,312000,18000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,191000,866000,3106000,1862000,1508000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,9,1216347,3450000,6809000,27827000,10347000,6547000,14102000
48,Accounts Payable,- -,- -,- -,- -,2161000,3479000,2392000,1676000,747000,1069000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,172000,59000,3000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,233000,- -,430000,281000,148000
52,Other Current Liabilities,- -,- -,- -,1197804,4733000,10587000,15581000,1524000,1337000,1433000
53,Total Current Liabilities,- -,- -,- -,1197804,6894000,14299000,17973000,3802000,2424000,2653000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,245000,220000,193000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1581444,- -,- -,- -,465000,32000,- -
58,Total Non-Current Liabilities,- -,- -,- -,1581444,- -,- -,- -,710000,252000,193000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,637000,91000,- -
61,Total Liabilities,- -,- -,- -,2779248,6894000,14299000,17973000,4512000,2676000,2846000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,9,16358093,30897000,52230000,26000,31000,1000,4000
64,Retained Earnings,- -,- -,- -,-18479689,-38345000,-66369000,-94992000,-104773000,-118903000,-137035000
65,Other Comprehensive Income/Loss,- -,- -,- -,-971640,-1728000,47000,-591000,-902000,-1099000,-1125000
66,Other Total Stockholders Equity,- -,- -,- -,1530335,- -,6602000,105411000,111479000,123872000,149412000
67,Total Stockholders Equity,- -,- -,9,-1562901,-3444000,-7490000,9854000,5835000,3871000,11256000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1216347,3450000,6809000,27827000,10347000,6547000,14102000
69,Minority Interest,- -,- -,9,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,9,1216347,3450000,6809000,27827000,10347000,6547000,14102000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1610853/000106299315003610/0001062993-15-003610-index.html,- -,https://www.sec.gov/Archives/edgar/data/1610853/000156459018005321/0001564590-18-005321-index.html,https://www.sec.gov/Archives/edgar/data/1610853/000156459019007839/0001564590-19-007839-index.html,https://www.sec.gov/Archives/edgar/data/1610853/000156459020010496/0001564590-20-010496-index.html,https://www.sec.gov/Archives/edgar/data/1610853/000156459021012121/0001564590-21-012121-index.htm,https://www.sec.gov/Archives/edgar/data/1610853/000156459022010124/0001564590-22-010124-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,- -,-1067284,-8894555,-12040000,-28024000,-28623000,-9781000,-14130000,-18132000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,17000,59000,191000,482000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,8500000,807157,1397114,1462000,1818000,8095000,4691000,2529000,- -
77,Change in Working Capital,- -,5836,- -,18534,-5153568,-4237000,16669000,-5549000,-1178000,7680000
78,Accounts Receivable,- -,- -,- -,-8945,174000,-479000,- -,-438000,-4000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-392000,-206000,4000,- -
80,Accounts Payable,- -,5836,210085,979040,345000,1318000,-1087000,-1116000,-635000,- -
81,Other Working Capital,- -,9,9,18543,-3444000,-7681000,8988000,3439000,2261000,9941000
82,Other Non-Cash Items,- -,-8517850,-88571,1157622,7846568,11101000,-15821000,-10551000,559000,-2936000
83,Cash Provided by Operating Activities,- -,-12014,-348698,-6321285,-7885000,-19325000,-19621000,-20999000,-11738000,-13388000
84,CAPEX,- -,- -,- -,- -,- -,-190000,-440000,-353000,-70000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-416000,- -,- -
86,Purchases of Investments,- -,- -,- -,-378000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-75000,54000,-56000
89,Cash Used for Investing Activites,- -,- -,- -,-378000,- -,-190000,-440000,-769000,-9000,-56000
90,Debt Repayment,- -,- -,-2231,- -,- -,- -,- -,- -,-323000,- -
91,Common Stock Issued,- -,10000,- -,7056554,7903000,20878000,38526000,1685000,10653000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,2231,366680,426174,94000,1340000,1502000,-32000,-692000,21126000
95,Cash Used/Provided by Financing Activities,- -,12231,364449,7482728,7997000,22218000,40028000,1653000,9638000,21126000
96,Effect of Forex Changes on Cash,- -,- -,- -,-380518,-87000,190000,54000,-9000,-19000,-8000
97,Net Change In Cash,- -,- -,15751,402925,25000,2893000,20021000,-20124000,-2128000,7674000
98,Cash at the End of Period,- -,217,15968,418893,2669000,5562000,25583000,5459000,3331000,- -
99,Cash at the Beginning of Period,- -,- -,217,15968,2644000,2669000,5562000,25583000,5459000,3331000
100,Free Cash Flow,- -,-12014,-348698,-6321285,-7885000,-19515000,-20061000,-21352000,-11808000,-13388000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1610853/000106299315003610/0001062993-15-003610-index.html,- -,https://www.sec.gov/Archives/edgar/data/1610853/000156459018005321/0001564590-18-005321-index.html,https://www.sec.gov/Archives/edgar/data/1610853/000156459019007839/0001564590-19-007839-index.html,https://www.sec.gov/Archives/edgar/data/1610853/000156459020010496/0001564590-20-010496-index.html,https://www.sec.gov/Archives/edgar/data/1610853/000156459021012121/0001564590-21-012121-index.htm,https://www.sec.gov/Archives/edgar/data/1610853/000156459022010124/0001564590-22-010124-index.htm
102,false,,,,,,,,,,
