,https://roic.ai/company/FRZT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-40000,-27268,-9234,8706,-94139,-1976628,-662662,-993993,-1475934,-46938,-57295,-39316,-18863,125605
20,Income Before Tax,-130000,-230000,-160000,-200000,-1020000,-3550000,-1353470,-1870280,-2127140,-9562810,-52610,-141827,-269582,291793
21,Income Before Tax Ratio,-0.2241,-0.2644,-0.2500,-0.2632,-2.2667,-23.6667,-25.2137,-42.5354,-15.3341,-4.3115,-0.0249,-0.0681,-0.1515,0.1366
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,1570,400,2280,29470,7550,800,- -,1454
23,Net Income,-130000,-230000,-160000,-200000,-1020000,-3550000,-1355030,-1870680,-2129420,-9592290,-60160,-142627,-269582,290339
24,Net Income ratio,-0.2241,-0.2644,-0.2500,-0.2632,-2.2667,-23.6667,-25.2427,-42.5445,-15.3505,-4.3248,-0.0285,-0.0685,-0.1515,0.1359
25,EPS,-0.33,-1.00,-0.43,-1.00,-2.00,-4.00,-1.00,-1.00,-1.00,-0.51,-0.00,-0.00,-0.00,0.00
26,EPS Diluted,-0.33,-1.00,-0.43,-1.00,-2.00,-4.00,-1.00,-1.00,-1.00,-0.51,-0.00,-0.00,-0.00,0.00
27,Weighted Average Shares Outstanding,390000,277563,373693,390820,512049,838569,1160491,2387627,3811940,18659077,73052150,75056123,75056123,75056123
28,Weighted Average Shares Outstanding Diluted,390000,277563,373693,390820,512049,838569,1160491,2387627,3811940,18659077,73052150,75056123,75056123,75056123
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1485074/000147793212000945/0001477932-12-000945-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793213001542/0001477932-13-001542-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793214001439/0001477932-14-001439-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793215002134/0001477932-15-002134-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793216009356/0001477932-16-009356-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793217001489/0001477932-17-001489-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793218001638/0001477932-18-001638-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793219001360/0001477932-19-001360-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793220001686/0001477932-20-001686-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793221001920/0001477932-21-001920-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793222001871/0001477932-22-001871-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,28904,107369,26588,32744,39847,14688,42052,19934,167492,309216,254776,491639,752826
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,28904,107369,26588,32744,39847,14688,42052,19934,167492,309216,254776,491639,752826
34,Net Receivables,90000,90364,133429,92042,40812,17709,16197,4504,7745,7395,5079,9772,11471,13170
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,290000,231698,238174,186957,341428,8184,8245,5249,5281,39357,27001,17628,12621,12475
37,Total Current Assets,390000,350966,478972,305587,414984,65740,39130,51805,32960,214244,341296,282176,515731,778471
38,PP&E,- -,175966,295932,4870,2849,828,- -,- -,- -,12740,13051,9563,43523,32173
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,130000,- -,- -,- -,- -,- -,- -,- -,- -,432640,341160,249680,158200,66720
41,Intangible Assets,130000,- -,- -,- -,- -,- -,- -,- -,- -,432640,341160,249680,158200,66720
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,320,320,673201,536727,11920,- -,- -,- -,15000,2850,64612,35267,207927
45,Total Non-Current Assets,130000,176286,296252,678071,539576,12748,- -,- -,- -,460380,357061,323855,236990,306820
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,520000,527252,775224,983658,954560,78488,39130,51805,32960,674624,698357,606031,752721,1085291
48,Accounts Payable,30000,115845,93975,72171,107811,107301,116150,124163,133083,155494,176020,162476,138731,140314
49,Short-Term Debt,450000,108000,93300,69898,50000,1144197,1869095,2852402,3457871,- -,379825,- -,557592,379825
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,275849,270061,211946,202499,195033,127201,127187,127182,7543,7543,- -
52,Other Current Liabilities,470000,499657,657923,674480,1312150,491846,1043180,1698075,3145758,451247,452655,507740,480358,551803
53,Total Current Liabilities,950000,723502,845198,1092398,1740022,1955290,3230924,4869673,6863913,733928,1135682,677759,1184224,1071942
54,Long-Term Debt,- -,- -,50000,- -,- -,- -,- -,- -,- -,379825,- -,379825,222263,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,7299,- -,- -,- -,- -,- -,20563,- -,32417,20031,317156
58,Total Non-Current Liabilities,- -,- -,50000,7299,- -,- -,- -,- -,- -,400388,- -,412242,242294,317156
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32417,- -
61,Total Liabilities,950000,723502,895198,1099697,1740022,1955290,3230924,4869673,6863913,1134316,1135682,1090001,1426518,1389098
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,70,69,69,69,- -
63,Common Stock,30000,32269,39039,39276,70302,99938,184517,2804,6484,698,751,751,751,17551
64,Retained Earnings,-600000,-829807,-992002,-1222184,-2241971,-5758803,-7113833,-8984510,-11113929,-9392240,-9452402,-9595029,-9864611,-9574272
65,Other Comprehensive Income/Loss,- -,-3413,-3696,-4907,-6928,-8949,- -,- -,- -,-1644,-4975,-8463,- -,- -
66,Other Total Stockholders Equity,140000,604701,836685,1071776,1393135,3791012,3737522,4163838,4276492,8933424,9019232,9118702,9189994,9252914
67,Total Stockholders Equity,-430000,-196250,-119974,-116039,-785462,-1876802,-3191794,-4817868,-6830953,-459692,-437325,-483970,-673797,-303807
68,Total Liabilities And Stockholders Equity,520000,527252,775224,983658,954560,78488,39130,51805,32960,674624,698357,606031,752721,1085291
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,520000,527252,775224,983658,954560,78488,39130,51805,32960,674624,698357,606031,752721,1085291
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1485074/000147793212000945/0001477932-12-000945-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793213001542/0001477932-13-001542-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793214001439/0001477932-14-001439-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793215002134/0001477932-15-002134-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793216009356/0001477932-16-009356-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793217001489/0001477932-17-001489-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793218001638/0001477932-18-001638-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793219001360/0001477932-19-001360-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793220001686/0001477932-20-001686-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793221001920/0001477932-21-001920-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793222001871/0001477932-22-001871-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-130000,-230000,-160000,-200000,-1020000,-3550000,-1355030,-1870680,-2129420,-9592290,-60160,-142627,-269582,290339
74,Depreciation and Amortization,90000,169641,231451,13943,26709,346617,12429,- -,- -,38851,94811,94968,102659,102830
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,100298,39985,16003,- -,30700,- -,- -,- -,19667,23000,57999,41667,41668
77,Change in Working Capital,60000,187464,6310,-420585,-538227,-564512,-1302244,-1626074,-2013085,6311269,-274702,398803,-272910,375022
78,Accounts Receivable,- -,1631,-43064,41385,51230,23103,1512,11693,-3241,-1481,2316,-4693,-1699,-1699
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,88324,-21870,-21796,45658,-510,8849,8013,8920,6003,20526,-13544,-23745,1583
81,Other Working Capital,-560000,-372536,-366226,-786811,-1325038,-1889550,-3191794,-4817868,-6830953,-519684,-794386,-395583,-668493,-293471
82,Other Non-Cash Items,50000,-166174,-241765,352558,942309,3358178,1969686,2631118,3423291,3230187,357417,-463583,313425,-509779
83,Cash Provided by Operating Activities,70000,61229,-124019,-238081,-589209,-379017,-675159,-865636,-719214,7684,140366,-54440,-84741,300080
84,CAPEX,- -,- -,-2463,-12600,- -,- -,- -,- -,- -,-14384,-3642,- -,-46609,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,29156,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-7500,- -,- -,- -,- -,47251,- -,- -,600,-203624
89,Cash Used for Investing Activites,- -,- -,-2463,-12600,-7500,- -,- -,- -,- -,62023,-3642,- -,-46009,-203624
90,Debt Repayment,- -,-39331,-240614,-18300,-85000,- -,- -,- -,- -,-98008,- -,- -,-7032,6803
91,Common Stock Issued,- -,- -,344400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-80000,- -,130000,159361,687865,386120,650000,893000,697096,1901,5000,- -,374645,157928
95,Cash Used/Provided by Financing Activities,-80000,-39331,233786,141061,602865,386120,650000,893000,697096,-96107,5000,- -,367613,164731
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10000,21898,107304,-109620,6156,7103,-25159,27364,-22118,-26400,141724,-54440,236863,261187
98,Cash at the End of Period,-10000,28904,136208,26588,32744,39847,14688,42052,19934,167492,309216,254776,491639,752826
99,Cash at the Beginning of Period,- -,7006,28904,136208,26588,32744,39847,14688,42052,193892,167492,309216,254776,491639
100,Free Cash Flow,70000,61229,-126482,-250681,-589209,-379017,-675159,-865636,-719214,-6700,136724,-54440,-131350,300080
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1485074/000147793212000945/0001477932-12-000945-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793213001542/0001477932-13-001542-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793214001439/0001477932-14-001439-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793215002134/0001477932-15-002134-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793216009356/0001477932-16-009356-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793217001489/0001477932-17-001489-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793218001638/0001477932-18-001638-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793219001360/0001477932-19-001360-index.html,https://www.sec.gov/Archives/edgar/data/1485074/000147793220001686/0001477932-20-001686-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793221001920/0001477932-21-001920-index.htm,https://www.sec.gov/Archives/edgar/data/1485074/000147793222001871/0001477932-22-001871-index.htm
102,false,,,,,,,,,,,,,,
