,https://roic.ai/company/MRZM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,418,6237,944,507,8530864,1154602,860,874,14369,11883,51608,104,90,3,4
34,Net Receivables,- -,- -,791,- -,744,5698320,5591616,7965637,5251297,4858848,320953,- -,- -,- -,0,0
35,Inventory,- -,- -,1715,- -,4610,- -,- -,- -,- -,- -,- -,- -,- -,- -,0,0
36,Other Current Assets,- -,2602,- -,2959,- -,3405169,2391602,139032,3416,500,27680,157434,20000,- -,0,0
37,Total Current Assets,- -,3020,8743,3903,5861,17634353,9137820,8105529,5255587,4873717,360516,209042,20104,90,3,4
38,PP&E,- -,- -,- -,- -,- -,- -,332839,- -,- -,- -,- -,- -,- -,- -,0,1
39,Goodwill,- -,- -,- -,- -,- -,39688966,36206460,- -,- -,- -,- -,- -,- -,- -,- -,7
40,Intangible Assets,- -,- -,- -,- -,- -,16514894,13724170,515205,1065205,835205,- -,- -,28600000,28613000,42,53
41,Intangible Assets,- -,- -,- -,- -,- -,56203860,49930630,515205,1065205,835205,- -,- -,28600000,28613000,42,60
42,Investments,- -,- -,- -,- -,- -,- -,- -,15497064,8547419,2204110,2683907,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,1136135,4823871,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,1891580,584801,1,1,- -,- -,2610440,- -,- -,-0,0
45,Total Non-Current Assets,- -,- -,- -,- -,- -,59231575,55672141,16012270,9612625,3039315,2683907,2610440,28600000,28613000,42,62
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3020,8743,3903,5861,76865928,64809961,24117799,14868212,7913032,3044423,2819482,28620104,28613090,45,66
48,Accounts Payable,- -,- -,15402,- -,- -,- -,10846650,453858,415686,416038,203889,24223,- -,- -,0,- -
49,Short-Term Debt,- -,- -,4865,- -,- -,1490619,6774,585772,25189,1079061,- -,- -,- -,- -,0,0
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,6208458,6099570,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1699,10791,17079,38569,8646906,1657632,255310,1753307,2791904,87216,628447,42780,270218,- -,3
53,Total Current Liabilities,- -,1699,31058,17079,38569,16345983,18610626,1294940,2194182,4287003,291105,652670,42780,270218,1,3
54,Long-Term Debt,- -,- -,- -,- -,- -,780277,3716101,- -,- -,- -,- -,- -,- -,- -,1,1
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,878450,874551,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,6281334,165876,- -,- -,- -,- -,- -,- -,- -,- -,14
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,7940061,4756528,- -,- -,- -,- -,- -,- -,- -,1,15
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1317830,- -
61,Total Liabilities,- -,1699,31058,17079,38569,24286044,23367154,1294940,2194183,4287002,291105,652670,42780,270218,2,18
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,8900,11400,12235,12235,22544,29462,72635,73352,73352,73352,73352,61162,61281,0,0
64,Retained Earnings,- -,-97680,-195347,-214608,-232588,-174959,-15706308,-4496408,-6926392,-17162222,-26210221,-27082933,-29922542,-30980581,- -,-48
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,313139,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,90101,161632,189197,187645,33881022,- -,27246632,19527069,20714900,28890187,29176393,58438704,59262172,45287628,95
67,Total Stockholders Equity,- -,1321,-22315,-13176,-32708,33728607,34027957,22822859,12674029,3626030,2753318,2166812,28577324,28342872,45287628,48
68,Total Liabilities And Stockholders Equity,- -,3020,8743,3903,5861,58014651,57395111,24117799,14868212,7913032,3044423,2819482,28620104,28613090,45287630,66
69,Minority Interest,- -,- -,- -,- -,- -,18851277,7414850,- -,- -,- -,- -,- -,- -,- -,-45287584,- -
70,Total Liabilities & Equity,- -,3020,8743,3903,5861,76865928,64809961,24117799,14868212,7913032,3044423,2819482,28620104,28613090,45,66
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413754/000107878218001376/0001078782-18-001376-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000107878219000201/0001078782-19-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000107878220000251/0001078782-20-000251-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000149315221008936/0001493152-21-008936-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000149315222008531/0001493152-22-008531-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-25437,-97667,-19261,-17980,-1817687,-3558641,-2429984,-10235831,-9047999,-872712,-570506,-248743,-1058039,-6,-11
74,Depreciation and Amortization,- -,- -,- -,- -,- -,4036047,4816098,34795,100000,230000,- -,- -,- -,- -,1970,0
75,Deferred Income Tax,- -,- -,- -,- -,- -,3239283,-556679,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,698587,1329643,1
77,Change in Working Capital,- -,587,-23636,9139,-19532,1321078,1047155,16283395,-3749184,-2474691,-517303,-513039,420952,-247452,270130,-1
78,Accounts Receivable,- -,587,- -,791,-744,-5310427,536124,-95054,349739,- -,-16000,- -,- -,- -,-40585,0
79,Inventory,- -,- -,-1715,1715,-1651,- -,263712,- -,- -,- -,- -,- -,- -,- -,127129,0
80,Accounts Payable,- -,- -,- -,- -,- -,- -,1181226,-37152,-38172,352,269259,-179666,- -,- -,-155661,- -
81,Other Working Capital,- -,1321,-22315,-13176,-32708,1288370,-9472806,6810589,3061405,586714,69411,-443628,-22676,-270128,2,1
82,Other Non-Cash Items,- -,8768,34833,-4207,14476,-5004979,-262936,-11847634,13143212,11136058,1550526,1123270,-391112,494890,-4825574,5
83,Cash Provided by Operating Activities,- -,-16082,-86470,-14329,-23036,1773742,1484997,2040572,-741803,-156632,160511,39725,-218903,-112014,-3223836,-6
84,CAPEX,- -,- -,- -,- -,- -,-4027019,-3572855,- -,- -,- -,- -,- -,- -,-13000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,2498257,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,278676,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,934692,-3516593,-264030,272326,-132265,- -,- -,-1386,-13000,-148656,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,773655,-795922,-264030,272326,-132265,- -,- -,-1386,-13000,-148656,- -
90,Debt Repayment,- -,- -,- -,-16702,- -,-2221567,-237797,- -,- -,- -,-346531,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,67757,25040,- -,- -,- -,185000,- -,- -,- -,- -,- -,125000,237500,8
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,13454,18258,- -,26901,6759182,453517,-2680137,469491,302392,183534,- -,168785,- -,6037664,-1
95,Cash Used/Provided by Financing Activities,- -,13454,86015,8338,26901,4537615,215720,-2495137,469491,302392,-162997,- -,168785,125000,6275164,7
96,Effect of Forex Changes on Cash,- -,2746,6274,698,-4302,-299113,-84689,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,118,5819,-5293,-437,6785899,-2096220,-718594,14,13495,-2486,39725,-51504,-14,2902672,-2902758
98,Cash at the End of Period,- -,418,6237,944,507,8530864,1154601,860,874,14369,11883,51608,104,90,2902762,4
99,Cash at the Beginning of Period,- -,300,418,6237,944,1744965,3250821,719454,860,874,14369,11883,51608,104,90,2902762
100,Free Cash Flow,- -,-16082,-86470,-14329,-23036,-2253277,-2087858,2040572,-741803,-156632,160511,39725,-218903,-125014,-3223836,-6
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413754/000107878218001376/0001078782-18-001376-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000107878219000201/0001078782-19-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000107878220000251/0001078782-20-000251-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000149315221008936/0001493152-21-008936-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000149315222008531/0001493152-22-008531-index.htm
102,false,,,,,,,,,,,,,,,,
