,https://roic.ai/company/TMHC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0673,0.0522,0.3001,0.0196,0.0264,0.0205,0.0148,0.0235,0.0488,0.0535,0.0407,0.0884
25,EPS,0.12,0.10,0.60,1.38,2.17,1.85,1.69,1.47,1.85,2.38,1.90,5.19
26,EPS Diluted,0.12,0.10,0.60,1.38,2.17,1.85,1.69,1.47,1.83,2.35,1.88,5.13
27,Weighted Average Shares Outstanding,723181000,723181000,723181000,32840000,32937000,33063000,31084000,62061000,111743000,106997000,127812000,127812000
28,Weighted Average Shares Outstanding Diluted,723181000,723181000,723181000,122319000,122313000,122384000,120832000,120915000,115119000,108289000,129170000,129170000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1562476/000119312514065264/0001193125-14-065264-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000119312515070090/0001193125-15-070090-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000156247616000005/0001562476-16-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828017001498/0001628280-17-001498-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828018001960/0001628280-18-001960-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828019001592/0001628280-19-001592-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828020001799/0001628280-20-001799-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828021003044/0001628280-21-003044-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828022003466/0001628280-22-003466-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,279322000,300567000,389181000,234217000,126188000,300179000,573925000,329645000,326437000,532843000,832821000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,279322000,300567000,389181000,234217000,126188000,300179000,573925000,329645000,326437000,532843000,832821000
34,Net Receivables,- -,231875000,205274000,94824000,85274000,120729000,115246000,94488000,86587000,70447000,96241000,150864000
35,Inventory,- -,1003482000,1633050000,2262339000,2518321000,3126787000,3017219000,2959236000,3980565000,3986544000,5332426000,5499521000
36,Other Current Assets,- -,89214000,200073000,263141000,316204000,332317000,345475000,310718000,340265000,318340000,445187000,786039000
37,Total Current Assets,- -,1603893000,2338964000,3009485000,3154016000,3706021000,3778119000,3938367000,4737062000,4701768000,6406697000,7269245000
38,PP&E,- -,19801000,35147000,7515000,5337000,7387000,6586000,7112000,86736000,122529000,296774000,470579000
39,Goodwill,- -,- -,15526000,23375000,23375000,57698000,66198000,66198000,152116000,149428000,663197000,663197000
40,Intangible Assets,- -,9733000,17954000,13713000,5459000,4248000,3189000,2130000,1072000,637000,- -,- -
41,Intangible Assets,- -,9733000,33480000,37088000,28834000,61946000,69387000,68328000,153188000,150065000,663197000,663197000
42,Investments,- -,37640000,74465000,139550000,110291000,128448000,157909000,192364000,140541000,128759000,127955000,171406000
43,Tax Assets,- -,- -,274757000,244920000,258190000,233488000,206634000,118138000,145076000,140466000,238078000,151240000
44,Other Non-Current Assets,- -,- -,- -,- -,576445000,- -,2291000,1584000,1838000,2099000,5294000,2110000
45,Total Non-Current Assets,- -,67174000,417849000,429073000,979097000,431269000,442807000,387526000,527379000,543918000,1331298000,1458532000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1671067000,2756813000,3438558000,4133113000,4137290000,4220926000,4325893000,5264441000,5245686000,7737995000,8727777000
48,Accounts Payable,- -,64843000,98647000,121865000,122466000,151861000,136636000,140165000,151586000,164580000,215047000,253348000
49,Short-Term Debt,- -,- -,50000000,- -,40000000,115000000,- -,- -,200000000,- -,- -,31529000
50,Tax Payable,- -,128648000,124610000,70271000,62904000,53025000,27759000,16819000,14861000,16256000,41364000,- -
51,Deferred Revenue,- -,60193000,82038000,94670000,70465000,92319000,111573000,132529000,165432000,167328000,311257000,485705000
52,Other Current Liabilities,- -,317716000,324926000,262040000,250652000,229244000,219730000,206065000,266686000,329087000,329012000,525209000
53,Total Current Liabilities,- -,442752000,555611000,478575000,483583000,588424000,467939000,478759000,783704000,660995000,855316000,1295791000
54,Long-Term Debt,- -,599750000,977869000,1415082000,1697106000,1568268000,1586533000,1498062000,2009596000,1940772000,3011635000,3366767000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,175263000,7921000,6252000,2527000,52406000,98207000,277294000,94237000
58,Total Non-Current Liabilities,- -,599750000,977869000,1415082000,1872369000,1576189000,1592785000,1500589000,2062002000,2038979000,3288929000,3461004000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,42317000,83240000,96172000
61,Total Liabilities,- -,1042502000,1533480000,1893657000,2355952000,2164613000,2060724000,1979348000,2845706000,2699974000,4144245000,4756795000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000,1000,1000,1000,1000,1000,1000,1000,- -
64,Retained Earnings,- -,649209000,1231050000,43479000,114948000,175997000,228613000,319833000,527698000,782350000,1025789000,- -
65,Other Comprehensive Income/Loss,- -,-30065000,-34365000,-452000,-10910000,-17997000,-17989000,-17968000,2001000,884000,-1166000,689000
66,Other Total Stockholders Equity,- -,- -,- -,372789000,374358000,361917000,341185000,1294251000,1885492000,1754471000,2479917000,- -
67,Total Stockholders Equity,- -,619144000,1196685000,415817000,478397000,519918000,551810000,1596117000,2415192000,2537706000,3504541000,3970982000
68,Total Liabilities And Stockholders Equity,- -,1661646000,2730165000,2309474000,2834349000,2684531000,2612534000,3575465000,5260898000,5237680000,7648786000,8727777000
69,Minority Interest,- -,9421000,26648000,1129084000,1298764000,1452759000,1608392000,750428000,3543000,8006000,89209000,- -
70,Total Liabilities & Equity,- -,1671067000,2756813000,3438558000,4133113000,4137290000,4220926000,4325893000,5264441000,5245686000,7737995000,8727777000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1562476/000119312514065264/0001193125-14-065264-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000119312515070090/0001193125-15-070090-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000156247616000005/0001562476-16-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828017001498/0001628280-17-001498-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828018001960/0001628280-18-001960-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828019001592/0001628280-19-001592-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828020001799/0001628280-20-001799-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828021003044/0001628280-21-003044-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828022003466/0001628280-22-003466-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,87367000,71487000,430820000,45420000,71469000,61049000,52616000,91220000,206364000,254652000,249527000,663026000
74,Depreciation and Amortization,3242000,4219000,4370000,3462000,4090000,4107000,3972000,3953000,26391000,31424000,37336000,39980000
75,Deferred Income Tax,61000,-11253000,-278880000,30662000,-17703000,24702000,26854000,88496000,44472000,2655000,50582000,86838000
76,Stock Based Compensation,- -,- -,1975000,87318000,5831000,7891000,10912000,11587000,21124000,14763000,32129000,19943000
77,Change in Working Capital,-105570000,- -,622212000,747557000,139523000,447164000,192583000,149428000,493750000,87415000,1510608000,698397000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-71853000,76419000,-331116000,-450147000,-310550000,-424607000,166343000,41723000,-248215000,990000,535238000,-343127000
80,Accounts Payable,2585000,3077000,6089000,35387000,33947000,2996000,-20479000,-20989000,63641000,73113000,62329000,197121000
81,Other Working Capital,1161141000,1161141000,1783353000,2530910000,2670433000,3117597000,3310180000,3459608000,3953358000,4040773000,5551381000,6249778000
82,Other Non-Cash Items,6528000,93977000,-994966000,-1066352000,-336900000,-807601000,85665000,41549000,-656507000,2307000,-756900000,-1131538000
83,Cash Provided by Operating Activities,-8372000,158430000,-214469000,-151933000,-133690000,-262688000,372602000,386233000,135594000,393216000,1123282000,376646000
84,CAPEX,-2937000,-2757000,-2753000,-3786000,-3723000,-4298000,-1908000,-3421000,-20458000,-30118000,-37760000,-21199000
85,Acquisitions Net,-15000,-1000000,-127538000,-68634000,-98199000,14389000,-85176000,-36657000,-196262000,-12766000,-315106000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,53917000,-1574000,-8645000,-3371000,12471000,40076000,5734000,4083000,57002000,23584000,40062000,-53061000
89,Cash Used for Investing Activites,50965000,-5331000,-138936000,-75791000,-89451000,50167000,-81350000,-35995000,-159718000,-19300000,-312804000,-74260000
90,Debt Repayment,-424777000,-299083000,-419028000,-2038596000,-980510000,-1871031000,-1573264000,-934425000,-1122713000,-2661554000,-4324070000,-124786000
91,Common Stock Issued,- -,- -,- -,668598000,- -,- -,- -,1111806000,767115000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-485782000,- -,-15000000,-28543000,-1118357000,-1108365000,-157439000,-103332000,-281420000
93,Dividends Paid,-3339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,355679000,269783000,794559000,2193727000,1289837000,1783026000,1484546000,864429000,1244443000,2441790000,3822461000,406051000
95,Cash Used/Provided by Financing Activities,-72437000,-29300000,375531000,337947000,309327000,-103005000,-117261000,-76547000,-219520000,-377203000,-604941000,-155000
96,Effect of Forex Changes on Cash,6227000,-9892000,-881000,-21644000,-13162000,-20491000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-23617000,113907000,21245000,88579000,73024000,-336017000,173991000,273691000,-243644000,-3287000,205537000,302231000
98,Cash at the End of Period,165415000,574748000,300567000,389181000,462205000,126188000,300179000,575503000,331859000,328572000,534109000,- -
99,Cash at the Beginning of Period,189032000,460841000,279322000,300602000,389181000,462205000,126188000,301812000,575503000,331859000,328572000,534109000
100,Free Cash Flow,-11309000,155673000,-217222000,-155719000,-137413000,-266986000,370694000,382812000,115136000,363098000,1085522000,355447000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1562476/000119312514065264/0001193125-14-065264-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000119312515070090/0001193125-15-070090-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000156247616000005/0001562476-16-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828017001498/0001628280-17-001498-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828018001960/0001628280-18-001960-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828019001592/0001628280-19-001592-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828020001799/0001628280-20-001799-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828021003044/0001628280-21-003044-index.htm,https://www.sec.gov/Archives/edgar/data/1562476/000162828022003466/0001628280-22-003466-index.htm
102,false,,,,,,,,,,,,
