,https://roic.ai/company/TWLO,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,-2624000,-6350000,-13445000,2025000,1282000,5086000,9046000,-18141000
66,Other Total Stockholders Equity,- -,11544000,28453000,529535000,608165000,808527000,4952999000,9613246000,13169118000
67,Total Stockholders Equity,- -,31194000,116625000,329447000,359846000,438235000,4279411000,8452665000,11031466000
68,Total Liabilities And Stockholders Equity,- -,54974000,157516000,412694000,449782000,1028710000,5150516000,9487433000,12998598000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,54974000,157516000,412694000,449782000,1028710000,5150516000,9487433000,12998598000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1447669/000104746917000800/0001047469-17-000800-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000104746918001207/0001047469-18-001207-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000104746919000807/0001047469-19-000807-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000144766920000045/0001447669-20-000045-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000144766921000070/0001447669-21-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766922000049/0001447669-22-000049-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-26854000,-26758000,-35504000,-41324000,-63708000,-121949000,-307063000,-490979000,-949900000
74,Depreciation and Amortization,610000,1756000,4226000,8315000,18764000,26095000,133623000,149660000,258378000
75,Deferred Income Tax,- -,- -,-108000,- -,- -,- -,-55745000,-16459000,-17236000
76,Stock Based Compensation,2157000,3978000,8877000,24225000,49619000,93273000,264318000,360936000,632285000
77,Change in Working Capital,1252000,22173000,72881000,183644000,-4938000,460400000,1078971000,1109920000,-185113000
78,Accounts Receivable,-3239000,-4300000,-10506000,-8254000,-15280000,-58234000,-51357000,-81303000,-117943000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1401000,1227000,658000,1714000,5433000,6980000,17255000,10060000,10191000
81,Other Working Capital,978000,23151000,96032000,279676000,274738000,735138000,1814109000,2924029000,45634000
82,Other Non-Cash Items,213000,-18509000,-69134000,-164769000,-2997000,-449836000,-1100056000,-1080424000,203394000
83,Cash Provided by Operating Activities,-22622000,-17360000,-18762000,10091000,-3260000,7983000,14048000,32654000,-58192000
84,CAPEX,-3452000,-5170000,-10618000,-26486000,-26818000,-24655000,-67290000,-59133000,-90021000
85,Acquisitions Net,- -,- -,-1761000,-8500000,-22621000,-30574000,122749000,-333591000,-491522000
86,Purchases of Investments,- -,- -,- -,- -,-293186000,-279687000,-2038422000,-1636590000,-3523232000
87,Sales/Maturities of Investments,3000000,- -,- -,- -,115877000,195497000,697171000,1183459000,1614779000
88,Other Investing Activites,- -,-170000,- -,-7439000,3118000,- -,- -,-33328000,-43973000
89,Cash Used for Investing Activites,-452000,-5340000,-12379000,-42425000,-223630000,-139419000,-1285792000,-845855000,-2489996000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-11046000,-10784000,-8295000
91,Common Stock Issued,- -,- -,- -,225707000,- -,- -,980000000,1408113000,1765713000
92,Common Stock Repurchased,-5069000,-4000,-20810000,-2000,-100000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,70681000,616000,128159000,3459000,36537000,515819000,51191000,95982000,1338907000
95,Cash Used/Provided by Financing Activities,65612000,612000,107349000,229164000,36437000,515819000,1020145000,1493311000,3096325000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,74000,163000,- -,40000,-191000
97,Net Change In Cash,42538000,-22088000,76208000,196830000,-190379000,384546000,-251599000,680150000,547946000
98,Cash at the End of Period,54715000,32627000,108835000,305665000,115286000,505334000,253735000,933885000,1481831000
99,Cash at the Beginning of Period,12177000,54715000,32627000,108835000,305665000,120788000,505334000,253735000,933885000
100,Free Cash Flow,-26074000,-22530000,-29380000,-16395000,-30078000,-16672000,-53242000,-26479000,-148213000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1447669/000104746917000800/0001047469-17-000800-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000104746918001207/0001047469-18-001207-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000104746919000807/0001047469-19-000807-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000144766920000045/0001447669-20-000045-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000144766921000070/0001447669-21-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766922000049/0001447669-22-000049-index.htm
102,false,,,,,,,,,
