,https://roic.ai/company/MLSS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116374,154027,95135,131838,178970,70801,2668,- -,- -,- -,- -,- -,- -,16360
14,Depreciation and Amortization,200000,300000,500000,732857,718620,435177,417988,335220,101923,118150,118763,148914,127244,126386,128638,105391,95133,96123,95838,97375,163366,573150,881285,256470,42937,0
15,EBITDA,-1700000,-7100000,-10200000,-6239455,-6791235,-3556403,-2022209,-2077688,-2894941,-2636077,-3033505,-2789782,-943836,-1249672,-390735,-1244871,-596203,1631854,-1594009,-5333990,-5802242,-4594550,-6526374,-7249772,-7361375,-6802290
16,EBITDA ratio,-5.6667,-2.4483,-1.1591,-2.1851,-1.1968,-0.8687,-0.4964,-0.5231,-0.6093,-0.4098,-0.5191,-0.4365,-0.1425,-0.1462,-0.0401,-0.1486,-0.0689,0.1630,-0.1543,-0.5620,-0.5535,-0.4073,-0.6783,-0.8657,-1.3539,-0.6601
17,Operating Income,-2300000,-7700000,-11000000,-6181731,-6836640,-3200421,-1669555,-1732051,-3008201,-3247096,-3522786,-3240245,-1728587,-2103513,-700837,-1223602,-520353,1086704,-790176,-3056748,-6513960,-5234318,-7999335,-3998993,-7453118,-7378508
18,Operating Income ratio,-7.6667,-2.6552,-1.2500,-2.1649,-1.2048,-0.7818,-0.4098,-0.4361,-0.6331,-0.5047,-0.6028,-0.5070,-0.2610,-0.2461,-0.0719,-0.1460,-0.0602,0.1085,-0.0765,-0.3220,-0.6214,-0.4640,-0.8314,-0.4775,-1.3708,-0.7160
19,Total Other Income Expenses (Gains),200000,200000,400000,-807595,-246283,64487,53933,- -,- -,978824,283107,310475,648484,-53300,180877,-126695,-349953,378226,-907811,-1509,-3803,4368,215,-3644445,-18081,259820
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-870306,1464930,-1697987,-3058257,-6517763,-5229950,-7999120,-7643438,-7471199,-7118688
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1006,0.1463,-0.1643,-0.3222,-0.6218,-0.4636,-0.8313,-0.9127,-1.3741,-0.6908
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9509,36157,-19101,19093,23986,18126,-15500,-333
23,Net Income,-1900000,-7400000,-10700000,-6972312,-7509855,-3991580,-2440197,-2412908,-2996864,-2754227,-3152268,-2938696,-1187454,-1530085,-614508,-1482100,-870306,1464930,-1702024,-5467522,-5946507,-5186793,-7431645,-7524368,-7388812,-6818317
24,Net Income ratio,-6.3333,-2.5517,-1.2159,-2.4417,-1.3235,-0.9751,-0.5990,-0.6075,-0.6308,-0.4281,-0.5394,-0.4598,-0.1793,-0.1790,-0.0630,-0.1769,-0.1006,0.1463,-0.1647,-0.5760,-0.5673,-0.4597,-0.7724,-0.8985,-1.3589,-0.6617
25,EPS,-1.29,-3.63,-3.66,-2.40,-2.16,-1.08,-0.60,-0.52,-0.33,-0.25,-0.27,-0.24,-0.09,-0.11,-0.04,-0.10,-0.05,0.09,-0.08,-0.26,-0.22,-0.16,-0.21,-0.16,-0.12,-0.11
26,EPS Diluted,-1.29,-3.63,-3.66,-2.40,-2.16,-1.08,-0.60,-0.52,-0.33,-0.25,-0.27,-0.24,-0.09,-0.11,-0.04,-0.10,-0.05,0.08,-0.08,-0.26,-0.22,-0.16,-0.21,-0.16,-0.12,-0.11
27,Weighted Average Shares Outstanding,1472868,2038567,2923497,2909968,3496563,3713825,4156142,4672266,9147634,11007755,11788690,12141525,12666979,13389872,14824802,15174893,16080474,17127468,20063513,21429993,26966988,32703897,35299034,45740050,63061358,63061358
28,Weighted Average Shares Outstanding Diluted,1472868,2038567,2923497,2909968,3496563,3713825,4156142,4672266,9147634,11007755,11788690,12141525,12666979,13389872,14824802,15174893,16080474,17483638,20063513,21429993,26966988,32703897,35299034,45740050,63061358,63061358
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/855683/000095012307004882/y32714e10ksb.htm,https://www.sec.gov/Archives/edgar/data/855683/000095012308003580/y52435e10ksb.htm,https://www.sec.gov/Archives/edgar/data/855683/000136231009003961/0001362310-09-003961-index.html,https://www.sec.gov/Archives/edgar/data/855683/000095012310023053/0000950123-10-023053-index.html,https://www.sec.gov/Archives/edgar/data/855683/000095012311030644/c14776e10vk.htm,https://www.sec.gov/Archives/edgar/data/855683/000119312512111926/0001193125-12-111926-index.html,https://www.sec.gov/Archives/edgar/data/855683/000119312513105429/0001193125-13-105429-index.html,https://www.sec.gov/Archives/edgar/data/855683/000156459014000701/mlss-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/855683/000156459015002296/0001564590-15-002296-index.html,https://www.sec.gov/Archives/edgar/data/855683/000156459016015942/mlss-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/855683/000143774917005780/0001437749-17-005780-index.html,https://www.sec.gov/Archives/edgar/data/855683/000143774918006069/0001437749-18-006069-index.html,https://www.sec.gov/Archives/edgar/data/855683/000143774919006239/0001437749-19-006239-index.html,https://www.sec.gov/Archives/edgar/data/855683/000143774920006563/0001437749-20-006563-index.htm,https://www.sec.gov/Archives/edgar/data/855683/000143774921007838/0001437749-21-007838-index.htm,https://www.sec.gov/Archives/edgar/data/855683/000143774922007873/0001437749-22-007873-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,800000,9800000,300000,242843,172867,15742,9683,3277,3041306,2892679,1160116,745003,743665,1029129,627082,96324,165249,1147198,10367993,4194384,3602229,2636956,743429,1516272,14223917,14764346
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,800000,9800000,300000,242843,172867,15742,9683,3277,3041306,2892679,1160116,745003,743665,1029129,627082,96324,165249,1147198,10367993,4194384,3602229,2636956,743429,1516272,14223917,14764346
34,Net Receivables,300000,300000,400000,297778,529544,678743,539435,388900,421339,532767,406726,361705,925742,1063742,796221,1154459,978982,1532856,1541478,1851941,2895994,3760963,2078456,1710665,1080656,943272
35,Inventory,500000,1200000,1300000,1717094,1039377,162640,119291,426711,936221,1371354,1323338,1636744,719902,804736,986947,790495,638561,1321652,2497099,4258094,4602719,3379209,1921051,1620509,- -,1541513
36,Other Current Assets,- -,5900000,3400000,192636,224040,30985,224829,379203,166596,1129354,1174944,1362311,468406,406496,977956,1256737,716030,877929,1175764,1519732,1612870,2243273,1113324,1245702,3250296,1684620
37,Total Current Assets,1600000,17200000,5400000,2450351,1965828,888110,893238,1198091,4565462,5926154,4065124,4105763,2857715,3304103,3388206,3298015,2498822,4879635,15582334,11824151,12713812,12020401,5856260,6093148,18554869,18933751
38,PP&E,300000,800000,2000000,1669769,273141,207823,227207,242243,612263,536295,459259,220808,152574,77353,66936,52309,36624,23987,88818,235935,159026,141760,82557,44976,- -,550511
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2000000,2000000,1700000,1491724,- -,- -,- -,- -,101242,486635,526753,559378,901045,947315,944858,698357,648662,591735,530029,715540,660457,2789748,435273,382260,329249,277619
41,Intangible Assets,2000000,2000000,1700000,1491724,- -,- -,- -,- -,101242,486635,526753,559378,901045,947315,944858,698357,648662,591735,530029,715540,660457,2789748,435273,382260,329249,277619
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,492099,387549,76319,2654446,- -,966197,1261563,16346,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,800000,- -,100000,10318,314848,419806,120268,276156,90364,100516,90472,103616,7317,133674,2132704,289075,2476995,1593791,14684,17355,17355,676878,26878,35905,- -,47863
45,Total Non-Current Assets,3100000,2800000,3800000,3171811,587989,627629,347475,518399,803869,1123446,1076484,883802,1553035,1545891,3220817,3694187,3162281,3175710,1895094,985176,836838,3608386,544708,463141,329249,875993
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4700000,20000000,9200000,5622162,2553817,1515739,1240713,1716490,5369331,7049600,5141608,4989565,4410750,4849994,6609023,6992202,5661103,8055345,17477428,12809327,13550650,15628787,6400968,6556289,18884118,19809744
48,Accounts Payable,500000,1100000,500000,996120,1148527,1063363,1269523,1689591,474075,508044,1196107,1855835,829130,1154013,2883587,3931531,2336594,2020368,1453908,2088268,2576259,1963301,2869245,2738177,482972,780428
49,Short-Term Debt,100000,200000,200000,- -,200000,- -,4581708,1499401,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7796,89546
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1001800,2476950,521800,340476,- -,- -
52,Other Current Liabilities,100000,200000,200000,246453,506262,105410,256011,930836,224549,223350,232076,216936,495897,524017,511304,677419,937970,515132,981168,1555567,1436262,2287908,1481715,1848989,2387126,2227346
53,Total Current Liabilities,700000,1500000,900000,1242573,1854789,1168773,6107242,4119828,698624,731394,1428183,2072771,1325027,1678030,3394891,4608950,3274564,2535500,2435076,3643835,5014321,6728159,4872760,4927642,2877894,3097320
54,Long-Term Debt,- -,- -,- -,2250000,2401363,3753665,780091,41333,- -,- -,- -,934629,1685543,438843,441639,446935,450000,- -,- -,- -,- -,- -,- -,- -,- -,476980
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1052268,459323,- -,150000,- -,- -,443847,- -,92000,440376,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,20062
58,Total Non-Current Liabilities,- -,- -,- -,2250000,2401363,4805933,1239414,41333,150000,- -,- -,1378476,1685543,530843,882015,446935,450000,1,- -,- -,- -,1400000,- -,- -,- -,497042
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,586588,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15977,666415,- -
61,Total Liabilities,700000,1500000,900000,3492573,4256152,5974706,7346656,4161161,848624,731394,1428183,3451247,3010570,2208873,4276906,5055885,3724564,2535501,2435076,3643835,5014321,8128159,4872760,4927642,3464482,3594362
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,25,25,- -,- -,- -,- -,- -,- -,- -,- -,- -,7,7,7,7,7,- -,- -,- -
63,Common Stock,- -,- -,- -,8865,10753,11373,12733,6146,9824,11758,12031,12210,13200,15472,15552,17058,18199,19599,22380,22685,31720,34593,36330,49410,64171,68153
64,Retained Earnings,-2700000,-10200000,-20900000,-27845135,-35354990,-39346570,-41786767,-44199675,-47196539,-49954951,-53107219,-56045915,-57233369,-58763454,-59377962,-60860062,-61730368,-60265438,-61967462,-67434984,-73381491,-78568284,-85999929,-93524297,- -,-107704274
65,Other Comprehensive Income/Loss,- -,-100000,-100000,-976045,-287633,-363625,-387466,-157020,-207940,-307000,-402914,-284144,-345377,-395630,-426482,-446484,-458708,-476884,-416210,-566477,-659144,-721619,-788684,-836181,- -,- -
66,Other Total Stockholders Equity,6700000,28800000,29300000,30941904,33929535,35239855,36055557,41905853,51915337,56568399,57211527,57856167,58965726,61784733,62121009,63225805,64107416,66242568,77009109,78287344,82509131,86499187,88291886,96006989,16137223,124004044
67,Total Stockholders Equity,4000000,18500000,8300000,2129589,-1702335,-4458967,-6105943,-2444671,4520707,6318206,3713425,1538318,1400180,2641121,2332117,1936317,1936539,5519845,14647824,10308575,8500223,7243884,1539610,1695921,16201394,16367923
68,Total Liabilities And Stockholders Equity,4700000,20000000,9200000,5622162,2553817,1515739,1240713,1716490,5369331,7049600,5141608,4989565,4410750,4849994,6609023,6992202,5661103,8055346,17082900,13952410,13514544,15372043,6412370,6623563,19665876,19962285
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,394528,-1143083,36106,256744,-11402,-67274,-781758,-152541
70,Total Liabilities & Equity,4700000,20000000,9200000,5622162,2553817,1515739,1240713,1716490,5369331,7049600,5141608,4989565,4410750,4849994,6609023,6992202,5661103,8055345,17477428,12809327,13550650,15628787,6400968,6556289,18884118,19809744
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/855683/000095012307004882/y32714e10ksb.htm,https://www.sec.gov/Archives/edgar/data/855683/000095012308003580/y52435e10ksb.htm,https://www.sec.gov/Archives/edgar/data/855683/000136231009003961/0001362310-09-003961-index.html,https://www.sec.gov/Archives/edgar/data/855683/000095012310023053/0000950123-10-023053-index.html,https://www.sec.gov/Archives/edgar/data/855683/000095012311030644/c14776e10vk.htm,https://www.sec.gov/Archives/edgar/data/855683/000119312512111926/0001193125-12-111926-index.html,https://www.sec.gov/Archives/edgar/data/855683/000119312513105429/0001193125-13-105429-index.html,https://www.sec.gov/Archives/edgar/data/855683/000156459014000701/mlss-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/855683/000156459015002296/0001564590-15-002296-index.html,https://www.sec.gov/Archives/edgar/data/855683/000156459016015942/mlss-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/855683/000143774917005780/0001437749-17-005780-index.html,https://www.sec.gov/Archives/edgar/data/855683/000143774918006069/0001437749-18-006069-index.html,https://www.sec.gov/Archives/edgar/data/855683/000143774919006239/0001437749-19-006239-index.html,https://www.sec.gov/Archives/edgar/data/855683/000143774920006563/0001437749-20-006563-index.htm,https://www.sec.gov/Archives/edgar/data/855683/000143774921007838/0001437749-21-007838-index.htm,https://www.sec.gov/Archives/edgar/data/855683/000143774922007873/0001437749-22-007873-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1900000,-7400000,-10700000,-6972312,-7509855,-3991580,-2440197,-2412908,-2996864,-2754227,-3152268,-2938696,-1187454,-1530085,-614508,-1482100,-870306,1464930,-1702024,-5467522,-5946507,-5186793,-7431645,-7524368,-7388812,-6876432
74,Depreciation and Amortization,200000,300000,500000,732857,718620,435177,417988,335220,101923,118150,118763,148914,127244,126386,128638,105391,95133,96123,95838,97375,163366,573150,881285,256470,42937,22205
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350339,1444159,305503,864555,673691,1077213,1031623,1128274,1850760,651413,409021,183888,550349,790915
77,Change in Working Capital,-300000,14800000,-11200000,-3292222,-1096739,-391702,-4933341,2292267,6788575,1327922,-2557819,-603949,-500304,93385,-1632758,-1304250,535193,3119877,10803123,-4966942,-480825,-2407249,-4308742,182006,14511469,159456
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-579395,-138000,-734197,-172214,525182,-126323,-8623,-207248,-1092193,256021,-635483,367791,630009,137384
79,Inventory,-100000,-700000,-1200000,-461832,-330072,13533,43349,-307420,-509510,-435133,48016,-313406,916842,-120834,-182211,196453,151933,-683091,-1175447,-875034,-509462,1003676,914613,300542,-799670,878666
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-891707,324883,2169950,607568,-1594937,-316226,-516460,173068,486348,-612958,905944,16893,-896453,297456
81,Other Working Capital,900000,15700000,4500000,1207778,111039,-280663,-5214004,-2921737,3866838,5194760,2636941,2032992,1532688,1626073,-6685,-1310935,-775742,2344135,13147258,8180316,7699491,5292242,983500,1165506,15676975,15836431
82,Other Non-Cash Items,500000,-12400000,12800000,4198680,5045297,2563169,6279373,-1035170,-8178503,-1958162,3940606,2243061,768169,269106,1519348,1245674,-483429,-4499407,-9851617,6262477,-985375,5140045,8821975,5122716,-14700871,1886275
83,Cash Provided by Operating Activities,-1500000,-4700000,-8600000,-5332997,-2842677,-1384936,-676177,-820591,-4284869,-3266317,-1650718,-1150670,-442006,402951,-293777,-570730,-49718,1258736,376943,-2946338,-5398581,-1229434,-1628106,-1779288,-6984928,-4017581
84,CAPEX,-100000,-500000,-3600000,-106806,-51773,-10672,-74344,-35268,-350529,-23092,-81845,-335644,-317081,-174353,-110293,-39028,-31357,-26559,-98962,-77520,-30959,-199175,-7401,-9916,-21438,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-3753000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-534828,-1205566,-3649751,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,7020940,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-5800000,2500000,- -,- -,- -,- -,- -,-145492,-312680,- -,- -,-296226,-92403,-78915,-31561,-26622,-21020,-16752,-9939,23550,-193167,-8020,- -,- -,-15189
89,Cash Used for Investing Activites,-100000,-6300000,-1100000,3161134,-51773,-10672,-74344,-35268,-496021,-335772,-81845,-335644,-309332,-144353,-108270,-39028,-31357,-561387,-1304528,-3727271,8206,-199175,-15421,-9916,-21438,-15189
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,- -,- -,- -,- -,- -,-7622,-24731
91,Common Stock Issued,- -,19900000,1200000,- -,- -,735167,- -,249231,- -,749,- -,71201,- -,25000,- -,30000,150000,200000,9449683,- -,4798220,400836,- -,2224547,384146,1381886
92,Common Stock Repurchased,- -,- -,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,2098000,2824474,503316,744462,600222,7818919,3452713,- -,1000000,750000,1866,- -,49000,- -,84600,748697,500000,- -,62500,- -,337500,19337487,3216044
95,Cash Used/Provided by Financing Activities,- -,19900000,300000,2098000,2824474,1238483,744462,849453,7818919,3453462,- -,1071201,750000,26866,- -,79000,150000,284600,10148380,500000,4798220,463336,-250000,2562047,19714011,4573199
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-73863,-69976,-157125,-6059,-6406,3038029,-148627,-1732563,-415113,-1338,285464,-402047,-530758,68925,981949,9220795,-6173609,-592155,-965273,-1893527,772843,12707645,540429
98,Cash at the End of Period,- -,- -,- -,242843,172867,15742,9683,3277,3041306,2892679,1160116,745003,743665,1029129,627082,96324,165249,1147198,10367993,4194384,3602229,2636956,743429,1516272,14223917,14764346
99,Cash at the Beginning of Period,2300000,800000,9800000,316706,242843,172867,15742,9683,3277,3041306,2892679,1160116,745003,743665,1029129,627082,96324,165249,1147198,10367993,4194384,3602229,2636956,743429,1516272,14223917
100,Free Cash Flow,-1600000,-5200000,-12200000,-5439803,-2894450,-1395608,-750521,-855859,-4635398,-3289409,-1732563,-1486314,-759087,228598,-404070,-609758,-81075,1232177,277981,-3023858,-5429540,-1428609,-1635507,-1789204,-7006366,-4017581
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/855683/000095012307004882/y32714e10ksb.htm,https://www.sec.gov/Archives/edgar/data/855683/000095012308003580/y52435e10ksb.htm,https://www.sec.gov/Archives/edgar/data/855683/000136231009003961/0001362310-09-003961-index.html,https://www.sec.gov/Archives/edgar/data/855683/000095012310023053/0000950123-10-023053-index.html,https://www.sec.gov/Archives/edgar/data/855683/000095012311030644/c14776e10vk.htm,https://www.sec.gov/Archives/edgar/data/855683/000119312512111926/0001193125-12-111926-index.html,https://www.sec.gov/Archives/edgar/data/855683/000119312513105429/0001193125-13-105429-index.html,https://www.sec.gov/Archives/edgar/data/855683/000156459014000701/mlss-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/855683/000156459015002296/0001564590-15-002296-index.html,https://www.sec.gov/Archives/edgar/data/855683/000156459016015942/mlss-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/855683/000143774917005780/0001437749-17-005780-index.html,https://www.sec.gov/Archives/edgar/data/855683/000143774918006069/0001437749-18-006069-index.html,https://www.sec.gov/Archives/edgar/data/855683/000143774919006239/0001437749-19-006239-index.html,https://www.sec.gov/Archives/edgar/data/855683/000143774920006563/0001437749-20-006563-index.htm,https://www.sec.gov/Archives/edgar/data/855683/000143774921007838/0001437749-21-007838-index.htm,https://www.sec.gov/Archives/edgar/data/855683/000143774922007873/0001437749-22-007873-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
