,https://roic.ai/company/ARCW,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,97000,90000,39000,23000,83000,163000,123000,95000,49000,- -,- -,5847000,3641000,2795000,3358000,2508000,2583000,13205000
61,Total Liabilities,1147114,1126283,762029,8234000,9354000,8451000,7968000,7031000,16680000,1888000,2492000,1904000,1145000,711000,704000,- -,40955000,105048000,79282000,77255000,64956000,57769000,64322000,50308000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,36595,37686,47545,71000,77000,78000,78000,78000,78000,2000,2000,2000,2000,2000,2000,- -,3000,3000,5000,10000,10000,12000,12000,12000
64,Retained Earnings,-376177,-620903,-1193291,-3034000,-5835000,5528000,-5813000,-5125000,-3833000,-4575000,-5278000,-7121000,-8066000,-8518000,-9164000,- -,11627000,16143000,15931000,13771000,3569000,-9627000,-33570000,-38343000
65,Other Comprehensive Income/Loss,- -,- -,-326374,-465000,-695000,-979000,-1247000,-1482000,-1672000,-1613000,-1713000,-1894000,-2088000,-2200000,-2371000,- -,- -,-12857000,-58000,-6000,73000,44000,-13000,-70000
66,Other Total Stockholders Equity,819539,937839,2218060,20883000,21100000,10377000,21754000,21991000,22237000,22273000,22409000,22629000,22855000,22998000,23169000,- -,13007000,27056000,29657000,29608000,31015000,41735000,42065000,42374000
67,Total Stockholders Equity,479957,354622,745940,17455000,14647000,15004000,14772000,15462000,16810000,16087000,15420000,13616000,12703000,12282000,11636000,- -,24637000,30345000,45535000,43383000,34667000,32164000,8494000,3973000
68,Total Liabilities And Stockholders Equity,1627071,1480905,1507969,25689000,24001000,23455000,22740000,22493000,33490000,17975000,17912000,15520000,13848000,12993000,12340000,- -,65592000,135393000,124817000,120638000,99623000,89933000,72816000,54281000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1080000,996000,1206000,1160000,- -,- -,-1000,- -
70,Total Liabilities & Equity,1627071,1480905,1507969,25689000,24001000,23455000,22740000,22493000,33490000,17975000,17912000,15520000,13848000,12993000,12340000,- -,66672000,136389000,126023000,121798000,99623000,89933000,72815000,54281000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/826326/000100544499000056/0001005444-99-000056-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/826326/000105050207000098/0001050502-07-000098-index.html,https://www.sec.gov/Archives/edgar/data/826326/000100009608000088/0001000096-08-000088-index.htm,https://www.sec.gov/Archives/edgar/data/826326/000143774909000315/0001437749-09-000315-index.html,https://www.sec.gov/Archives/edgar/data/826326/000143774910000739/0001437749-10-000739-index.html,https://www.sec.gov/Archives/edgar/data/826326/000143774911001804/arc_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/826326/000114420412014885/0001144204-12-014885-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/826326/000144530514005019/arcw2014063010k.htm,https://www.sec.gov/Archives/edgar/data/826326/000110465915067381/0001104659-15-067381-index.html,https://www.sec.gov/Archives/edgar/data/826326/000155837016008278/0001558370-16-008278-index.html,https://www.sec.gov/Archives/edgar/data/826326/000155837017007160/0001558370-17-007160-index.html,https://www.sec.gov/Archives/edgar/data/826326/000155837018007587/0001558370-18-007587-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,134500,-244726,-572388,-1841000,-2801000,307000,-285000,688000,1292000,-742000,-703000,-1843000,-945000,-452000,-646000,- -,3039000,4516000,-212000,-2314000,-10199000,-13180000,-23943000,-5287000
74,Depreciation and Amortization,54735,115372,114481,678000,1260000,308000,286000,251000,227000,162000,181000,223000,219000,198000,184000,- -,3393000,4385000,9459000,9529000,9930000,10223000,10146000,6114000
75,Deferred Income Tax,- -,-132764,335373,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-803000,2159000,565000,-407000,- -,4000,24000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000,- -,- -,- -,701000,- -,177000,752000,714000,278000,285000
77,Change in Working Capital,-198202,236853,-246192,-1738000,-2694000,-513000,585000,-543000,-1992000,430000,-1121000,1117000,-236000,213000,54000,- -,363000,2111000,-6502000,-1697000,4464000,1406000,749000,1318000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236000,392000,91000,-355000,- -,214000,601000,-8000,400000,2597000,-631000,401000,2895000
79,Inventory,-312705,208188,-279347,-2311000,-619000,541000,-684000,457000,-483000,131000,-391000,-10000,88000,471000,363000,- -,121000,-1253000,-230000,-1227000,1120000,1876000,201000,2426000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-252000,2372000,-2092000,1708000,1068000,2768000,-222000,-5087000
81,Other Working Capital,81653,-12976,- -,- -,- -,- -,- -,16000,-126000,9000,-4000,- -,- -,- -,- -,- -,371000,-399000,-25000,466000,-292000,-339000,-181000,-13000
82,Other Non-Cash Items,10323,93710,31218,93000,1842000,-251000,-825000,310000,-258000,736000,431000,184000,39000,- -,- -,- -,619000,155000,231000,206000,-1690000,281000,7762000,686000
83,Cash Provided by Operating Activities,1356,68445,-337508,-2808000,-2393000,-149000,-239000,706000,-731000,586000,-1212000,-319000,-923000,-10000,-408000,- -,7414000,11065000,5135000,6466000,2850000,-556000,-5004000,3140000
84,CAPEX,-258255,-87735,-70543,-213000,-193000,-79000,-158000,-164000,-100000,-90000,-122000,-154000,-194000,-104000,-141000,- -,-818000,-4098000,-4810000,-2633000,-6641000,-5144000,-1918000,-1198000
85,Acquisitions Net,- -,- -,- -,-7344000,-826000,-41000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13797000,-46640000,- -,- -,10538000,3000000,- -,10500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-12940,-14665,-8457,- -,-25000,- -,-15000,-19000,-6000,16339000,- -,-34000,-13000,-12000,-14000,- -,617000,- -,1506000,8000,- -,- -,- -,10000000
89,Cash Used for Investing Activites,-258255,-87735,-79000,-7557000,-1044000,-120000,-173000,-183000,-106000,16249000,-122000,-154000,-194000,-104000,-141000,- -,-13998000,-50738000,-3304000,-2625000,3897000,-2144000,-1918000,19302000
90,Debt Repayment,-54925,-85400,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4819000,-41000,-28000,-46000,- -,-15680000,-33392000,-46296000,-10542000,-127468000,-101659000,-83072000,-52554000
91,Common Stock Issued,- -,69336,- -,39000,984000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93000,15460000,- -,98000,9785000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-78000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,-93000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-539000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,317830,-8733,576632,11226000,1720000,267000,374000,-429000,683000,-1179000,555000,3304000,- -,- -,- -,- -,24957000,79034000,24500000,5543000,117436000,94261000,90028000,33883000
95,Cash Used/Provided by Financing Activities,262905,-24797,576632,11265000,2704000,189000,374000,-429000,683000,-1179000,555000,-1515000,-41000,-28000,-46000,- -,8737000,45456000,-6336000,-4999000,-9934000,2387000,6956000,-18671000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58000,-43000,160000,85000,-136000,-92000
97,Net Change In Cash,6006,-44087,160124,900000,-733000,-80000,-38000,94000,-154000,15656000,-779000,-1988000,-1158000,-142000,-595000,- -,2153000,5783000,-4563000,-1201000,-3027000,-228000,-102000,3679000
98,Cash at the End of Period,61642,17555,177679,1078000,345000,265000,227000,321000,167000,15720000,14941000,12943000,11785000,11643000,11048000,- -,3601000,9384000,4821000,3620000,593000,365000,263000,3942000
99,Cash at the Beginning of Period,55636,61642,17555,178000,1078000,345000,265000,227000,321000,64000,15720000,14931000,12943000,11785000,11643000,- -,1448000,3601000,9384000,4821000,3620000,593000,365000,263000
100,Free Cash Flow,-256899,-19290,-408051,-3021000,-2586000,-228000,-397000,542000,-831000,496000,-1334000,-473000,-1117000,-114000,-549000,- -,6596000,6967000,325000,3833000,-3791000,-5700000,-6922000,1942000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/826326/000100544499000056/0001005444-99-000056-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/826326/000105050207000098/0001050502-07-000098-index.html,https://www.sec.gov/Archives/edgar/data/826326/000100009608000088/0001000096-08-000088-index.htm,https://www.sec.gov/Archives/edgar/data/826326/000143774909000315/0001437749-09-000315-index.html,https://www.sec.gov/Archives/edgar/data/826326/000143774910000739/0001437749-10-000739-index.html,https://www.sec.gov/Archives/edgar/data/826326/000143774911001804/arc_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/826326/000114420412014885/0001144204-12-014885-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/826326/000144530514005019/arcw2014063010k.htm,https://www.sec.gov/Archives/edgar/data/826326/000110465915067381/0001104659-15-067381-index.html,https://www.sec.gov/Archives/edgar/data/826326/000155837016008278/0001558370-16-008278-index.html,https://www.sec.gov/Archives/edgar/data/826326/000155837017007160/0001558370-17-007160-index.html,https://www.sec.gov/Archives/edgar/data/826326/000155837018007587/0001558370-18-007587-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,
