,https://roic.ai/company/BXC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-560000,-448000,-348000,-376000,-31120000,-42497000,-51329000,-43268000,- -,-39111000,-40635000,-29335000,-28109000,- -,-28299000,-27096000,-24643000,-20403000,-46921000,-56762000,- -,-47160000
20,Income Before Tax,11867000,47745000,45437000,91030000,43687000,73164000,26200000,-45000000,- -,-48100000,-56900000,-37605000,-22600000,- -,-49600000,-13560000,17206000,9585000,-60207000,-21608000,- -,95081000
21,Income Before Tax Ratio,0.0028,0.0127,0.0122,0.0213,0.0119,0.0130,0.0053,-0.0117,- -,-0.0173,-0.0346,-0.0214,-0.0118,- -,-0.0230,-0.0069,0.0091,0.0053,-0.0210,-0.0082,- -,0.0307
22,Income Tax expense (Gain),- -,- -,17597000,34877000,17781000,28561000,10349000,-17077000,- -,-16434000,4564000,962000,962000,- -,386000,312000,1121000,-53409000,-12154000,-3952000,- -,14199000
23,Net Income,7239000,29275000,27840000,56153000,25906000,44603000,15800000,-27900000,- -,-31700000,-61500000,-38567000,-23000000,- -,-40600000,-13872000,16085000,62994000,-48053000,-17656000,- -,80882000
24,Net Income ratio,0.0017,0.0078,0.0075,0.0131,0.0071,0.0079,0.0032,-0.0073,- -,-0.0114,-0.0374,-0.0220,-0.0121,- -,-0.0189,-0.0070,0.0086,0.0347,-0.0168,-0.0067,- -,0.0261
25,EPS,3.54,14.31,13.60,27.44,9.64,13.09,4.60,-8.05,- -,-9.02,-17.51,-8.90,-3.80,- -,-5.10,-1.60,1.80,6.96,-5.21,-1.89,- -,8.58
26,EPS Diluted,3.32,13.42,12.76,25.73,9.02,12.91,4.51,-8.05,- -,-9.02,-17.51,-8.90,-3.80,- -,-5.10,-1.60,1.77,6.81,-5.21,-1.89,- -,8.55
27,Weighted Average Shares Outstanding,2046440,2046440,2046440,2046440,2148875,3413937,3461762,3487767,- -,3514337,3506875,4318700,6008000,- -,8016300,8600100,8936111,9045000,9223225,9341799,- -,9426807
28,Weighted Average Shares Outstanding Diluted,2182115,2182115,2182115,2182115,2294726,3447743,3479966,3487767,- -,3514337,3506875,4318700,6008000,- -,8016300,8600100,9087571,9246000,9223225,9341799,- -,9459883
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1301787/000095014406001494/g99737e10vk.htm,https://www.sec.gov/Archives/edgar/data/1301787/000095014407001703/g05674e10vk.htm,https://www.sec.gov/Archives/edgar/data/1301787/000095014408001540/g11953e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/1301787/000095014409001989/0000950144-09-001989-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000095012310020027/0000950123-10-020027-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000119312512082075/0001193125-12-082075-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000118811213000440/0001188112-13-000440-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1301787/000157104914000578/t78310_10k.htm,https://www.sec.gov/Archives/edgar/data/1301787/000130178715000039/bxc-01032015x10k.htm,https://www.sec.gov/Archives/edgar/data/1301787/000130178717000032/0001301787-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000130178718000033/0001301787-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000130178719000013/0001301787-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000130178720000010/0001301787-20-000010-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1301787/000130178721000013/0001301787-21-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,155000,506000,15572000,24320000,27000000,15800000,- -,150400000,29500000,4898000,5200000,- -,5000000,4522000,5540000,4696000,8939000,11643000,- -,82000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,155000,506000,15572000,24320000,27000000,15800000,- -,150400000,29500000,4898000,5200000,- -,5000000,4522000,5540000,4696000,8939000,11643000,- -,82000
34,Net Receivables,- -,- -,239213000,292867000,363688000,399093000,307500000,263200000,- -,130700000,119300000,138872000,157500000,- -,150300000,144537000,125857000,134072000,208434000,192872000,- -,293643000
35,Inventory,- -,- -,309550000,306159000,500231000,473068000,410700000,335900000,- -,189500000,173200000,185577000,230100000,- -,223600000,242546000,191287000,187512000,341851000,345806000,- -,342108000
36,Other Current Assets,- -,- -,18856000,16018000,40325000,51587000,54000000,65400000,- -,49100000,45000000,27141000,19300000,- -,22800000,23289000,23126000,17124000,40629000,27718000,- -,32581000
37,Total Current Assets,- -,- -,567774000,615550000,919816000,948068000,799200000,680300000,- -,519700000,367000000,356488000,412100000,- -,401700000,414894000,345810000,343404000,599853000,578039000,- -,668414000
38,PP&E,- -,- -,217127000,201091000,186978000,184049000,178200000,172400000,- -,152800000,137200000,123128000,115400000,- -,111100000,105267000,88322000,83772000,205113000,250176000,- -,229854000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47772000,47772000,- -,47772000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35222000,26384000,- -,18889000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82994000,74156000,- -,66661000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1100000,- -,- -,- -,- -,358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,62899000
44,Other Non-Current Assets,- -,- -,48000,3000,30268000,25523000,25900000,30700000,- -,59900000,42600000,23941000,17200000,- -,17400000,15804000,10005000,66919000,71929000,69054000,- -,20302000
45,Total Non-Current Assets,- -,- -,217175000,201094000,217246000,209572000,205200000,203100000,- -,212700000,179800000,147427000,132600000,- -,128500000,121071000,98327000,150691000,360036000,393386000,- -,379716000
46,Other Assets,832586000,823012000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,832586000,823012000,784949000,816644000,1137062000,1157640000,1004400000,883400000,- -,732400000,546800000,503915000,544700000,- -,530200000,535965000,444137000,494095000,959889000,971425000,- -,1048130000
48,Accounts Payable,- -,- -,92510000,110193000,270271000,327004000,195800000,164700000,- -,78400000,64600000,70228000,77900000,- -,60400000,67291000,82735000,70623000,131771000,132348000,- -,165163000
49,Short-Term Debt,- -,- -,33053000,40619000,126136000,62392000,59984000,37152000,- -,84715000,27232000,31410000,44330000,- -,28518000,29959000,51165000,25145000,26708000,15878000,- -,12922000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4533000,6190000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,151000,78000,- -,11868000,- -,- -,445000,- -,824000,501000,- -,- -,- -,- -,- -,4040000
52,Other Current Liabilities,- -,- -,8294000,22066000,31434000,28689000,23065000,29570000,- -,24217000,27368000,21436000,17025000,- -,17058000,19491000,20441000,21837000,38289000,22897000,- -,46907000
53,Total Current Liabilities,- -,- -,133857000,172878000,427841000,418085000,279000000,231500000,- -,199200000,119200000,123074000,139700000,- -,106800000,117242000,154341000,117605000,196768000,171123000,- -,229032000
54,Long-Term Debt,- -,- -,- -,- -,558000000,540850000,522700000,478500000,- -,384900000,341700000,328695000,368400000,- -,389000000,400257000,270792000,276677000,641425000,649964000,- -,633678000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78009000
56,Deferred Tax Liabilities,- -,- -,4726000,3792000,740000,1911000,- -,2628000,- -,17468000,- -,- -,449000,- -,823000,518000,- -,376000,143486000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,2195000,2901000,8989000,12942000,13300000,15972000,- -,28032000,35100000,43772000,56751000,- -,39477000,53974000,48845000,64435000,-7127000,176421000,- -,48319000
58,Total Non-Current Liabilities,- -,- -,6921000,6693000,567729000,555703000,536000000,497100000,- -,430400000,376800000,372467000,425600000,- -,429300000,454749000,319637000,341488000,777784000,826385000,- -,760006000
59,Other Liabilities,161701000,179083000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18494000,151041000,207404000,- -,324159000
61,Total Liabilities,161701000,179083000,140778000,179571000,995570000,973788000,815000000,728600000,- -,629600000,496000000,495541000,565300000,- -,536100000,571991000,473978000,459093000,974552000,997508000,- -,989038000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,295000,303000,300000,300000,- -,300000,300000,620000,600000,- -,900000,888000,90000,91000,92000,94000,- -,95000
64,Retained Earnings,- -,- -,- -,- -,20680000,50180000,50600000,7000000,- -,-24700000,-86200000,-177972000,-201000000,- -,-241600000,-255540000,-251252000,-188170000,-236222000,-252588000,- -,-171706000
65,Other Comprehensive Income/Loss,- -,- -,-293899000,-300951000,-789000,1023000,412000,5426000,- -,-16920000,-8375000,-21900000,-30042000,- -,-16293000,-34425000,-36651000,-36507000,-37129000,-34563000,- -,-35992000
66,Other Total Stockholders Equity,670885000,643929000,938070000,938024000,121306000,132346000,138087000,142097000,- -,144172000,145095000,207626000,209850000,- -,251095000,253051000,257972000,259588000,258596000,260974000,- -,266695000
67,Total Stockholders Equity,670885000,643929000,644171000,637073000,141492000,183852000,189399000,154823000,- -,102852000,50820000,8374000,-20592000,- -,-5898000,-36026000,-29841000,35002000,-14663000,-26083000,- -,59092000
68,Total Liabilities And Stockholders Equity,832586000,823012000,784949000,816644000,1137062000,1157640000,1004399000,883423000,- -,732452000,546820000,503915000,544708000,- -,530202000,535965000,444137000,494095000,959889000,971425000,- -,1048130000
69,Minority Interest,- -,- -,- -,- -,- -,- -,1000,-23000,- -,-52000,-20000,- -,-8000,- -,-2000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,832586000,823012000,784949000,816644000,1137062000,1157640000,1004400000,883400000,- -,732400000,546800000,503915000,544700000,- -,530200000,535965000,444137000,494095000,959889000,971425000,- -,1048130000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1301787/000095014406001494/g99737e10vk.htm,https://www.sec.gov/Archives/edgar/data/1301787/000095014407001703/g05674e10vk.htm,https://www.sec.gov/Archives/edgar/data/1301787/000095014408001540/g11953e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/1301787/000095014409001989/0000950144-09-001989-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000095012310020027/0000950123-10-020027-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000119312512082075/0001193125-12-082075-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000118811213000440/0001188112-13-000440-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1301787/000157104914000578/t78310_10k.htm,https://www.sec.gov/Archives/edgar/data/1301787/000130178715000039/bxc-01032015x10k.htm,https://www.sec.gov/Archives/edgar/data/1301787/000130178717000032/0001301787-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000130178718000033/0001301787-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000130178719000013/0001301787-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000130178720000010/0001301787-20-000010-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1301787/000130178721000013/0001301787-21-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7239000,29275000,27840000,56153000,25906000,44603000,15800000,-27900000,- -,-31700000,-61500000,-38567000,-23000000,- -,-40600000,-13872000,16085000,62994000,-48053000,-17656000,- -,80882000
74,Depreciation and Amortization,30393000,26747000,21757000,19476000,12455000,22399000,23352000,23355000,- -,20519000,16984000,10562000,8565000,- -,9117000,9473000,9342000,9032000,25826000,30232000,- -,28901000
75,Deferred Income Tax,- -,- -,-3181000,4598000,-4469000,-368000,-3700000,-9526000,- -,-2935000,24220000,-25000,-20000,- -,-8899000,17000,- -,-53409000,-12154000,-3952000,- -,14199000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,2614000,2922000,1974000,2797000,- -,3222000,3840000,2339000,2480000,8474000,2592000,- -,5992000
77,Change in Working Capital,- -,- -,433917000,8755000,49303000,38008000,-9783000,-71400000,- -,-128300000,-72700000,-2786000,38986000,- -,22500000,2752000,-80382000,34330000,177286000,3831000,- -,32466000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18593000,- -,7168000,5760000,12687000,-8214000,60007000,15562000,- -,-100771000
79,Inventory,- -,- -,-10741000,3391000,-13080000,36889000,66504000,74799000,- -,146405000,16297000,2673000,-44482000,- -,6479000,-18966000,35374000,3775000,4887000,-3955000,- -,3698000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86350000,-13749000,5973000,9050000,- -,-17585000,7026000,-5352000,-12112000,24982000,-15493000,- -,32815000
81,Other Working Capital,- -,- -,433917000,442672000,491975000,529983000,520200000,448800000,- -,320500000,247800000,233414000,272400000,- -,294900000,297652000,191469000,225799000,403085000,406916000,- -,439382000
82,Other Non-Cash Items,-37632000,-1627000,-433643000,-29407000,54051000,20146000,37535000,165313000,- -,321073000,70221000,-20801000,-101578000,- -,-25221000,-14511000,94013000,-57930000,-109823000,-24612000,- -,-107421000
83,Cash Provided by Operating Activities,- -,54395000,46690000,59575000,137246000,124788000,63204000,79842000,- -,181271000,-19853000,-49643000,-74250000,- -,-39881000,-12301000,41397000,-2503000,41556000,-9565000,- -,55019000
84,CAPEX,- -,- -,-3596000,-5404000,-9759000,-12744000,-9601000,-13141000,- -,-4919000,-1815000,-7222000,-2826000,- -,-4912000,-3016000,-631000,-797000,-2724000,-4791000,- -,-3689000
85,Acquisitions Net,- -,- -,- -,- -,-823330000,-16908000,-9391000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-348060000,6009000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,2564000,811000,1342000,97000,1153000,822000,4071000,- -,5904000,14451000,18355000,19195000,- -,10365000,7368000,37476000,27635000,108051000,19931000,- -,12849000
89,Cash Used for Investing Activites,- -,2564000,-2785000,-4062000,-832992000,-28499000,-18170000,-9070000,- -,985000,12636000,11133000,16369000,- -,5453000,4352000,36845000,26838000,-242733000,21149000,- -,9160000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47970000,-100000000,-522486000,-512880000,- -,-582366000,-487921000,-564158000,-468113000,-835667000,-698875000,- -,-994287000
91,Common Stock Issued,- -,- -,- -,- -,215513000,9026000,1914000,496000,- -,- -,- -,- -,- -,- -,38715000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-95000000,- -,- -,- -,- -,- -,-2042000,- -,-526000,- -,-3192000,-1055000,-178000,-226000,-3020000,-211000,- -,-271000
93,Dividends Paid,- -,- -,- -,- -,-5226000,-15103000,-15400000,-15591000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-57043000,-44127000,-55162000,596031000,-81464000,-28826000,-66960000,- -,308000,-11637000,551597000,571577000,- -,581117000,496413000,486826000,443160000,1044107000,690206000,- -,918818000
95,Cash Used/Provided by Financing Activities,- -,-57043000,-44127000,-55162000,711318000,-87541000,-42312000,-82055000,- -,-47662000,-113679000,29111000,58171000,- -,34274000,7437000,-77510000,-25179000,205420000,-8880000,- -,-75740000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-57043000,-222000,351000,711318000,8748000,2722000,-11283000,- -,134594000,-120896000,-9399000,290000,- -,-154000,-512000,732000,-844000,4243000,2704000,- -,-11561000
98,Cash at the End of Period,- -,- -,155000,506000,15572000,24320000,27042000,15759000,- -,150353000,29457000,4898000,5188000,- -,5034000,4522000,5540000,4696000,8939000,11643000,- -,82000
99,Cash at the Beginning of Period,- -,- -,377000,155000,- -,15572000,24320000,27042000,- -,15759000,150353000,14297000,4898000,- -,5188000,5034000,4808000,5540000,4696000,8939000,- -,11643000
100,Free Cash Flow,- -,54395000,43094000,54171000,127487000,112044000,53603000,66701000,- -,176352000,-21668000,-56865000,-77076000,- -,-44793000,-15317000,40766000,-3300000,38832000,-14356000,- -,51330000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1301787/000095014406001494/g99737e10vk.htm,https://www.sec.gov/Archives/edgar/data/1301787/000095014407001703/g05674e10vk.htm,https://www.sec.gov/Archives/edgar/data/1301787/000095014408001540/g11953e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/1301787/000095014409001989/0000950144-09-001989-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000095012310020027/0000950123-10-020027-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000119312512082075/0001193125-12-082075-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000118811213000440/0001188112-13-000440-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1301787/000157104914000578/t78310_10k.htm,https://www.sec.gov/Archives/edgar/data/1301787/000130178715000039/bxc-01032015x10k.htm,https://www.sec.gov/Archives/edgar/data/1301787/000130178717000032/0001301787-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000130178718000033/0001301787-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000130178719000013/0001301787-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1301787/000130178720000010/0001301787-20-000010-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1301787/000130178721000013/0001301787-21-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
