,https://roic.ai/company/ESNT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),5863000,4676000,4511000,3806000,3028000,4380000,5727000,4140000,4452000,3371000,-310367000,- -
20,Income Before Tax,-27628000,-34450000,-13876000,58027000,135927000,228398000,311882000,398568000,546699000,659061000,490096000,822314000
21,Income Before Tax Ratio,-4.3854,-2.3944,-0.2848,0.4416,0.5676,0.6465,0.6806,0.6913,0.7600,0.7597,0.5131,0.7995
22,Income Tax expense (Gain),-54000,-895000,-333000,-7386000,47430000,71067000,89276000,18821000,79336000,103348000,77055000,140531000
23,Net Income,-27574000,-33555000,-13543000,65413000,88497000,157331000,222606000,379747000,467363000,555713000,413041000,681783000
24,Net Income ratio,-4.3768,-2.3322,-0.2780,0.4978,0.3696,0.4453,0.4858,0.6587,0.6497,0.6405,0.4324,0.6629
25,EPS,-0.72,-0.87,-0.35,0.90,1.05,1.74,2.45,4.07,4.80,5.68,3.89,6.13
26,EPS Diluted,-0.72,-0.87,-0.35,0.70,1.03,1.72,2.41,3.99,4.77,5.66,3.88,6.11
27,Weighted Average Shares Outstanding,38447000,38447000,38447000,14044000,83986000,90351000,90913000,93330000,97403000,97762000,106098000,111164000
28,Weighted Average Shares Outstanding Diluted,38447000,38447000,38447000,18103000,85602000,91738000,92245000,95211000,97974000,98227000,106376000,111555000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448893/000104746914002063/0001047469-14-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000104746915001414/0001047469-15-001414-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000162828016011882/0001628280-16-011882-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000162828017001400/0001628280-17-001400-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889318000023/0001448893-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889319000015/0001448893-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889320000015/0001448893-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889321000021/0001448893-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889322000016/0001448893-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,18501000,22315000,477655000,24411000,24606000,27531000,43524000,64946000,71350000,102830000,81491000
32,Short-Term Investments,- -,171091000,247414000,332555000,1057613000,1276634000,1615102000,2305065000,2760066000,3350747000,4565373000,4962887000
33,Cash and Short-Term Investments,- -,189592000,269729000,810210000,1082024000,1301240000,1642633000,2348589000,2825012000,3422097000,4668203000,5044378000
34,Net Receivables,- -,1594000,4894000,10006000,15810000,16637000,21632000,29752000,36881000,40655000,50140000,46157000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,-1276634000,-1615102000,-2305065000,-2760066000,-3350747000,-4565373000,- -
37,Total Current Assets,- -,- -,- -,- -,1097834000,41243000,49163000,73276000,101827000,112005000,152970000,- -
38,PP&E,- -,15678000,3626000,4411000,5841000,9021000,8119000,6979000,7629000,17308000,15095000,11921000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,171091000,247414000,332555000,1057613000,1276634000,1615102000,2305065000,2760066000,3350747000,4565373000,4962887000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-979827000,56205000,78266000,-23646000,126049000,-3350747000,-4565373000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,83627000,1341860000,1701487000,2288398000,2893744000,17308000,15095000,- -
46,Other Assets,- -,210066000,283332000,853970000,- -,- -,- -,- -,- -,- -,- -,5722174000
47,Total Assets,- -,210066000,283332000,853970000,1181461000,1383103000,1750650000,2361674000,2995571000,129313000,168065000,5722174000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,100000000,248591000,223664000,224237000,321720000,419823000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,225723000,- -,339225000,236750000,336926000,440106000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,225723000,- -,439225000,485341000,560590000,664343000,321720000,419823000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,100000000,248591000,223664000,224237000,321720000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,37092000,87964000,142587000,127636000,172642000,249620000,305109000,373654000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-142587000,-127636000,-172642000,-249620000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,87964000,100000000,248591000,223664000,224237000,626829000,- -
59,Other Liabilities,- -,34005000,64209000,131829000,- -,437822000,- -,- -,- -,- -,1645200000,1066237000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,34005000,64209000,131829000,225723000,349858000,539225000,733932000,784254000,888580000,1340091000,1486060000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,380000,439000,1297000,1388000,1390000,1397000,1476000,1472000,1476000,1686000,1641000
64,Retained Earnings,- -,-83969000,-97512000,-32099000,56398000,213729000,436335000,815075000,1282438000,1808527000,2151510000,2754814000
65,Other Comprehensive Income/Loss,- -,1796000,2414000,-1447000,4667000,-99000,-12255000,-3252000,-28993000,56187000,138274000,50707000
66,Other Total Stockholders Equity,- -,257854000,313782000,754390000,893285000,904221000,918296000,1127137000,1110800000,1118655000,1571163000,- -
67,Total Stockholders Equity,- -,176061000,219123000,722141000,955738000,1119241000,1343773000,1940436000,2365717000,2984845000,3862633000,4236114000
68,Total Liabilities And Stockholders Equity,- -,210066000,283332000,853970000,1181461000,1469099000,1882998000,2674368000,3149971000,3873425000,5202724000,5722174000
69,Minority Interest,- -,- -,- -,- -,- -,-85996000,-132348000,-312694000,-154400000,-3744112000,-5034659000,- -
70,Total Liabilities & Equity,- -,210066000,283332000,853970000,1181461000,1383103000,1750650000,2361674000,2995571000,129313000,168065000,5722174000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1448893/000104746914002063/0001047469-14-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000104746915001414/0001047469-15-001414-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000162828016011882/0001628280-16-011882-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000162828017001400/0001628280-17-001400-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889318000023/0001448893-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889319000015/0001448893-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889320000015/0001448893-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889321000021/0001448893-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889322000016/0001448893-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-27574000,-33555000,-13543000,65413000,88497000,157331000,222606000,379747000,467363000,555713000,413041000,681783000
74,Depreciation and Amortization,6636000,13591000,15156000,2252000,2464000,3219000,4064000,3923000,3404000,3769000,3328000,3379000
75,Deferred Income Tax,-72000,-895000,-333000,-8267000,44614000,52157000,57564000,-19431000,50692000,59481000,38653000,84022000
76,Stock Based Compensation,580000,1213000,1926000,3597000,12520000,13633000,16881000,18688000,15073000,16588000,18462000,20844000
77,Change in Working Capital,-2544000,- -,- -,- -,872111000,-830868000,-431305000,-22003000,-46698000,-93575000,705308000,-83437000
78,Accounts Receivable,-40000,-1055000,-3300000,-5112000,-3803000,-2828000,-4955000,-8160000,-7118000,-3767000,-8848000,3337000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1073000,2306000,4906000,7889000,5138000,6582000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,872111000,41243000,-390062000,-412065000,-458763000,-552338000,152970000,- -
82,Other Non-Cash Items,1241000,11401000,33433000,56013000,-866502000,828667000,403666000,7649000,135487000,47872000,-450861000,2665000
83,Cash Provided by Operating Activities,-21733000,-8245000,36639000,119008000,153704000,224139000,273476000,368573000,625321000,589848000,727931000,709256000
84,CAPEX,-2058000,-1266000,-2699000,-2666000,-3893000,-4960000,-3162000,-2783000,-4054000,-3409000,-2446000,-2498000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-30544000,-47537000,-5121000,-58553000
86,Purchases of Investments,-264504000,-165862000,-141481000,-147076000,-895933000,-798891000,-703120000,-1013644000,-1126032000,-1044964000,-1986580000,-2270701000
87,Sales/Maturities of Investments,283720000,157973000,64451000,52982000,172126000,583139000,340966000,326285000,613725000,550834000,839730000,1748585000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,17158000,-9155000,-79729000,-96760000,-727700000,-220712000,-365316000,-690142000,-546905000,-545076000,-1154417000,-583167000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-50000000,-40000000,- -,-100000000,-125000000
91,Common Stock Issued,44098000,24774000,54497000,438403000,126441000,- -,- -,197829000,- -,- -,439962000,- -
92,Common Stock Repurchased,-32914000,-312000,-916000,-311000,-2498000,-5705000,-4024000,-7577000,-31414000,-9005000,-6354000,-163855000
93,Dividends Paid,-1771000,- -,- -,- -,- -,- -,- -,- -,- -,-29348000,-69410000,-77724000
94,Other Financing Activites,-2578000,-4072000,-6677000,-5000000,-3191000,2473000,98789000,197310000,14420000,-15000,193768000,219151000
95,Cash Used/Provided by Financing Activities,6835000,20390000,46904000,433092000,120752000,-3232000,94765000,337562000,-56994000,-38368000,457966000,-147428000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2260000,2990000,3814000,455340000,-453244000,195000,2925000,15993000,21422000,6404000,31480000,-21339000
98,Cash at the End of Period,15511000,18501000,22315000,477655000,24411000,24606000,27531000,43524000,64946000,71350000,102830000,81491000
99,Cash at the Beginning of Period,13251000,15511000,18501000,22315000,477655000,24411000,24606000,27531000,43524000,64946000,71350000,102830000
100,Free Cash Flow,-23791000,-9511000,33940000,116342000,149811000,219179000,270314000,365790000,621267000,586439000,725485000,706758000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448893/000104746914002063/0001047469-14-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000104746915001414/0001047469-15-001414-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000162828016011882/0001628280-16-011882-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000162828017001400/0001628280-17-001400-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889318000023/0001448893-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889319000015/0001448893-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889320000015/0001448893-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889321000021/0001448893-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1448893/000144889322000016/0001448893-22-000016-index.htm
102,false,,,,,,,,,,,,
