,https://roic.ai/company/MIXT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576914/000162828020010583/0001628280-20-010583-index.htm,https://www.sec.gov/Archives/edgar/data/1576914/000162828021012152/0001628280-21-012152-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1064676,3643743,14904867,21208843,16377263,15475450,15982834,78311369,77842643,58680411,27924358,26020052,26421914,17953000,45489000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1064676,3643743,14904867,21208843,16377263,15475450,15982834,78311369,77842643,58680411,27924358,26020052,26421914,17953000,45489000
34,Net Receivables,1807416,14966561,14313292,17184917,17077395,22050642,19824613,21169320,20657616,18837104,19487499,24439982,25378317,24100000,19265000
35,Inventory,- -,- -,4272323,7378755,9163502,5999434,4212291,3750690,3205824,4314315,1965425,4812466,3532380,3271000,3109000
36,Other Current Assets,4738995,10403570,2471675,251419,- -,4281939,2212245,3264384,4482588,2841779,2826752,5506316,4791863,8074000,9363000
37,Total Current Assets,7611087,29013874,35962158,46023934,42618160,47807465,42231983,106495764,106188672,84673608,52204034,60778817,60124474,53398000,77226000
38,PP&E,1774369,6407767,5453681,6014565,6559895,5917425,10447351,12172154,11185391,15760573,21856056,28196142,31521240,30019000,23463000
39,Goodwill,- -,- -,- -,- -,- -,71019141,60842480,55964807,51168198,43774619,45991199,51628859,43909688,37923000,43938000
40,Intangible Assets,- -,- -,- -,88432820,94729098,12826390,9032613,9308734,12934951,12879724,19542785,24215789,21941028,15007000,18303000
41,Intangible Assets,502458,85695938,73061206,88432820,94729098,83845531,69875093,65273541,64103149,56654344,65533984,75844648,65850716,52930000,62241000
42,Investments,- -,- -,387253,363251,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,692618,1272909,1420560,1111416,1654725,1729621,1500656,1869498,1943800,2007335,2090340,3436921,3560150,3108000,3782000
44,Other Non-Current Assets,- -,618661,- -,- -,- -,-0,688107,629641,82505,11172,1635,0,3725527,4200000,4434000
45,Total Non-Current Assets,2969445,93995274,80322700,95922053,102943717,91492577,82511208,79944834,77314844,74433424,89482015,107477712,104657632,90257000,93920000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10580532,123009148,116284858,141945988,145561877,139300042,124743191,186440598,183503516,159107032,141686049,168256529,164782106,143655000,171146000
48,Accounts Payable,6048497,15355933,14700967,16800545,19500332,20474609,6170784,5848394,4199915,4698455,5936774,8280113,6254690,5251000,6560000
49,Short-Term Debt,12863280,6997735,11475545,14498509,9879153,9531558,6436006,2743094,1594514,1169212,1445255,1495745,2825670,- -,3069000
50,Tax Payable,321799,3113867,1117291,536686,683588,1486723,1932414,940360,980587,783600,828185,800038,950297,- -,1345000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,2488397,3410927,4401648,4311438,4680787,5581188,6101854,5077000,5788000
52,Other Current Liabilities,-3890090,8022146,2525311,4007273,6628707,5262918,14773587,14413383,13974987,12164028,14826850,17677139,16889592,17206000,17280000
53,Total Current Liabilities,15021687,30375814,28701823,35306327,36008193,35269085,29868774,26415797,24171063,22343133,26889666,33034184,32071807,27534000,32697000
54,Long-Term Debt,4695207,11714037,12669443,13005022,5281004,- -,- -,232167,90903,- -,- -,- -,2148728,- -,4895000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2092312,4930936,3752508,3664601,4124366,3365889,931147,1942675,5222413,8093631,7435978,6977160,9581452,11436000,9187000
57,Other Non-Current Liabilities,- -,2347807,1884737,1990639,159880,- -,30623,215193,490335,235087,136210,179962,277282,5660000,968000
58,Total Non-Current Liabilities,6787519,18992780,18306688,18660262,9565250,3365889,961770,2390034,5803650,8328717,7572188,7157122,12007461,17096000,15050000
59,Other Liabilities,- -,- -,- -,- -,- -,6731778,- -,- -,11607301,- -,- -,- -,24014923,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2889133,6507000,6290000
61,Total Liabilities,21809206,49368594,47008510,53966588,45573444,38634974,30830544,28805832,29974713,30671850,34461854,40191307,44079268,44630000,47747000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,413,1601,1370,1760,1903,1695,85539032,134778324,118321961,88371908,63486372,71445031,54204534,66522000,67401000
64,Retained Earnings,-13705851,-7700132,-320972,4977207,11041209,18153194,20424638,28358378,37081559,35194893,44178332,60976083,60763517,67482000,76710000
65,Other Comprehensive Income/Loss,-15121518,- -,-13371346,-23599289,-26330939,-20175648,-12050482,-5500993,-1802751,4968129,-324735,-4356737,5733891,-36893000,1924000
66,Other Total Stockholders Equity,12648335,81339085,82967296,106599721,115276261,102685827,- -,- -,- -,-0,- -,-0,0,1909000,-22641000
67,Total Stockholders Equity,-16178621,73640554,69276348,87979399,99988434,100665068,93913187,157635710,153600768,128534930,107339970,128064378,120701942,99020000,123394000
68,Total Liabilities And Stockholders Equity,5630585,123009148,116284858,141945988,145561877,139300042,124743732,186441541,183575481,159206780,141801824,168255685,164781210,143650000,171141000
69,Minority Interest,4949947,-0,- -,- -,0,- -,-541,-943,-71965,-99748,-115775,844,896,5000,5000
70,Total Liabilities & Equity,10580532,123009148,116284858,141945988,145561877,139300042,124743191,186440598,183503516,159107032,141686049,168256529,164782106,143655000,171146000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576914/000162828020010583/0001628280-20-010583-index.htm,https://www.sec.gov/Archives/edgar/data/1576914/000162828021012152/0001628280-21-012152-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,3605607,7031969,7279830,8947654,10468453,13460428,13901847,14294848,12319871,12241967,9025543,15289518,13942370,10987000,14595000
74,Depreciation and Amortization,- -,- -,- -,6820136,8613586,8681089,10624707,8753684,8842736,8203480,10644312,18221667,17113402,19972000,16559000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9829000,2634000
76,Stock Based Compensation,- -,- -,- -,269291,153438,260890,340970,434817,623972,389358,166975,873812,836531,660000,1273000
77,Change in Working Capital,- -,6048660,8622275,3457272,-4107641,5928414,-175172,67716757,1937643,-19687134,-37016107,2430264,308034,-2188667,18665000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-3337629,-5208662,-3559639,-3097270,1293291,-4186820,-8526072,-7309000,1872000
79,Inventory,- -,- -,- -,790948,-1421054,-5154833,-845120,-325429,-162127,-2065337,2086104,-3364413,112870,-74000,-498000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3419000,-2529000
81,Other Working Capital,-7410600,-1361940,7260335,10717608,6609967,12538381,12363209,80079966,82017609,62330475,25314368,27744633,28052667,25864000,44529000
82,Other Non-Cash Items,261212,-2380904,-1240021,-2839082,6000281,-11857312,-1760705,-71983928,-5803422,14937367,41223836,-7000981,-238094,-11081333,-15154000
83,Cash Provided by Operating Activities,3866819,10699724,14662084,16655271,21128117,16473509,22931647,19216178,17920800,16085038,24044559,29814281,31962244,28178000,38572000
84,CAPEX,-785839,-2069385,-3187593,-6181637,-8334968,-6615349,-10187647,-12140658,-10646723,-16180437,-21960313,-28552605,-19738966,-20372000,-8654000
85,Acquisitions Net,- -,- -,-3271366,- -,- -,- -,2489,-340046,-3293599,-1204200,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-157801,360557,-1826464,-4331668,-6040286,-5279346,-4823785,-4709721,-7105198,-5093098,-8372061,-8735505,-5626603,-4716000,-4020000
89,Cash Used for Investing Activites,-785288,-241110,-6420286,-5998860,-8251222,-7217574,-10394003,-12558501,-15631832,-16705870,-21764952,-28879609,-19465888,-19422000,-8650000
90,Debt Repayment,-2580037,-10953764,-25499372,-17538285,-43443473,-5417027,-2131845,-324015,- -,-2743,- -,- -,-787952,- -,-729000
91,Common Stock Issued,- -,- -,- -,- -,- -,30770,312619,62776476,637558,516602,525520,905381,949263,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8279546,-35199307,-1575597,-5067973,-9764000,- -
93,Dividends Paid,- -,- -,-1011600,-3553581,-4804001,-5133581,-8534956,-3735224,- -,-7168336,-3935903,-4490695,-4649156,-5999000,-5359000
94,Other Financing Activites,8675,-991285,30453049,13028173,28291807,-0,-0,-2541480,- -,0,-0,-114207,0,312000,879000
95,Cash Used/Provided by Financing Activities,-2571362,-11945050,3942077,-8063693,-19955667,-10519838,-10354182,56175756,637558,-14934023,-38609690,-5275117,-9555818,-15451000,-5209000
96,Effect of Forex Changes on Cash,- -,329156,-168073,-1604236,-186819,1067160,323440,4208422,7347525,11095769,-1154034,-1213309,1376004,-2491000,2978000
97,Net Change In Cash,510169,-1157279,12015802,988482,-7265590,-196743,2506901,67041855,10274052,-4459087,-37484116,-5553755,4316542,-9186000,27691000
98,Cash at the End of Period,1064676,-205153,11840247,16201309,10254402,8934939,9922532,75688885,76363323,57584990,26479103,24524308,24336649,18652000,46343000
99,Cash at the Beginning of Period,554508,952126,-175555,15212826,17519992,9131682,7415631,8647030,66089271,62044076,63963220,30078062,20020107,27838000,18652000
100,Free Cash Flow,3080980,8630339,11474491,10473635,12793149,9858160,12744000,7075520,7274078,-95399,2084247,1261676,12223278,7806000,29918000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576914/000162828020010583/0001628280-20-010583-index.htm,https://www.sec.gov/Archives/edgar/data/1576914/000162828021012152/0001628280-21-012152-index.htm
102,false,,,,,,,,,,,,,,,
