,https://roic.ai/company/UAMY,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-154590,564138,87342,-220322,-898771,-738927,80916,-620315,-68670,-523745,-302397,-573582,-486499,-236186,423569,891531,-318687,-1338171,-1552889,-808997,-816522,-959699,547036,-3745107,-3304742,-660257
18,Operating Income ratio,-0.0309,0.1309,0.0278,-0.0468,-0.1792,-0.2150,0.0233,-0.1925,-0.0220,-0.1470,-0.0688,-0.1091,-0.0922,-0.0576,0.0467,0.0680,-0.0265,-0.1214,-0.1442,-0.0617,-0.0687,-0.0938,0.0606,-0.4530,-0.6312,-0.0852
19,Total Other Income Expenses (Gains),503494,378416,386095,86440,-71634,-91069,184183,-106175,84540,70000,215033,231077,686803,-3952,-111356,-149001,-72742,-73548,-42566,-29534,-194540,-174695,-6143,72216,17938,599788
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312213,742530,-391429,-1411719,-1595455,-838531,-1011062,-1134394,540893,-3672891,-3286804,-60469
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0344,0.0566,-0.0325,-0.1281,-0.1481,-0.0640,-0.0850,-0.1109,0.0599,-0.4442,-0.6278,-0.0078
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-493000,105610,167107,229451,- -,- -,298138,- -,-332332,- -,- -,- -
23,Net Income,-1014955,662774,-468427,304015,-67699,-976837,-360389,-798634,-93164,-575766,-284658,-623692,332364,-294843,805213,636920,-558536,-1641170,-1595455,-838531,-1309200,-1134394,873225,-3672891,-3286804,-60469
24,Net Income ratio,-0.2025,0.1538,-0.1490,0.0645,-0.0135,-0.2842,-0.1037,-0.2479,-0.0298,-0.1615,-0.0648,-0.1186,0.0630,-0.0719,0.0887,0.0486,-0.0464,-0.1489,-0.1481,-0.0640,-0.1101,-0.1109,0.0967,-0.4442,-0.6278,-0.0078
25,EPS,-0.08,0.05,-0.04,0.02,-0.01,-0.05,-0.01,-0.03,-0.00,-0.02,-0.01,-0.01,0.01,-0.01,0.01,0.01,-0.01,-0.03,-0.03,-0.01,-0.02,-0.02,0.01,-0.05,-0.05,-0.00
26,EPS Diluted,-0.08,0.05,-0.04,0.02,-0.01,-0.05,-0.01,-0.03,-0.00,-0.02,-0.01,-0.02,0.01,-0.01,0.01,0.01,-0.01,-0.03,-0.03,-0.01,-0.02,-0.02,0.01,-0.05,-0.05,-0.00
27,Weighted Average Shares Outstanding,12299418,12969923,13309379,14597917,17772693,19336088,26907102,27175607,30272238,32520051,36917464,41375287,43049076,49855229,54356693,58855348,61896726,62281449,64605253,66207241,66781757,67413025,67978132,69004897,72513814,72513814
28,Weighted Average Shares Outstanding Diluted,12299418,12976958,15904204,14837976,17772693,19336088,26907102,27175607,30272238,32520051,36917464,41375287,43549076,49855229,54544357,68136200,61896726,62281449,64605253,66207241,66781757,67413025,68097924,69004897,72513814,72513814
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101538/000107261310000401/0001072613-10-000401-index.html,https://www.sec.gov/Archives/edgar/data/101538/000107261311000341/0001072613-11-000341-index.htm,https://www.sec.gov/Archives/edgar/data/101538/000135448812001132/0001354488-12-001132-index.html,https://www.sec.gov/Archives/edgar/data/101538/000135448813001259/0001354488-13-001259-index.html,https://www.sec.gov/Archives/edgar/data/101538/000135448814001190/0001354488-14-001190-index.htm,https://www.sec.gov/Archives/edgar/data/101538/000135448815001160/uamy_10k.htm,https://www.sec.gov/Archives/edgar/data/101538/000135448816006768/0001354488-16-006768-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495417002854/0001654954-17-002854-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495418003447/0001654954-18-003447-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495419003748/0001654954-19-003748-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495420004038/uamy_10k.htm,https://www.sec.gov/Archives/edgar/data/101538/000165495421003567/0001654954-21-003567-index.htm,https://www.sec.gov/Archives/edgar/data/101538/000165495422004348/0001654954-22-004348-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,227,- -,- -,- -,- -,11642,287841,218365,81747,53848,180613,448861,5427,1244427,266908,123683,133543,10057,27987,56650,115506,665102,21363048
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252954,253552,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,227,- -,- -,- -,- -,11642,287841,218365,81747,53848,180613,448861,5427,1244427,266908,123683,133543,10057,27987,309604,369058,665102,21363048
34,Net Receivables,- -,- -,- -,60205,119568,105084,106971,51081,56774,109314,93596,168676,66761,161765,745418,1291975,456159,576021,454674,422673,552119,362579,838391,284453,238634,891314
35,Inventory,- -,463282,365398,276599,221457,126075,123307,153053,237806,189743,285812,252614,109217,197436,143291,1066813,1192189,1034770,1433539,1094238,855637,914709,755261,626244,650213,1055420
36,Other Current Assets,- -,23007,221,- -,8518,3803,- -,- -,- -,- -,3750,- -,- -,- -,511255,452766,210353,32865,291773,485872,274742,256995,- -,- -,254212,259210
37,Total Current Assets,- -,486289,365619,337031,349543,234962,230278,204134,306222,586898,601523,503037,229826,539814,1848825,2816981,3103128,1910564,2303669,2136326,1692555,1562270,1903256,1279755,1808161,23568992
38,PP&E,- -,637022,515392,452505,246250,307373,529416,554311,683003,930555,2065341,2777116,2767075,3404154,3845000,6047004,10576406,12395645,13511803,16030333,15695966,15132897,15227172,12186848,- -,11133733
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193549,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193549,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80664,73916,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189627,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,178986,178986,178986,298127,183284,211833,246605,117539,101917,83096,65736,- -,- -,169077,129543,573747,584782,729559,93542,377477,436087,426695,227372,- -,300002
45,Total Non-Current Assets,- -,816008,694378,631491,544377,490657,741249,800916,800542,1032472,2148437,2842852,3041288,3478070,4014077,6176547,11339780,12980427,14241362,16123875,16073443,15568984,15653867,12414220,- -,11433735
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11491341,- -
47,Total Assets,- -,1302297,1059997,968522,893920,725619,971527,1005050,1106764,1619370,2749960,3345889,3271114,4017884,5862902,8993528,14442908,14890991,16545031,18260201,17765998,17131254,17557123,13693975,13299502,35002727
48,Accounts Payable,- -,125082,256373,467596,429654,624588,783799,909696,441085,561381,655252,808748,655381,457425,410242,994940,1181223,1734767,1821673,1629972,1797251,2287237,1942844,2339857,1876874,1385752
49,Short-Term Debt,- -,177079,160017,247991,257758,180552,319925,232318,30235,192167,291131,191890,234878,74998,45389,79631,461354,265504,159278,311959,558363,739553,889377,253400,152122,13230
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53080,- -,- -,- -,- -,- -,- -,- -,410510,443110,- -,- -,1120730,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,30000,70000,213004,287238,65441,73022,- -,43760,- -,110138,115962,78730,78730,60049,32400,32400,378074,- -
52,Other Current Liabilities,- -,1279149,1452686,761088,512379,658994,716718,738732,597390,587652,432210,562263,369875,242998,328691,477102,160819,368932,195727,409169,947779,847887,652997,1350024,2070473,- -
53,Total Current Liabilities,- -,1581310,1869076,1476675,1199791,1464134,1820442,1880746,1098710,1411200,1591597,1850139,1325575,848443,784322,1595433,1803396,2479341,2292640,2429830,3382123,3934726,3517618,3975681,4477543,1398982
54,Long-Term Debt,- -,1706785,1619195,1675042,1202826,341845,345638,759141,986695,858503,170065,19711,54541,98710,82407,158218,1044140,1002215,715328,1717745,1472869,1239126,1027730,76762,52122,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,339844,280819,- -,199388,87524,152050,57500,42500,67500,507500,747500,107500,107500,107500,471504,249540,407580,541529,1652673,1568753,1580793,1586941,1174390,- -,1234942
58,Total Non-Current Liabilities,- -,2046629,1900014,1675042,1402214,429369,497688,816641,1029195,926003,677565,767211,162041,206210,189907,629722,1293680,1409795,1256857,3370418,3041622,2819919,2614671,1251152,52122,1234942
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1687692,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,3627939,3769090,3151717,2602005,1893503,2318130,2697387,2127905,2337203,2269162,2617350,1487616,1054653,974229,2225155,3097076,3889136,3549497,5800248,6423745,6754645,6132289,5226833,6113113,2633924
62,Preferred Stock,- -,- -,- -,- -,- -,- -,10284,27960,28320,29415,26855,26788,26788,26788,26788,26788,26788,26788,26788,26788,26788,26788,26788,26788,26788,- -
63,Common Stock,- -,130654,134259,169003,183755,261569,270279,281143,315289,344457,397613,425192,458688,530987,563073,593492,618966,631562,660274,663162,670662,674881,682271,696614,- -,- -
64,Retained Earnings,- -,-16487338,-16955765,-16651750,-16719449,-18230387,-18590776,-19389410,-19482574,-20058340,-20342998,-20966690,-20634326,-20929169,-20123956,-19487036,-20045572,-21686744,-23282199,-24120730,-25429930,-26564324,-25691099,-29363990,- -,-32711263
65,Other Comprehensive Income/Loss,- -,- -,- -,-2834014,-2967680,-3008370,-2059421,-2155953,-2268277,-2396207,-2529671,-2687413,-2903141,-3116493,-3471076,-3876822,-4349454,-5038192,-5815524,-6748311,-7748048,-8709832,-9621782,-10504140,- -,- -
66,Other Total Stockholders Equity,- -,14031042,14112413,17133566,17795289,19809304,19023031,19543923,20386101,21362842,22928999,23930662,24835489,26451118,27893844,29511951,35095104,37068441,41406195,42639044,43822781,44949096,46028656,47611870,7186389,65080066
67,Total Stockholders Equity,- -,-2325642,-2709093,-2183195,-1708085,-1167884,-1346603,-1692337,-1021141,-717833,480798,728539,1783498,2963231,4888673,6768373,11345832,11001855,12995534,12459953,11342253,10376609,11424834,8467142,7186389,32368803
68,Total Liabilities And Stockholders Equity,- -,1302297,1059997,968522,893920,725619,971527,1005050,1106764,1619370,2749960,3345889,3271114,4017884,5862902,8993528,14442908,14890991,16545031,18260201,17765998,17131254,17557123,13693975,13299502,35002727
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1302297,1059997,968522,893920,725619,971527,1005050,1106764,1619370,2749960,3345889,3271114,4017884,5862902,8993528,14442908,14890991,16545031,18260201,17765998,17131254,17557123,13693975,13299502,35002727
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101538/000107261310000401/0001072613-10-000401-index.html,https://www.sec.gov/Archives/edgar/data/101538/000107261311000341/0001072613-11-000341-index.htm,https://www.sec.gov/Archives/edgar/data/101538/000135448812001132/0001354488-12-001132-index.html,https://www.sec.gov/Archives/edgar/data/101538/000135448813001259/0001354488-13-001259-index.html,https://www.sec.gov/Archives/edgar/data/101538/000135448814001190/0001354488-14-001190-index.htm,https://www.sec.gov/Archives/edgar/data/101538/000135448815001160/uamy_10k.htm,https://www.sec.gov/Archives/edgar/data/101538/000135448816006768/0001354488-16-006768-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495417002854/0001654954-17-002854-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495418003447/0001654954-18-003447-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495419003748/0001654954-19-003748-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495420004038/uamy_10k.htm,https://www.sec.gov/Archives/edgar/data/101538/000165495421003567/0001654954-21-003567-index.htm,https://www.sec.gov/Archives/edgar/data/101538/000165495422004348/0001654954-22-004348-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1014955,662774,-468427,304015,-67699,-976837,-360389,-798634,-93164,-575766,-284658,-623692,332364,-294843,805213,636920,-558536,-1641170,-1595455,-838531,-1309200,-1134394,873225,-3672891,-3286804,-60469
74,Depreciation and Amortization,192445,170095,157812,130714,152377,137084,97084,96542,119824,135429,133464,165414,215728,262452,355876,405746,472990,688738,780782,932786,999737,968888,904844,895990,885843,880880
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-493000,96442,167107,229451,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000,230004,221228,150000,39000,- -,222750,175000,175000,270375,106108,- -
77,Change in Working Capital,11405,-1241411,-408436,363813,289396,-378924,-360992,-86448,884124,-31814,-165772,-357028,251353,787120,1373132,157045,78184,-1868509,579806,-304533,-1396064,-682888,758094,-1081564,26544,24839392
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121915,-92876,-583381,-546557,982405,-119862,121347,13333,-129446,189540,-75812,153938,45819,-652680
79,Inventory,-105748,92967,97884,88799,55142,95382,2768,-29746,-84753,48063,-96069,33198,143397,-88219,54145,-923522,-125376,157419,-398769,339301,238601,-59072,159448,112621,-23969,-405207
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156111,-116729,32467,584698,186283,474438,86906,-191701,167280,479106,-350037,402657,-452103,-491120
81,Other Working Capital,146390,-1095021,-1503457,-1139644,-850248,-1229172,-1590164,-1676612,-792488,-824302,-990074,-1347102,-1095749,-308629,1064503,1221548,1299732,-568777,11029,-293504,-1689568,-2372456,-1614362,-2695926,-2669382,22170010
82,Other Non-Cash Items,599618,448951,735649,-738556,-1165163,967268,579806,339081,-1336826,169617,454421,468011,-1178021,-1112916,-1850871,-962116,145446,2676310,-840508,568731,1908614,1390099,-3367794,3582379,962645,-28091280
83,Cash Provided by Operating Activities,-211487,40409,16598,59986,-791089,-251409,-44491,-449459,-426042,-302534,137455,-347295,-378576,-358187,307350,564041,526419,234820,-1036375,358453,425837,716705,-656631,-5711,-1305664,-2431477
84,CAPEX,-129576,-137036,-31182,-76417,-38499,-148653,-305745,-121437,-241016,-375481,-1039300,-563417,-310932,-597563,-965524,-2238975,-3269811,-2733762,-1826553,-1709237,-595839,-365541,-899119,-792925,-243091,-648128
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14928,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6748,- -,- -,- -,- -,- -,- -,12810,- -,- -,- -,- -,- -
88,Other Investing Activites,45000,- -,- -,- -,- -,- -,- -,- -,20000,70000,53430,162780,66268,- -,-395,-466,-244090,- -,- -,5200,- -,- -,1800000,400000,- -,-4998
89,Cash Used for Investing Activites,-84576,-137036,-31182,-76417,-38499,-148653,-305745,-121437,-221016,-305481,-985870,-400637,-259592,-590815,-965919,-2239441,-3513901,-2733762,-1826553,-1704037,-583029,-365541,900881,-392925,-243091,-653126
90,Debt Repayment,-42117,-156703,-250466,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77227,-61041,-59270,-124722,-464936,-273405,-333350,-94141,-175238,-218963,-245563,-127683,-143736,-86426
91,Common Stock Issued,127560,210000,75000,- -,255000,340800,207070,345000,633229,793033,992599,834578,687496,1135576,1003229,1242780,4624763,1147195,3070134,- -,- -,- -,- -,404199,1813068,23342178
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,204820,43330,190050,16431,574588,59262,143166,225896,25471,25308,-213660,-223264,- -,1232,-17142,113908,-176961,644684,229484,1449585,208944,-114271,23878,180990,429033,526803
95,Cash Used/Provided by Financing Activities,290263,96627,14584,16431,829588,400062,350236,570896,658700,818341,778939,611314,610269,1075767,926817,1231966,3982866,1518474,2966268,1355444,33706,-333234,-221685,457506,2098365,23782555
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,290263,96627,14584,16431,829588,400062,350236,570896,658700,210326,-69476,-136618,-27899,126765,268248,-443434,995384,-980468,103340,9860,-123486,17930,22565,58870,549610,20697952
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,11642,287841,218365,81747,53848,180613,448861,5427,1000811,20343,123683,133543,10057,27987,113897,172767,722377,21420329
99,Cash at the Beginning of Period,5800,- -,- -,- -,- -,- -,- -,- -,- -,77515,287841,218365,81747,53848,180613,448861,5427,1000811,20343,123683,133543,10057,91332,113897,172767,722377
100,Free Cash Flow,-341063,-96627,-14584,-16431,-829588,-400062,-350236,-570896,-667058,-678015,-901845,-910712,-689508,-955750,-658174,-1674934,-2743392,-2498942,-2862928,-1350784,-170002,351164,-1555750,-798636,-1548755,-3079605
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101538/000107261310000401/0001072613-10-000401-index.html,https://www.sec.gov/Archives/edgar/data/101538/000107261311000341/0001072613-11-000341-index.htm,https://www.sec.gov/Archives/edgar/data/101538/000135448812001132/0001354488-12-001132-index.html,https://www.sec.gov/Archives/edgar/data/101538/000135448813001259/0001354488-13-001259-index.html,https://www.sec.gov/Archives/edgar/data/101538/000135448814001190/0001354488-14-001190-index.htm,https://www.sec.gov/Archives/edgar/data/101538/000135448815001160/uamy_10k.htm,https://www.sec.gov/Archives/edgar/data/101538/000135448816006768/0001354488-16-006768-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495417002854/0001654954-17-002854-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495418003447/0001654954-18-003447-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495419003748/0001654954-19-003748-index.html,https://www.sec.gov/Archives/edgar/data/101538/000165495420004038/uamy_10k.htm,https://www.sec.gov/Archives/edgar/data/101538/000165495421003567/0001654954-21-003567-index.htm,https://www.sec.gov/Archives/edgar/data/101538/000165495422004348/0001654954-22-004348-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
