,https://roic.ai/company/MITT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1514281/000119312512121710/0001193125-12-121710-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420413013218/0001144204-13-013218-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420414012449/0001144204-14-012449-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420415013300/0001144204-15-013300-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420416084692/0001144204-16-084692-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420417012099/0001144204-17-012099-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420418011808/0001144204-18-011808-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428119000022/0001514281-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428120000018/0001514281-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428121000025/0001514281-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428122000023/0001514281-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,35851249,149594782,86190011,64363514,46253291,52469891,15199655,31579000,81692000,47926000,68079000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,35851249,149594782,86190011,64363514,46253291,52469891,15199655,31579000,81692000,47926000,68079000
34,Net Receivables,4666125,112613481,13429639,16472931,36058953,13148848,13457900,24826000,15245000,3869000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4783600,-112613481,86110081,-16472931,-36058953,-13148848,-13457900,-24826000,-15245000,-3869000,- -
37,Total Current Assets,45300974,149594782,185729731,64363514,46253291,52469891,15199655,31579000,81692000,47926000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,628367,425311,412648,5083514,28748000,17775000,3158000,- -
41,Intangible Assets,- -,- -,- -,628367,425311,412648,5083514,28748000,17775000,3158000,- -
42,Investments,1340065621,4537028780,3448227904,3135951700,2901438310,2405781569,3612239098,2981067000,3606143000,764213000,606493000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8839356,72632720,50748739,-2870031038,-2430158662,-2172155575,-3368377026,-6858125000,- -,- -,- -
45,Total Non-Current Assets,1348904977,4609661500,3498976643,266549029,471704959,234038642,248945586,-3848310000,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,4266125000,1352119000,3362728000
47,Total Assets,1394205951,4759256282,3684706374,330912543,517958250,286508533,264145241,-3816731000,4347817000,1400045000,3362728000
48,Accounts Payable,18759200,88161009,3839045,2461494,3930433,2570854,7644650,19930000,12048000,53261000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,111502000,63133000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1169162831,- -,57324991,2683490586,2463154227,1948705616,3050913720,2862127000,3150873000,593924000,- -
53,Total Current Liabilities,1187922031,- -,61164036,2685952080,2467084660,1951276470,3058558370,2882057000,3274423000,710318000,- -
54,Long-Term Debt,- -,- -,- -,39777914,426940861,21491710,16477801,2833363000,224348000,355159000,2776958000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,2919111604,-4,-396894001,- -,-1,-2822505000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,2919111604,39777910,30046860,21491710,16477800,10858000,224348000,355159000,2776958000
59,Other Liabilities,- -,4060945500,- -,- -,- -,- -,32955601,- -,- -,280022000,5569306000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1187922031,4060945500,2980275640,2725729988,2497131519,1972768176,3075036171,2892915000,3498771000,990340000,2792348000
62,Preferred Stock,- -,161214005,161214005,161214005,161214005,161214005,161214005,161214000,272457000,238478000,220472000
63,Common Stock,100100,269620,283657,283861,282863,277002,281927,287000,327000,414000,239000
64,Retained Earnings,7955126,81070475,-42686416,-14874474,-79134150,-81890939,-32767017,-100902000,-85921000,-518058000,-446800000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,198228694,552067681,585619488,586051751,584581995,576276322,585530292,595412000,662183000,688871000,796469000
67,Total Stockholders Equity,206283920,794621781,704430734,732675143,666944713,655876390,714259207,656011000,849046000,409705000,570380000
68,Total Liabilities And Stockholders Equity,1394205951,4855567281,3684706374,3458405131,3164076232,2628644566,3789295378,3548926000,4347817000,1400045000,3362728000
69,Minority Interest,- -,-96310999,- -,-3127492588,-2646117982,-2342136033,-3525150137,-7365657000,- -,- -,- -
70,Total Liabilities & Equity,1394205951,4759256282,3684706374,330912543,517958250,286508533,264145241,-3816731000,4347817000,1400045000,3362728000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1514281/000119312512121710/0001193125-12-121710-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420413013218/0001144204-13-013218-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420414012449/0001144204-14-012449-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420415013300/0001144204-15-013300-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420416084692/0001144204-16-084692-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420417012099/0001144204-17-012099-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420418011808/0001144204-18-011808-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428119000022/0001514281-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428120000018/0001514281-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428121000025/0001514281-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428122000023/0001514281-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,18970696,134935917,-31578636,109395568,13818537,63682771,118557610,1568000,92922000,-420919000,104186000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,2336000,- -,-5212000,6082000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,38023,561906,433164,438501,284376,418494,540740,631000,748000,582000,320000
77,Change in Working Capital,-942306,1292215839,-25029087,-2746154261,200757197,522024790,-1144552136,192880715,-342253000,2530339000,-336823000
78,Accounts Receivable,- -,-11198237,2901780,134372,467898,2585911,-3996747,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,7025826,448071,-2838550,-1602472,-1972875,5258285,- -,- -,- -,- -
81,Other Working Capital,-1142621057,149594782,124565695,-2621588566,-2420831369,-1898806579,-3043358715,-2850478000,-3192731000,-662392000,-999215000
82,Other Non-Cash Items,-2653049,-1312899399,186981115,2730156135,-127804297,-519201802,1104930221,-119383715,313821000,-2100634000,252533000
83,Cash Provided by Operating Activities,15413364,114814263,130806556,93835943,87055813,66924253,79476435,78032000,65238000,4156000,26298000
84,CAPEX,- -,- -,- -,-730146,- -,- -,-3399299,-140854000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-1439927508,-570541143,-343217712,-61455409,-894394585,-399866533,-28167635,-312371000,-239519000,-118847000,-924663000
87,Sales/Maturities of Investments,82347755,104351627,215407039,89362786,635442028,590991485,4893873,259662000,83309000,4610000,- -
88,Other Investing Activites,-4666921,-2996916240,1036627852,298674383,573054480,349521706,-1144051194,213751000,-726237000,2307692000,-975028000
89,Cash Used for Investing Activites,-1362246674,-3463105756,908817179,326581760,314101923,540646658,-1167324956,161042000,-882447000,2193455000,-1899691000
90,Debt Repayment,- -,-22282486815,-29123460181,-23477718732,-44331761544,-74436699608,-40114183937,-51789674000,-46894704000,-17053947000,-10000000
91,Common Stock Issued,200101000,353673174,33176288,- -,- -,- -,8718155,9282000,66063000,7018000,93134000
92,Common Stock Repurchased,-1000,- -,- -,- -,-472892,-9928615,- -,- -,- -,- -,-3555000
93,Dividends Paid,-4004400,-50291072,-93698029,-81572910,-81613683,-66778126,-69199804,-68723000,-77578000,-35283000,- -
94,Other Financing Activites,1186588959,25441139739,28080953416,23117047442,43994580160,73912052038,41225243871,51641584000,47628914000,14821712000,- -
95,Cash Used/Provided by Financing Activities,1382684559,3462035026,-1103028506,-442244200,-419267959,-601354311,1050578285,-207531000,722695000,-2260500000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,41000,-162000,- -
97,Net Change In Cash,- -,113743533,-63404771,-21826497,-18110223,6216600,-37270236,31543000,41011000,-63051000,- -
98,Cash at the End of Period,35851249,149594782,86190011,64363514,46253291,52469891,15199655,84358000,125369000,62318000,- -
99,Cash at the Beginning of Period,- -,35851249,149594782,86190011,64363514,46253291,52469891,52815000,84358000,125369000,- -
100,Free Cash Flow,15413364,114814263,130806556,93105797,87055813,66924253,76077136,52870000,65238000,4156000,26298000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1514281/000119312512121710/0001193125-12-121710-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420413013218/0001144204-13-013218-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420414012449/0001144204-14-012449-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420415013300/0001144204-15-013300-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420416084692/0001144204-16-084692-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420417012099/0001144204-17-012099-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000114420418011808/0001144204-18-011808-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428119000022/0001514281-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428120000018/0001514281-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428121000025/0001514281-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1514281/000151428122000023/0001514281-22-000023-index.htm
102,false,,,,,,,,,,,
