,https://roic.ai/company/ACRX,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-18.0522,-12.4114,-0.2260,-7.2166,-1.0359,-1.8412,-4.8383,-16.6095,-23.6806,-7.5633,-12.7626
19,Total Other Income Expenses (Gains),28000,-1088000,-765000,1508000,-3650000,-16759000,4296000,-3685000,-11234000,-13527000,-11420000,968000,588000,871000
20,Income Before Tax,-20662000,-20119000,- -,- -,-33363000,-23426000,-33353000,-23639000,-43191000,-52209000,-47147000,-53237000,-40375000,-35094000
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,- -,-13.9361,-0.7940,-6.3931,-1.2272,-2.4884,-6.5302,-21.9186,-23.2578,-7.4548,-12.4535
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,760000,-34000,-701000,2000,3000,4000,5000
23,Net Income,-20662000,-20119000,-14344000,-20101000,-33363000,-23426000,-33353000,-24399000,-43157000,-51508000,-47149000,-53240000,-40379000,-35099000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-18.7509,-13.9361,-0.7940,-6.3931,-1.2666,-2.4864,-6.4425,-21.9196,-23.2591,-7.4555,-12.4553
25,EPS,-31.47,-3.51,-21.84,-1.16,-1.51,-0.59,-0.77,-0.55,-0.95,-1.10,-0.81,-0.67,-0.47,-0.29
26,EPS Diluted,-31.47,-3.51,-21.84,-1.16,-1.51,-0.59,-0.91,-0.60,-0.95,-1.10,-0.81,-0.67,-0.47,-0.29
27,Weighted Average Shares Outstanding,656650,5746372,656650,17344727,22124637,39747000,43427111,44300099,45313118,46883535,58409000,79184000,85257000,119860266
28,Weighted Average Shares Outstanding Diluted,656650,5746372,656650,17344727,22124637,39747000,44322297,44468440,45313118,46883535,58409000,79184000,85257000,119860266
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1427925/000119312512129997/0001193125-12-129997-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000119312513103446/0001193125-13-103446-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000119312514102667/0001193125-14-102667-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774915004946/0001437749-15-004946-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774916026987/0001437749-16-026987-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774917003702/0001437749-17-003702-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774918004222/0001437749-18-004222-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774919004353/0001437749-19-004353-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774920005304/0001437749-20-005304-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774921006074/0001437749-21-006074-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774922005888/0001437749-22-005888-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6072000,7150000,3055000,7794000,47932000,88401000,60038000,107922000,80310000,52902000,87975000,14684000,27274000,12663000
32,Short-Term Investments,14135000,5396000,627000,27991000,11831000,15262000,15312000,5542000,- -,7567000,17740000,51453000,15612000,- -
33,Cash and Short-Term Investments,20207000,12546000,3682000,35785000,59763000,103663000,75350000,113464000,80310000,60469000,105715000,66137000,42886000,12663000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,3286000,5833000,1533000,401000,520000,635000,160000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,466000,2154000,956000,854000,3295000,1626000,1111000
36,Other Current Assets,773000,397000,2097000,2361000,2003000,897000,948000,1731000,756000,455000,1024000,1736000,1683000,41555000
37,Total Current Assets,20980000,12943000,5779000,38146000,61766000,104560000,76298000,118947000,89053000,63413000,107994000,71688000,46830000,55489000
38,PP&E,1412000,1280000,800000,2306000,2485000,5179000,9818000,8610000,10712000,11051000,11483000,18480000,18809000,20230000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38967000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,287000,268000,251000,383000,269000,292000,331000,228000,228000,1088000,1056000,1188000,656000,-36793000
45,Total Non-Current Assets,1699000,1548000,1051000,2689000,2754000,5471000,10149000,8838000,10940000,12139000,12539000,19668000,19465000,22404000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,22679000,14491000,6830000,40835000,64520000,110031000,86447000,127785000,99993000,75552000,120533000,91356000,66295000,77893000
48,Accounts Payable,1188000,917000,543000,1530000,2235000,2341000,2431000,1561000,1558000,1424000,2070000,1720000,2737000,2121000
49,Short-Term Debt,2842000,4726000,12009000,3804000,7443000,- -,6859000,4541000,2912000,7727000,8611000,5600000,9853000,9864000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,623000,787000,2604000,362000,362000,315000,411000,49000,1151000
52,Other Current Liabilities,500000,369000,859000,2511000,4653000,3904000,3654000,4074000,5359000,4147000,4932000,5880000,4996000,5373000
53,Total Current Liabilities,4530000,6012000,13411000,7845000,14331000,6868000,13731000,12780000,10191000,13660000,15928000,13611000,17635000,18509000
54,Long-Term Debt,9492000,5008000,- -,15275000,8530000,14364000,18046000,16381000,18637000,11369000,3380000,20517000,13140000,8757000
55,Deferred Revenue,596000,425000,245000,- -,- -,2007000,1626000,593000,3824000,3463000,3148000,2833000,- -,1151000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,41396000,56040000,59066000,247000,7812000,13633000,6388000,64918000,72678000,83569000,93824000,95813000,91270000,85369000
58,Total Non-Current Liabilities,51484000,61473000,59311000,15522000,16342000,30004000,26060000,81892000,95139000,98401000,100352000,119163000,104410000,95277000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4610000,3724000,- -
61,Total Liabilities,56014000,67485000,72722000,23367000,30673000,36872000,39791000,94672000,105330000,112061000,116280000,132774000,122045000,113786000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,3000,22000,37000,43000,43000,45000,45000,51000,78000,79000,98000,137000
64,Retained Earnings,-34100000,-54219000,-68563000,-88664000,-122027000,-145453000,-178806000,-203205000,-246362000,-297870000,-345019000,-398106000,-438485000,-473584000
65,Other Comprehensive Income/Loss,39000,-2000,- -,-2049000,1000,1000,-4000,-1000,3000,-8438000,-8944000,-9552000,- -,- -
66,Other Total Stockholders Equity,725000,1226000,2668000,108159000,155836000,218568000,225423000,236274000,240977000,269748000,358138000,366161000,382637000,437554000
67,Total Stockholders Equity,-33335000,-52994000,-65892000,17468000,33847000,73159000,46656000,33113000,-5337000,-36509000,4253000,-41418000,-55750000,-35893000
68,Total Liabilities And Stockholders Equity,22679000,14491000,6830000,40835000,64520000,110031000,86447000,127785000,99993000,75552000,120533000,91356000,66295000,77893000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,22679000,14491000,6830000,40835000,64520000,110031000,86447000,127785000,99993000,75552000,120533000,91356000,66295000,77893000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1427925/000119312512129997/0001193125-12-129997-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000119312513103446/0001193125-13-103446-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000119312514102667/0001193125-14-102667-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774915004946/0001437749-15-004946-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774916026987/0001437749-16-026987-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774917003702/0001437749-17-003702-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774918004222/0001437749-18-004222-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774919004353/0001437749-19-004353-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774920005304/0001437749-20-005304-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774921006074/0001437749-21-006074-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774922005888/0001437749-22-005888-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-20662000,-20119000,-14344000,-20101000,-33363000,-23426000,-33353000,-24399000,-43157000,-51508000,-47149000,-53240000,-40379000,-35099000
74,Depreciation and Amortization,383000,481000,479000,513000,605000,593000,866000,1984000,2052000,1744000,575000,1668000,1853000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,456000,463000,1424000,1833000,2150000,3479000,4440000,5010000,4479000,4294000,5168000,5057000,4424000,- -
77,Change in Working Capital,668000,-9519000,-14563000,37933000,17134000,50257000,-35125000,43600000,-27305000,-29109000,42313000,-33989000,-28882000,7785000
78,Accounts Receivable,- -,- -,- -,- -,705000,106000,90000,-3286000,-2547000,4300000,1484000,-383000,-203000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-466000,-1688000,920000,102000,-3392000,957000,- -
80,Accounts Payable,319000,-271000,-371000,987000,705000,106000,90000,-786000,-437000,309000,458000,-19000,1016000,- -
81,Other Working Capital,16450000,6931000,-7632000,30301000,47435000,97692000,62567000,106167000,78862000,49753000,92066000,58077000,29195000,36980000
82,Other Non-Cash Items,252000,9276000,14779000,-35465000,-11108000,-31390000,28716000,-46148000,34536000,44814000,-29982000,29324000,24479000,27314000
83,Cash Provided by Operating Activities,-18903000,-19418000,-12225000,-15287000,-24582000,-487000,-34456000,-19953000,-29395000,-29765000,-29075000,-51180000,-38505000,- -
84,CAPEX,-547000,-111000,-4000,-2019000,-826000,-3287000,-5505000,-1456000,-3720000,-2405000,-819000,-3470000,-1855000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-14088000,-13906000,-4922000,-39367000,-27167000,-28009000,-17430000,-7266000,-996000,-7565000,-30558000,-100068000,-44611000,- -
87,Sales/Maturities of Investments,4700000,22633000,9691000,11807000,42948000,24376000,17159000,16925000,6525000,- -,20500000,66975000,80605000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-9935000,8616000,4765000,-29579000,14955000,-6920000,-5776000,8203000,1809000,-9970000,-10877000,-36563000,34139000,- -
90,Debt Repayment,-241000,-2861000,-4726000,-5297000,-3655000,-16782000,- -,-4534000,- -,-3514000,-7718000,-12334000,-4667000,- -
91,Common Stock Issued,- -,26000,21000,35140000,53174000,47943000,- -,- -,- -,15694000,81525000,1233000,21337000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,32140000,14715000,8070000,19762000,246000,16715000,11869000,64168000,-26000,147000,1218000,25553000,286000,- -
95,Cash Used/Provided by Financing Activities,31899000,11880000,3365000,49605000,49765000,47876000,11869000,59634000,-26000,12327000,75025000,14452000,16956000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3061000,1078000,-4095000,4739000,40138000,40469000,-28363000,47884000,-27612000,-27408000,35073000,-73291000,12590000,- -
98,Cash at the End of Period,6072000,7150000,3055000,7794000,47932000,88401000,60038000,107922000,80310000,52902000,88153000,14684000,27274000,- -
99,Cash at the Beginning of Period,3011000,6072000,7150000,3055000,7794000,47932000,88401000,60038000,107922000,80310000,53080000,87975000,14684000,27274000
100,Free Cash Flow,-19450000,-19529000,-12229000,-17306000,-25408000,-3774000,-39961000,-21409000,-33115000,-32170000,-29894000,-54650000,-40360000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1427925/000119312512129997/0001193125-12-129997-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000119312513103446/0001193125-13-103446-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000119312514102667/0001193125-14-102667-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774915004946/0001437749-15-004946-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774916026987/0001437749-16-026987-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774917003702/0001437749-17-003702-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774918004222/0001437749-18-004222-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774919004353/0001437749-19-004353-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774920005304/0001437749-20-005304-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774921006074/0001437749-21-006074-index.htm,https://www.sec.gov/Archives/edgar/data/1427925/000143774922005888/0001437749-22-005888-index.htm
102,false,,,,,,,,,,,,,,
